"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
1,1,0.5,0.5,0.5,0.25,0.5,0.5,0.5,1,1,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.5,0.5,1
0.0094,0,0,0,0,0,0.0667,0.0667,0.0179,0,0,0,0,0,0,0.0015,0.0013,0,0,0.0106,0,0,0.0127,0.0052,0,0,0,0,0.001,0.0012,0.001,0.0043,0.0047,0
1,0.5,0.3333,0.2,0.0667,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.2,1,0.5,0.25,0.3333,1,0.0323,1,1,1,1,1,1,1,1,0.25,0.1667,0.25,1,1,0.5
0.5,0.5,0.0217,0.0263,0.0217,0,0.1429,0.5,0.1429,0.5,0.1667,0.2,1,1,0.5,1,0.0312,0.5,1,1,0.3333,0.3333,0.1667,0.3333,1,1,1,0.5,0.5,0.2,0.05,0.3333,0.125,1
1,0.2,1,1,1,0,1,1,1,0.2,1,1,1,0.3333,0.25,1,1,1,0.0106,0.1429,0.125,0.0909,0.1429,0.5,0.037,0.0037,0.0069,0.0037,1,1,1,1,1,1
1,0.3333,0.25,0.25,0.007,0.0032,0.0714,0.0714,0.0769,0.3333,0.25,0.25,1,1,1,0.25,0.1429,0.3333,1,1,0.0833,0.2,0.2,0.2,1,0.5,1,0.3333,0.0101,0.0067,0.0101,1,0.5,1
1,0.5,1,1,1,0.5,0.2,0.2,0.0294,0.5,1,1,1,0.5,1,0.5,1,1,0.0714,1,1,1,1,0.5,0.125,0.5,0.5,1,0.0833,0.1,0.5,0.5,0.3333,0.0303
1,0.3333,0.0833,0.0833,0.0455,0,0.1667,0.3333,0.3333,0.3333,1,1,0.0769,0.1111,0.2,0.125,0.1429,0.1429,0.1667,1,1,1,0.037,0.05,0.1111,0.5,0.5,0.5,0.0714,0.0769,0.0714,1,1,1
0.0278,0.5,0.125,0.125,0.1111,0,0.0625,0.0625,0.1667,0.5,0.2,0.2,0.0417,0.027,0.5,0.3333,0.3333,0.5,0.0233,0.0588,0.0769,0.0769,0.5,0.5,0.5,0.0263,0.04,0.0244,0.1111,0.125,0.1111,0.1429,0.25,0
0.25,1,0.1,0.1,0.1111,0,0.1111,0.0233,1,1,0.0385,0.04,1,1,1,0.0833,0.0526,0.1667,0.0154,1,0.5,0.5,0.0556,0.25,0.5,1,0.125,0.3333,0.0435,0.3333,0.125,0.0909,0.0833,0
1,1,0.0625,1,0.0625,0,0.5,0.5,0.5,1,0.2,0.3333,1,1,1,1,0.5,1,1,1,0.25,1,0.5,1,0.5,0.0556,0.0244,0.0556,0.5,1,0.5,0.5,0.3333,1
0.0769,0.2,0.0011,0.0011,0,0,0.0357,0.0357,0.3333,0.25,0,0.25,0.125,0.0476,0.0667,0.0833,0.0213,0.0476,0.0164,0.0018,0.0141,0.0061,0.0027,0.006,0.0161,0.0061,0.0071,0.0057,0.001,0.0012,0.001,0.0769,0.0909,0
0.5,0.5,0.25,0.25,0.3333,0.007,1,1,0.1,0.5,1,1,0.3333,0.5,0.3333,0.1429,0.0769,0.5,0.1,0.3333,1,1,0.25,0.3333,1,1,1,0.5,0.0625,0.125,0.0625,1,1,1
1,1,0.25,0.25,0.25,0,1,1,1,1,0.3333,0.25,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.25,0.3333,0.3333,0.3333,0.5,1,1
0.3333,0.5,0.0455,0.0476,0.2,0,0.3333,0.25,0.2,0.5,0.0145,0.0169,0.1429,0.1111,0.3333,0.1667,0.1429,1,1,1,1,1,0.0714,0.3333,1,0.25,0.25,0.25,0.1,0.1667,0.0769,0.0455,0.0556,0.0385
1,1,1,1,1,0,0.3333,0.1667,1,1,0.25,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1
0.2,1,0.2,0.2,1,0,1,1,1,1,0.5,0.5,0.5,0.1429,0.5,0.2,0.2,0.2,1,1,1,1,1,1,1,1,0.5,1,0.3333,1,0.3333,0.3333,0.5,0.1
1,1,0.5,0.5,0.3333,0,0.5,1,1,1,0.3333,1,0.5,0.5,0.2,0.1667,0.2,0.1667,1,0.3333,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,0.5,0.0588
0.0714,0.0667,0.3333,1,0.0588,0.0054,0.5,0.5,0.5,0.0769,0,0.0435,0.0345,0.027,0.3333,0.0625,0.1,0.0089,0.5,0.3333,0.037,0.0333,1,0.0556,0.125,0.0357,0.1111,0.0357,0.0588,0.0588,0.0016,1,1,0.125
1,0.1111,1,1,1,0,0.25,0.25,0.0196,0.1,0.05,0.1,1,0.5,1,0.0385,0.0476,1,0,0.1111,0.2,0.1667,0.1429,0.3333,1,0.2,0.125,0.3333,1,0.3333,0.25,0.0909,0.0714,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
0.5,1,0.5,0.5,0.3333,0.0011,1,1,0.3333,1,0.5,0.5,1,0.3333,1,1,1,0.5,1,0.5,0.5,0.5,1,0.25,1,0.25,0.2,0.5,0.3333,0.3333,0.3333,1,1,1
1,1,1,1,1,0,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.3333,0.3333,1,0.3333,0.5,1,1,1,1,1,1,1,0.5
0.2,0.5,0.5,1,0.02,0,0.3333,0.3333,0.3333,0.5,0.0294,0.0303,0.0833,0.0455,0.2,0.25,0.0909,0.2,0.0714,0.0625,0.3333,1,0.25,0.3333,1,1,1,1,0.3333,0.0079,0.1429,0.125,0.2,0.5
0,0,0,0,0,0,0.2,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0833,0,0,0,0,0,0,0
0.2,0.5,0.0244,0.0244,0.0227,0,0.125,0.125,1,0.5,0.25,0.2,0.5,0.5,0.25,0.1111,0.25,0.125,0.0026,0.25,0.0833,0.25,0.1667,0.0556,0.25,0.1667,0.2,0.1429,0.0192,1,0.0238,0.125,0.125,0.1
0.2,0.0238,0.2,0.5,0.25,0,0.0227,0.5,0.0227,0.0286,0,0,0.5,0.1667,0.1667,0.0227,0.0233,0.0588,0.2,1,0.3333,1,1,1,1,1,0.5,1,0.25,0.0323,0.25,0.0185,0.0106,0.0625
1,0.5,1,1,1,0.5,1,1,1,0.5,0.3333,0.25,1,1,1,1,1,0.3333,1,0.5,0.1429,0.1429,1,1,0.25,1,1,1,1,0.5,1,0.5,1,0.5
1,1,0.5,0.5,0.3333,0.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.3333,0.5,0.3333,1,1,0.3333
1,1,1,1,1,0,0.25,0.5,0.25,1,0.5,0.1429,0.5,0.5,0.5,1,0.25,1,0.5,1,1,1,1,1,1,1,1,1,1,0.3333,1,0.1111,0.0833,0
1,1,1,1,1,0.0012,1,1,0.5,1,0.1,0.3333,0.5,1,1,1,0.0417,1,1,1,1,1,1,1,1,1,1,1,0.0833,0.0833,0.0833,0.5,1,1
1,1,1,1,0.5,0,1,1,1,1,1,1,1,0.1429,0.3333,1,1,1,1,1,1,1,1,1,1,1,0.0769,1,1,1,1,1,1,0.3333
