"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
0.1654,0.4232,0.0243,0.0133,0.3992,0.0995,0.0784,0.104,0.2944,0.3694,0.4052,0.3271,0.2936,0.1005,0.0697,0.258,0.2538,0.2455,0.2968,0.4953,0.5043,0.1394,0.1394,0.166,0.1713,0.1713,0.213,0.1994,0.1994,0.294
0.1238,0.5879,0,0,0.5746,0.0853,0.0743,0.0885,0.1608,0.5752,0.374,0.2977,0.1834,0.0378,0.0466,0.2329,0.1741,0.2081,0.2032,0.2381,0.1965,0.0665,0.0665,0.3883,0.3881,0.3881,0.1514,0.1198,0.1198,0.1564
0.2127,0.3861,0.0738,0.0739,0.4146,0.2002,0.1456,0.2103,0.2872,0.3497,0.2273,0.2629,0.3148,0.2318,0.2197,0.3001,0.2853,0.3088,0.4135,0.5109,0.532,0.2291,0.2237,0.1445,0.1365,0.1365,0.277,0.2515,0.2515,0.2913
0.2992,0.484,0.0257,0.0188,0.4911,0.1932,0.1531,0.2202,0.2871,0.2227,0.1431,0.1351,0.2871,0.1718,0.1376,0.2555,0.2843,0.2651,0.3941,0.4862,0.439,0.2719,0.2202,0.2468,0.2194,0.2194,0.2392,0.2709,0.2709,0.2828
0,7e-04,0.1667,0.1067,0,0,0,0,0.0033,0,0,0,0.0033,0.0148,0.0096,0,0,0,0,0.0132,3e-04,0,0,0,0,0,0.0074,5e-04,5e-04,0.0033
0.0741,0.4442,0,0,0.0157,0.272,0.2824,0.2659,0.1094,0.4359,0.4198,0.2787,0.1029,0.0233,0.0225,0.3704,0.3441,0.3662,0.3501,0.1486,0.241,0.0114,0.0114,0.2547,0.2794,0.2794,0.199,0.2238,0.2238,0.1307
0.2253,0.4092,0,0,0.3912,0.1752,0.146,0.1874,0.313,0.3667,0.3333,0.1821,0.3134,0.1545,0.1119,0.3591,0.3014,0.3437,0.4629,0.4334,0.4168,0.1359,0.1588,0.1658,0.1681,0.1681,0.3026,0.2679,0.2679,0.3051
0.0434,0.1715,0.0043,0.0166,0.1716,0.1997,0.2052,0.1857,0.0478,0.1765,0.1694,0.1366,0.0761,0.1905,0.1703,0.0327,0.0286,0.0291,0.141,0.2741,0.2669,0.1532,0.1233,0.0351,0.0869,0.0869,0.062,0.039,0.039,0.0612
0.1901,0.5251,0,0,0.4934,0.2214,0.1576,0.2478,0.3293,0.5065,0.3228,0.2763,0.3466,0.1714,0.1345,0.1728,0.2418,0.1907,0.3102,0.5479,0.5019,0.0736,0.0701,0.2136,0.207,0.207,0.316,0.3741,0.3741,0.3477
0.0389,0.0582,0.0023,9e-04,0.0694,0.0156,0.0132,0.0157,0.0309,0.0422,0.0315,0.0194,0.021,0.041,0.0267,0.0832,0.051,0.0792,0.1078,0.1239,0.1121,0.0593,0.0348,0.0246,0.0114,0.0114,0.0576,0.0663,0.0663,0.0395
0.0034,0.1337,0,0,0.0538,0.0538,0.0433,0.0799,0.0198,0.1483,0.185,0.0693,0.0102,4e-04,2e-04,0.0689,0.0488,0.0993,0.0517,0.038,0.0565,0.0479,0.0479,0.1063,0.1411,0.1411,0.1151,0.0172,0.0172,0.0174
0.1826,0.0588,0.1535,0.172,0.031,0.0912,0.0798,0.0965,0.2281,0.0526,0.0777,0.0736,0.2281,0.0589,0.0661,0.2303,0.1951,0.2311,0.1595,0.2351,0.2379,0.0365,0.0383,0.028,0.0359,0.0359,0.1949,0.1768,0.1768,0.2284
0.234,0.0548,0.1187,0.1144,0.1677,0.0976,0.0976,0.0976,0.1608,0.01,0.0122,0.0095,0.157,0.1041,0.0341,0.1889,0.1083,0.1766,0.2512,0.2797,0.3416,0.0622,0.0768,0.0418,0.0677,0.0677,0.1999,0.1891,0.1891,0.1477
0.2332,0.1488,1e-04,0,0.0186,0.0426,0.0296,0.0395,0.1351,0.1081,0.0734,0.0703,0.1129,0.0217,0.0097,0.236,0.2399,0.2368,0.1412,0.2611,0.1852,0.0041,0.0041,0.0985,0.1789,0.1789,0.1745,0.1489,0.1489,0.0896
0.0179,0.185,0,0,0.2504,0.0064,0.0055,0.0079,0.1414,0.1487,0.1766,0.1098,0.1168,0.065,0.0637,0.0314,0.0232,0.0254,0.0742,0.0989,0.1183,0.0197,0.0053,0.1457,0.158,0.158,0.0553,0.0569,0.0569,0.132
0.1321,0.2315,0.0225,0.0227,0.1911,0.1374,0.1297,0.1428,0.2486,0.1208,0.1379,0.1236,0.2493,0.1131,0.1325,0.2683,0.1832,0.2684,0.3571,0.4187,0.4004,0.2428,0.1971,0.0653,0.0705,0.0705,0.2069,0.2028,0.2028,0.2429
0.1203,0.5364,0,0,0.6116,0.1868,0.1788,0.1916,0.1522,0.5294,0.1856,0.1504,0.1447,0.0531,0.0999,0.1502,0.1516,0.1531,0.5188,0.6545,0.6281,0.2722,0.2514,0.3172,0.2969,0.2969,0.1215,0.1546,0.1546,0.1395
0.0735,0.3725,0.0686,0.0732,0.2004,0.0905,0.0445,0.1145,0.1236,0.2226,0.109,0.0584,0.1123,0.0803,0.0746,0.0382,0.0307,0.0428,0.3097,0.463,0.2985,0.2273,0.1943,0.1953,0.2154,0.2154,0.0451,0.0418,0.0418,0.1085
0.0057,0.0637,0,0,0.0227,0.0777,0.0797,0.076,0.0025,0.121,0.0394,0.1108,0.0025,0.1474,0.1525,0.0042,0.0026,0.0015,0.0334,0.0551,0.019,0.14,0.212,0.009,0.0072,0.0072,0.0014,9e-04,9e-04,0.0025
0.018,3e-04,0.0506,0.0463,0.0015,0.0167,0.0223,0.026,0.0145,0.1012,0.0467,0.0391,0.0195,0.0765,0.1012,0.0397,0.0292,0.0359,0.0351,0.0495,0.0341,0.0779,0.0772,0.0085,0.0083,0.0083,0.0386,0.035,0.035,0.0167
0.0106,0.0149,0.069,0.4649,0,0.0189,0.0192,0.0208,0.0726,0.0333,0.0614,0.0064,0.0726,0,0,0.0155,0.0197,0.0209,0.0173,0.1262,0.1541,0.0224,0.0224,0,0,0,0.0191,0.0013,0.0013,0.0911
0.1363,0.3119,0.0121,0.0178,0.3264,0.0591,0.0575,0.0534,0.1473,0.2275,0.0196,0.0292,0.1232,0.0245,0.019,0.1194,0.1248,0.1211,0.13,0.3762,0.244,0.0648,0.0445,0.1771,0.1752,0.1752,0.209,0.2154,0.2154,0.1273
0.0707,0.2305,0,0,0.1457,0.0732,0.0474,0.078,0.1251,0.2095,0.216,0.0484,0.1251,0.1027,0.1043,0.1492,0.1371,0.1321,0.1333,0.1698,0.1976,0.0559,0.0495,0.1969,0.1128,0.1128,0.0757,0.0883,0.0883,0.1459
0.1833,0.0322,0.1771,0.1691,0.0337,0.0427,0.0252,0.0518,0.1573,0.0243,0.1153,0.0712,0.1875,0.0364,0.0291,0.095,0.2523,0.1061,0.1164,0.1451,0.1766,0.0179,0.0169,0.0111,0.002,0.002,0.2182,0.1445,0.1445,0.1408
0.1026,0.1098,0,0,0.0806,0.2511,0.2751,0.3282,0.2565,0.1122,0.2044,0.1217,0.3188,0.032,0.0322,0.3766,0.4453,0.4895,0.4051,0.3265,0.3793,0.1401,0.1409,0.0055,0.0044,0.0044,0.101,0.26,0.26,0.1078
0.2325,0.2294,0.0387,0.0328,0.1468,0.1869,0.1893,0.1846,0.2173,0.199,0.2251,0.187,0.2143,0.0198,0.0111,0.221,0.2053,0.2233,0.2235,0.2923,0.2797,0.045,0.045,0.1124,0.1298,0.1298,0.2558,0.2319,0.2319,0.2041
0.2198,0.1261,0.0773,0.0441,0.2232,0.0258,0.014,0.0262,0.0212,0.1125,0.0772,0.0583,0.0203,0.0039,0.0062,0.0757,0.0952,0.094,0.0687,0.0725,0.0707,0.0203,0.0257,0.1208,0.0966,0.0966,0.0251,0.0632,0.0632,0.0241
8e-04,0.011,0,0,0.0205,0.0028,0.0028,0.0026,7e-04,0.0075,0.0069,0.0046,7e-04,0.024,0.0261,0.0245,0.0425,0.0245,0.0682,0.4245,0.0314,0.0095,0.0085,0,0,0,0.0119,0.0278,0.0278,7e-04
0.2344,0.2861,0.0017,2e-04,0.3219,0.0378,0.0591,0.0262,0.1412,0.1966,0.1937,0.1128,0.1069,0.1785,0.1517,0.1748,0.2556,0.1825,0.2741,0.282,0.2692,0.0215,0.0219,0.2081,0.1573,0.1573,0.2064,0.3073,0.3073,0.1412
0.1935,0.1826,0.1132,0.1004,0.1216,0.0631,0.0383,0.0648,0.0381,0.2067,0.1906,0.1312,0.0496,0.0047,0.0214,0.115,0.1392,0.1227,0.3019,0.2079,0.2403,0.0383,0.0328,0.0374,0.0266,0.0266,0.0196,0,0,0.0403
0.1547,0.3074,0.0041,0.0057,0.2765,0.2558,0.2558,0.2558,0.2322,0.3555,0.2485,0.1013,0.2693,0.1813,0.1435,0.2395,0.1935,0.2517,0.2442,0.409,0.4857,0.2021,0.2206,0.1027,0.0936,0.0936,0.2079,0.189,0.189,0.2368
0.1924,0.237,0.0359,0.0364,0.2139,0.0956,0.0881,0.1032,0.3244,0.2017,0.1962,0.1362,0.321,0.0399,0.0269,0.2109,0.2245,0.1885,0.1318,0.3316,0.2298,0.0414,0.0414,0.0898,0.1283,0.1283,0.1869,0.1513,0.1513,0.3032
0.3246,0.6038,0,0,0.5692,0.4125,0.2003,0.5407,0.6284,0.5656,0.6777,0.4159,0.6284,0.064,0.0765,0.4371,0.3946,0.4552,0.4805,0.7274,0.607,0.0467,0.0467,0.4847,0.4773,0.4773,0.5932,0.4229,0.4229,0.6284
0.2258,0.4391,0.0571,0.0584,0.3312,0.1852,0.1624,0.1887,0.3006,0.421,0.4099,0.3885,0.2963,0.1721,0.0783,0.3265,0.3043,0.3275,0.3897,0.5649,0.5583,0.1089,0.1089,0.1586,0.1639,0.1639,0.3307,0.3241,0.3241,0.3051
0.2237,0.2957,0.0062,0.0047,0.2253,0.1878,0.2021,0.172,0.2502,0.28,0.2257,0.166,0.2457,0.0825,0.0658,0.3296,0.221,0.3123,0.3901,0.4969,0.4466,0.1649,0.1656,0.1303,0.1476,0.1476,0.2307,0.183,0.183,0.2534
0.1345,0.2654,0.0081,0.0081,0.1967,0.0552,0.0644,0.0525,0.281,0.2175,0.2096,0.153,0.289,0.0213,0.0153,0.2578,0.1964,0.2405,0.2818,0.3359,0.2298,0.0325,0.0325,0.1868,0.2069,0.2069,0.091,0.1448,0.1448,0.2765
0.1618,0.5863,0,0,0.676,0.2668,0.1599,0.2784,0.3574,0.6183,0.5129,0.3039,0.4247,0.0647,0.063,0.3576,0.3713,0.3803,0.4894,0.67,0.6078,0.1724,0.1724,0.5016,0.5443,0.5443,0.3964,0.2465,0.2465,0.3269
0.1479,0.3564,0.0268,0.0176,0.3507,0.0963,0.0931,0.0922,0.2428,0.3264,0.3408,0.3084,0.2453,0.0663,0.0563,0.2364,0.207,0.228,0.2104,0.3337,0.265,0.0894,0.0941,0.1282,0.1314,0.1314,0.2801,0.2794,0.2794,0.2492
0.0318,0.0167,0.0214,0.0286,0.0168,0.0154,0.0172,0.0253,0.0031,0.0063,0.0084,0.0105,0.0031,0.0014,2e-04,0.099,0.0468,0.0899,0.0837,0.019,0.0935,0.0361,0.0362,0.0077,0.0366,0.0366,0.0428,0.0596,0.0596,0.0031
0.1045,0.0817,0,0,0.126,0.1705,0.0947,0.1954,0.1888,0.1178,0.1678,0.0654,0.2193,0.0752,0.0633,0.1839,0.1539,0.201,0.2632,0.3964,0.2748,0.1025,0.0792,0.026,0.0295,0.0295,0.1574,0.2936,0.2936,0.2161
0,0.0041,0.1181,0.1036,6e-04,0.07,0.055,0.0883,0.011,0.0125,0.0147,0.0021,0.012,0.0636,0.0558,0.0183,0.0488,0.0531,0.1286,0.106,0.0988,0.0248,0.0316,0.001,0.0016,0.0016,0.0212,0.0418,0.0418,0.0166
