"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
0.29801,0.17161,0.11811,0.08461,0.16352,0.28062,0.28126,0.27299,0.32179,0.12464,0.25638,0.23296,0.22436,0.13544,0.08468,0.27408,0.15938,0.20198,0.1868,0.26653,0.35084,0.25545,0.25545,0.17398,0.16997,0.16997,0.34884,0.35569,0.35569,0.32592
0.14106,0.2324,0,0,0.19241,0.3563,0.33992,0.35581,0.23722,0.29303,0.29216,0.22047,0.51945,0.20076,0.27419,0.17299,0.15788,0.14869,0.16387,0.10117,0.14372,0.28966,0.28966,0.17613,0.17613,0.17613,0.20098,0.14146,0.14146,0.18908
0.19294,0.17602,0.13751,0.14728,0.21917,0.36317,0.32232,0.36165,0.30422,0.15448,0.24167,0.55349,0.46416,0.23902,0.3738,0.6039,0.33798,0.60431,0.38616,0.18009,0.23374,0.35031,0.34646,0.27795,0.34262,0.34262,0.20468,0.60535,0.60535,0.1685
0.17953,0.09489,0.09454,0.05919,0.11411,0.15665,0.15244,0.16726,0.16983,0.25953,0.36059,0.08364,0.16983,0.20023,0.19992,0.16819,0.14874,0.17424,0.29826,0.19001,0.30849,0.26884,0.15654,0.29051,0.11995,0.11995,0.18514,0.17628,0.17628,0.15549
0,0,0.10059,0.06289,0,0,0,0,0,0,0,0,0,0.00329,0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0
0.13643,0.16785,0,0,0.06543,0.17523,0.17729,0.17408,0.06385,0.17066,0.17509,0.13287,0.06732,0.0918,0.0918,0.40837,0.30939,0.60578,0.16934,0.0586,0.12933,0.0625,0.0625,0.33611,0.3215,0.3215,0.10863,0.16373,0.16373,0.19127
0.25221,0.0736,0,0,0.06975,0.5521,0.55227,0.42679,0.32885,0.08386,0.32328,0.07923,0.21605,0.37338,0.16028,0.33619,0.16751,0.16435,0.31227,0.34181,0.30649,0.56227,0.54972,0.16913,0.30396,0.30396,0.23559,0.30791,0.30791,0.19093
0.02999,0.05331,0.00446,0.06558,0.0499,0.15832,0.18561,0.11624,0.07078,0.06529,0.12221,0.05093,0.2633,0.28609,0.18757,0.04185,0.03451,0.02773,0.05166,0.09017,0.25107,0.0634,0.06119,0.02702,0.12889,0.12889,0.1088,0.04789,0.04789,0.23137
0.12915,0.15972,0,0,0.1627,0.08013,0.07166,0.08483,0.16216,0.15109,0.08009,0.1167,0.16931,0.1452,0.12295,0.12231,0.14315,0.14655,0.0593,0.14827,0.15137,0.02881,0.03541,0.08542,0.10123,0.10123,0.1654,0.17086,0.17086,0.16889
0.07198,0.09277,0.00347,0,0.11144,0.14583,0.10938,0.14583,0.03681,0.09305,0.09375,0.02083,0.02133,0.04996,0.01314,0.1122,0.08839,0.15141,0.06595,0.12394,0.10799,0.05851,0.01381,0.07227,0.00446,0.00446,0.08984,0.07506,0.07506,0.09939
