"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
0.46317,0.42064,0.12612,0.09271,0.32519,0.43526,0.40571,0.43109,0.58327,0.31085,0.49713,0.51742,0.4886,0.31725,0.25158,0.5473,0.43511,0.52008,0.38749,0.63787,0.61286,0.45074,0.45074,0.41776,0.28523,0.28523,0.53806,0.53529,0.53529,0.59269
0.1946,0.44787,0,0,0.39122,0.55439,0.5603,0.55263,0.54643,0.48227,0.52208,0.37691,0.77213,0.19923,0.28433,0.32399,0.27493,0.25418,0.25138,0.26224,0.29204,0.31374,0.31374,0.34979,0.34979,0.34979,0.27719,0.24455,0.24455,0.38625
0.37715,0.26872,0.11125,0.12441,0.32857,0.50113,0.41703,0.49861,0.40278,0.19545,0.31371,0.46377,0.50338,0.36748,0.40867,0.56708,0.47944,0.58796,0.51367,0.35134,0.43016,0.34357,0.3308,0.33871,0.33266,0.33266,0.33018,0.56131,0.56131,0.24039
0.22008,0.18112,0.05925,0.07195,0.19549,0.17792,0.16084,0.18372,0.20394,0.34753,0.35921,0.16951,0.20394,0.34145,0.33244,0.19615,0.17123,0.21534,0.34973,0.26514,0.28468,0.23217,0.1861,0.39369,0.19072,0.19072,0.2193,0.23718,0.23718,0.19756
0,0,0.38723,0.30917,0,0,0,0,0,0,0,0,0,0.03209,0,0,0,0,0,0.03326,0,0,0,0,0,0,0,0,0,0
0.25805,0.16744,0,0,0.03341,0.19105,0.19185,0.19083,0.10166,0.18086,0.19132,0.10811,0.10374,0.04438,0.04438,0.5651,0.40537,0.74697,0.16352,0.06132,0.12484,0.02721,0.02721,0.29378,0.3085,0.3085,0.17675,0.19925,0.19925,0.14014
0.22785,0.1054,0,0,0.094,0.38093,0.37654,0.34457,0.27066,0.10496,0.2754,0.10384,0.22431,0.30937,0.13377,0.32295,0.2499,0.2417,0.26752,0.37037,0.24799,0.42917,0.45488,0.23591,0.26633,0.26633,0.23122,0.2338,0.2338,0.22763
0.09653,0.12471,0.01212,0.0583,0.123,0.43976,0.42708,0.34033,0.12993,0.17672,0.2863,0.10395,0.29901,0.42312,0.34471,0.06481,0.04102,0.04661,0.09208,0.18367,0.36151,0.12371,0.12148,0.09284,0.19513,0.19513,0.22008,0.11149,0.11149,0.2659
0.39129,0.60679,0,0,0.54291,0.40762,0.33007,0.40959,0.56324,0.57019,0.3285,0.4239,0.62195,0.4474,0.37078,0.36468,0.40432,0.44814,0.30795,0.56883,0.54694,0.15846,0.20581,0.45946,0.39303,0.39303,0.61627,0.60858,0.60858,0.56264
0.09021,0.11894,0.00826,0,0.11416,0.12277,0.10575,0.12277,0.04689,0.11933,0.06639,0.03168,0.0387,0.08756,0.02085,0.10764,0.09783,0.1315,0.04349,0.12093,0.16441,0.06694,0.02117,0.10817,0.00898,0.00898,0.07474,0.06201,0.06201,0.07695
