"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
1,0.5,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,1,1
0.3333,0.5,1,1,0.3333,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1
1,0.3333,1,0.5,0.5,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,1,1,1
0,0.0036,0.3333,0.2,0,0,0,0,0.0164,0,0,0,0.0164,0.0526,0.0435,0,0,0,0,0.0588,0.0014,0,0,0,0,0,0.037,0.0027,0.0027,0.0164
0.25,1,0,0,1,1,1,1,0.2,1,1,1,0.1667,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.3333,1,1,1
1,0.1667,0,0,0.2,1,1,1,1,0.2,1,0.25,1,1,1,1,0.3333,0.3333,1,1,1,1,1,0.5,1,1,1,1,1,0.5
0.0909,0.3333,0.0667,1,0.25,1,1,0.5,0.25,0.1667,0.3333,0.3333,1,1,0.5,0.5,0.5,0.3333,0.5,0.3333,1,0.3333,0.3333,0.0714,1,1,0.3333,0.1667,0.1667,1
1,1,0,0,1,0.3333,0.3333,0.5,1,1,0.3333,1,1,1,1,1,1,1,0.25,1,1,0.1429,0.2,0.3333,0.5,0.5,1,1,1,1
0.25,0.2,0.0556,0.0208,0.25,0.3333,0.25,0.3333,0.3333,0.2,0.5,0.1111,0.125,0.25,0.125,1,0.3333,0.5,1,0.5,0.3333,0.25,0.1429,0.25,0.0714,0.0714,0.5,1,1,0.5
0.0043,0.25,0,0,0.2,0.5,0.5,1,0.25,0.25,1,0.5,0.0476,0.0081,0.004,0.25,0.1429,1,0.1111,0.0588,0.0833,1,1,0.5,0.3333,0.3333,1,0.0625,0.0625,0.2
1,0.3333,1,1,0.1429,1,1,1,1,0.3333,0.3333,0.25,1,0.5,1,0.5,1,1,1,1,0.3333,0.5,1,0.25,0.25,0.25,1,1,1,1
0.5,0.25,1,1,0.5,1,1,1,1,0.25,0.25,0.0667,1,0.5,0.1111,0.5,0.25,1,1,1,0.5,0.25,1,0.2,0.5,0.5,0.3333,1,1,0.5
1,0.3333,0.0046,0.003,0.0909,0.5,0.3333,0.3333,1,0.25,0.3333,0.1111,0.25,0.3333,0.1667,1,1,1,1,1,0.3333,0.125,0.125,0.1429,0.5,0.5,1,1,1,0.25
0.02,0.0769,0,0,0.2,0.0333,0.0357,0.0323,0.5,0.0588,0.1667,0.0909,0.1667,0.5,0.5,0.25,0.0667,0.125,0.3333,0.0769,0.1,0.0833,0.0303,0.0769,0.1667,0.1667,0.1667,0.1111,0.1111,0.2
1,0.5,0.1429,0.25,0.3333,1,1,1,1,0.2,0.3333,0.2,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,0.3333,1,1,1
1,1,0,0,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1
0.1667,1,1,1,1,0.5,0.5,0.5,1,1,1,0.0909,1,0.25,1,0.2,0.0303,0.3333,0.3333,1,1,0.5,1,1,1,1,0.2,0.5,0.5,1
0.0208,0.5,0,0,0.1429,1,1,1,0.02,0.5,0.1667,0.1429,0.02,1,1,0.1111,0.0714,0.0385,0.3333,0.25,0.2,1,1,0.0769,0.0667,0.0667,0.027,0.0152,0.0152,0.02
0.05,0.0047,0.1667,0.1667,0.0063,0.3333,0.5,1,0.05,0.1111,0.0625,0.5,0.25,0.0769,0.1,0.1667,0.2,0.2,0.125,0.1,0.125,1,1,0.0417,0.0417,0.0417,0.25,0.1667,0.1667,0.0769
0.0156,0.025,0.0769,1,0,0.0333,0.0312,0.0286,0.0385,0.0417,0.0909,0.005,0.0385,0,0,0.0625,0.0175,0.1429,0.007,0.0526,0.3333,0.3333,0.3333,0,0,0,0.0189,0.0021,0.0021,0.1
1,0.3333,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.25,1,1,0.5,1,0.5,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1
0.0556,0.3333,0,0,0.0556,0.25,0.2,0.2,0.3333,1,1,0.1,0.3333,1,1,1,1,1,0.2,1,0.3333,0.0625,0.125,1,1,1,0.25,0.1111,0.1111,1
0.1667,0.1,1,1,0.0294,0.5,0.5,0.5,0.1667,0.25,0.1111,0.1667,0.5,0.1111,0.125,0.5,1,0.5,0.1667,1,0.5,0.1429,0.1,1,0.0714,0.0714,0.125,0.125,0.125,0.0625
0.3333,0.3333,0,0,0.25,1,1,1,0.5,0.1429,0.0714,0.0909,1,0.5,0.5,0.25,0.3333,0.3333,0.5,1,0.5,0.25,0.5,0.0455,0.0357,0.0357,0.2,0.3333,0.3333,0.1
1,0.5,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,0.5,1,1,1,0.3333,0.3333,0.5
1,0.125,0.5,0.2,0.5,0.3333,0.2,0.2,0.1111,0.1111,0.3333,0.1429,0.0769,0.125,0.3333,0.3333,0.3333,0.5,0.125,0.0833,0.0833,0.3333,0.5,1,1,1,0.5,0.3333,0.3333,0.25
0.001,0.0092,0,0,0.0164,0.0111,0.0112,0.0104,0.0029,0.004,0.0093,0.0062,0.0029,0.0588,0.0909,0.0333,0.0588,0.0333,0.0625,1,0.0526,0.006,0.0051,0,0,0,0.0476,0.1111,0.1111,0.0029
1,0.5,0.1667,0.02,0.5,0.0625,0.0769,0.0909,1,0.5,0.5,1,0.3333,0.5,0.3333,1,1,1,1,0.5,0.5,0.5,0.5,0.3333,0.2,0.2,1,1,1,1
1,0.5,0.5,1,0.5,0.3333,0.5,1,0.0909,1,0.125,0.2,0.5,0.2,0.2,1,1,1,1,0.3333,0.5,1,0.5,1,1,1,0.0667,0.0011,0.0011,0.25
1,0.1667,0.1,0.125,1,0.3333,0.3333,0.3333,1,0.3333,0.1429,0.5,1,1,1,0.5,1,1,0.25,1,1,0.3333,0.5,1,1,1,0.5,0.5,0.5,0.1667
1,1,0.5,0.5,1,1,1,1,1,1,1,0.2,1,0.3333,0.3333,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0.2,1,0.2,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1
1,0.5,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1
1,1,0.25,0.25,0.5,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.3333,1,1,0.5,0.3333,0.3333,1,0.5,0.5,0.5,0.5,0.5,0.3333,0.3333,0.5,1,0.5,0.5,0.3333,0.5,0.1667,0.1667,1,1,1,0.25,1,1,0.5
1,1,0,0,1,1,1,1,1,1,1,0.5,1,0.3333,0.3333,1,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,1,0.5
0.5,1,0.5,0.3333,1,1,1,0.5,1,1,1,1,1,0.3333,0.3333,0.5,0.3333,0.5,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1
0.25,0.04,0.0417,0.0588,0.0333,0.5,0.5,1,0.0217,0.0435,0.0476,0.1429,0.0217,0.0043,0.0018,0.3333,0.5,0.25,1,0.25,1,0.5,0.25,0.05,0.25,0.25,0.3333,0.2,0.2,0.0217
0.5,0.1429,0,0,0.1429,0.5,0.5,0.5,1,0.1667,1,0.0526,1,0.1111,0.1111,1,0.5,1,1,1,1,0.3333,0.3333,0.25,0.2,0.2,0.5,1,1,1
0,0.0769,0.1429,0.1667,0.0028,0.3333,0.3333,0.3333,0.04,0.0526,0.0714,0.0033,0.0667,0.1429,0.1667,0.1,0.5,0.5,1,0.3333,0.1111,0.0714,0.0588,0.0222,0.0345,0.0345,0.0909,0.0769,0.0769,0.1
1,0.25,0.25,0.1667,0.3333,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
1,1,0.5,0.5,0.1667,1,1,1,1,0.2,1,0.2,1,0.1111,0.1667,1,1,1,0.5,1,0.5,0.125,0.125,1,1,1,1,0.5,0.5,1
0.3333,1,1,1,0.5,1,1,1,0.25,1,1,0.5,0.3333,0.5,0.5,1,1,1,1,1,0.25,1,0.5,0.5,1,1,0.5,0.5,0.5,1
0.25,1,0,0,1,1,1,1,1,0.3333,1,1,1,1,1,0.5,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,0.25
0.5,0.3333,0.3333,0.3333,0.3333,1,1,1,0.5,0.3333,0.5,0.25,0.5,1,1,1,1,1,1,1,0.25,1,1,1,0.5,0.5,0.3333,0.5,0.5,0.5
1,0.25,1,1,0.3333,1,1,1,0.5,0.25,1,1,0.3333,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1
0.5,1,0.5,0.25,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.0385,0.0588,1,1,1,0.5,0.1111,1,1,0.25,1,1,1,0.2,1,1,1,0.25,1,0.5,0.5,1,1,1,0.5,0.2,0.2,1
0.1667,0.25,1,1,1,1,1,0.5,0.3333,0.1429,0.125,0.0667,0.25,0.0011,0.0012,0.1667,0.1,1,1,0.2,0.0526,0.5,1,0.3333,0.3333,0.3333,1,1,1,0.25
