"logLik","AIC","BIC"
"nks","beta","beta"
"nks","norm","norm"
"nks","beta","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","nks","nks"
"nks","nks","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","norm","norm"
"beta","beta","beta"
"nks","beta","beta"
"nks","nks","nks"
"nks","norm","norm"
"beta","beta","beta"
"nks","nks","beta"
"nks","beta","beta"
"beta","beta","beta"
"nks","nks","norm"
"nks","nks","nks"
"nks","beta","beta"
"nks","beta","beta"
"beta","beta","beta"
"beta","beta","beta"
"nks","beta","beta"
"nks","norm","norm"
"nks","beta","beta"
"beta","beta","beta"
"nks","norm","norm"
"nks","norm","norm"
"nks","norm","norm"
"nks","beta","beta"
"nks","beta","beta"
"beta","beta","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","beta","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","nks","beta"
"nks","norm","norm"
"nks","nks","nks"
"nks","norm","norm"
"nks","nks","beta"
"beta","beta","beta"
"nks","nks","nks"
"nks","nks","beta"
"nks","beta","beta"
"nks","norm","norm"
"nks","norm","norm"
"beta","beta","beta"
"beta","beta","beta"
"norm","norm","norm"
"nks","nks","nks"
"nks","nks","nks"
"nks","nks","nks"
"nks","beta","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","nks","norm"
"nks","norm","norm"
"nks","norm","norm"
"beta","beta","beta"
"nks","beta","beta"
"nks","norm","norm"
"nks","nks","nks"
"nks","nks","nks"
"nks","nks","beta"
"norm","norm","norm"
"nks","norm","norm"
"nks","nks","beta"
"norm","norm","norm"
"nks","nks","beta"
"nks","beta","beta"
"nks","beta","beta"
"nks","nks","beta"
"nks","beta","beta"
"nks","nks","beta"
"beta","beta","beta"
"beta","beta","beta"
"nks","norm","norm"
"nks","nks","beta"
"nks","norm","norm"
"nks","norm","norm"
"beta","beta","beta"
"nks","norm","norm"
"nks","beta","beta"
"norm","norm","norm"
