"logLik","AIC","BIC"
"nks","nks","nks"
"nks","nks","nks"
"nks","nks","nks"
"nks","nks","norm"
"nks","norm","norm"
"nks","beta","beta"
"nks","nks","beta"
"nks","nks","beta"
"nks","nks","beta"
"nks","nks","beta"
"nks","norm","norm"
"nks","nks","bks"
"nks","nks","bks"
"nks","norm","norm"
"nks","nks","bks"
"nks","nks","bks"
"nks","norm","norm"
"norm","norm","norm"
"nks","bks","bks"
"nks","nks","nks"
"nks","nks","bks"
"nks","beta","beta"
"nks","bks","beta"
"nks","bks","bks"
"beta","beta","beta"
"beta","beta","beta"
"beta","beta","beta"
"norm","norm","norm"
"nks","nks","beta"
"nks","nks","beta"
"nks","norm","norm"
"nks","beta","beta"
"nks","beta","beta"
"nks","beta","beta"
"nks","beta","beta"
"nks","nks","bks"
"nks","beta","beta"
"nks","norm","norm"
"norm","norm","norm"
"nks","beta","beta"
"nks","beta","beta"
"beta","beta","beta"
"nks","nks","bks"
"nks","norm","norm"
"nks","bks","bks"
"beta","beta","beta"
"beta","beta","beta"
"nks","beta","beta"
