"logLik","AIC","BIC"
"nks","nks","norm"
"norm","norm","norm"
"nks","nks","beta"
"nks","nks","nks"
"nks","beta","beta"
"beta","beta","beta"
"nks","norm","norm"
"nks","norm","norm"
"nks","norm","norm"
"norm","norm","norm"
"nks","nks","beta"
"nks","beta","beta"
"norm","norm","norm"
"norm","norm","norm"
"nks","nks","norm"
"norm","norm","norm"
"beta","beta","beta"
"nks","nks","norm"
"beta","beta","beta"
"nks","nks","norm"
"nks","nks","norm"
"nks","nks","nks"
"beta","beta","beta"
"beta","beta","beta"
"norm","norm","norm"
"norm","norm","norm"
"nks","norm","norm"
"norm","norm","norm"
"nks","beta","beta"
"nks","beta","beta"
"nks","beta","beta"
"norm","norm","norm"
"norm","norm","norm"
"nks","nks","beta"
