"logLik","AIC","BIC"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(2))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(2))","t(dks(10))"
"t(dks(1))","t(dks(2))","t(dks(10))"
"t(dks(2))","t(dks(2))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(5))","t(dks(10))"
"t(dks(5))","t(dks(5))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(2))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(2))","t(dks(2))","t(dks(5))"
"t(dks(5))","t(dks(5))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(2))","t(dks(2))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(5))"
"t(dks(1))","t(dks(1))","t(dks(2))"
"t(dks(1))","t(dks(1))","t(dks(2))"
