"logLik","AIC","BIC"
"t(bks)","t(bks)","t(bks)"
"t(beta)","t(beta)","t(beta)"
"t(nks)","t(nks)","t(nks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(nks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(beta)","t(beta)","t(beta)"
"t(nks)","t(nks)","t(nks)"
"t(nks)","t(nks)","t(nks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(beta)","t(beta)","t(beta)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(norm)","t(norm)","t(norm)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
