"logLik","AIC","BIC"
"t(nks)","t(nks)","t(norm)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(norm)","t(norm)","t(norm)"
"t(norm)","t(norm)","t(norm)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(nks)","t(nks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(norm)","t(bks)"
"t(norm)","t(norm)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(nks)","t(norm)"
"t(beta)","t(beta)","t(beta)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(norm)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(norm)","t(norm)"
"t(norm)","t(norm)","t(bks)"
