"logLik","AIC","BIC"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(nks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(bks)","t(bks)","t(norm)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(norm)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(nks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(nks)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(norm)","t(norm)"
"t(nks)","t(nks)","t(norm)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(nks)","t(bks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(nks)","t(nks)","t(bks)"
"t(bks)","t(bks)","t(bks)"
