"logLik","AIC","BIC"
"t(bbinom)","t(bbinom)","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(5))","t(dks(5))"
"t(dks(1))","t(dks(2))","t(dks(10))"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(bbinom)","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(bbinom)","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(bbinom)"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(dks(1))","t(dks(1))"
"t(dks(1))","t(bbinom)","t(bbinom)"
