"si","sj","logLik","AIC","BIC"
"sys1","sys2",10,6,6
"sys1","sys3",6,6,6
"sys1","sys4",114,114,114
"sys1","sys5",20,16,0
"sys1","sys6",20,0,0
"sys1","sys7",114,16,16
"sys1","sys8",114,16,16
"sys1","sys9",2,5,5
"sys1","sys10",17,5,5
"sys1","sys11",104,6,6
"sys1","sys12",20,0,0
"sys1","sys13",114,0,0
"sys1","sys14",134,134,0
"sys1","sys15",20,5,0
"sys1","sys16",2,2,16
"sys1","sys17",114,114,114
"sys1","sys18",19,16,16
"sys1","sys19",20,5,0
"sys1","sys20",20,16,16
"sys1","sys21",2,0,0
"sys1","sys22",20,16,16
"sys1","sys23",20,16,16
"sys1","sys24",16,16,0
"sys1","sys25",134,0,0
"sys1","sys26",20,16,16
"sys1","sys27",20,16,16
"sys1","sys28",20,20,0
"sys1","sys29",114,114,16
"sys1","sys30",2,5,0
"sys1","sys33",5,5,5
"sys1","sys34",10,5,5
"sys1","sys35",114,5,5
"sys1","sys36",204,204,5
"sys1","sys37",20,5,5
"sys1","sys38",20,16,16
"sys1","sys39",20,16,16
"sys1","sys40",2,2,14
"sys1","sys41",2,5,5
"sys1","sys42",2,16,16
"sys1","sys43",20,16,16
"sys1","sys44",214,16,0
"sys1","sys45",20,0,0
"sys1","sys46",20,16,16
"sys1","sys47",2,16,16
"sys1","sys48",20,16,16
"sys2","sys3",10,6,6
"sys2","sys4",3,3,0
"sys2","sys5",134,0,0
"sys2","sys6",40,0,0
"sys2","sys7",20,3,0
"sys2","sys8",114,114,114
"sys2","sys9",19,14,14
"sys2","sys10",2,6,6
"sys2","sys11",10,6,6
"sys2","sys12",134,134,0
"sys2","sys13",124,124,0
"sys2","sys14",224,224,224
"sys2","sys15",114,114,114
"sys2","sys16",114,3,0
"sys2","sys17",204,204,5
"sys2","sys18",214,3,0
"sys2","sys19",214,214,0
"sys2","sys20",114,114,0
"sys2","sys21",114,0,0
"sys2","sys22",20,3,3
"sys2","sys23",20,16,0
"sys2","sys24",20,16,0
"sys2","sys25",134,0,0
"sys2","sys26",204,204,0
"sys2","sys27",2,2,0
"sys2","sys28",114,114,0
"sys2","sys29",114,114,0
"sys2","sys30",204,4,4
"sys2","sys33",19,14,14
"sys2","sys34",2,2,14
"sys2","sys35",17,14,14
"sys2","sys36",2,2,5
"sys2","sys37",114,0,0
"sys2","sys38",20,3,3
"sys2","sys39",20,3,3
"sys2","sys40",20,5,0
"sys2","sys41",2,5,0
"sys2","sys42",2,0,0
"sys2","sys43",20,16,0
"sys2","sys44",20,16,0
"sys2","sys45",224,224,224
"sys2","sys46",114,114,0
"sys2","sys47",114,114,0
"sys2","sys48",204,0,0
"sys3","sys4",20,16,0
"sys3","sys5",20,0,0
"sys3","sys6",104,104,0
"sys3","sys7",20,5,0
"sys3","sys8",20,16,0
"sys3","sys9",2,4,4
"sys3","sys10",2,5,5
"sys3","sys11",104,104,4
"sys3","sys12",134,36,0
"sys3","sys13",20,16,0
"sys3","sys14",134,0,0
"sys3","sys15",20,16,16
"sys3","sys16",20,16,16
"sys3","sys17",2,2,16
"sys3","sys18",20,5,0
"sys3","sys19",2,16,16
"sys3","sys20",20,0,0
"sys3","sys21",134,134,0
"sys3","sys22",114,16,16
"sys3","sys23",3,3,0
"sys3","sys24",114,0,0
"sys3","sys25",134,0,0
"sys3","sys26",9,9,0
"sys3","sys27",20,3,0
"sys3","sys28",9,9,0
"sys3","sys29",20,14,0
"sys3","sys30",2,2,0
"sys3","sys33",5,5,5
"sys3","sys34",5,5,5
"sys3","sys35",5,5,5
"sys3","sys36",2,2,2
"sys3","sys37",20,3,3
"sys3","sys38",20,3,3
"sys3","sys39",114,3,3
"sys3","sys40",20,5,5
"sys3","sys41",20,5,5
"sys3","sys42",20,3,3
"sys3","sys43",20,16,0
"sys3","sys44",20,0,0
"sys3","sys45",134,0,0
"sys3","sys46",9,9,0
"sys3","sys47",9,0,0
"sys3","sys48",104,0,0
"sys4","sys5",114,114,3
"sys4","sys6",20,14,14
"sys4","sys7",2,2,2
"sys4","sys8",10,6,6
"sys4","sys9",204,204,204
"sys4","sys10",114,114,3
"sys4","sys11",114,3,3
"sys4","sys12",2,2,14
"sys4","sys13",2,5,5
"sys4","sys14",2,2,14
"sys4","sys15",9,6,6
"sys4","sys16",8,4,4
"sys4","sys17",9,4,4
"sys4","sys18",10,5,5
"sys4","sys19",20,5,5
"sys4","sys20",9,4,4
"sys4","sys21",2,4,4
"sys4","sys22",20,3,3
"sys4","sys23",2,0,0
"sys4","sys24",20,5,0
"sys4","sys25",2,2,2
"sys4","sys26",114,3,3
"sys4","sys27",214,214,0
"sys4","sys28",114,3,3
"sys4","sys29",8,4,4
"sys4","sys30",10,10,10
"sys4","sys33",114,114,0
"sys4","sys34",114,114,0
"sys4","sys35",20,5,5
"sys4","sys36",9,9,4
"sys4","sys37",204,204,204
"sys4","sys38",114,114,16
"sys4","sys39",20,16,16
"sys4","sys40",10,4,4
"sys4","sys41",7,14,14
"sys4","sys42",20,5,5
"sys4","sys43",20,5,0
"sys4","sys44",114,114,114
"sys4","sys45",2,2,2
"sys4","sys46",214,214,3
"sys4","sys47",3,3,0
"sys4","sys48",20,16,16
"sys5","sys6",2,2,4
"sys5","sys7",214,214,214
"sys5","sys8",104,104,5
"sys5","sys9",20,3,3
"sys5","sys10",20,3,3
"sys5","sys11",20,3,3
"sys5","sys12",104,104,104
"sys5","sys13",104,104,5
"sys5","sys14",104,104,4
"sys5","sys15",104,104,104
"sys5","sys16",20,3,3
"sys5","sys17",104,104,5
"sys5","sys18",5,5,5
"sys5","sys19",10,10,10
"sys5","sys20",214,214,214
"sys5","sys21",214,214,214
"sys5","sys22",104,104,5
"sys5","sys23",9,9,4
"sys5","sys24",17,4,4
"sys5","sys25",104,104,4
"sys5","sys26",3,3,3
"sys5","sys27",20,5,5
"sys5","sys28",18,14,14
"sys5","sys29",104,104,104
"sys5","sys30",214,14,14
"sys5","sys33",114,16,16
"sys5","sys34",20,16,16
"sys5","sys35",20,16,16
"sys5","sys36",3,3,3
"sys5","sys37",214,214,214
"sys5","sys38",104,104,5
"sys5","sys39",104,104,104
"sys5","sys40",20,20,5
"sys5","sys41",20,14,14
"sys5","sys42",20,3,3
"sys5","sys43",2,5,5
"sys5","sys44",7,4,4
"sys5","sys45",104,104,4
"sys5","sys46",20,5,5
"sys5","sys47",20,14,14
"sys5","sys48",20,16,16
"sys6","sys7",1,1,1
"sys6","sys8",104,104,104
"sys6","sys9",20,16,16
"sys6","sys10",20,3,3
"sys6","sys11",20,20,5
"sys6","sys12",104,104,104
"sys6","sys13",104,5,5
"sys6","sys14",104,104,4
"sys6","sys15",104,104,104
"sys6","sys16",104,5,5
"sys6","sys17",104,104,104
"sys6","sys18",2,14,14
"sys6","sys19",2,2,2
"sys6","sys20",104,104,104
"sys6","sys21",104,104,104
"sys6","sys22",104,104,104
"sys6","sys23",9,4,4
"sys6","sys24",104,4,4
"sys6","sys25",104,104,104
"sys6","sys26",3,3,3
"sys6","sys27",20,3,3
"sys6","sys28",20,14,14
"sys6","sys29",104,104,1
"sys6","sys30",214,214,214
"sys6","sys33",9,9,0
"sys6","sys34",114,114,114
"sys6","sys35",9,9,9
"sys6","sys36",104,104,5
"sys6","sys37",114,1,1
"sys6","sys38",104,104,104
"sys6","sys39",104,104,104
"sys6","sys40",20,16,16
"sys6","sys41",20,3,3
"sys6","sys42",20,5,5
"sys6","sys43",104,4,4
"sys6","sys44",104,4,4
"sys6","sys45",104,104,104
"sys6","sys46",7,3,3
"sys6","sys47",20,3,3
"sys6","sys48",20,3,3
"sys7","sys8",1,1,1
"sys7","sys9",7,7,4
"sys7","sys10",20,5,0
"sys7","sys11",3,3,3
"sys7","sys12",9,6,6
"sys7","sys13",9,6,6
"sys7","sys14",204,204,4
"sys7","sys15",114,114,114
"sys7","sys16",204,4,4
"sys7","sys17",204,4,4
"sys7","sys18",1,1,1
"sys7","sys19",5,5,5
"sys7","sys20",9,9,1
"sys7","sys21",7,4,4
"sys7","sys22",9,1,1
"sys7","sys23",204,204,4
"sys7","sys24",204,1,1
"sys7","sys25",204,204,4
"sys7","sys26",3,3,3
"sys7","sys27",3,3,3
"sys7","sys28",20,16,16
"sys7","sys29",5,5,5
"sys7","sys30",1,1,1
"sys7","sys33",10,0,0
"sys7","sys34",10,4,0
"sys7","sys35",20,5,5
"sys7","sys36",8,4,4
"sys7","sys37",204,204,204
"sys7","sys38",9,1,1
"sys7","sys39",204,204,4
"sys7","sys40",19,4,4
"sys7","sys41",19,4,4
"sys7","sys42",19,6,6
"sys7","sys43",204,204,4
"sys7","sys44",204,1,1
"sys7","sys45",204,204,204
"sys7","sys46",20,16,16
"sys7","sys47",3,3,3
"sys7","sys48",19,16,16
"sys8","sys9",114,14,14
"sys8","sys10",20,5,5
"sys8","sys11",20,5,0
"sys8","sys12",10,6,6
"sys8","sys13",10,6,6
"sys8","sys14",10,6,6
"sys8","sys15",19,4,4
"sys8","sys16",9,4,4
"sys8","sys17",9,4,4
"sys8","sys18",10,4,4
"sys8","sys19",5,5,5
"sys8","sys20",7,4,4
"sys8","sys21",2,2,4
"sys8","sys22",204,204,5
"sys8","sys23",204,204,4
"sys8","sys24",204,204,204
"sys8","sys25",204,204,204
"sys8","sys26",114,114,3
"sys8","sys27",20,20,20
"sys8","sys28",114,114,114
"sys8","sys29",2,2,2
"sys8","sys30",5,5,5
"sys8","sys33",20,5,0
"sys8","sys34",20,5,0
"sys8","sys35",20,5,5
"sys8","sys36",104,104,4
"sys8","sys37",2,4,4
"sys8","sys38",114,114,114
"sys8","sys39",114,114,114
"sys8","sys40",10,4,4
"sys8","sys41",10,4,4
"sys8","sys42",10,5,5
"sys8","sys43",204,204,204
"sys8","sys44",204,204,4
"sys8","sys45",204,204,204
"sys8","sys46",20,20,3
"sys8","sys47",20,20,3
"sys8","sys48",114,114,114
"sys9","sys10",20,20,20
"sys9","sys11",5,5,5
"sys9","sys12",104,0,0
"sys9","sys13",214,16,0
"sys9","sys14",2,2,16
"sys9","sys15",2,5,5
"sys9","sys16",19,16,16
"sys9","sys17",7,14,14
"sys9","sys18",3,3,3
"sys9","sys19",214,14,14
"sys9","sys20",214,14,14
"sys9","sys21",20,14,14
"sys9","sys22",3,3,3
"sys9","sys23",18,16,16
"sys9","sys24",20,16,16
"sys9","sys25",3,3,3
"sys9","sys26",20,16,16
"sys9","sys27",20,16,16
"sys9","sys28",20,3,3
"sys9","sys29",3,3,3
"sys9","sys30",104,104,5
"sys9","sys33",114,5,5
"sys9","sys34",20,5,5
"sys9","sys35",1,1,1
"sys9","sys36",214,214,14
"sys9","sys37",19,19,4
"sys9","sys38",3,3,3
"sys9","sys39",20,3,3
"sys9","sys40",10,4,4
"sys9","sys41",17,5,5
"sys9","sys42",104,104,1
"sys9","sys43",20,14,14
"sys9","sys44",20,14,14
"sys9","sys45",214,3,3
"sys9","sys46",20,3,3
"sys9","sys47",20,16,16
"sys9","sys48",20,16,16
"sys10","sys11",104,104,104
"sys10","sys12",214,3,3
"sys10","sys13",3,3,3
"sys10","sys14",20,3,3
"sys10","sys15",214,214,14
"sys10","sys16",1,1,1
"sys10","sys17",214,14,14
"sys10","sys18",20,3,3
"sys10","sys19",20,5,5
"sys10","sys20",5,5,5
"sys10","sys21",20,5,5
"sys10","sys22",20,3,3
"sys10","sys23",114,3,3
"sys10","sys24",20,3,3
"sys10","sys25",20,3,3
"sys10","sys26",114,14,14
"sys10","sys27",20,14,14
"sys10","sys28",114,3,3
"sys10","sys29",20,14,14
"sys10","sys30",214,5,5
"sys10","sys33",17,14,14
"sys10","sys34",7,7,1
"sys10","sys35",5,5,5
"sys10","sys36",20,14,14
"sys10","sys37",20,5,5
"sys10","sys38",20,3,3
"sys10","sys39",20,3,3
"sys10","sys40",3,3,3
"sys10","sys41",20,3,3
"sys10","sys42",214,214,3
"sys10","sys43",3,3,3
"sys10","sys44",20,3,3
"sys10","sys45",20,3,3
"sys10","sys46",20,3,3
"sys10","sys47",20,14,14
"sys10","sys48",114,114,3
"sys11","sys12",214,3,3
"sys11","sys13",20,3,3
"sys11","sys14",20,16,16
"sys11","sys15",20,14,14
"sys11","sys16",10,5,5
"sys11","sys17",2,14,14
"sys11","sys18",20,16,16
"sys11","sys19",214,214,5
"sys11","sys20",20,5,5
"sys11","sys21",20,5,5
"sys11","sys22",214,214,3
"sys11","sys23",20,3,3
"sys11","sys24",20,14,14
"sys11","sys25",20,16,16
"sys11","sys26",114,1,1
"sys11","sys27",214,14,14
"sys11","sys28",214,3,3
"sys11","sys29",20,5,5
"sys11","sys30",214,5,0
"sys11","sys33",2,2,14
"sys11","sys34",19,19,14
"sys11","sys35",2,2,5
"sys11","sys36",214,214,14
"sys11","sys37",20,16,16
"sys11","sys38",214,214,3
"sys11","sys39",214,214,3
"sys11","sys40",20,20,14
"sys11","sys41",20,14,14
"sys11","sys42",114,114,3
"sys11","sys43",20,5,5
"sys11","sys44",20,20,0
"sys11","sys45",20,3,3
"sys11","sys46",3,3,3
"sys11","sys47",19,3,3
"sys11","sys48",114,3,3
"sys12","sys13",6,6,6
"sys12","sys14",204,204,204
"sys12","sys15",104,6,6
"sys12","sys16",104,104,104
"sys12","sys17",2,2,4
"sys12","sys18",204,204,204
"sys12","sys19",204,204,204
"sys12","sys20",104,6,6
"sys12","sys21",8,13,13
"sys12","sys22",204,204,204
"sys12","sys23",204,204,204
"sys12","sys24",204,204,204
"sys12","sys25",204,204,6
"sys12","sys26",2,4,4
"sys12","sys27",1,1,1
"sys12","sys28",204,4,4
"sys12","sys29",2,4,4
"sys12","sys30",10,5,5
"sys12","sys33",114,114,114
"sys12","sys34",114,114,114
"sys12","sys35",114,5,0
"sys12","sys36",104,104,4
"sys12","sys37",10,6,6
"sys12","sys38",204,204,204
"sys12","sys39",204,204,204
"sys12","sys40",5,5,5
"sys12","sys41",5,5,5
"sys12","sys42",5,5,5
"sys12","sys43",204,204,204
"sys12","sys44",204,204,6
"sys12","sys45",204,204,204
"sys12","sys46",10,4,4
"sys12","sys47",1,1,1
"sys12","sys48",2,4,4
"sys13","sys14",204,204,204
