"si","sj","logLik","AIC","BIC"
"sys1","sys2",2,2,4
"sys1","sys3",5,5,5
"sys1","sys4",20,5,5
"sys1","sys5",20,5,5
"sys1","sys6",104,104,104
"sys1","sys7",20,5,5
"sys1","sys8",20,16,16
"sys1","sys9",214,214,214
"sys1","sys10",19,19,19
"sys1","sys11",20,5,5
"sys1","sys12",10,10,10
"sys1","sys13",214,214,16
"sys1","sys14",104,104,1
"sys1","sys15",19,1,1
"sys1","sys16",20,5,5
"sys1","sys17",20,14,14
"sys1","sys18",2,5,5
"sys1","sys19",104,104,4
"sys1","sys20",20,16,16
"sys1","sys21",9,4,4
"sys1","sys22",9,4,4
"sys1","sys23",18,14,14
"sys1","sys24",20,3,3
"sys1","sys25",9,9,9
"sys1","sys26",20,14,14
"sys1","sys27",204,204,204
"sys1","sys28",20,14,14
"sys1","sys29",20,5,5
"sys1","sys30",20,20,3
"sys1","sys31",20,3,3
"sys1","sys32",1,1,1
"sys1","sys33",10,10,4
"sys1","sys34",214,3,3
"sys2","sys3",114,114,16
"sys2","sys4",114,16,16
"sys2","sys5",204,13,13
"sys2","sys6",13,13,0
"sys2","sys7",10,4,4
"sys2","sys8",10,4,4
"sys2","sys9",9,3,3
"sys2","sys10",6,6,6
"sys2","sys11",9,4,4
"sys2","sys12",19,16,16
"sys2","sys13",204,204,204
"sys2","sys14",9,9,1
"sys2","sys15",204,204,1
"sys2","sys16",9,14,14
"sys2","sys17",2,2,14
"sys2","sys18",204,204,4
"sys2","sys19",9,4,4
"sys2","sys20",2,2,2
"sys2","sys21",114,5,5
"sys2","sys22",2,2,5
"sys2","sys23",114,114,114
"sys2","sys24",114,114,114
"sys2","sys25",114,114,14
"sys2","sys26",5,5,5
"sys2","sys27",5,5,5
"sys2","sys28",114,14,14
"sys2","sys29",20,3,3
"sys2","sys30",9,3,3
"sys2","sys31",3,3,3
"sys2","sys32",19,14,14
"sys2","sys33",9,9,14
"sys2","sys34",214,5,5
"sys3","sys4",204,204,204
"sys3","sys5",5,5,5
"sys3","sys6",104,104,0
"sys3","sys7",104,4,4
"sys3","sys8",10,10,4
"sys3","sys9",104,104,104
"sys3","sys10",214,1,1
"sys3","sys11",10,10,4
"sys3","sys12",10,4,4
"sys3","sys13",2,2,4
"sys3","sys14",204,204,1
"sys3","sys15",114,3,3
"sys3","sys16",20,5,5
"sys3","sys17",2,14,14
"sys3","sys18",104,4,4
"sys3","sys19",1,1,1
"sys3","sys20",5,5,5
"sys3","sys21",10,5,5
"sys3","sys22",10,5,5
"sys3","sys23",5,5,5
"sys3","sys24",2,2,4
"sys3","sys25",20,5,5
"sys3","sys26",10,4,4
"sys3","sys27",5,5,5
"sys3","sys28",10,10,4
"sys3","sys29",2,4,4
"sys3","sys30",2,2,14
"sys3","sys31",2,2,5
"sys3","sys32",104,104,104
"sys3","sys33",214,214,214
"sys3","sys34",20,16,16
"sys4","sys5",5,5,5
"sys4","sys6",104,104,0
"sys4","sys7",104,104,5
"sys4","sys8",9,9,9
"sys4","sys9",104,104,104
"sys4","sys10",214,14,0
"sys4","sys11",214,14,14
"sys4","sys12",104,5,5
"sys4","sys13",2,2,2
"sys4","sys14",2,2,14
"sys4","sys15",20,16,16
"sys4","sys16",214,214,5
"sys4","sys17",214,214,214
"sys4","sys18",9,14,14
"sys4","sys19",214,5,5
"sys4","sys20",2,14,14
"sys4","sys21",3,3,3
"sys4","sys22",104,4,4
"sys4","sys23",104,104,5
"sys4","sys24",20,5,5
"sys4","sys25",2,5,5
"sys4","sys26",20,14,14
"sys4","sys27",2,2,2
"sys4","sys28",20,5,5
"sys4","sys29",104,104,104
"sys4","sys30",20,5,5
"sys4","sys31",104,104,104
"sys4","sys32",104,104,104
"sys4","sys33",104,104,104
"sys4","sys34",20,16,16
"sys5","sys6",19,1,0
"sys5","sys7",10,5,5
"sys5","sys8",114,5,5
"sys5","sys9",10,13,13
"sys5","sys10",19,1,1
"sys5","sys11",5,5,5
"sys5","sys12",10,10,4
"sys5","sys13",1,1,1
"sys5","sys14",20,3,3
"sys5","sys15",3,3,3
"sys5","sys16",10,10,10
"sys5","sys17",5,5,5
"sys5","sys18",104,104,1
"sys5","sys19",104,104,104
"sys5","sys20",3,3,3
"sys5","sys21",10,4,4
"sys5","sys22",10,6,6
"sys5","sys23",10,10,4
"sys5","sys24",10,10,4
"sys5","sys25",2,4,4
"sys5","sys26",204,4,4
"sys5","sys27",2,4,4
"sys5","sys28",2,4,4
"sys5","sys29",2,5,5
"sys5","sys30",2,5,5
"sys5","sys31",7,14,14
"sys5","sys32",10,10,4
"sys5","sys33",104,5,5
"sys5","sys34",104,104,104
"sys6","sys7",30,0,0
"sys6","sys8",2,0,0
"sys6","sys9",124,0,0
"sys6","sys10",30,0,0
"sys6","sys11",204,13,0
"sys6","sys12",2,2,0
"sys6","sys13",10,6,0
"sys6","sys14",204,13,0
"sys6","sys15",204,13,13
"sys6","sys16",204,204,204
"sys6","sys17",104,104,104
"sys6","sys18",10,6,0
"sys6","sys19",19,0,0
"sys6","sys20",204,0,0
"sys6","sys21",30,0,0
"sys6","sys22",5,0,0
"sys6","sys23",10,6,6
"sys6","sys24",204,13,13
"sys6","sys25",5,0,0
"sys6","sys26",204,204,0
"sys6","sys27",204,204,0
"sys6","sys28",204,204,204
"sys6","sys29",19,1,0
"sys6","sys30",104,6,0
"sys6","sys31",10,1,1
"sys6","sys32",10,0,0
"sys6","sys33",124,0,0
"sys6","sys34",1,0,0
"sys7","sys8",204,204,204
"sys7","sys9",104,104,104
"sys7","sys10",10,1,1
"sys7","sys11",5,5,5
"sys7","sys12",5,5,5
"sys7","sys13",10,10,13
"sys7","sys14",10,5,5
"sys7","sys15",5,5,5
"sys7","sys16",9,9,1
"sys7","sys17",9,4,4
"sys7","sys18",214,214,214
"sys7","sys19",5,5,5
"sys7","sys20",114,16,0
"sys7","sys21",104,4,4
"sys7","sys22",10,4,4
"sys7","sys23",2,2,2
"sys7","sys24",9,4,4
"sys7","sys25",2,5,5
"sys7","sys26",19,4,4
"sys7","sys27",20,5,5
"sys7","sys28",9,14,14
"sys7","sys29",2,4,4
"sys7","sys30",9,1,1
"sys7","sys31",204,4,4
"sys7","sys32",4,4,4
"sys7","sys33",10,4,4
"sys7","sys34",20,5,5
"sys8","sys9",104,104,104
"sys8","sys10",7,4,4
"sys8","sys11",1,1,1
"sys8","sys12",20,5,5
"sys8","sys13",10,10,4
"sys8","sys14",114,1,1
"sys8","sys15",1,1,1
"sys8","sys16",20,5,5
"sys8","sys17",7,5,5
"sys8","sys18",214,214,214
"sys8","sys19",7,4,4
"sys8","sys20",214,16,16
"sys8","sys21",104,104,4
"sys8","sys22",20,5,5
"sys8","sys23",18,3,3
"sys8","sys24",20,5,5
"sys8","sys25",10,10,4
"sys8","sys26",214,214,5
"sys8","sys27",3,3,3
"sys8","sys28",214,3,3
"sys8","sys29",5,5,5
"sys8","sys30",5,5,5
"sys8","sys31",5,5,5
"sys8","sys32",1,1,1
"sys8","sys33",5,5,5
"sys8","sys34",9,3,3
"sys9","sys10",19,16,16
"sys9","sys11",204,4,4
"sys9","sys12",5,5,5
"sys9","sys13",114,114,1
"sys9","sys14",20,5,5
"sys9","sys15",114,3,3
"sys9","sys16",2,2,14
"sys9","sys17",204,204,204
"sys9","sys18",204,204,4
"sys9","sys19",1,1,1
"sys9","sys20",2,0,0
"sys9","sys21",104,104,4
"sys9","sys22",2,5,5
"sys9","sys23",204,204,204
"sys9","sys24",9,9,9
"sys9","sys25",19,14,14
"sys9","sys26",19,13,13
"sys9","sys27",5,5,5
"sys9","sys28",2,2,6
"sys9","sys29",19,6,6
"sys9","sys30",10,4,4
"sys9","sys31",13,13,13
"sys9","sys32",204,204,4
"sys9","sys33",204,204,204
"sys9","sys34",3,3,3
"sys10","sys11",9,9,4
"sys10","sys12",19,16,16
"sys10","sys13",204,204,204
"sys10","sys14",9,9,4
"sys10","sys15",204,1,1
"sys10","sys16",204,204,4
"sys10","sys17",2,4,4
"sys10","sys18",204,4,4
"sys10","sys19",9,4,4
"sys10","sys20",204,204,204
"sys10","sys21",5,5,5
"sys10","sys22",5,5,5
"sys10","sys23",114,16,16
"sys10","sys24",114,114,114
"sys10","sys25",20,14,14
"sys10","sys26",20,5,5
"sys10","sys27",20,5,5
"sys10","sys28",20,14,14
"sys10","sys29",3,3,3
"sys10","sys30",5,5,0
"sys10","sys31",20,3,3
"sys10","sys32",114,114,114
"sys10","sys33",114,114,114
"sys10","sys34",214,214,5
"sys11","sys12",5,5,5
"sys11","sys13",20,3,3
"sys11","sys14",20,5,5
"sys11","sys15",9,3,3
"sys11","sys16",20,16,16
"sys11","sys17",5,5,5
"sys11","sys18",214,14,14
"sys11","sys19",2,4,4
"sys11","sys20",114,16,16
"sys11","sys21",19,16,16
"sys11","sys22",20,16,16
"sys11","sys23",20,16,16
"sys11","sys24",214,16,16
"sys11","sys25",20,3,3
"sys11","sys26",20,5,5
"sys11","sys27",20,5,5
"sys11","sys28",214,3,3
"sys11","sys29",214,214,214
"sys11","sys30",20,14,14
"sys11","sys31",20,3,3
"sys11","sys32",5,5,5
"sys11","sys33",2,5,5
"sys11","sys34",104,104,104
"sys12","sys13",20,5,5
"sys12","sys14",10,10,4
"sys12","sys15",7,7,4
"sys12","sys16",20,5,5
"sys12","sys17",204,5,5
"sys12","sys18",9,4,4
"sys12","sys19",104,4,4
"sys12","sys20",204,204,204
"sys12","sys21",204,4,4
"sys12","sys22",204,204,1
"sys12","sys23",214,16,16
"sys12","sys24",20,3,3
"sys12","sys25",20,16,16
"sys12","sys26",204,204,5
"sys12","sys27",10,10,4
"sys12","sys28",20,5,5
"sys12","sys29",20,5,5
"sys12","sys30",5,5,5
"sys12","sys31",10,10,10
"sys12","sys32",2,2,5
"sys12","sys33",5,5,5
"sys12","sys34",20,1,1
"sys13","sys14",20,5,5
"sys13","sys15",114,16,16
"sys13","sys16",214,14,14
"sys13","sys17",214,14,14
"sys13","sys18",2,2,14
"sys13","sys19",214,214,214
"sys13","sys20",7,7,1
"sys13","sys21",9,9,9
"sys13","sys22",7,7,1
"sys13","sys23",18,14,14
"sys13","sys24",104,1,1
"sys13","sys25",104,104,104
"sys13","sys26",2,14,14
