"si","sj","logLik","AIC","BIC"
"sys1","sys2",9,16,16
"sys1","sys3",2,2,2
"sys1","sys4",114,114,0
"sys1","sys5",9,3,3
"sys1","sys6",9,16,16
"sys1","sys7",20,16,16
"sys1","sys8",9,16,16
"sys1","sys9",9,14,14
"sys1","sys10",20,16,16
"sys1","sys11",214,214,16
"sys1","sys12",19,16,16
"sys1","sys13",9,3,3
"sys1","sys14",2,14,14
"sys1","sys15",114,3,3
"sys1","sys16",9,16,16
"sys1","sys17",9,3,3
"sys1","sys18",9,16,16
"sys1","sys19",19,16,16
"sys1","sys20",19,16,16
"sys1","sys21",20,16,16
"sys1","sys22",20,20,0
"sys1","sys23",20,16,16
"sys1","sys24",9,3,3
"sys1","sys25",9,16,16
"sys1","sys27",214,14,14
"sys1","sys28",214,214,14
"sys1","sys30",9,14,14
"sys2","sys3",134,134,34
"sys2","sys4",134,134,134
"sys2","sys5",104,104,4
"sys2","sys6",9,1,1
"sys2","sys7",20,3,3
"sys2","sys8",9,4,4
"sys2","sys9",9,9,1
"sys2","sys10",5,5,5
"sys2","sys11",104,104,104
"sys2","sys12",17,14,14
"sys2","sys13",9,9,1
"sys2","sys14",114,114,114
"sys2","sys15",114,114,114
"sys2","sys16",7,14,14
"sys2","sys17",2,2,4
"sys2","sys18",7,14,14
"sys2","sys19",2,1,1
"sys2","sys20",104,104,104
"sys2","sys21",7,1,1
"sys2","sys22",20,14,14
"sys2","sys23",20,14,14
"sys2","sys24",1,1,1
"sys2","sys25",1,1,1
"sys2","sys27",104,104,104
"sys2","sys28",104,1,1
"sys2","sys30",104,104,104
"sys3","sys4",10,10,10
"sys3","sys5",29,24,24
"sys3","sys6",39,1,1
"sys3","sys7",39,34,34
"sys3","sys8",224,224,224
"sys3","sys9",224,224,0
"sys3","sys10",39,1,1
"sys3","sys11",1,1,1
"sys3","sys12",234,23,23
"sys3","sys13",224,224,0
"sys3","sys14",224,1,0
"sys3","sys15",124,124,0
"sys3","sys16",39,34,34
"sys3","sys17",224,224,0
"sys3","sys18",39,1,1
"sys3","sys19",29,26,26
"sys3","sys20",39,24,24
"sys3","sys21",29,24,24
"sys3","sys22",124,124,1
"sys3","sys23",134,34,0
"sys3","sys24",134,1,1
"sys3","sys25",134,134,134
"sys3","sys27",39,36,0
"sys3","sys28",134,34,0
"sys3","sys30",224,224,0
"sys4","sys5",39,39,1
"sys4","sys6",224,224,224
"sys4","sys7",134,134,0
"sys4","sys8",224,224,33
"sys4","sys9",224,224,224
"sys4","sys10",224,224,224
"sys4","sys11",2,24,24
"sys4","sys12",29,1,1
"sys4","sys13",224,224,0
"sys4","sys14",40,36,36
"sys4","sys15",23,23,0
"sys4","sys16",134,34,34
"sys4","sys17",224,224,0
"sys4","sys18",134,34,34
"sys4","sys19",134,34,34
"sys4","sys20",224,224,0
"sys4","sys21",124,124,0
"sys4","sys22",134,134,0
"sys4","sys23",134,134,0
"sys4","sys24",134,134,134
"sys4","sys25",134,134,34
"sys4","sys27",40,36,0
"sys4","sys28",39,36,0
"sys4","sys30",224,224,0
"sys5","sys6",9,14,14
"sys5","sys7",3,3,3
"sys5","sys8",9,9,1
"sys5","sys9",1,1,1
"sys5","sys10",9,4,4
"sys5","sys11",2,2,4
"sys5","sys12",17,14,14
"sys5","sys13",1,1,1
"sys5","sys14",20,3,3
"sys5","sys15",20,5,5
"sys5","sys16",20,16,16
"sys5","sys17",18,16,16
"sys5","sys18",9,3,3
"sys5","sys19",19,19,19
"sys5","sys20",7,4,4
"sys5","sys21",104,104,4
"sys5","sys22",7,14,14
"sys5","sys23",17,14,14
"sys5","sys24",204,204,204
"sys5","sys25",204,204,204
"sys5","sys27",9,1,1
"sys5","sys28",214,214,1
"sys5","sys30",1,1,1
"sys6","sys7",18,3,3
"sys6","sys8",14,14,14
"sys6","sys9",7,7,1
"sys6","sys10",9,14,14
"sys6","sys11",9,9,1
"sys6","sys12",9,14,14
"sys6","sys13",2,2,4
"sys6","sys14",20,20,3
"sys6","sys15",20,20,3
"sys6","sys16",17,4,4
"sys6","sys17",19,19,4
"sys6","sys18",17,17,4
"sys6","sys19",17,14,14
"sys6","sys20",2,2,14
"sys6","sys21",5,5,5
"sys6","sys22",214,16,16
"sys6","sys23",214,16,16
"sys6","sys24",9,9,9
"sys6","sys25",9,9,4
"sys6","sys27",104,104,104
"sys6","sys28",2,1,1
"sys6","sys30",9,9,1
"sys7","sys8",18,3,3
"sys7","sys9",20,3,3
"sys7","sys10",3,3,3
"sys7","sys11",9,3,3
"sys7","sys12",20,3,3
"sys7","sys13",20,20,3
"sys7","sys14",20,5,5
"sys7","sys15",20,5,5
"sys7","sys16",2,2,1
"sys7","sys17",214,214,14
"sys7","sys18",104,104,104
"sys7","sys19",20,14,14
"sys7","sys20",20,14,14
"sys7","sys21",20,5,5
"sys7","sys22",214,3,3
"sys7","sys23",214,16,16
"sys7","sys24",19,16,16
"sys7","sys25",19,16,16
"sys7","sys27",214,214,214
"sys7","sys28",20,20,14
"sys7","sys30",214,214,3
"sys8","sys9",7,1,1
"sys8","sys10",9,9,9
"sys8","sys11",9,9,1
"sys8","sys12",9,14,14
"sys8","sys13",7,4,4
"sys8","sys14",20,3,3
"sys8","sys15",20,20,3
"sys8","sys16",19,19,4
"sys8","sys17",19,19,4
"sys8","sys18",19,19,4
"sys8","sys19",2,14,14
"sys8","sys20",2,2,2
"sys8","sys21",1,1,1
"sys8","sys22",214,16,16
"sys8","sys23",214,16,16
"sys8","sys24",2,2,2
"sys8","sys25",2,2,2
"sys8","sys27",104,104,104
"sys8","sys28",1,1,1
"sys8","sys30",9,9,1
"sys9","sys10",9,9,1
"sys9","sys11",9,9,1
"sys9","sys12",1,1,1
"sys9","sys13",2,2,14
"sys9","sys14",114,114,114
"sys9","sys15",114,114,114
"sys9","sys16",5,5,5
"sys9","sys17",5,5,5
"sys9","sys18",5,5,5
"sys9","sys19",7,7,5
"sys9","sys20",204,204,204
"sys9","sys21",2,2,2
"sys9","sys22",3,3,3
"sys9","sys23",20,3,3
"sys9","sys24",9,9,14
"sys9","sys25",9,1,1
"sys9","sys27",7,1,1
"sys9","sys28",7,1,1
"sys9","sys30",214,214,214
"sys10","sys11",214,214,214
"sys10","sys12",17,14,14
"sys10","sys13",9,9,14
"sys10","sys14",20,3,3
"sys10","sys15",3,3,3
"sys10","sys16",7,1,1
"sys10","sys17",7,4,4
"sys10","sys18",7,1,1
"sys10","sys19",1,1,1
"sys10","sys20",2,2,4
"sys10","sys21",9,9,4
"sys10","sys22",18,16,16
"sys10","sys23",18,3,3
"sys10","sys24",19,1,1
"sys10","sys25",17,4,4
"sys10","sys27",104,1,1
"sys10","sys28",1,1,1
"sys10","sys30",9,1,1
"sys11","sys12",17,17,1
"sys11","sys13",9,1,1
"sys11","sys14",3,3,3
"sys11","sys15",3,3,3
"sys11","sys16",204,204,204
"sys11","sys17",204,204,204
"sys11","sys18",204,204,204
"sys11","sys19",1,1,1
"sys11","sys20",9,9,9
"sys11","sys21",9,9,14
"sys11","sys22",3,3,3
"sys11","sys23",3,3,3
"sys11","sys24",9,1,1
"sys11","sys25",204,204,1
"sys11","sys27",9,9,4
"sys11","sys28",19,1,1
"sys11","sys30",9,9,1
"sys12","sys13",1,1,1
"sys12","sys14",114,3,3
"sys12","sys15",114,114,114
"sys12","sys16",7,14,14
