"si","sj","logLik","AIC","BIC"
"sys1","sys2",20,16,16
"sys1","sys3",104,104,0
"sys1","sys4",224,224,224
"sys1","sys5",20,16,16
"sys1","sys6",20,16,16
"sys1","sys7",20,16,16
"sys1","sys8",19,16,16
"sys1","sys9",3,3,3
"sys1","sys10",20,16,16
"sys1","sys11",20,16,16
"sys1","sys12",20,16,16
"sys1","sys13",3,3,3
"sys1","sys14",20,3,3
"sys1","sys15",3,3,3
"sys1","sys16",3,3,3
"sys1","sys17",20,16,16
"sys1","sys18",20,16,16
"sys1","sys19",20,16,16
"sys1","sys20",19,16,16
"sys1","sys21",9,3,3
"sys1","sys22",2,16,16
"sys1","sys23",20,16,16
"sys1","sys24",3,3,3
"sys1","sys25",20,16,16
"sys1","sys27",20,3,3
"sys1","sys28",20,16,16
"sys1","sys30",3,3,3
"sys2","sys3",134,134,134
"sys2","sys4",134,134,134
"sys2","sys5",7,3,3
"sys2","sys6",9,16,16
"sys2","sys7",20,16,16
"sys2","sys8",19,16,16
"sys2","sys9",20,16,16
"sys2","sys10",19,16,16
"sys2","sys11",3,3,3
"sys2","sys12",114,3,3
"sys2","sys13",20,16,16
"sys2","sys14",9,9,14
"sys2","sys15",9,3,3
"sys2","sys16",20,16,16
"sys2","sys17",18,16,16
"sys2","sys18",19,19,19
"sys2","sys19",20,16,16
"sys2","sys20",19,14,14
"sys2","sys21",19,3,3
"sys2","sys22",20,16,16
"sys2","sys23",114,16,16
"sys2","sys24",9,3,3
"sys2","sys25",20,3,3
"sys2","sys27",3,3,3
"sys2","sys28",9,3,3
"sys2","sys30",20,16,16
"sys3","sys4",5,5,5
"sys3","sys5",204,204,0
"sys3","sys6",114,0,0
"sys3","sys7",104,104,0
"sys3","sys8",104,104,0
"sys3","sys9",204,0,0
"sys3","sys10",104,0,0
"sys3","sys11",234,234,0
"sys3","sys12",104,104,0
"sys3","sys13",204,0,0
"sys3","sys14",134,134,0
"sys3","sys15",2,0,0
"sys3","sys16",104,104,0
"sys3","sys17",6,0,0
"sys3","sys18",214,0,0
"sys3","sys19",10,6,6
"sys3","sys20",30,26,26
"sys3","sys21",224,224,0
"sys3","sys22",114,0,0
"sys3","sys23",114,0,0
"sys3","sys24",104,104,0
"sys3","sys25",10,13,0
"sys3","sys27",114,0,0
"sys3","sys28",114,0,0
"sys3","sys30",204,0,0
"sys4","sys5",204,204,0
"sys4","sys6",20,0,0
"sys4","sys7",214,0,0
"sys4","sys8",204,204,0
"sys4","sys9",204,0,0
"sys4","sys10",224,0,0
"sys4","sys11",234,234,0
"sys4","sys12",214,0,0
"sys4","sys13",204,0,0
"sys4","sys14",234,0,0
"sys4","sys15",224,224,0
"sys4","sys16",124,0,0
"sys4","sys17",10,0,0
"sys4","sys18",224,0,0
"sys4","sys19",20,0,0
"sys4","sys20",224,224,0
"sys4","sys21",224,224,224
"sys4","sys22",114,0,0
"sys4","sys23",114,0,0
"sys4","sys24",2,0,0
"sys4","sys25",204,6,0
"sys4","sys27",234,0,0
"sys4","sys28",234,26,26
"sys4","sys30",104,0,0
"sys5","sys6",214,16,16
"sys5","sys7",214,3,3
"sys5","sys8",20,16,16
"sys5","sys9",20,16,16
"sys5","sys10",20,16,16
"sys5","sys11",20,16,16
"sys5","sys12",20,16,16
"sys5","sys13",9,3,3
"sys5","sys14",20,16,16
"sys5","sys15",20,16,16
"sys5","sys16",20,16,16
"sys5","sys17",20,16,16
"sys5","sys18",3,3,3
"sys5","sys19",20,16,16
"sys5","sys20",20,16,16
"sys5","sys21",19,14,14
"sys5","sys22",20,16,16
"sys5","sys23",20,16,16
"sys5","sys24",19,16,16
"sys5","sys25",9,3,3
"sys5","sys27",20,16,16
"sys5","sys28",20,16,16
"sys5","sys30",20,16,16
"sys6","sys7",9,16,16
"sys6","sys8",20,16,16
"sys6","sys9",20,16,16
"sys6","sys10",20,16,16
"sys6","sys11",18,16,16
"sys6","sys12",20,16,16
"sys6","sys13",20,16,16
"sys6","sys14",20,5,5
"sys6","sys15",2,2,5
"sys6","sys16",20,16,16
"sys6","sys17",2,2,16
"sys6","sys18",20,16,16
"sys6","sys19",20,16,16
"sys6","sys20",20,16,16
"sys6","sys21",214,214,214
"sys6","sys22",20,16,16
"sys6","sys23",9,3,3
"sys6","sys24",9,16,16
"sys6","sys25",20,16,16
"sys6","sys27",214,3,3
"sys6","sys28",3,3,3
"sys6","sys30",3,3,3
"sys7","sys8",20,16,16
"sys7","sys9",20,16,16
"sys7","sys10",20,16,16
"sys7","sys11",214,214,214
"sys7","sys12",2,16,16
"sys7","sys13",20,16,16
"sys7","sys14",20,3,3
"sys7","sys15",3,3,3
"sys7","sys16",2,16,16
"sys7","sys17",20,16,16
"sys7","sys18",2,2,16
"sys7","sys19",20,16,16
"sys7","sys20",20,16,16
"sys7","sys21",20,16,16
"sys7","sys22",20,16,16
"sys7","sys23",20,16,16
"sys7","sys24",20,16,16
"sys7","sys25",20,16,16
"sys7","sys27",214,214,16
"sys7","sys28",214,3,3
"sys7","sys30",214,16,16
"sys8","sys9",20,16,16
"sys8","sys10",19,16,16
"sys8","sys11",214,214,16
"sys8","sys12",20,16,16
"sys8","sys13",214,16,16
"sys8","sys14",3,3,3
"sys8","sys15",20,16,16
"sys8","sys16",20,16,16
"sys8","sys17",20,16,16
"sys8","sys18",20,16,16
"sys8","sys19",20,16,16
"sys8","sys20",20,16,16
"sys8","sys21",20,16,16
"sys8","sys22",9,3,3
"sys8","sys23",19,16,16
"sys8","sys24",19,16,16
"sys8","sys25",19,16,16
"sys8","sys27",214,16,16
"sys8","sys28",214,214,16
"sys8","sys30",20,16,16
"sys9","sys10",114,114,16
"sys9","sys11",20,16,16
"sys9","sys12",3,3,3
"sys9","sys13",20,16,16
"sys9","sys14",214,3,3
"sys9","sys15",9,3,3
"sys9","sys16",20,16,16
"sys9","sys17",20,16,16
"sys9","sys18",20,16,16
"sys9","sys19",114,16,16
"sys9","sys20",20,5,5
"sys9","sys21",114,3,3
"sys9","sys22",20,16,16
"sys9","sys23",19,16,16
"sys9","sys24",20,16,16
"sys9","sys25",20,16,16
"sys9","sys27",3,3,3
"sys9","sys28",20,3,3
"sys9","sys30",20,16,16
"sys10","sys11",9,3,3
"sys10","sys12",9,3,3
"sys10","sys13",20,16,16
"sys10","sys14",20,3,3
"sys10","sys15",9,3,3
"sys10","sys16",20,16,16
"sys10","sys17",214,16,16
"sys10","sys18",20,16,16
"sys10","sys19",20,16,16
"sys10","sys20",20,16,16
"sys10","sys21",19,16,16
"sys10","sys22",19,16,16
"sys10","sys23",20,16,16
"sys10","sys24",20,16,16
"sys10","sys25",20,16,16
"sys10","sys27",20,16,16
"sys10","sys28",214,16,16
"sys10","sys30",19,16,16
"sys11","sys12",3,3,3
"sys11","sys13",20,16,16
"sys11","sys14",20,3,3
"sys11","sys15",20,3,3
"sys11","sys16",20,16,16
"sys11","sys17",3,3,3
"sys11","sys18",3,3,3
"sys11","sys19",20,16,16
"sys11","sys20",2,2,14
"sys11","sys21",20,16,16
"sys11","sys22",20,16,16
"sys11","sys23",20,16,16
"sys11","sys24",20,16,16
"sys11","sys25",20,3,3
"sys11","sys27",20,3,3
"sys11","sys28",9,9,9
"sys11","sys30",20,16,16
"sys12","sys13",20,16,16
"sys12","sys14",3,3,3
"sys12","sys15",3,3,3
"sys12","sys16",20,16,16
"sys12","sys17",20,16,16
"sys12","sys18",114,16,16
"sys12","sys19",114,16,16
"sys12","sys20",20,16,16
"sys12","sys21",9,3,3
"sys12","sys22",3,3,3
"sys12","sys23",114,114,114
"sys12","sys24",20,16,16
"sys12","sys25",3,3,3
"sys12","sys27",7,14,14
"sys12","sys28",3,3,3
"sys12","sys30",7,3,3
"sys13","sys14",20,3,3
"sys13","sys15",20,16,16
"sys13","sys16",20,16,16
"sys13","sys17",20,16,16
"sys13","sys18",20,16,16
"sys13","sys19",20,16,16
"sys13","sys20",20,14,14
"sys13","sys21",20,16,16
"sys13","sys22",20,16,16
"sys13","sys23",20,16,16
"sys13","sys24",20,16,16
"sys13","sys25",20,16,16
"sys13","sys27",3,3,3
"sys13","sys28",20,16,16
"sys13","sys30",20,16,16
"sys14","sys15",20,16,16
"sys14","sys16",20,16,16
"sys14","sys17",3,3,3
"sys14","sys18",20,3,3
"sys14","sys19",2,2,2
"sys14","sys20",20,16,16
"sys14","sys21",114,3,3
"sys14","sys22",204,204,6
"sys14","sys23",114,114,114
"sys14","sys24",3,3,3
"sys14","sys25",3,3,3
"sys14","sys27",2,2,16
"sys14","sys28",19,16,16
"sys14","sys30",20,3,3
"sys15","sys16",9,3,3
"sys15","sys17",214,214,214
"sys15","sys18",20,16,16
"sys15","sys19",114,16,16
"sys15","sys20",20,16,16
"sys15","sys21",2,2,4
"sys15","sys22",9,4,4
"sys15","sys23",114,114,3
"sys15","sys24",1,1,1
"sys15","sys25",3,3,3
"sys15","sys27",18,16,16
"sys15","sys28",20,16,16
"sys15","sys30",20,14,14
"sys16","sys17",20,16,16
"sys16","sys18",20,16,16
"sys16","sys19",20,16,16
"sys16","sys20",114,16,16
"sys16","sys21",20,16,16
"sys16","sys22",19,16,16
"sys16","sys23",20,16,16
"sys16","sys24",20,16,16
"sys16","sys25",20,16,16
"sys16","sys27",19,16,16
"sys16","sys28",214,16,16
"sys16","sys30",20,16,16
"sys17","sys18",20,16,16
"sys17","sys19",20,16,16
"sys17","sys20",19,16,16
"sys17","sys21",20,16,16
"sys17","sys22",19,14,14
"sys17","sys23",20,16,16
"sys17","sys24",20,16,16
"sys17","sys25",20,16,16
"sys17","sys27",20,16,16
"sys17","sys28",19,16,16
"sys17","sys30",3,3,3
"sys18","sys19",20,16,16
"sys18","sys20",214,16,16
"sys18","sys21",20,16,16
"sys18","sys22",20,16,16
"sys18","sys23",2,16,16
"sys18","sys24",20,16,16
"sys18","sys25",3,3,3
"sys18","sys27",20,16,16
"sys18","sys28",214,214,214
"sys18","sys30",19,16,16
"sys19","sys20",114,16,16
"sys19","sys21",20,16,16
"sys19","sys22",2,16,16
"sys19","sys23",20,16,16
"sys19","sys24",20,16,16
