"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.11789419,0.13079931,0.09657666,0.11944652,0.16327638,0.01075738,0.08075565,0.0494351,0.0365412,0.13086359,0.12832946,0.13392481,0.10394266,0.12914791,0.13409807,0.10177148,0.11457232,0.12794346,0.07759224,0.05905229,0.06934179,0.07550233,0.0824631,0.0828432,0.08434947,0.08341829,0.10115398,0.00100953,0.11010806,0.1102302,0.11393407,0.04384562,0.0432153,0.0030049,0.09677249,0.09797286,0.10507682,0.09495303,0.08834233,0.07833714,0.0927516,0.07369539,0.09156743,0.10967227,0.14136916,0.1755693,0.0505237,0.12531268,0.15040861,0.14169095,0.04753696,0.05140635,0.04468376,0.10954056,0.0986875,0.09087047,0.1242748,0.06130695,0.06520061,0.06390804,0.10302808,0.09947825,0.09835848,0.10693178,0.031876,0.04127928,0.0228711,0.04052374,0.07911096,0.04229311,0.02120491,0.12006913,0.11929519,0.11986505,0.02929045,0.13060723,0.12344643,0.06794578
0.12632383,0.14134682,0.10505843,0.12608043,0.16820577,0.01017271,0.08476215,0.04902245,0.03751644,0.13861298,0.1361733,0.14118306,0.10689848,0.13838708,0.14207098,0.10475949,0.11652012,0.13490706,0.08306753,0.06170332,0.07093581,0.07617047,0.08352343,0.08403604,0.08582872,0.08441104,0.10839701,0.0009754,0.11622728,0.11636705,0.12234018,0.04455081,0.04409067,0.00307601,0.10510012,0.10620216,0.11351331,0.10059688,0.09477475,0.08229018,0.09627979,0.07948483,0.09496566,0.11754403,0.14932109,0.17970223,0.05213683,0.12784693,0.16081777,0.14879149,0.04752025,0.05115745,0.04591975,0.11728262,0.1050644,0.09736879,0.12968467,0.06100973,0.06461098,0.06296561,0.10796328,0.10239615,0.10367219,0.11230382,0.03234067,0.04233342,0.02348341,0.04190295,0.08360775,0.04564159,0.02256317,0.12393737,0.12319361,0.12282853,0.0297409,0.13820513,0.12979379,0.06911003
0.12203124,0.13649331,0.09676829,0.11721541,0.15886952,0.01028678,0.07810956,0.05010433,0.03520321,0.13277728,0.12971547,0.13671312,0.10396168,0.13644284,0.14210306,0.10371528,0.11786563,0.13503354,0.07930283,0.0601439,0.06720716,0.07362998,0.07975315,0.08086485,0.08253796,0.08168663,0.10312698,0.00098037,0.1119871,0.1121129,0.11461208,0.04223121,0.04149587,0.00292248,0.09751258,0.09851137,0.10726899,0.09342005,0.08693646,0.0769297,0.08967101,0.07508139,0.0888223,0.11531189,0.14481939,0.17513069,0.04724512,0.12744891,0.15463702,0.14512342,0.04652127,0.0496375,0.04560739,0.11128094,0.10141156,0.0910616,0.12163193,0.06145949,0.06523767,0.06396221,0.10669894,0.09938929,0.09896389,0.10750279,0.03161135,0.04013137,0.02229709,0.03901064,0.08066365,0.04082921,0.02073787,0.12201762,0.12079971,0.12065468,0.02865645,0.13668803,0.12373448,0.06860253
0.11890691,0.13544504,0.09946098,0.12037587,0.16139121,0.01075294,0.08092292,0.04907129,0.03599065,0.13810236,0.13491825,0.14006825,0.10554933,0.13659943,0.13895678,0.10392298,0.11735599,0.13329767,0.07941405,0.06013223,0.06930204,0.07505097,0.08219147,0.08348112,0.08501793,0.08407644,0.10576258,0.00094878,0.11555333,0.11568395,0.11909678,0.04226925,0.04174394,0.0029351,0.10369696,0.10348303,0.11226898,0.09729297,0.0911873,0.07932781,0.08980448,0.07608935,0.0886071,0.1171835,0.15061809,0.18248978,0.05038673,0.12663366,0.15527609,0.14423955,0.04491861,0.04803558,0.04390354,0.11399752,0.10459135,0.09506169,0.12665816,0.06088577,0.06465318,0.06301599,0.10815707,0.09666466,0.10079237,0.11057253,0.03317176,0.04025581,0.02155997,0.03924919,0.08277857,0.04372125,0.02236941,0.1207737,0.11999719,0.12053866,0.02780627,0.13843773,0.13031155,0.06643761
0.12638854,0.13674798,0.09913778,0.12064902,0.16418233,0.01062777,0.07949025,0.04993284,0.03537657,0.1402795,0.13529287,0.1429872,0.10590102,0.13875462,0.1406031,0.10418809,0.11810461,0.13565676,0.07954548,0.05773468,0.07132494,0.07707843,0.08460719,0.08168378,0.08343171,0.08262933,0.1058623,0.00101761,0.11476672,0.11489793,0.11624787,0.04339829,0.04312874,0.00311182,0.10006459,0.10293033,0.10824536,0.09742934,0.09039486,0.08043501,0.09129679,0.07784856,0.09045368,0.11533861,0.1501187,0.18303179,0.05168745,0.13200244,0.15804596,0.14927346,0.04720035,0.05014011,0.0445643,0.11199684,0.10445895,0.09264658,0.12558208,0.06234745,0.06648594,0.06492938,0.10854658,0.10051913,0.1004955,0.10929974,0.03030085,0.04115861,0.02274147,0.04011081,0.07999871,0.0435307,0.02169304,0.12108322,0.12003234,0.12039701,0.0291274,0.14037266,0.12719284,0.06927778
0.12286647,0.13218905,0.09604691,0.11382747,0.16295407,0.01011093,0.07648271,0.04687303,0.03426416,0.13178075,0.12940178,0.1359232,0.09985395,0.13062423,0.13658008,0.09673214,0.11023537,0.12919072,0.07670956,0.05884057,0.06531464,0.07155367,0.0774721,0.07924337,0.08064702,0.08067925,0.09967966,0.0009189,0.10988055,0.11000259,0.11278479,0.04382589,0.0434447,0.0030397,0.09375288,0.09680618,0.1025444,0.09189167,0.08572025,0.07880937,0.09031336,0.07680184,0.08903278,0.11038947,0.14558053,0.17836953,0.04684995,0.12676167,0.15461621,0.14489852,0.04816414,0.05194133,0.04503057,0.10837332,0.09859465,0.08819035,0.11744176,0.0593355,0.06282531,0.06107079,0.10155844,0.09756281,0.09764447,0.10584304,0.03333479,0.04140645,0.02255935,0.04094806,0.07866362,0.04225441,0.02173337,0.11752144,0.11677113,0.11631501,0.02878125,0.13846273,0.11866729,0.06738944
0.12234797,0.1313072,0.09467154,0.11590201,0.15918329,0.01062807,0.0795273,0.04955072,0.03546344,0.13472136,0.13097442,0.137873,0.10015622,0.13073005,0.13608784,0.09869528,0.11036519,0.12986703,0.07728346,0.05650554,0.06984441,0.07534869,0.0823342,0.08064303,0.08215924,0.08166667,0.10305307,0.00095941,0.10927187,0.10938888,0.1122071,0.04335653,0.0426657,0.00291624,0.09751548,0.09996221,0.10694368,0.09414106,0.08817097,0.08105453,0.08933115,0.07821245,0.08812207,0.10935334,0.14899942,0.17944353,0.0489049,0.13133866,0.15515607,0.14575578,0.0493493,0.05288023,0.04523024,0.11152031,0.1007053,0.09167251,0.12074948,0.06242976,0.06611407,0.06421301,0.10186167,0.0945088,0.09727304,0.1055007,0.0343607,0.04100283,0.02272034,0.04063859,0.07868768,0.04278088,0.02025782,0.11708083,0.11628663,0.11638931,0.03061801,0.14107157,0.12818942,0.06852165
0.11825505,0.13235414,0.09688287,0.11557266,0.15764287,0.01014624,0.07951106,0.04823728,0.03580289,0.13208445,0.12876412,0.13458035,0.10168699,0.13097989,0.13673255,0.10077815,0.11344372,0.12972393,0.07480876,0.05694705,0.06916051,0.07485606,0.08114359,0.08034379,0.08145766,0.08122237,0.10160143,0.00091131,0.112943,0.11306678,0.11659776,0.04243454,0.0421825,0.00307067,0.09416252,0.09767177,0.10437106,0.08916658,0.08318678,0.07800047,0.08948453,0.0752323,0.08853132,0.11104895,0.14431305,0.17654092,0.04442628,0.12519411,0.15140149,0.14263069,0.04622352,0.04953785,0.04341026,0.10744359,0.09852817,0.0889124,0.12009548,0.0601003,0.06374927,0.06209183,0.10426314,0.09841465,0.09948294,0.10899437,0.03442736,0.04007017,0.02212966,0.03952081,0.07827853,0.04096709,0.0211154,0.12046225,0.11906602,0.11925392,0.02696605,0.13320753,0.11754924,0.06628458
0.11276084,0.12373245,0.09303151,0.11354641,0.15619489,0.01042501,0.07942828,0.04639538,0.03479639,0.12897323,0.12178355,0.1318543,0.09909376,0.12249243,0.12524497,0.09747032,0.10996316,0.1198109,0.07292459,0.0537281,0.06762436,0.07341192,0.07931255,0.08110383,0.08290091,0.08190383,0.09513518,0.00094436,0.10579593,0.10590717,0.10862346,0.04237582,0.04178322,0.00284364,0.09113642,0.09390095,0.09914448,0.08931174,0.0838912,0.07480282,0.08578111,0.07026052,0.08530994,0.10682699,0.13990482,0.1723045,0.04715361,0.12324535,0.14646495,0.13719892,0.04504417,0.04815115,0.04326359,0.10296302,0.09378543,0.08519811,0.11725483,0.05842617,0.06208917,0.06033746,0.09891726,0.09215045,0.0938449,0.10253082,0.03388024,0.040308,0.02122528,0.04018515,0.07419232,0.04086922,0.02013481,0.11472809,0.11419555,0.11383481,0.0309333,0.13458504,0.11794513,0.06733987
0.12251917,0.13446278,0.09704732,0.11928973,0.16647692,0.01033328,0.07917907,0.04734241,0.03561541,0.14054398,0.13342953,0.14393024,0.10121699,0.13551497,0.13939452,0.09943967,0.11143057,0.13321852,0.07778053,0.05903361,0.06711079,0.07358203,0.0806154,0.08214335,0.08393715,0.08302893,0.10290753,0.00099215,0.11235624,0.11248644,0.11475155,0.04319062,0.04332181,0.00297672,0.09853438,0.10006333,0.10793787,0.09475176,0.08789144,0.08211486,0.0927544,0.07960899,0.09104612,0.11521484,0.15150576,0.18315222,0.05175121,0.13433901,0.15785561,0.14875276,0.04671098,0.04967826,0.04649037,0.11105491,0.10397837,0.09149159,0.12345272,0.06001819,0.0634854,0.06128162,0.10806305,0.10170946,0.09899015,0.10726724,0.02956833,0.04094171,0.02154689,0.04103309,0.07925054,0.0415842,0.02020472,0.11851045,0.11758586,0.11821945,0.02974429,0.1459237,0.12832347,0.06698795
