"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.01070322,0.01046926,0.00755181,0.01112296,0.01895043,0.00010852,0.00576307,0.00217529,0.00129009,0.01273919,0.01234323,0.01333476,0.00916059,0.01084733,0.0113954,0.00885145,0.01372047,0.01019283,0.00540961,0.00336333,0.00733431,0.00519142,0.00658694,0.00503961,0.0051976,0.00488416,0.0085482,1.04e-06,0.00828055,0.00831595,0.0094668,0.00141434,0.00135948,8.51e-06,0.00884191,0.00786208,0.00886845,0.00790865,0.00688838,0.0062254,0.00903798,0.0079553,0.00859982,0.0114551,0.01494548,0.01888221,0.00431619,0.01206914,0.01188359,0.01176678,0.00225003,0.00264194,0.00188742,0.00862438,0.0077477,0.00704128,0.0119082,0.00201201,0.00223877,0.00219009,0.01160654,0.00802768,0.00591161,0.00696831,0.00194725,0.00125747,0.00050056,0.00115855,0.00552383,0.00163364,0.00044112,0.00893109,0.00895275,0.00944444,0.00082076,0.0134558,0.01244265,0.00302618
0.01178587,0.01146331,0.00877033,0.01207248,0.02028201,9.271e-05,0.00548697,0.00221289,0.00133828,0.01403204,0.01274472,0.01456058,0.00872388,0.0121426,0.01204509,0.0083716,0.01207089,0.01070835,0.0055726,0.00306153,0.00680488,0.00444685,0.00610376,0.00529745,0.00558374,0.00511519,0.00975486,1.01e-06,0.00930437,0.00934652,0.0104819,0.00153079,0.00141635,8.23e-06,0.01089226,0.00937731,0.01027389,0.00800209,0.00726256,0.00687252,0.00922582,0.00905047,0.0087649,0.01266697,0.01575655,0.01959253,0.00430759,0.01201592,0.01234676,0.01173467,0.00196012,0.00234228,0.00195422,0.00909742,0.00844231,0.00784364,0.01283713,0.00208023,0.0022546,0.00221213,0.01220483,0.00796914,0.00644143,0.00785125,0.00209631,0.00142268,0.00056475,0.00127805,0.00595571,0.00187464,0.00046832,0.00888686,0.00898374,0.00943924,0.0007973,0.01429187,0.01267806,0.00318851
0.01105417,0.01134828,0.00753816,0.0103335,0.01656478,9.662e-05,0.0053798,0.00217914,0.00117812,0.0139602,0.01233885,0.01442534,0.00829179,0.01279015,0.01322061,0.00845727,0.01261518,0.01176392,0.00520163,0.00334054,0.00662635,0.00455897,0.00587672,0.00481852,0.00506828,0.00466199,0.00828869,9.4e-07,0.0083322,0.00836841,0.00992241,0.00136723,0.00127735,9.16e-06,0.00882718,0.00770221,0.0091636,0.00660158,0.00580508,0.00627301,0.00818606,0.00788411,0.0078768,0.01298826,0.01563045,0.01907401,0.00373342,0.01235895,0.01241631,0.01219846,0.00192986,0.00214152,0.00188942,0.00821551,0.00883816,0.00666989,0.01092351,0.00204025,0.00221638,0.00216621,0.01259274,0.00857068,0.00599619,0.00719367,0.00156169,0.0012618,0.0004905,0.00114161,0.00535481,0.00144123,0.00035744,0.00832726,0.00836374,0.0086808,0.00077288,0.01423239,0.01188216,0.00285775
0.01117724,0.01178502,0.00877189,0.01243208,0.02007168,0.00010457,0.00522716,0.00214749,0.00121039,0.01455021,0.01374584,0.01523672,0.00898469,0.01382673,0.01358524,0.00905838,0.01352916,0.01194434,0.00557744,0.00337666,0.00716035,0.00504364,0.00642671,0.00539163,0.00562716,0.00516754,0.00945015,8.9e-07,0.0094348,0.00947597,0.01087757,0.00128899,0.00120946,8.86e-06,0.01097415,0.00952292,0.01086169,0.00813749,0.0071788,0.00594012,0.00836375,0.00820913,0.00790978,0.01384245,0.01695568,0.01985124,0.00425196,0.01257389,0.01287747,0.01240609,0.00174082,0.00191331,0.00205838,0.0091999,0.00934617,0.00765951,0.0136768,0.00188559,0.00206394,0.00204182,0.01291641,0.00792913,0.00646314,0.00781179,0.00199057,0.0011998,0.00045037,0.00110209,0.00618945,0.00183565,0.00047694,0.00906448,0.00909462,0.00962909,0.00078531,0.01493775,0.01303871,0.00268566
0.01277941,0.01104533,0.00852415,0.01154423,0.01879104,0.00010427,0.0053896,0.00220428,0.00123143,0.01582084,0.01374668,0.01628282,0.00898604,0.01325168,0.01291115,0.00880668,0.01321958,0.0115182,0.00523566,0.00275123,0.00728091,0.00522554,0.00665261,0.00526219,0.00546807,0.00513237,0.00900027,1.16e-06,0.0092659,0.00930256,0.01022237,0.00144535,0.00139098,8.65e-06,0.00998106,0.00892024,0.00972221,0.00803348,0.00700317,0.00593708,0.00873392,0.00837765,0.00859823,0.01248579,0.01686313,0.01997394,0.00415321,0.01364403,0.01323812,0.01297186,0.00207591,0.00236826,0.00178214,0.00864311,0.00898585,0.00740039,0.01219395,0.00200366,0.00222169,0.00219653,0.01311775,0.00822128,0.00624899,0.00762119,0.00152625,0.00131269,0.00052593,0.0011833,0.00528891,0.00192966,0.00047408,0.00886864,0.00889859,0.0093386,0.00084509,0.01537114,0.01255624,0.00302161
0.01217488,0.01067184,0.00786364,0.0098884,0.01929533,0.00011083,0.00512276,0.00215464,0.00115222,0.01371672,0.01221164,0.01438315,0.00815893,0.01137181,0.0114858,0.00743629,0.01102697,0.01025621,0.00494356,0.00331299,0.00646808,0.00450809,0.00583042,0.00476635,0.00493753,0.00463082,0.00779012,7.7e-07,0.00837127,0.00840611,0.0097491,0.00150289,0.00142935,9.43e-06,0.00843574,0.00783188,0.00850714,0.00731933,0.00641832,0.00625263,0.00846017,0.008042,0.00817158,0.0108082,0.01535285,0.01970048,0.00384764,0.01123209,0.01198871,0.01178568,0.00217789,0.00257264,0.00197079,0.00823058,0.00762415,0.00629954,0.01047449,0.00208011,0.00221912,0.00217249,0.01061374,0.00840597,0.00600684,0.00691731,0.00208678,0.0013787,0.00045473,0.00127534,0.00521226,0.00172647,0.00044764,0.00851839,0.00854505,0.00884502,0.00080073,0.01397703,0.01082933,0.0029474
0.01247321,0.01019425,0.00734357,0.01038193,0.0185985,0.00012188,0.0051688,0.00215399,0.00117174,0.01336043,0.01259277,0.01401041,0.00819761,0.01115642,0.01140106,0.00813624,0.0115434,0.01036847,0.00510756,0.00260915,0.0069064,0.00483209,0.00625728,0.00488377,0.00505912,0.00471823,0.00885161,7.7e-07,0.00833531,0.0083706,0.00968472,0.00127342,0.00118403,8.12e-06,0.00880192,0.00827423,0.00886073,0.00738863,0.00647554,0.00605285,0.00842883,0.0082663,0.0082647,0.00979718,0.01610402,0.01915496,0.00397186,0.01285385,0.01209347,0.01158322,0.00236626,0.00276101,0.0018825,0.00854914,0.00756497,0.00687327,0.01127208,0.00202177,0.00217925,0.00213486,0.01008356,0.00687477,0.00591096,0.00696872,0.00229969,0.00115944,0.00047816,0.00107749,0.00512886,0.00171949,0.00036562,0.00838066,0.00844262,0.0088279,0.0009956,0.01460266,0.01275937,0.00283915
0.01037716,0.01025096,0.00741699,0.010717,0.01788525,0.00010198,0.00594704,0.00208437,0.0013632,0.01383137,0.01272473,0.0142183,0.00869034,0.01118881,0.01170477,0.0084731,0.0124682,0.01042514,0.0047796,0.00305437,0.00727075,0.00498616,0.00647865,0.00505548,0.00517004,0.00490608,0.00836357,8.1e-07,0.00856925,0.00860508,0.00988587,0.00145366,0.00137052,9.37e-06,0.00810335,0.00744887,0.00861154,0.00696135,0.00604227,0.00590584,0.00806333,0.00787204,0.00786681,0.01159982,0.01465352,0.01871909,0.00354201,0.01236064,0.01271955,0.01231437,0.00186468,0.00213403,0.00169656,0.00854348,0.00807408,0.00689593,0.01136005,0.00196705,0.00211582,0.00203507,0.01171538,0.00771396,0.00569754,0.00722278,0.00201521,0.00126407,0.00048818,0.00116499,0.00519119,0.00159638,0.00041902,0.00850018,0.00855763,0.0089777,0.00064351,0.01310768,0.01126502,0.00300262
0.0111708,0.01073139,0.00741191,0.01031251,0.02037539,0.00011694,0.00549492,0.00196383,0.00122764,0.01424288,0.01199752,0.01486085,0.00881861,0.01150361,0.0113387,0.00869303,0.01273582,0.01015331,0.00541577,0.00265738,0.00721719,0.0051686,0.0066666,0.00505603,0.00527099,0.00491468,0.00871285,9.7e-07,0.00820751,0.00824157,0.0095273,0.00149023,0.00136984,8.42e-06,0.0088225,0.00802896,0.00899062,0.00691917,0.00625815,0.00560425,0.00813059,0.00750116,0.00790226,0.01222671,0.0166585,0.01974257,0.00388207,0.01330385,0.01218017,0.01154757,0.00192695,0.00214793,0.00183729,0.00850026,0.00818178,0.00705732,0.01072833,0.00187401,0.00202131,0.00195295,0.01184971,0.00776871,0.00575906,0.00707619,0.00232569,0.00138339,0.0004792,0.00128483,0.00564327,0.00164425,0.0004211,0.00898081,0.00903099,0.00937205,0.00105277,0.01433432,0.01191815,0.00302612
0.01159115,0.0112053,0.00762862,0.01080697,0.02077411,9.769e-05,0.00511294,0.00195258,0.00118522,0.0156552,0.01337179,0.0161757,0.00791709,0.01298007,0.01280764,0.00766722,0.01097795,0.01153436,0.0047866,0.00308031,0.00612288,0.00430874,0.00572606,0.0048965,0.00515415,0.00473036,0.00839058,1.02e-06,0.00820569,0.00824142,0.0096897,0.001431,0.00137806,8.04e-06,0.00879559,0.00819427,0.00917519,0.00713237,0.00623749,0.0059221,0.00911927,0.00881066,0.00869647,0.01389588,0.01769493,0.02119112,0.00421066,0.01410102,0.01306776,0.01272844,0.00185616,0.00208616,0.00196637,0.00886884,0.00934846,0.00690134,0.01134367,0.00184374,0.00196517,0.00191066,0.0127078,0.00808302,0.00573348,0.00682358,0.00159954,0.0013288,0.00044502,0.00125542,0.00537004,0.00157538,0.00036686,0.00854979,0.00861664,0.0091313,0.00085308,0.01658903,0.01283966,0.0027833
