"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.09631814,0.11081999,0.09415453,0.10112497,0.14752718,0.0879186,0.11511016,0.08572721,0.07568284,0.12518378,0.08432567,0.12778944,0.09450122,0.13356189,0.11247777,0.09831707,0.0915897,0.10526533,0.10288796,0.08497535,0.06568038,0.06400234,0.05916392,0.16408965,0.16829886,0.17156787,0.09680559,0.00089311,0.12727774,0.12749873,0.12324295,0.10745925,0.11162056,0.00491043,0.09098123,0.10159784,0.10273422,0.07676047,0.0868114,0.1412869,0.11990148,0.07758295,0.11912713,0.12081634,0.13782661,0.18011903,0.06202111,0.13748132,0.12112182,0.11606163,0.08290912,0.08243141,0.08879227,0.0895015,0.07291626,0.09068298,0.10330047,0.15222912,0.15556684,0.1433946,0.10230545,0.13910931,0.13391996,0.14557942,0.08212516,0.10426601,0.04497545,0.11816113,0.06092617,0.07376662,0.06366161,0.07940908,0.08284634,0.08493378,0.11761209,0.12679128,0.10927834,0.17145297
0.10029852,0.10890224,0.09228611,0.10326037,0.14346743,0.09107708,0.11483905,0.08243684,0.0765487,0.12880638,0.08304401,0.13036227,0.09151106,0.13223739,0.11573353,0.09480593,0.0889782,0.10521212,0.09954475,0.07965723,0.06474965,0.06322664,0.05961894,0.15886547,0.16353101,0.16677137,0.0946307,0.00081604,0.1265681,0.12677506,0.12198498,0.109126,0.11387941,0.00468651,0.0918695,0.10032101,0.10719139,0.07147604,0.081172,0.14195208,0.11924549,0.07680072,0.11984971,0.12048375,0.13776837,0.18046419,0.06267768,0.13558826,0.11800001,0.11219973,0.08909195,0.08795737,0.09399605,0.08597075,0.07269743,0.08595683,0.09951911,0.144621,0.14567159,0.13647035,0.10162354,0.14107954,0.1299453,0.13870768,0.08774583,0.10679338,0.0443831,0.12159927,0.05933094,0.07372325,0.0640578,0.07820167,0.08215501,0.08459592,0.11435467,0.12922984,0.10826965,0.16663221
0.09836474,0.10936019,0.09302218,0.10193091,0.13829155,0.08908909,0.11603303,0.08575611,0.07426583,0.12326509,0.08264759,0.12510749,0.09135429,0.13755493,0.11288297,0.09401664,0.09132305,0.10533269,0.09974126,0.0822398,0.06605494,0.06464103,0.0599938,0.16099054,0.16362709,0.1688595,0.09682256,0.00087686,0.13050974,0.13072404,0.12637549,0.10831895,0.11261229,0.00519912,0.08818341,0.10197982,0.10055327,0.07301932,0.08359313,0.1324657,0.11165454,0.07630388,0.11161161,0.11979965,0.1313557,0.16988942,0.05706723,0.12550164,0.11705024,0.11075414,0.08683359,0.0861902,0.09244442,0.0858632,0.07009221,0.08690771,0.10019339,0.14922174,0.14926789,0.1410592,0.10052632,0.14076019,0.13444226,0.14512559,0.09034288,0.10496245,0.04376295,0.12093126,0.05954559,0.07082964,0.06252649,0.07938386,0.08294359,0.08451568,0.11191086,0.12026254,0.10511282,0.16104688
0.09799608,0.11075455,0.09293051,0.10288598,0.14635464,0.09198851,0.11880349,0.08863493,0.07864381,0.13385544,0.08773917,0.13558793,0.09084296,0.13732433,0.11760501,0.09442716,0.09068865,0.10945383,0.10108562,0.08317428,0.06724942,0.0653173,0.05859297,0.16192288,0.16728604,0.16955748,0.09880069,0.00089492,0.13099581,0.13121264,0.12590147,0.10677787,0.1116559,0.00487134,0.09103308,0.10936394,0.10660889,0.0741035,0.08454243,0.14651684,0.12394719,0.08065668,0.12475658,0.12173247,0.14354523,0.18361596,0.06262472,0.13633629,0.12361468,0.11742856,0.08696786,0.08628118,0.09357658,0.0903102,0.08035803,0.09203117,0.09940777,0.15774011,0.15851817,0.15030884,0.10952032,0.13935374,0.13587856,0.14473905,0.08617674,0.10368665,0.04480635,0.11974351,0.06349757,0.07318395,0.06654405,0.07856346,0.08200562,0.08219811,0.11474744,0.13102239,0.11298191,0.1699345
0.09657794,0.10777866,0.09137098,0.1030966,0.14076578,0.09276591,0.11283478,0.08134228,0.07669894,0.12225075,0.07861521,0.12500296,0.08726342,0.12965982,0.111437,0.09223937,0.08867426,0.10263352,0.09655447,0.0790945,0.06560165,0.06338956,0.05720047,0.15612574,0.16200331,0.16366117,0.09203031,0.00083742,0.12724003,0.12745311,0.12201195,0.10392294,0.10798068,0.00504312,0.08907279,0.10457365,0.1008019,0.07218443,0.08266952,0.1376697,0.11864362,0.07080727,0.1193972,0.11953738,0.13554758,0.17172425,0.06034638,0.12956724,0.1180305,0.11229545,0.08174642,0.08114011,0.0877018,0.08292065,0.06876441,0.08403317,0.09953715,0.1467484,0.14770484,0.14104851,0.09712189,0.1401874,0.13070127,0.13989114,0.08538982,0.10122544,0.04456647,0.11472967,0.06018637,0.06965167,0.06239801,0.07756037,0.08099371,0.08321989,0.11133905,0.12199869,0.10475572,0.1608344
0.10138083,0.11552776,0.09801526,0.10691397,0.14360434,0.09163398,0.1157074,0.08289305,0.08142828,0.12550816,0.08288003,0.12512998,0.09441082,0.13841758,0.11633215,0.09823929,0.0933206,0.10830718,0.10173385,0.08459968,0.07032807,0.06826241,0.06165243,0.15838524,0.16380738,0.16717293,0.0986163,0.00086531,0.12977493,0.12999779,0.12695125,0.10758969,0.11176521,0.00519305,0.09074525,0.10679732,0.10230949,0.07914205,0.08882663,0.14182343,0.11985738,0.08000612,0.12032529,0.12771855,0.1403981,0.17732903,0.0614242,0.13279276,0.12013724,0.11436099,0.08764976,0.08716491,0.09365548,0.08712505,0.06999418,0.08791901,0.1057779,0.15318568,0.15358472,0.14515291,0.09776,0.14392507,0.13542966,0.14556534,0.08742055,0.10529258,0.04528753,0.11926817,0.06450242,0.07514764,0.06695511,0.08361097,0.08629874,0.08920993,0.11441362,0.12545542,0.10517365,0.16211472
0.0983453,0.10773769,0.09388873,0.10413695,0.14435221,0.09396599,0.10925839,0.08338072,0.07111147,0.12426331,0.08138584,0.12690356,0.08976025,0.13399283,0.11168521,0.09332145,0.08986195,0.10446286,0.10213281,0.08323992,0.06544604,0.06359301,0.05839901,0.15528873,0.16171184,0.16340997,0.09521886,0.00086372,0.12462817,0.12483551,0.11901126,0.10811054,0.11232445,0.00498342,0.09045056,0.09814714,0.10440973,0.07463868,0.08436703,0.13741175,0.11559235,0.07901887,0.11334079,0.11863529,0.13447821,0.17576825,0.06052926,0.13129808,0.11675915,0.11167025,0.08516067,0.08434597,0.08818499,0.09200952,0.07141204,0.09236862,0.10104685,0.15064708,0.14989099,0.14019573,0.10043954,0.13996639,0.12925413,0.13911119,0.08355403,0.10506117,0.04382415,0.11906124,0.05924752,0.07521665,0.063568,0.07755884,0.08076486,0.08149487,0.11259792,0.12652113,0.10901809,0.1578056
0.09735388,0.10728113,0.09580086,0.10527011,0.13983121,0.09206413,0.11256699,0.08725997,0.07182399,0.12317175,0.07944651,0.12543789,0.08826603,0.13116955,0.11350473,0.09157133,0.08909128,0.10571565,0.09712335,0.0785313,0.06445861,0.0628494,0.0577073,0.16316421,0.16746741,0.17170482,0.09722915,0.00087959,0.13238405,0.13259937,0.12910226,0.10862993,0.11371886,0.00526809,0.08881263,0.10413195,0.10070099,0.07384673,0.08258168,0.13660046,0.11790471,0.07433769,0.11692098,0.11816916,0.13767177,0.17446657,0.06058919,0.13042912,0.11414475,0.1085804,0.09168124,0.09081162,0.09942509,0.08228892,0.06974452,0.08350415,0.10192645,0.14982087,0.15317526,0.14259432,0.10200261,0.13748555,0.13565104,0.14686751,0.09441328,0.10591162,0.04435315,0.12210925,0.05896786,0.0710716,0.06176885,0.07988467,0.08386214,0.08399598,0.11205905,0.12435223,0.10542788,0.1675387
0.09768074,0.10083348,0.08921756,0.09664262,0.14102794,0.09018362,0.11076685,0.08803881,0.07445512,0.13104818,0.08303849,0.12990763,0.08675388,0.12506393,0.10857242,0.09036573,0.08662563,0.09875435,0.09464581,0.07591861,0.0664467,0.06475087,0.05972059,0.15240336,0.1554141,0.16019798,0.08952865,0.0008437,0.11931811,0.11950654,0.11488194,0.104579,0.10957627,0.00469894,0.08653432,0.09957245,0.09711034,0.07262637,0.08253507,0.1408004,0.11611381,0.07242568,0.11655269,0.1147164,0.13797839,0.1773173,0.06013295,0.134507,0.11926258,0.1140343,0.08602487,0.08512532,0.09056008,0.08258654,0.07037415,0.08376256,0.09517638,0.15537277,0.15510345,0.14357822,0.09777012,0.13276547,0.12427674,0.1329326,0.08066382,0.10146519,0.04278195,0.11809386,0.05812409,0.06927191,0.06112473,0.07706622,0.08013611,0.0823294,0.10538916,0.12616916,0.109888,0.16064036
0.09690483,0.10475903,0.09160166,0.10259133,0.14092616,0.08744728,0.10991632,0.08331082,0.07211204,0.11945607,0.07933045,0.12357487,0.08321445,0.1298203,0.10787481,0.08853366,0.08430332,0.09998479,0.09643227,0.07791794,0.06292883,0.06138696,0.05766108,0.15264946,0.15815569,0.16046847,0.09309804,0.00087426,0.12163298,0.12182887,0.11546212,0.10231334,0.105823,0.00485397,0.08835709,0.09875662,0.09962076,0.07341667,0.08286525,0.13331623,0.11198005,0.07837565,0.11076828,0.11191709,0.13172491,0.17443121,0.05494904,0.1295686,0.11520083,0.11029298,0.081694,0.08092353,0.08643952,0.08266783,0.06604365,0.08404549,0.10046181,0.14739043,0.15039107,0.13792791,0.09382523,0.13511058,0.12532409,0.13498334,0.08133338,0.09916706,0.04351224,0.11377563,0.0546915,0.07037662,0.05971834,0.07627799,0.07912552,0.08371437,0.11207039,0.12333835,0.10426824,0.1597886
