"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.00742527,0.01236186,0.00809474,0.00810556,0.01533939,0.00864469,0.01050808,0.00645041,0.00837818,0.01431627,0.00605509,0.0119054,0.01423164,0.0127174,0.0094241,0.01423889,0.00699608,0.00868498,0.01300824,0.01024485,0.00372572,0.00358172,0.00301366,0.01881006,0.01964282,0.01768702,0.00758,7.6e-07,0.01087368,0.01091717,0.01208229,0.0090179,0.00970783,2.403e-05,0.00682087,0.00872487,0.00830564,0.00504036,0.00624531,0.01317635,0.01181658,0.01400227,0.01133499,0.0162498,0.01412581,0.02126315,0.00596244,0.01377166,0.00838383,0.00836612,0.00589735,0.00580225,0.00712085,0.01367349,0.01049446,0.01365406,0.00957281,0.01364788,0.01528048,0.01198865,0.01676083,0.01716319,0.01083392,0.01153624,0.00675284,0.01009686,0.00347578,0.01086638,0.00409165,0.0047357,0.00376524,0.00502474,0.00535305,0.00680449,0.01536504,0.01223112,0.00898418,0.01614168
0.00850951,0.01044113,0.00655078,0.00830239,0.0149961,0.00982945,0.00950001,0.00563897,0.00727131,0.01686423,0.00585793,0.01316465,0.01180022,0.01238784,0.01067002,0.01248981,0.00631373,0.00903683,0.0117217,0.00786628,0.00362363,0.00339628,0.0030778,0.01891603,0.01998264,0.0179262,0.0073027,6.8e-07,0.01110742,0.01115373,0.01304446,0.01061088,0.01127726,2.127e-05,0.00679664,0.00971968,0.00875294,0.00446603,0.0056347,0.01427128,0.01205275,0.01433004,0.01229469,0.01452422,0.01446255,0.02272333,0.00627471,0.01330937,0.00810485,0.00807489,0.00730073,0.00723624,0.00946126,0.0111507,0.010929,0.01014446,0.00754303,0.0122597,0.01355266,0.01127559,0.01716921,0.01749371,0.01080553,0.0109585,0.00856881,0.01234616,0.00337253,0.01275557,0.00403325,0.00482146,0.00404999,0.00522157,0.00562704,0.00658172,0.01342046,0.01310743,0.00977238,0.01577479
0.00712598,0.0103032,0.00676875,0.00800091,0.01403946,0.00897183,0.00966354,0.00595341,0.00734708,0.01489348,0.00577392,0.01286924,0.0115628,0.01294117,0.01012474,0.01121679,0.00615301,0.00879067,0.0112107,0.00943021,0.00349588,0.00335443,0.00317202,0.01914899,0.01842681,0.01829132,0.0071827,7.9e-07,0.01089551,0.01093859,0.01348608,0.00894191,0.00956421,2.715e-05,0.00616025,0.00915056,0.0078289,0.00418441,0.00555302,0.0125889,0.01133822,0.01309059,0.01117729,0.014588,0.01290338,0.0200774,0.00567296,0.01261153,0.00779708,0.00795456,0.00631131,0.00624698,0.00830193,0.01174122,0.00976227,0.01141302,0.00775191,0.01160879,0.0130891,0.01090471,0.01624469,0.01717443,0.01118101,0.01141864,0.00836843,0.01000814,0.00317897,0.01081045,0.00367836,0.00429962,0.00339807,0.00531978,0.0056947,0.00674283,0.01455877,0.01085292,0.00855987,0.01422012
0.00710623,0.0105009,0.00641718,0.00833587,0.01595317,0.01037277,0.01019451,0.00647298,0.0089051,0.01619292,0.00606323,0.01385301,0.01129936,0.01217638,0.01012823,0.01195455,0.00638874,0.00896433,0.0113225,0.00880736,0.00411058,0.00386272,0.00303284,0.01796048,0.01928855,0.01714865,0.00731882,8.3e-07,0.01131779,0.01136181,0.0132743,0.00878221,0.00950066,2.119e-05,0.00629573,0.01113463,0.00839091,0.00427053,0.00535848,0.01449956,0.0131526,0.01412883,0.01387232,0.01518627,0.01515025,0.02078692,0.00619162,0.01458069,0.00879417,0.00869651,0.00624924,0.00616316,0.00818551,0.01177928,0.01284463,0.01184008,0.00712627,0.01324216,0.01474212,0.01254252,0.01901551,0.01578084,0.01224156,0.01194436,0.00773422,0.00991722,0.0034807,0.01060763,0.00407665,0.00406769,0.00384187,0.0054969,0.0059724,0.00652534,0.01483115,0.014146,0.01011193,0.01536171
0.00755515,0.00989421,0.00656784,0.00839058,0.01433196,0.010541,0.01016504,0.00578994,0.00740299,0.01492099,0.00522764,0.01282642,0.01182114,0.01210217,0.0098709,0.01217747,0.00614322,0.00810566,0.01137774,0.0092299,0.00378131,0.00358179,0.00284287,0.0186264,0.01995051,0.01771393,0.00656621,7.3e-07,0.01059026,0.0106323,0.01276562,0.00955218,0.01023318,2.403e-05,0.00702269,0.01031919,0.00847391,0.00439903,0.00567073,0.0139245,0.01266248,0.0116409,0.01250007,0.01576921,0.01421468,0.02136505,0.00578221,0.01352975,0.00812342,0.0081615,0.006079,0.00598886,0.00799443,0.01225943,0.01072185,0.01196613,0.00787045,0.01235936,0.01421651,0.01269722,0.01627079,0.01769254,0.01146281,0.01192856,0.0074914,0.01059157,0.00335012,0.01164401,0.00406163,0.00439972,0.0039653,0.00521544,0.00555964,0.00628848,0.01517556,0.01208345,0.00971325,0.01556558
0.00847655,0.01255149,0.00791707,0.00901225,0.01496895,0.01043796,0.01009926,0.00598555,0.00959387,0.01486468,0.00604329,0.01212336,0.01421557,0.01410887,0.01013152,0.0144634,0.00734175,0.00966075,0.01210789,0.00969455,0.00447213,0.0042515,0.00326729,0.01769133,0.01882554,0.01678674,0.00857999,7.2e-07,0.01193267,0.01198348,0.01463249,0.01024714,0.01101389,2.563e-05,0.00711696,0.010334,0.00861266,0.0058508,0.00684741,0.01431062,0.0132918,0.01577657,0.01327524,0.01902379,0.0150903,0.02093628,0.00598975,0.01373062,0.00808554,0.00835515,0.0071678,0.0070751,0.00918748,0.01184496,0.01011922,0.01132906,0.00903857,0.01439973,0.0145625,0.01221963,0.0162589,0.01914797,0.01190549,0.01224742,0.00815472,0.01203112,0.00337556,0.01231519,0.00499059,0.00490208,0.0049614,0.00555481,0.00611027,0.0070454,0.015121,0.01218187,0.00868349,0.01476183
0.00816775,0.01166097,0.00744877,0.00889263,0.01608713,0.00997507,0.0089692,0.00578632,0.00684874,0.01616236,0.00560636,0.01337302,0.01254312,0.01312161,0.00959301,0.01273264,0.00662738,0.00930181,0.0126456,0.00989827,0.00363543,0.00350354,0.00312799,0.01783511,0.01977072,0.01698582,0.0077111,6.7e-07,0.01072731,0.01076989,0.01335401,0.00916722,0.00974839,2.325e-05,0.0073053,0.00880861,0.00929804,0.00478791,0.00605923,0.01369176,0.01297028,0.01466171,0.01131081,0.01635758,0.0144239,0.02140102,0.0059879,0.0129165,0.0082035,0.0083113,0.00614011,0.00606196,0.00784284,0.01425734,0.0109809,0.01351187,0.00838063,0.01317569,0.01424162,0.01225374,0.01725883,0.01817805,0.01121667,0.01168108,0.00757756,0.01027108,0.00333928,0.01096246,0.0039234,0.00507804,0.00404696,0.00528171,0.00569844,0.00621526,0.01387606,0.01235711,0.00973066,0.0148184
0.00751604,0.00988712,0.00710348,0.0089899,0.01526154,0.01028963,0.00891565,0.00675316,0.00674614,0.0147242,0.00533789,0.01223343,0.01064948,0.01129179,0.01005956,0.01100698,0.0060104,0.00953933,0.00998234,0.0069912,0.0037992,0.00365527,0.00286672,0.0190632,0.01933466,0.01813846,0.00794196,8.3e-07,0.01064697,0.01069006,0.0133112,0.00984072,0.01056922,2.378e-05,0.0068571,0.01041748,0.00849168,0.00512638,0.0060414,0.01422087,0.01432489,0.01346237,0.01373039,0.01493206,0.01433419,0.02201795,0.00616546,0.01336669,0.0078963,0.00779923,0.00710667,0.00700049,0.00959004,0.00990046,0.010014,0.00955882,0.00782333,0.01304358,0.01529121,0.01274526,0.01710636,0.01515566,0.01109717,0.01133236,0.00895797,0.01137429,0.00325249,0.01185974,0.00368113,0.00433439,0.00344084,0.00569747,0.00629024,0.0061924,0.01380679,0.01239361,0.00919536,0.01614858
0.00850002,0.01061178,0.00683778,0.007567,0.0155146,0.00921218,0.0098132,0.00597477,0.00774541,0.01793718,0.00597771,0.01352674,0.01225573,0.01224806,0.01031527,0.01210725,0.00623675,0.0084696,0.01078777,0.00753809,0.0037919,0.00357732,0.00306515,0.01691699,0.01757968,0.01600496,0.00687978,7e-07,0.01005647,0.01009392,0.0118902,0.00898551,0.00969143,2.218e-05,0.00637492,0.01010568,0.00846085,0.00466845,0.00585553,0.01383003,0.01265807,0.0124898,0.01218912,0.01539677,0.01581728,0.02103227,0.0062064,0.01409117,0.00774257,0.00788231,0.00606597,0.00600007,0.00811357,0.01121584,0.01041958,0.01096687,0.00760254,0.01177726,0.01304279,0.01067697,0.01717039,0.01636525,0.01020113,0.01039891,0.00594174,0.01006837,0.00323834,0.01099843,0.0039394,0.00435181,0.0036024,0.00513638,0.00565931,0.00652296,0.01180984,0.01265215,0.00922604,0.01395056
0.00809761,0.01080392,0.00757025,0.0090522,0.01489669,0.00973368,0.00951152,0.005956,0.00720825,0.01455193,0.00571549,0.01304814,0.01069676,0.01213578,0.00924947,0.01150482,0.00608174,0.00825266,0.0111031,0.00813368,0.00363301,0.00347848,0.00310529,0.01749795,0.01859921,0.01689218,0.00757819,7.5e-07,0.01001293,0.01005373,0.01217495,0.00879272,0.0093327,2.487e-05,0.00723985,0.00983214,0.00893056,0.00494059,0.0060635,0.01325387,0.01210273,0.01478925,0.01125521,0.01386827,0.01384195,0.02200523,0.00481244,0.01363766,0.00792403,0.00790666,0.00591219,0.00581562,0.00770636,0.01094233,0.00909442,0.01102828,0.00886769,0.01288088,0.01412038,0.01120249,0.01539619,0.01615874,0.01044346,0.01088911,0.00675228,0.00988563,0.00341781,0.01060932,0.00353153,0.00445544,0.00342563,0.00504587,0.00547505,0.00691037,0.01436643,0.01264044,0.00962702,0.01549741
0.00773284,0.01114179,0.00717762,0.00895078,0.01441387,0.00949906,0.00974947,0.00658101,0.00718708,0.01580519,0.00623345,0.01309117,0.01325927,0.01241829,0.01025569,0.01318901,0.00707246,0.00911836,0.01082078,0.00849109,0.003763,0.00357867,0.00306008,0.01957214,0.01976923,0.0187388,0.00768598,7.1e-07,0.01152312,0.01156908,0.01424531,0.01016952,0.01102853,2.086e-05,0.00646842,0.00952566,0.00807929,0.00459767,0.00565518,0.01376626,0.01281227,0.01428786,0.01367504,0.01553452,0.01414435,0.02159592,0.00554868,0.01320441,0.00774208,0.00756601,0.00718313,0.00707805,0.00949002,0.01029968,0.00986735,0.01099759,0.00828502,0.01310811,0.01473188,0.0119321,0.01670284,0.01786577,0.01126264,0.01173133,0.00885339,0.011478,0.0033824,0.01240482,0.00451756,0.00456763,0.00482639,0.00482441,0.00530317,0.00688956,0.0142319,0.01099075,0.00939683,0.0151388
0.00745548,0.01085746,0.00680677,0.00782677,0.01393442,0.00989216,0.00967013,0.0060679,0.0089995,0.01356431,0.00558901,0.01183796,0.01110249,0.01216371,0.00875672,0.01097438,0.00597398,0.00865716,0.01049946,0.00772255,0.00370012,0.00354141,0.0032991,0.01662626,0.01641249,0.01593024,0.007254,7.6e-07,0.01085721,0.01090055,0.01282284,0.00881476,0.00956898,2.346e-05,0.00616514,0.00971901,0.00819841,0.00494151,0.00586589,0.01290782,0.01138295,0.01494235,0.0109726,0.01482372,0.01293187,0.01997633,0.00567629,0.01244605,0.00806268,0.00800351,0.0062777,0.00617183,0.00792142,0.00978277,0.00869742,0.00970363,0.00734361,0.01246121,0.01353026,0.01041196,0.01464131,0.01494141,0.01089666,0.01143695,0.00732088,0.00990323,0.00320895,0.01069049,0.00357497,0.00412871,0.00336663,0.00445819,0.0048092,0.00701812,0.01549088,0.01146685,0.00865687,0.0146813
0.00866083,0.01024864,0.00752619,0.00976829,0.01510162,0.0109798,0.00935253,0.00640879,0.00777043,0.0152946,0.0059548,0.0121743,0.01286328,0.01230403,0.01076043,0.01238845,0.00680117,0.01057295,0.01277495,0.00932374,0.00366973,0.003471,0.00304826,0.01748024,0.01872449,0.01663632,0.0084049,7.5e-07,0.01183308,0.01187996,0.01504407,0.00950074,0.01034532,2.519e-05,0.00671439,0.01002429,0.00923801,0.004782,0.00577336,0.01319575,0.01301141,0.01418675,0.01322732,0.01529931,0.01365299,0.02009507,0.00516924,0.01332663,0.00812881,0.00805183,0.00622385,0.00615261,0.00811815,0.01298328,0.01122263,0.01305658,0.00821862,0.01437359,0.01536767,0.01221824,0.01777332,0.01644325,0.01208849,0.01194678,0.00798227,0.01078302,0.00328134,0.01154114,0.00415912,0.00478796,0.00424718,0.00562914,0.00604133,0.00733312,0.01641242,0.01317146,0.00901506,0.01717853
