"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.17336274,0.26968933,0.15456442,0.19013411,0.33707185,0.09415207,0.26724273,0.13570348,0.10742558,0.34311843,0.16573699,0.24472046,0.15751939,0.29584495,0.2085336,0.17349721,0.1913957,0.28069641,0.16096668,0.13495348,0.13263084,0.1360573,0.13712916,0.25033302,0.241437,0.25634704,0.24374592,0.0022141,0.21479434,0.21593292,0.21224666,0.16808101,0.16812728,0.01013289,0.17912431,0.16192033,0.20336937,0.1629203,0.14560663,0.26134236,0.20851682,0.1289026,0.21255864,0.20878568,0.37764453,0.39434728,0.10581807,0.35057596,0.21979996,0.20423553,0.10282749,0.13966289,0.15394328,0.15301216,0.13575108,0.1544657,0.19363069,0.18937461,0.20078587,0.19053507,0.23047207,0.28928178,0.17419259,0.20855093,0.09556784,0.16736298,0.06353985,0.1541642,0.10278373,0.15510543,0.0863936,0.15179927,0.15786657,0.15802892,0.12232938,0.22324852,0.21241114,0.24179706
0.18377699,0.28653709,0.1649346,0.20418779,0.32857071,0.09549732,0.28956938,0.13543942,0.11479702,0.35324077,0.18577624,0.24985554,0.1654311,0.30346165,0.21912838,0.18462026,0.2011017,0.2911831,0.16509667,0.14577702,0.14604017,0.1497698,0.14437825,0.25154903,0.24190704,0.25608553,0.27026808,0.00210815,0.21618403,0.21749621,0.22042963,0.17128564,0.17253338,0.01085301,0.18932186,0.17755128,0.21228993,0.18049807,0.16748679,0.26881134,0.21101466,0.12359659,0.21574716,0.2232707,0.39049194,0.40443635,0.11445368,0.35767901,0.22467154,0.20650669,0.10390199,0.14311501,0.15729919,0.16909018,0.15019779,0.17095615,0.20664624,0.19105272,0.20275158,0.19392739,0.25018338,0.30636236,0.17639728,0.21034703,0.09902576,0.17036665,0.07087459,0.15784041,0.11279035,0.17514587,0.09528804,0.15344413,0.16070256,0.15873384,0.12224141,0.2257428,0.22861974,0.24948762
0.17733331,0.27002062,0.16023178,0.18972715,0.32663976,0.08998683,0.26925883,0.13285225,0.10877461,0.33532581,0.17191103,0.23767164,0.15592893,0.29503338,0.2124719,0.17001468,0.19422816,0.2832119,0.15946032,0.13686506,0.13982233,0.14397358,0.14179263,0.24452207,0.23401098,0.25046509,0.24998355,0.00235623,0.21060018,0.21182571,0.21121052,0.16102054,0.1630731,0.0101409,0.18039443,0.15927031,0.20020541,0.16852907,0.15033721,0.25200532,0.19422988,0.12389589,0.19822951,0.21206711,0.37371066,0.39086723,0.11072468,0.34742081,0.21335884,0.19703902,0.10468721,0.14014725,0.15701886,0.15638588,0.13813233,0.15849133,0.19652384,0.18737553,0.19831856,0.18880579,0.23924698,0.28246636,0.17046439,0.20596481,0.10255645,0.16063087,0.06194394,0.14582499,0.10627045,0.15894254,0.08868596,0.14911678,0.15636856,0.15728598,0.11475361,0.22405085,0.21347134,0.23823476
0.17211847,0.27140927,0.15462545,0.18853286,0.31301539,0.09349335,0.27268847,0.13927396,0.10989312,0.33960107,0.1669904,0.24600383,0.14933597,0.29627826,0.2080774,0.16458283,0.1867507,0.27955541,0.15458705,0.13219733,0.13221527,0.13616751,0.13589337,0.23741732,0.22668299,0.24394175,0.24076813,0.00225226,0.20213562,0.20327116,0.19981564,0.16298292,0.16508237,0.01050844,0.17312721,0.15427059,0.19361081,0.16450416,0.15144093,0.25116153,0.19838302,0.11877528,0.20357296,0.2063968,0.37624226,0.38547318,0.10464313,0.34249534,0.21981096,0.20205512,0.10157248,0.13209191,0.14803864,0.15023574,0.12746416,0.15289312,0.18942145,0.19028884,0.20296891,0.18959456,0.22281087,0.27768232,0.16253898,0.19951967,0.0942935,0.161878,0.05939643,0.15104195,0.10150374,0.1558453,0.08594474,0.14449128,0.15124833,0.15152206,0.11448469,0.22081641,0.20836684,0.2379662
0.18030757,0.27879467,0.15966487,0.193478,0.33458836,0.08909053,0.26335691,0.1288814,0.11359834,0.34655311,0.17112276,0.24860736,0.14709065,0.30321756,0.21483354,0.16213528,0.18532183,0.28568496,0.16307648,0.13738955,0.13611473,0.13842178,0.13195881,0.23591379,0.2258421,0.24140517,0.25820156,0.00231391,0.20638436,0.20770292,0.20427536,0.15952979,0.15960046,0.01040444,0.18614028,0.1699489,0.20678561,0.17497302,0.15970342,0.25988399,0.20031663,0.12910037,0.20365584,0.20668593,0.38326561,0.39329511,0.11201514,0.34787157,0.22060255,0.20247031,0.10559429,0.14027175,0.15728449,0.15895125,0.14186366,0.16095411,0.19820558,0.18795082,0.19738158,0.18992719,0.2409434,0.29459569,0.17171904,0.2041456,0.10320724,0.15894645,0.06323621,0.14539154,0.10643633,0.16713924,0.09018458,0.15106415,0.15957376,0.16001179,0.11021713,0.225466,0.213222,0.23916076
0.1881563,0.29147587,0.16975411,0.20735315,0.35528372,0.09842988,0.2845283,0.13598217,0.11878254,0.36071575,0.17990608,0.24995514,0.16169267,0.31384707,0.22749535,0.17981148,0.20219968,0.30191179,0.17387217,0.14792353,0.14617784,0.14981946,0.14530219,0.25292723,0.24551056,0.26144056,0.26465896,0.00212163,0.22327558,0.22471598,0.22380529,0.1737465,0.17292505,0.01111865,0.20046426,0.17435234,0.22185384,0.18632295,0.1681951,0.2711449,0.21170919,0.12889092,0.21568563,0.22992417,0.39929382,0.4093645,0.11659478,0.36675212,0.22549263,0.20864762,0.11104033,0.15048897,0.16754217,0.17327006,0.14964577,0.17503982,0.21209614,0.19348258,0.20662221,0.19606194,0.25121845,0.30423787,0.18143032,0.21472066,0.10206881,0.17341585,0.06890291,0.15865051,0.11446672,0.18044415,0.096292,0.16051048,0.16862658,0.16989817,0.11824257,0.23668286,0.22087449,0.24832154
0.17389813,0.26609163,0.14949541,0.1781763,0.30762949,0.09014826,0.2519965,0.13400615,0.10506191,0.34315958,0.15946166,0.24656153,0.14508121,0.30122391,0.21603446,0.16405381,0.18783765,0.28348401,0.14937561,0.12698254,0.13299933,0.13624784,0.1326636,0.23030809,0.21870622,0.23756384,0.23595486,0.00224179,0.19284371,0.19396849,0.19477146,0.15498093,0.15719469,0.01035929,0.16759203,0.15768503,0.18970725,0.15604758,0.14309252,0.25533568,0.18666575,0.12014679,0.19122495,0.20064302,0.38087674,0.39427342,0.10234584,0.35391054,0.21683024,0.20307964,0.10175976,0.13648229,0.14870825,0.14468075,0.12429126,0.14685509,0.18243142,0.18862795,0.19840594,0.18865539,0.22080402,0.27700265,0.16186721,0.19010956,0.09418448,0.1540181,0.05827124,0.14213265,0.10126199,0.14958385,0.08218052,0.14535164,0.15261548,0.15325845,0.11282816,0.21479706,0.20611337,0.23463667
0.17954581,0.27893756,0.16314935,0.19575421,0.32984381,0.09367342,0.27163922,0.13489297,0.11059848,0.34735851,0.17547345,0.25120828,0.15868283,0.30019088,0.21982534,0.17297827,0.19450523,0.29089793,0.16612743,0.14114755,0.14239163,0.14667604,0.14113069,0.26147022,0.25119264,0.26879825,0.25702646,0.00228949,0.21939647,0.22053811,0.22138693,0.17612475,0.17621773,0.01076363,0.18605739,0.16600934,0.20793363,0.16708782,0.15055443,0.26214767,0.20711856,0.12540958,0.21009381,0.21302938,0.3885407,0.40110469,0.104409,0.36009648,0.22097106,0.202137,0.10606452,0.14540682,0.16053327,0.16531596,0.1494805,0.16721516,0.2018099,0.18793722,0.19806907,0.18774725,0.25397272,0.2930964,0.17948678,0.21825588,0.0986803,0.17597786,0.06311129,0.16133405,0.11562136,0.16330139,0.09351741,0.14747155,0.15522574,0.15792945,0.12611386,0.22326686,0.22029235,0.25331279
0.17869098,0.27295929,0.15923677,0.19583792,0.32962579,0.09233103,0.27034506,0.14123691,0.10913261,0.34968019,0.17174274,0.24945578,0.14802603,0.29700787,0.21285275,0.16335302,0.18530482,0.2801775,0.16089647,0.13804892,0.1312894,0.13547003,0.13219425,0.2453181,0.23571678,0.25253006,0.24734239,0.00228315,0.20306236,0.20422217,0.2052204,0.16602727,0.16699323,0.00986285,0.18544143,0.15718154,0.20566368,0.16937917,0.15226801,0.2658351,0.20750173,0.12071577,0.21035432,0.2051266,0.38233319,0.40392241,0.11399886,0.35514871,0.22257115,0.20496566,0.10468089,0.13884052,0.15199489,0.15729556,0.13886607,0.16015715,0.19678177,0.19009207,0.20129462,0.18905429,0.2340136,0.29028483,0.16720988,0.20032479,0.09203596,0.16508518,0.06522648,0.15032141,0.10904382,0.16275349,0.08997087,0.14935743,0.16030048,0.16112162,0.11771794,0.23171914,0.21496017,0.23704424
0.18623518,0.28243683,0.16237279,0.20306871,0.3458862,0.09770965,0.27426764,0.13650307,0.11114599,0.36040776,0.16829268,0.25784794,0.15782064,0.31172859,0.22452579,0.17739701,0.1965696,0.29721917,0.16785787,0.14169349,0.13767689,0.14210625,0.14712712,0.2387692,0.22880673,0.24309427,0.25346504,0.00234645,0.21124833,0.21258646,0.21573576,0.16046799,0.16198374,0.01029051,0.19311811,0.16491334,0.21199891,0.17522502,0.15707826,0.27584617,0.21182726,0.13734287,0.21498716,0.22422804,0.40214799,0.41858395,0.11801389,0.36854138,0.22499381,0.20674916,0.10322371,0.14233252,0.15570571,0.1637454,0.14299533,0.16636062,0.20794097,0.18812243,0.20138301,0.19062607,0.23784354,0.29975856,0.1736294,0.20617325,0.09682814,0.16015811,0.06585297,0.14619651,0.10486596,0.17036268,0.08836706,0.15864501,0.16772094,0.16722593,0.11565231,0.23673636,0.21667282,0.24366701
