"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.02063617,0.05645816,0.0173663,0.03970382,0.07257806,0.00977549,0.05893551,0.01538059,0.00898557,0.06913571,0.03928333,0.04820603,0.03105971,0.06229227,0.03772,0.03866022,0.0373659,0.05389958,0.0307193,0.02077126,0.02642086,0.02561091,0.02955984,0.03569244,0.03935885,0.03519933,0.0494634,5.2e-06,0.03981434,0.04014446,0.04239775,0.03060216,0.02828128,0.00010938,0.03989591,0.0337596,0.05256995,0.03115329,0.03174207,0.05209135,0.04300206,0.03159055,0.04746877,0.04969668,0.07366946,0.08212676,0.02502499,0.06803303,0.03665728,0.03412268,0.00484692,0.02038656,0.01876806,0.04319684,0.03215763,0.04125567,0.04180241,0.01687637,0.01755443,0.01400696,0.04937066,0.05721044,0.02188963,0.02846551,0.00895341,0.03055421,0.00708349,0.02308223,0.01600387,0.03513726,0.00739844,0.02131491,0.01795999,0.01836493,0.01194877,0.03131528,0.04189999,0.02948655
0.0239576,0.05885962,0.01982771,0.04768392,0.06912795,0.01067006,0.06753235,0.01496177,0.01010649,0.07142622,0.05214356,0.04791071,0.03387609,0.06079632,0.04099918,0.04236088,0.04009018,0.06067552,0.03391142,0.02507772,0.03290094,0.03160156,0.03151328,0.03464517,0.03807956,0.03465109,0.05788711,4.4e-06,0.03976944,0.04014349,0.04196013,0.03011606,0.02879523,0.00011924,0.04443129,0.04237781,0.05583605,0.04204722,0.04446988,0.0522116,0.04254726,0.02480527,0.0474839,0.05399334,0.07647072,0.08341053,0.02916501,0.06774296,0.03651621,0.03290648,0.00490275,0.02138112,0.01860844,0.05068011,0.0397899,0.04977149,0.04704909,0.01626286,0.01734745,0.01413833,0.05564687,0.06244747,0.01975679,0.0267742,0.01034601,0.03033126,0.00936356,0.02357427,0.01783664,0.04614885,0.00840793,0.02060394,0.01801982,0.01769327,0.01173009,0.03145282,0.04868044,0.03161414
0.02172588,0.05201628,0.01796668,0.03855728,0.07082532,0.00811291,0.06017193,0.01361382,0.01015285,0.06890523,0.04200645,0.04654797,0.02908382,0.05639456,0.03540571,0.0364866,0.03334157,0.05285043,0.03180368,0.02178315,0.02975014,0.02847286,0.02989012,0.03320896,0.03656366,0.03209274,0.05176478,5.86e-06,0.03768436,0.0380613,0.04111259,0.02579139,0.0243067,0.00010631,0.03875277,0.03415874,0.05000076,0.03527572,0.03525043,0.0480619,0.03962432,0.03009092,0.0443784,0.0490279,0.07400153,0.08088702,0.02777732,0.06923313,0.03328316,0.03046362,0.00477237,0.01737762,0.01726828,0.04473209,0.03336105,0.04415915,0.04293841,0.01515782,0.0160967,0.01298043,0.05268564,0.05688358,0.01967586,0.02628575,0.01039201,0.02572481,0.00686963,0.01909249,0.01501534,0.03979625,0.00758263,0.02090502,0.01802277,0.01805224,0.01041862,0.03316563,0.04257419,0.02916646
0.0209066,0.05015799,0.01680016,0.03884003,0.06626447,0.00858738,0.05886375,0.01561256,0.00960345,0.06969099,0.03934612,0.05187607,0.02721269,0.05832128,0.03781661,0.03706962,0.032863,0.05436982,0.031537,0.02035118,0.02688305,0.02603609,0.02726705,0.03231826,0.0361525,0.032179,0.04534558,4.67e-06,0.03482279,0.03517742,0.03676188,0.02756745,0.02618628,0.00011298,0.03562066,0.03139676,0.04777395,0.03278027,0.03559318,0.04657275,0.03878943,0.02609022,0.04318638,0.0448121,0.07128194,0.08329724,0.02304883,0.06905407,0.03754046,0.03292527,0.00505398,0.01657814,0.01650328,0.04311716,0.02816659,0.04198542,0.03958991,0.0172397,0.01830104,0.01473282,0.04467752,0.05334291,0.01875618,0.02404908,0.00962494,0.02732214,0.00633615,0.020044,0.01320644,0.03708075,0.00673321,0.02114677,0.01759109,0.01752131,0.01029951,0.02885494,0.03810559,0.02729194
0.02268734,0.05449727,0.01763181,0.0413389,0.07054929,0.00885168,0.06070524,0.01330271,0.00975683,0.07135873,0.04187319,0.05145173,0.02712709,0.06095906,0.039449,0.03388181,0.03117523,0.05658304,0.03270778,0.02167154,0.03002314,0.02781822,0.02563696,0.03491982,0.03865476,0.03409754,0.05074536,5.36e-06,0.03584943,0.03624682,0.03875807,0.030626,0.02900361,0.00010668,0.04225584,0.03667237,0.05161037,0.03626375,0.03746893,0.04775216,0.03828421,0.02999261,0.04239734,0.04410611,0.07367057,0.08126135,0.02634081,0.06848199,0.03780037,0.03289675,0.0049745,0.01921367,0.01876571,0.04569692,0.03523068,0.0443405,0.04286746,0.01531547,0.01620779,0.01358943,0.0502034,0.05663323,0.02138362,0.02766695,0.01085332,0.03074464,0.00777149,0.02270344,0.01521196,0.04034349,0.0075141,0.02206469,0.01777743,0.01805923,0.01066,0.03398339,0.04324491,0.02870631
0.02320107,0.05766846,0.02066412,0.04711978,0.07129084,0.00963476,0.06458629,0.01373297,0.01209431,0.07113361,0.04602346,0.04678758,0.03267216,0.05971892,0.03970695,0.0409655,0.03778533,0.05671251,0.03374119,0.02473911,0.03334653,0.03241329,0.03060726,0.03307105,0.03754876,0.03269009,0.05352121,4.6e-06,0.04026851,0.04068049,0.04446288,0.03178393,0.028745,0.00013829,0.04775275,0.03971724,0.05986102,0.0405403,0.04182041,0.05106049,0.04277518,0.02622348,0.04707383,0.05503869,0.07436498,0.08371762,0.02925267,0.06838529,0.03491862,0.03102963,0.00509706,0.02017827,0.01951682,0.04893612,0.03665877,0.04801858,0.04895347,0.01577536,0.01675323,0.01391045,0.05303895,0.06084911,0.02116333,0.02929084,0.00900621,0.03215141,0.00837757,0.02195348,0.01788659,0.04639177,0.00873282,0.02141135,0.01826662,0.01823415,0.01042176,0.03269916,0.0456311,0.02865596
0.02052186,0.04916016,0.01643435,0.03567856,0.06410779,0.00803259,0.05825225,0.01369805,0.00838885,0.07006502,0.03565978,0.05046386,0.02832678,0.06135959,0.04052774,0.03802097,0.03503469,0.05571145,0.03004922,0.02007387,0.02843449,0.02784204,0.02861041,0.0297796,0.03338185,0.02936092,0.04287203,5.13e-06,0.03105929,0.03144194,0.03677418,0.0252513,0.0244958,0.0001031,0.03532827,0.03238005,0.04387941,0.02725035,0.02857993,0.04591788,0.03358217,0.02533825,0.03729212,0.04688493,0.07215452,0.08119615,0.02384434,0.06628769,0.03511118,0.03251556,0.00480736,0.01759549,0.0159819,0.04159775,0.02593986,0.04008418,0.03732999,0.01581631,0.01665794,0.0140692,0.04454503,0.05355724,0.01789492,0.02131653,0.00741671,0.02534206,0.00644158,0.02005539,0.01347919,0.03230143,0.00579493,0.02021412,0.01778545,0.01805145,0.01043371,0.0294101,0.03988016,0.02642562
0.02235214,0.05504524,0.01859735,0.04279282,0.07197542,0.00967153,0.06278148,0.01372062,0.00942013,0.07234556,0.04336484,0.05222816,0.03273174,0.05903749,0.04115102,0.04228137,0.03911754,0.05828648,0.03430952,0.02342922,0.03310687,0.03257339,0.0318227,0.0406442,0.04301529,0.04015255,0.05523048,5.67e-06,0.03960854,0.03990193,0.04451071,0.03399826,0.03221645,0.00011555,0.04298117,0.03556191,0.05402996,0.03410689,0.03497775,0.04970595,0.04253435,0.02604453,0.04636601,0.05005054,0.07593036,0.08218835,0.02455399,0.07206629,0.03656698,0.03306203,0.00504456,0.02193885,0.01938684,0.04785542,0.03989071,0.04620545,0.04554331,0.0165979,0.01723026,0.01453209,0.05650898,0.05978874,0.02165386,0.02854899,0.00906807,0.03428593,0.00647245,0.02506211,0.01808839,0.04064594,0.00911965,0.02108683,0.01876403,0.01887689,0.01204943,0.03424593,0.04821459,0.03194723
0.02251786,0.05387145,0.01831466,0.04295851,0.07196089,0.00879444,0.05946276,0.01478925,0.00978184,0.07030048,0.0452577,0.04816702,0.02664326,0.05702226,0.03918798,0.0341484,0.03176221,0.05678586,0.03334428,0.02266229,0.02492917,0.02438239,0.02529057,0.03655017,0.0399998,0.03644469,0.05081667,5.56e-06,0.03476263,0.03514631,0.03854487,0.03205628,0.0303182,0.00010315,0.04321529,0.0319478,0.05427468,0.03403201,0.03405097,0.04953154,0.04194785,0.02281811,0.04597789,0.0438004,0.07270937,0.0832286,0.02925077,0.0676921,0.0351772,0.03009171,0.00490726,0.01816043,0.01679172,0.04679815,0.0364739,0.04575193,0.04338184,0.0163599,0.01716411,0.01367729,0.05052808,0.05989225,0.01889899,0.02502699,0.0077672,0.0320405,0.00729716,0.02318501,0.01858942,0.03986896,0.00829793,0.01873906,0.01879576,0.01900394,0.0112315,0.03366621,0.04376348,0.02924738
0.02396402,0.05650286,0.01932529,0.04525686,0.07779116,0.00976722,0.06263677,0.01432382,0.00976276,0.07429788,0.03999296,0.0527239,0.030178,0.06320635,0.04076889,0.0397413,0.03635649,0.05783513,0.03536344,0.02397996,0.02624806,0.02524459,0.03129351,0.03460008,0.03822393,0.03393308,0.05046785,6.07e-06,0.03938072,0.03978258,0.04263034,0.02858547,0.0272418,0.00011089,0.04772026,0.03751779,0.05814861,0.03579194,0.0356752,0.05493684,0.04365865,0.03482734,0.04756688,0.05340741,0.07910064,0.08915287,0.0314348,0.07534792,0.03566693,0.03251842,0.00486873,0.02087401,0.01866297,0.04916178,0.03871249,0.04762828,0.04739779,0.01533743,0.01652766,0.01323473,0.05108655,0.06071439,0.02170086,0.02986839,0.00804559,0.02859552,0.00754897,0.02071644,0.01658709,0.04292205,0.00774983,0.02321041,0.02017386,0.0202947,0.0104513,0.03598615,0.04597637,0.03094198
