"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.07024375,0.08112952,0.06609009,0.09202682,0.14048359,0.02538369,0.09521425,0.05606102,0.0355947,0.13139616,0.08863102,0.09644989,0.0807091,0.08581217,0.0952637,0.0896402,0.10428028,0.09340825,0.0951529,0.0734975,0.07231387,0.06834914,0.07042017,0.07699263,0.08006723,0.07719896,0.10632407,0.0001962,0.08404501,0.08232143,0.06815166,0.05256215,0.00228019,0.05363263,0.09273048,0.09867939,0.09594193,0.08312617,0.14113889,0.07155471,0.0727923,0.07413489,0.11520476,0.14880471,0.18783222,0.06796697,0.1338878,0.10039438,0.09632792,0.06369761,0.04677121,0.06392392,0.10317276,0.06669789,0.10046382,0.09259403,0.04368252,0.04708748,0.05233409,0.08108444,0.11713614,0.05455371,0.05541441,0.03717141,0.0173399,0.0651875,0.07139891,0.08832336,0.05212051,0.10367804,0.110158,0.10967158,0.04545424,0.10622318,0.10074891,0.05986361
0.07221693,0.08078854,0.06553264,0.08972072,0.14707924,0.02603948,0.09685522,0.05872423,0.03848949,0.13426082,0.09579058,0.10085109,0.07592784,0.09145546,0.10395234,0.08599524,0.10670101,0.10411282,0.09806277,0.07402177,0.0712599,0.06659443,0.06996227,0.07833865,0.07913638,0.07686526,0.10902899,0.00016728,0.08476873,0.08446751,0.07077452,0.05425309,0.00219194,0.05286583,0.09263238,0.10026923,0.10064776,0.0876569,0.15272864,0.07429253,0.07211482,0.07565941,0.12002002,0.15400319,0.19276596,0.0743433,0.13943844,0.10247222,0.10150306,0.06787659,0.05133444,0.06392997,0.10367342,0.07330169,0.09820364,0.08955995,0.04223648,0.04800319,0.05212569,0.08760736,0.11751351,0.05676516,0.05316427,0.03695339,0.01943219,0.06704544,0.0739578,0.09800597,0.05479079,0.10805762,0.11388027,0.11088112,0.04929425,0.10691851,0.10439214,0.0608912
0.0730468,0.07489393,0.0594362,0.08526902,0.14881857,0.02587298,0.09469244,0.0596072,0.03442922,0.13137041,0.09115466,0.09949485,0.07563034,0.08289569,0.09276756,0.0844649,0.09817974,0.09169069,0.09484459,0.074412,0.07275106,0.06966726,0.07188565,0.0785576,0.07950822,0.07575271,0.11003434,0.00026297,0.082609,0.08259931,0.07302819,0.05536375,0.00246983,0.05251652,0.09056455,0.10134133,0.09641416,0.08536841,0.14199511,0.07135872,0.07056673,0.07518142,0.11565229,0.15187338,0.18478014,0.06585802,0.12946618,0.099843,0.09291066,0.06570922,0.04949725,0.0647369,0.10486365,0.07070469,0.09916092,0.08393272,0.04670445,0.05185309,0.05454534,0.08442759,0.11978538,0.05670646,0.05308925,0.03518229,0.01811812,0.07120765,0.06827306,0.09140965,0.05133389,0.10219355,0.10838814,0.10978177,0.04695592,0.09971122,0.10269726,0.06185745
0.0698639,0.0804995,0.06886422,0.09345229,0.14792392,0.02358759,0.09290065,0.05636452,0.03951927,0.13330281,0.09763459,0.10464544,0.07633408,0.09292884,0.10490922,0.08753529,0.10362281,0.10044268,0.10189225,0.07906297,0.07581257,0.07170014,0.07150126,0.08241425,0.08201513,0.0804884,0.11453693,0.00018658,0.08966678,0.08745782,0.07269185,0.05538514,0.00271543,0.05556748,0.09307539,0.10616896,0.10609774,0.09136007,0.1485523,0.07339178,0.07071728,0.07633272,0.1177929,0.15695696,0.18587563,0.06975792,0.14149265,0.10806406,0.10099539,0.06717321,0.04956456,0.06979955,0.10967342,0.07184584,0.10230695,0.09200801,0.04458535,0.04722322,0.05060371,0.09316916,0.11739564,0.05940677,0.05721321,0.03360351,0.01615527,0.07099875,0.07426927,0.10148833,0.05458114,0.10786562,0.11591928,0.1108595,0.04927804,0.09940011,0.10760937,0.06579455
0.07412772,0.07796933,0.06640541,0.09093412,0.1427891,0.02733893,0.09759535,0.05894165,0.03918703,0.13968087,0.09969133,0.10414138,0.0800498,0.08820897,0.10749949,0.08577857,0.10809921,0.10154666,0.10309425,0.07660435,0.07423307,0.06973525,0.07201633,0.07838843,0.08057333,0.07967879,0.11883795,0.00034739,0.08746121,0.08487524,0.07708467,0.0590488,0.00267512,0.05710822,0.09368143,0.10434979,0.09944921,0.08790502,0.14515827,0.07769208,0.07067386,0.07722122,0.11661653,0.15481157,0.18915555,0.07638883,0.13751727,0.10637917,0.10189085,0.06987692,0.05174894,0.06820977,0.11013533,0.07885997,0.1072912,0.09094338,0.04514959,0.0491915,0.05336953,0.09447031,0.12393189,0.0582432,0.05486958,0.03872704,0.01807006,0.07306081,0.07625601,0.09848312,0.05627724,0.10467266,0.11330089,0.11026126,0.05151126,0.10877273,0.10721697,0.06610586
0.07129974,0.07608853,0.06250326,0.09219215,0.13847623,0.02520665,0.09234751,0.05733925,0.03699178,0.13558615,0.09422221,0.10020299,0.07550651,0.08762674,0.10384829,0.08243199,0.10796171,0.10215379,0.10198182,0.07481017,0.07060945,0.06653754,0.06931796,0.07831255,0.07792624,0.07513288,0.10996275,0.0002058,0.08121721,0.08323327,0.07153529,0.0542142,0.00232023,0.05433152,0.09256901,0.10316713,0.09762682,0.08462362,0.13791916,0.07211095,0.07335171,0.07406365,0.11685381,0.15025785,0.18973348,0.06657774,0.13504656,0.10229894,0.09830806,0.0661021,0.04934926,0.0643867,0.1064376,0.07038442,0.09969473,0.09126502,0.04302202,0.05012788,0.05297697,0.0857616,0.11826943,0.05471262,0.05237116,0.03533497,0.01812997,0.0700356,0.07091828,0.0954866,0.04907864,0.1086565,0.11419596,0.11141252,0.04854574,0.09999238,0.10611347,0.06324163
0.07237237,0.07970249,0.0633624,0.08502774,0.14047366,0.02574894,0.09040496,0.05339098,0.03522473,0.13295419,0.09061217,0.09836921,0.08337522,0.08457456,0.09965966,0.08874626,0.10852597,0.10098538,0.09526663,0.07533092,0.07636796,0.07156596,0.07254354,0.07127251,0.06977393,0.07055094,0.11505224,0.00025349,0.08284435,0.08356035,0.07316628,0.05586361,0.00237582,0.04965941,0.08464183,0.097247,0.09671576,0.08618763,0.14063054,0.07177929,0.064254,0.07431688,0.11978234,0.1457441,0.18854611,0.06545762,0.13472944,0.10351326,0.09750726,0.06596292,0.05086382,0.06341052,0.09578489,0.07350547,0.08834473,0.0864092,0.04217894,0.04586297,0.05013725,0.09150301,0.12555907,0.05272672,0.05227051,0.03136753,0.01864965,0.07195596,0.06976976,0.09404123,0.05328272,0.1056046,0.11240456,0.11070846,0.04667692,0.10097954,0.09868844,0.06199075
0.07232496,0.07741886,0.06623382,0.08902293,0.13995399,0.02661172,0.09327291,0.05664064,0.03944415,0.13288484,0.09320199,0.0997073,0.07654766,0.08477982,0.09714511,0.08574779,0.10657982,0.09693117,0.10402594,0.07784135,0.07406731,0.06965741,0.07324488,0.08011708,0.08099579,0.07611612,0.10729529,0.00024399,0.08192028,0.07924324,0.07068043,0.05319219,0.00228379,0.05390847,0.08989005,0.10237337,0.09622598,0.08604163,0.13561061,0.07202579,0.07184589,0.07222934,0.1154378,0.14905545,0.18831607,0.06621132,0.12989509,0.10206966,0.09655174,0.06682907,0.05049273,0.0621389,0.10907307,0.06898618,0.10410615,0.08773749,0.04278402,0.04745321,0.04934213,0.08723699,0.11801777,0.0538048,0.05260139,0.03424255,0.01800617,0.07029068,0.07508099,0.0939095,0.05067747,0.10395386,0.11026802,0.11067031,0.04695671,0.09678838,0.10474679,0.06217622
0.06919791,0.07352569,0.06113197,0.08922698,0.13858675,0.02196881,0.09478354,0.05505329,0.03515415,0.1307545,0.08635715,0.09405044,0.07728399,0.08366763,0.09540096,0.08642562,0.10213317,0.09382579,0.09124315,0.07334309,0.07282867,0.06922422,0.06888808,0.07237308,0.07322218,0.06943695,0.10279876,0.00031943,0.08333044,0.07971796,0.06868243,0.05207078,0.00200391,0.05029253,0.08802353,0.09571968,0.09376936,0.08330105,0.13987087,0.07197293,0.06810786,0.07202241,0.11510485,0.15189189,0.18742742,0.06757013,0.13688789,0.09864544,0.09211082,0.05974438,0.04527451,0.06292116,0.10061806,0.06856007,0.09427258,0.08896127,0.04261637,0.04765081,0.04973885,0.08162386,0.11562241,0.05644921,0.05230907,0.03417392,0.01633233,0.0630438,0.07071471,0.08693605,0.04953953,0.10533805,0.11000617,0.10825189,0.04735532,0.10536367,0.09927903,0.06164064
0.0711385,0.07335011,0.06387979,0.09126726,0.14104904,0.02300676,0.09227378,0.05662847,0.03601405,0.13014615,0.08645429,0.09609048,0.07432207,0.08220745,0.09043018,0.08328344,0.10221145,0.09202703,0.09591302,0.0768959,0.06787178,0.06326606,0.06662066,0.07373838,0.07198683,0.0686138,0.10821597,0.00034073,0.08414699,0.08309746,0.07037662,0.05597156,0.00227979,0.05270982,0.08274751,0.0927903,0.09601377,0.08587003,0.13826802,0.07303278,0.07346137,0.07679323,0.11207624,0.15370486,0.18660224,0.06517493,0.13151527,0.09638803,0.09422286,0.06896487,0.05140645,0.06131075,0.1033101,0.06431275,0.09789373,0.08904168,0.04321918,0.04874193,0.05300892,0.07966005,0.12046021,0.05172251,0.04905296,0.02924825,0.01756532,0.06860251,0.06646317,0.09103863,0.04942879,0.09940532,0.10608432,0.10770001,0.04614493,0.10194033,0.10495279,0.06126902
0.06514531,0.07483795,0.0598126,0.08659891,0.13867146,0.02533009,0.09859924,0.05579955,0.03578554,0.12973749,0.08906105,0.09720095,0.07170361,0.08409184,0.09860144,0.0829602,0.10328328,0.09680399,0.08736175,0.06921397,0.07422747,0.0704426,0.07112584,0.07631888,0.07680625,0.07813329,0.10984704,0.00033009,0.08506946,0.08431776,0.06623583,0.05132809,0.00241873,0.0499147,0.0859537,0.09294974,0.09150461,0.07746618,0.14144976,0.06945104,0.06962361,0.07193705,0.11513112,0.14708609,0.18604569,0.06499819,0.12873553,0.09902982,0.0933069,0.06498049,0.04904776,0.06278214,0.09815166,0.07284083,0.09131971,0.08837757,0.0413491,0.04774951,0.0497145,0.08662326,0.1177515,0.05257658,0.05187792,0.03048645,0.01717874,0.06280036,0.07112103,0.08647592,0.04944696,0.10512428,0.11142599,0.11193798,0.04569465,0.10018418,0.09598575,0.06254971
0.07282783,0.08271911,0.06918317,0.09150421,0.1384024,0.02467812,0.09646651,0.05999804,0.03966758,0.13514599,0.09731523,0.10180612,0.08032808,0.09045622,0.09405797,0.08737288,0.1049889,0.09231387,0.10566242,0.07809666,0.07886558,0.07493412,0.07635059,0.07915612,0.07868264,0.07692684,0.11523498,0.00024399,0.08687804,0.08538234,0.07507411,0.056041,0.00312777,0.0547365,0.0937905,0.10304288,0.10228988,0.08913024,0.14375319,0.07535511,0.07517341,0.07685404,0.11805364,0.14792568,0.18513833,0.07620116,0.12925276,0.10618663,0.10277789,0.06852753,0.05066442,0.06562462,0.11075331,0.07629946,0.10795587,0.09512116,0.04301678,0.04845161,0.05134671,0.09201513,0.12204275,0.05672072,0.05424861,0.03599596,0.01943783,0.0721885,0.07353257,0.10203042,0.05716212,0.10231608,0.11094405,0.10705464,0.05257594,0.09980216,0.10684059,0.06328119
