"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.07157789,0.06317357,0.0549271,0.07684174,0.11277777,0.011818,0.08258743,0.04366342,0.02620668,0.12136135,0.0800059,0.08790766,0.07317814,0.08463663,0.10141385,0.08282903,0.08887527,0.08207066,0.07091867,0.06311748,0.06074474,0.06226314,0.04622341,0.06434402,0.06398462,0.06199387,0.07882877,0.00055974,0.05976981,0.06102162,0.07117515,0.05599239,0.05597749,0.00476876,0.053705,0.05104512,0.08267065,0.08726484,0.07861472,0.10288156,0.05538839,0.04823648,0.05525725,0.09896255,0.12702722,0.14658102,0.07132562,0.11465896,0.07039958,0.06870468,0.05523353,0.05516294,0.0563071,0.08214551,0.06779747,0.07555764,0.08594013,0.02980917,0.03349569,0.02661109,0.0769915,0.0905543,0.04948825,0.05160661,0.02712223,0.05590562,0.02012849,0.05292392,0.07062026,0.0836474,0.04448179,0.09800358,0.09202486,0.10262993,0.04188382,0.08767759,0.07009509,0.05749379
0.07476827,0.06825425,0.05535465,0.08031129,0.12044072,0.01294732,0.08384352,0.04547363,0.0275223,0.12213072,0.08646345,0.09139733,0.07452296,0.0864583,0.10020416,0.0832898,0.08781682,0.08601361,0.07118938,0.06592997,0.06221257,0.0639217,0.04697707,0.06443471,0.06540734,0.0636265,0.08414783,0.000598,0.06708302,0.06877602,0.0749895,0.05968929,0.06212989,0.00518728,0.05624769,0.05297095,0.08411968,0.09277809,0.08189133,0.10629974,0.05613032,0.04880656,0.05723918,0.10450694,0.12653647,0.1490098,0.07250651,0.11689265,0.0781063,0.07447422,0.05384965,0.05343537,0.05391892,0.0822136,0.07121396,0.07708296,0.08744404,0.03160505,0.03596495,0.02833403,0.0820028,0.09441729,0.05540278,0.0567574,0.02639449,0.05997177,0.02318819,0.05597769,0.06982927,0.08950208,0.04606262,0.09942672,0.09197348,0.10145917,0.04275996,0.0922632,0.07223174,0.06065882
0.07785336,0.06924554,0.05514531,0.0789083,0.11350999,0.01177537,0.08916692,0.04447245,0.02921766,0.11925653,0.0857646,0.09042543,0.08473081,0.08923923,0.09913423,0.08981259,0.08908653,0.08504644,0.07292276,0.06842461,0.07034028,0.07146034,0.05185313,0.06039524,0.06104048,0.05896544,0.08628322,0.00071111,0.06563173,0.0660015,0.07613311,0.05962337,0.0612612,0.0051232,0.05510128,0.05566414,0.08987171,0.09512722,0.08375211,0.10740716,0.05769726,0.04968844,0.05768248,0.1099901,0.12420748,0.14604724,0.06850594,0.11698642,0.07812807,0.07461061,0.06346125,0.06285356,0.05905349,0.08279536,0.07214398,0.07972322,0.08597088,0.03310328,0.03644088,0.02833463,0.08594839,0.1013451,0.05310869,0.05689399,0.03132933,0.05982321,0.02374149,0.05600324,0.07462358,0.09230438,0.04441685,0.10242226,0.09498515,0.10723234,0.04392981,0.08557968,0.07435493,0.05864761
0.07030274,0.06718318,0.05494765,0.07745204,0.11777281,0.01179438,0.09008139,0.04585944,0.02967743,0.12388039,0.09009954,0.09423671,0.07560099,0.08624889,0.09703207,0.07914786,0.08613213,0.08451071,0.06933224,0.06309303,0.06374422,0.0646038,0.0478526,0.06471071,0.06641973,0.06441465,0.08708346,0.00060881,0.06444521,0.06581341,0.0751265,0.0564219,0.05754731,0.00434334,0.05388889,0.05655615,0.08668447,0.08792112,0.07891281,0.10638943,0.05602847,0.04920781,0.0569425,0.10408948,0.1295371,0.15205423,0.0704896,0.11945836,0.08160035,0.07841981,0.05223848,0.05249944,0.05370769,0.08145942,0.07527956,0.07800849,0.08765016,0.03262763,0.03707856,0.02873864,0.08588363,0.093414,0.05442543,0.05686174,0.02880724,0.0572114,0.02416036,0.05249308,0.07223223,0.08787786,0.0427582,0.09858858,0.09256236,0.10184422,0.03810555,0.09152732,0.07460769,0.06065762
0.07007724,0.06534694,0.05448048,0.07743381,0.11284512,0.01154154,0.08398298,0.04399804,0.03148368,0.11665817,0.07927928,0.08467331,0.06946757,0.08071565,0.09423924,0.0768042,0.08378434,0.07862253,0.06580179,0.06267303,0.05810586,0.05993558,0.0443252,0.06821801,0.07070314,0.0673218,0.07744204,0.00067015,0.06287899,0.06411549,0.0749393,0.05885661,0.06191151,0.00463114,0.0511634,0.04821722,0.0807657,0.09058302,0.08021339,0.10536506,0.06155984,0.05143081,0.06121485,0.10298555,0.12183093,0.14525964,0.06969259,0.11192216,0.07008104,0.06629908,0.05827684,0.0589889,0.05866077,0.07952512,0.06538396,0.07526797,0.08432662,0.03158196,0.03486845,0.02739715,0.07803703,0.09164844,0.0514436,0.05778134,0.02829073,0.05982418,0.02192471,0.05851595,0.0723068,0.08810829,0.04419019,0.09683677,0.09007431,0.09828072,0.0411661,0.08746056,0.06834209,0.06417969
0.07326265,0.06657933,0.05728598,0.08077877,0.11279318,0.01377621,0.08279359,0.04522834,0.02970946,0.11761032,0.08270058,0.08780598,0.07556331,0.08434626,0.09426755,0.08064602,0.08507899,0.07995411,0.07348276,0.06558834,0.0664253,0.06715832,0.0502998,0.06589139,0.06788098,0.0659629,0.0799903,0.00064809,0.06645802,0.06806782,0.07721189,0.05990398,0.06365263,0.00502196,0.0553231,0.05034586,0.08592036,0.09300151,0.08290566,0.09893263,0.06053673,0.05007908,0.06102578,0.10710168,0.12755045,0.14276795,0.06440318,0.11766975,0.07528556,0.07188364,0.05986125,0.0602048,0.05646825,0.08505617,0.06802072,0.08088472,0.08597108,0.03331055,0.03789,0.03056472,0.07821922,0.09245794,0.05386865,0.05693938,0.03028199,0.06113731,0.0193949,0.05879824,0.07406556,0.09414906,0.04534935,0.10305906,0.09650388,0.10561055,0.04315483,0.08846422,0.07442937,0.06415994
0.07547126,0.06406306,0.05449308,0.07906631,0.11156801,0.01257794,0.08760204,0.04639163,0.02720821,0.1194094,0.08495974,0.09023361,0.07883443,0.08561305,0.09649417,0.08395323,0.08660104,0.0821209,0.07176945,0.06495771,0.06573678,0.06778779,0.04946266,0.06192268,0.06316761,0.0605264,0.08354664,0.00061225,0.06347066,0.06449948,0.07393383,0.05514078,0.0580178,0.00537135,0.05373291,0.05606726,0.08432276,0.09066867,0.08161693,0.10505613,0.05837729,0.04945264,0.0589181,0.10711555,0.12519258,0.15016132,0.06862356,0.1157007,0.07880745,0.07447964,0.05273661,0.05366736,0.05137428,0.08300018,0.07361409,0.07780228,0.08805754,0.03415609,0.03750344,0.02968166,0.0825992,0.09609027,0.054254,0.05572448,0.02826614,0.05667357,0.02335854,0.05331387,0.0716246,0.08881232,0.04449825,0.09941359,0.0917999,0.10224408,0.03756116,0.08742142,0.07574619,0.06071319
0.07403954,0.06807612,0.05546922,0.07868969,0.11281629,0.0131435,0.08856327,0.04704448,0.02939327,0.12217954,0.08457651,0.09371747,0.07496187,0.08782739,0.0989097,0.08366162,0.08988498,0.08492331,0.06939383,0.06765256,0.06628929,0.06695605,0.04823174,0.06170145,0.0640446,0.06055363,0.08064759,0.00061756,0.06708408,0.06824318,0.07656564,0.05393665,0.05766274,0.00663555,0.05355549,0.0565993,0.08592212,0.09530409,0.08496701,0.10728026,0.05538466,0.04371629,0.05572236,0.1103067,0.13088879,0.15257808,0.07005946,0.12023823,0.07840716,0.07427664,0.05583358,0.05682974,0.05200895,0.08309503,0.07291656,0.07412793,0.08533371,0.03330074,0.03713842,0.02938998,0.08210642,0.09525349,0.05495195,0.05713021,0.02967956,0.05487425,0.02422898,0.05246306,0.07180681,0.09446777,0.0444472,0.10053543,0.09307125,0.10493633,0.04098635,0.09532211,0.07340331,0.06240565
0.07511952,0.06552597,0.05564824,0.07770014,0.11237237,0.01211271,0.09016314,0.04434742,0.02628728,0.1190372,0.08428633,0.08907251,0.07669681,0.08677015,0.09632232,0.08272116,0.08703675,0.08700694,0.06849747,0.06448218,0.06526726,0.06679083,0.04891485,0.06550879,0.06680455,0.06439898,0.07888372,0.00069188,0.06464214,0.06634785,0.07540508,0.05719438,0.05832749,0.00451335,0.0545562,0.04910386,0.08060825,0.09086651,0.07835836,0.10116717,0.05610748,0.04586506,0.05653164,0.10121793,0.12540328,0.1471977,0.06992736,0.11825977,0.07327747,0.07155685,0.05703798,0.05655695,0.05375904,0.07946646,0.0708058,0.07466942,0.08223975,0.03213457,0.03703547,0.02875359,0.07629689,0.09243855,0.05437814,0.055826,0.02859719,0.05780901,0.02517509,0.05351679,0.07206757,0.08939119,0.04635283,0.10036046,0.09265421,0.10308246,0.03846366,0.0930645,0.07483373,0.06305305
0.074022,0.0628269,0.05421015,0.0761203,0.1101489,0.01222066,0.08701195,0.04448705,0.02754512,0.11744829,0.08487763,0.08851511,0.07368426,0.08490598,0.09593052,0.07897296,0.08613423,0.08383583,0.06551739,0.06095735,0.06344955,0.06412937,0.04697657,0.0602011,0.06247486,0.05994494,0.08194939,0.00056116,0.06278449,0.06401729,0.07282647,0.05441137,0.05507892,0.00526751,0.05361249,0.05025309,0.08015399,0.08776006,0.07785665,0.10127371,0.05498795,0.0453531,0.05515613,0.10010658,0.12502582,0.14649743,0.06627627,0.11476456,0.07632271,0.07103091,0.05616536,0.05616416,0.05483134,0.07595135,0.06674213,0.07169039,0.08948192,0.03200311,0.03606917,0.02865061,0.078525,0.09553163,0.04773231,0.05143059,0.03246941,0.05500064,0.02563643,0.05126116,0.07137477,0.08366811,0.04426797,0.10136696,0.09314831,0.10436581,0.03939904,0.08666538,0.07277096,0.05999994
