"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.44007669,0.49361106,0.4549589,0.50619776,0.44007009,0.38767969,0.46988198,0.40929485,0.27813675,0.47767649,0.30208567,0.54393271,0.2873472,0.60243386,0.49185915,0.28942519,0.39596811,0.49535225,0.32695788,0.2574813,0.28584545,0.26226381,0.25536219,0.62216064,0.61466259,0.62649685,0.36355654,0.01391821,0.58175733,0.58689585,0.51423761,0.4133984,0.4644444,0.05578874,0.41521695,0.35074521,0.45427952,0.35285738,0.33676338,0.4293606,0.58581995,0.24186649,0.58639696,0.40259436,0.56088989,0.49188585,0.22869024,0.4267717,0.59349792,0.55984749,0.42117078,0.43535846,0.42200715,0.26634554,0.16711721,0.26738838,0.48672594,0.59400681,0.67957637,0.62324032,0.25134213,0.44853128,0.65255546,0.6705613,0.44579086,0.40879097,0.14499786,0.47954286,0.24417904,0.30822412,0.28513796,0.35458248,0.37995718,0.4008965,0.3897715,0.50021416,0.46857633,0.6347483
0.44762269,0.50707153,0.44811199,0.48145556,0.44317467,0.37296561,0.46333322,0.3907824,0.28012239,0.4913023,0.30252312,0.56170189,0.29407513,0.59536545,0.50987642,0.30817439,0.41066678,0.49638522,0.32840327,0.23907642,0.29823644,0.27771897,0.26812079,0.61041026,0.61399705,0.62394604,0.35412883,0.01130988,0.58413168,0.58381321,0.5111585,0.40327315,0.44522785,0.06175574,0.41596896,0.36652098,0.45667824,0.3421581,0.33158865,0.43127705,0.57541274,0.23896885,0.56776023,0.39890608,0.54708583,0.50267612,0.23984197,0.40384196,0.58364764,0.54339855,0.43182607,0.44181576,0.42480302,0.25605475,0.1673422,0.25659633,0.48026914,0.58737059,0.67666334,0.62547118,0.2631789,0.44476284,0.63505433,0.64636962,0.43893752,0.4033383,0.14482033,0.47962302,0.2542312,0.30565993,0.28750125,0.3533857,0.38724662,0.40316277,0.3903257,0.49468951,0.45055219,0.62992213
0.47001534,0.52838197,0.46812543,0.52006393,0.45654572,0.3752089,0.46248695,0.39896316,0.27671393,0.50961662,0.31900991,0.56089031,0.31349395,0.61393716,0.53658384,0.33136575,0.44804986,0.5313516,0.34141304,0.26083619,0.29915805,0.27829748,0.26140899,0.62362783,0.6229818,0.64184417,0.38293999,0.01346599,0.59993939,0.59767028,0.51372772,0.41166633,0.4731623,0.05434492,0.41741727,0.35456192,0.45995094,0.35856346,0.33340478,0.42669111,0.56938179,0.24292573,0.57088739,0.41308917,0.58136856,0.50241165,0.23949464,0.42194649,0.59783518,0.56010591,0.43816485,0.46030907,0.43440302,0.27803002,0.17506213,0.27358306,0.49224265,0.57880543,0.68159365,0.6113436,0.28446062,0.4553276,0.66312636,0.67028181,0.44293812,0.4204632,0.14863061,0.49745076,0.25654545,0.31313773,0.29315655,0.35655459,0.38486272,0.42185158,0.37581306,0.53567106,0.4673523,0.64644911
0.45247374,0.52214092,0.4521514,0.49586012,0.44263509,0.3998783,0.45574664,0.38594529,0.30100072,0.51316366,0.3088317,0.56326585,0.30739237,0.61409718,0.52718691,0.31983268,0.42384234,0.5101515,0.3127045,0.24585927,0.29706605,0.2723828,0.27013813,0.6103529,0.61724149,0.63960845,0.35155743,0.01143435,0.59888895,0.60158305,0.51232804,0.38891914,0.44476431,0.05821193,0.37347676,0.35254297,0.44676096,0.352947,0.3273235,0.4225253,0.55807853,0.2246052,0.56481255,0.39983455,0.5742896,0.50444245,0.23337241,0.40697454,0.600011,0.55894382,0.42030762,0.43101851,0.42689608,0.25708335,0.17789484,0.25683949,0.47650644,0.58639112,0.68416973,0.61724507,0.27035123,0.43039429,0.65843274,0.66849187,0.44203262,0.39218679,0.15625363,0.4771317,0.25162776,0.30313345,0.28220588,0.34738806,0.37677651,0.38971121,0.38626279,0.50735913,0.46176564,0.63486553
0.46797883,0.52811021,0.43897833,0.48461415,0.45711527,0.38093585,0.4544753,0.40228474,0.30199322,0.51516087,0.32252751,0.56871261,0.30057746,0.61268923,0.5222083,0.31221787,0.44560606,0.53669795,0.34871352,0.25637526,0.31673834,0.28714497,0.28229548,0.62569293,0.63458942,0.63749859,0.38746382,0.01352852,0.5985197,0.59881555,0.51894216,0.39718755,0.44486303,0.05713487,0.41056327,0.38315427,0.45514288,0.36420598,0.33154841,0.46403118,0.57995041,0.23992152,0.5805895,0.4059326,0.58083394,0.52378201,0.24236284,0.41486669,0.59714467,0.56282739,0.43386587,0.44995197,0.43506648,0.26895887,0.17791028,0.25989236,0.47079815,0.59416839,0.67388061,0.63702292,0.28452692,0.46422198,0.67220253,0.67176345,0.46768134,0.39780208,0.14669562,0.46329544,0.25978609,0.30397588,0.2983312,0.36194795,0.38997366,0.42578523,0.38407963,0.52353763,0.46802274,0.63284665
0.47204818,0.53064757,0.47424667,0.53025091,0.46615354,0.39288082,0.45349458,0.4026706,0.30322296,0.51767941,0.33109698,0.58261984,0.30033705,0.62069888,0.55322862,0.31399889,0.42664183,0.54093227,0.36590985,0.26616433,0.31839594,0.29917373,0.27290926,0.6122491,0.61820823,0.63742741,0.39961083,0.01171294,0.60683047,0.60926359,0.50959082,0.39608225,0.43893947,0.06746699,0.44603598,0.37236539,0.4761807,0.38549039,0.36190374,0.46358471,0.58850162,0.25968335,0.58492317,0.41025295,0.5754399,0.53279503,0.24529789,0.42496397,0.6076579,0.58346738,0.43792682,0.44553387,0.41733086,0.2852524,0.17473374,0.28819893,0.50620321,0.60590751,0.69725481,0.64044688,0.28144033,0.46314388,0.67593661,0.67595755,0.46773878,0.40005574,0.16288144,0.49573972,0.27165028,0.32816434,0.30650568,0.37835733,0.40670012,0.43890896,0.40648155,0.52910865,0.47977026,0.63760905
0.46315539,0.51432725,0.44928446,0.49544255,0.45907487,0.40879132,0.4625536,0.39498725,0.29549278,0.50673026,0.30924968,0.56744676,0.28993046,0.61322412,0.53507302,0.31302116,0.42700304,0.51817084,0.32375866,0.24220803,0.30822606,0.28609945,0.27647098,0.61307191,0.61545356,0.63432102,0.36403226,0.01220533,0.59683613,0.5980329,0.49829568,0.40000767,0.44256478,0.05609154,0.41321282,0.34751123,0.46488517,0.36008992,0.3302415,0.42980439,0.54710211,0.23304223,0.55051488,0.4143241,0.57222027,0.48663592,0.24295103,0.43237825,0.60098347,0.5610846,0.43106679,0.44733552,0.41525179,0.2602522,0.16816184,0.2638434,0.46967678,0.59464942,0.68560803,0.62139652,0.25493174,0.45837828,0.64124286,0.65019729,0.47751435,0.40334368,0.15082552,0.47296376,0.22969491,0.30409667,0.27423994,0.36320439,0.38671575,0.41926831,0.35526626,0.53594833,0.46487751,0.62775555
0.44674514,0.51193625,0.45176098,0.4878107,0.44040294,0.36910028,0.44872099,0.39261953,0.27758803,0.47927571,0.30177093,0.54828015,0.29210712,0.59383093,0.52062165,0.29954528,0.42045906,0.51255521,0.3347898,0.24523794,0.30932283,0.28574398,0.27608857,0.6016293,0.6104749,0.63276491,0.36725239,0.01244766,0.58299882,0.59374481,0.51933784,0.40216606,0.46065336,0.05387227,0.41443498,0.36968529,0.45191043,0.36278677,0.34603142,0.43455044,0.57289041,0.22854462,0.57278574,0.39259888,0.55647472,0.50642943,0.2326743,0.41432977,0.59354508,0.56051422,0.42992726,0.44148291,0.41170519,0.24830601,0.17809828,0.25565415,0.47863617,0.59013471,0.67406883,0.6258335,0.25768183,0.45008893,0.6484576,0.66678641,0.46211574,0.40141537,0.14922127,0.49471024,0.2389804,0.29749106,0.28465745,0.35827626,0.38571323,0.41379007,0.38143549,0.52078335,0.45510509,0.64904864
0.44254156,0.49586117,0.43962159,0.47916995,0.44701831,0.36723526,0.4576847,0.39167319,0.25776627,0.49059738,0.30625268,0.55837058,0.30125799,0.58618105,0.50578648,0.32083546,0.41086968,0.48393393,0.31884432,0.23333113,0.29438897,0.27986181,0.26767883,0.61841178,0.61894971,0.6359303,0.34695182,0.01227461,0.59256906,0.58958941,0.50717008,0.40276985,0.45668889,0.05647734,0.38868683,0.33984873,0.44111865,0.33252091,0.31135401,0.43632149,0.5725758,0.22230476,0.56888051,0.38521745,0.57772512,0.49345412,0.23544346,0.42333765,0.59632255,0.56278864,0.42261249,0.43273144,0.42238059,0.24735761,0.17170998,0.24764708,0.4613142,0.59373887,0.68401788,0.6281511,0.2512527,0.44777236,0.64347164,0.65262057,0.45680107,0.40610534,0.15159134,0.48674924,0.23230663,0.28779272,0.26790202,0.34769987,0.37663818,0.40563405,0.37256996,0.52360833,0.44021483,0.6278034
0.45169896,0.51366821,0.44369989,0.49781704,0.45620328,0.38591885,0.4743455,0.39725232,0.27529867,0.49927081,0.31156551,0.55709372,0.28841191,0.61697423,0.52037673,0.30361833,0.42191591,0.51833011,0.33666177,0.24700279,0.30655763,0.27733653,0.27533007,0.62618869,0.62821648,0.64639439,0.3676018,0.01311029,0.59674886,0.5999224,0.51073186,0.41146231,0.46342897,0.0507995,0.40768823,0.36426419,0.44964702,0.33830498,0.31463646,0.452259,0.57884252,0.24566518,0.5710668,0.40216065,0.58340135,0.52379741,0.23257565,0.43057125,0.60258585,0.57268437,0.43149372,0.44547067,0.42416866,0.24664061,0.17611485,0.25139797,0.46979866,0.60010009,0.69728506,0.63716141,0.26583469,0.45641408,0.66249623,0.6719294,0.47472163,0.40954903,0.15219065,0.49044086,0.2374769,0.28902191,0.28035151,0.35428922,0.38589783,0.41487594,0.37235186,0.53336384,0.46265795,0.64197551
