"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.16053175,0.14722176,0.16244489,0.1836204,0.17600156,0.18614278,0.18530889,0.12233062,0.08376268,0.17308761,0.11041254,0.17335465,0.11740216,0.16289723,0.17533057,0.12356833,0.16510289,0.17423562,0.15012614,0.10361593,0.11220815,0.09377443,0.08920188,0.15461744,0.15140285,0.14318017,0.14063204,0.00134122,0.13978068,0.14174057,0.13404017,0.1411331,0.15977784,0.01862399,0.15508462,0.13674803,0.17207807,0.13993535,0.12963301,0.18057026,0.16154209,0.09752812,0.15974229,0.17056335,0.1758993,0.20717002,0.0834473,0.16591118,0.15214232,0.15071458,0.1254286,0.13446504,0.13303237,0.11311786,0.046616,0.11181439,0.17085426,0.13806339,0.13506966,0.1295499,0.11905857,0.15268759,0.15872495,0.14414507,0.14100629,0.13875112,0.03791495,0.1670354,0.08894427,0.11461466,0.09747565,0.12573973,0.11821941,0.13033619,0.14819865,0.16759834,0.14273515,0.13501155
0.16755024,0.14918145,0.16194028,0.18160722,0.18233892,0.18006548,0.18546883,0.11690532,0.08002496,0.17482463,0.11583527,0.17827767,0.12151252,0.16573987,0.17876661,0.13584149,0.17059455,0.1737764,0.14689468,0.09239163,0.11693015,0.10155047,0.09468421,0.15662148,0.15513593,0.14602977,0.13849069,0.00109,0.14668144,0.14471354,0.14254416,0.14034139,0.15481139,0.02219462,0.15428954,0.14692376,0.17322346,0.13877306,0.12881428,0.18023292,0.16449505,0.09728014,0.16175934,0.16855118,0.1803956,0.20839797,0.08906438,0.15895136,0.15320062,0.15262845,0.13920414,0.14482589,0.13216671,0.10989288,0.05041117,0.11027108,0.17106973,0.1426541,0.14041582,0.13194836,0.12003353,0.15429168,0.1644969,0.14979018,0.13604502,0.14072286,0.03785256,0.16850148,0.09775709,0.11501878,0.09957336,0.11692944,0.12093184,0.12754178,0.14102839,0.16592426,0.1388082,0.1429836
0.16529467,0.14784661,0.16309971,0.19095322,0.17720884,0.17711783,0.18480265,0.11505671,0.08304219,0.17705714,0.1204455,0.17723809,0.12716494,0.15966003,0.17942624,0.14440006,0.17862047,0.17720588,0.15331839,0.10261757,0.1110616,0.09724414,0.08299451,0.15267573,0.15062651,0.14420946,0.1461826,0.00122099,0.14193033,0.1412733,0.13577362,0.13721723,0.16065692,0.01643427,0.15451669,0.1361475,0.17434442,0.14356442,0.12711679,0.18004004,0.16090093,0.09404312,0.15951862,0.16941134,0.17953436,0.20703975,0.08464327,0.15725552,0.15321134,0.14974799,0.13547086,0.14720114,0.13266084,0.1196105,0.0505549,0.11602212,0.16592113,0.135587,0.13667523,0.12889406,0.13382096,0.15050711,0.16020824,0.14285868,0.1333993,0.14236681,0.04129451,0.16608347,0.0983662,0.11480843,0.10087903,0.1176963,0.11483705,0.13277001,0.14219018,0.16221132,0.13409485,0.13944907
0.1674387,0.15704364,0.16589774,0.18650094,0.18092662,0.1861012,0.18374907,0.11227339,0.09193853,0.1825184,0.1184447,0.17745049,0.12995347,0.16423698,0.18337191,0.14465906,0.17567545,0.17751168,0.14438164,0.09933561,0.1142098,0.09627694,0.09196212,0.15401774,0.15171529,0.14661276,0.13845598,0.00116015,0.14459528,0.144877,0.13830401,0.13286629,0.15684592,0.0188496,0.1355021,0.14114065,0.17432144,0.14333256,0.1275602,0.17600308,0.15873158,0.08811622,0.15965759,0.16679657,0.18343344,0.21169956,0.08548318,0.15933554,0.15672108,0.15952558,0.13622433,0.1401928,0.13824777,0.11152675,0.05766957,0.11093987,0.17310499,0.1382819,0.13704697,0.12807529,0.12576723,0.14465629,0.16045892,0.14447718,0.13811605,0.13431408,0.0465026,0.17142602,0.09444005,0.11298461,0.09901278,0.12124816,0.12418213,0.12543618,0.14193061,0.16544353,0.13725677,0.14005412
0.16437968,0.14852764,0.16212342,0.18087779,0.18043674,0.18558563,0.18303553,0.11721456,0.08942926,0.17582145,0.12057221,0.17455931,0.11814864,0.15549335,0.17747384,0.13332353,0.17797227,0.1760225,0.15089107,0.10038117,0.12484716,0.10665042,0.10079854,0.14986337,0.14745745,0.14182282,0.14608329,0.00142426,0.14304685,0.14262507,0.14189194,0.14068271,0.1602957,0.01865236,0.1495665,0.15008614,0.16932264,0.15175517,0.12896132,0.18552214,0.1658006,0.09293731,0.16571582,0.16708998,0.17385172,0.20987866,0.08343485,0.16180272,0.15006846,0.14971186,0.14167447,0.14805946,0.13174542,0.11198256,0.05666141,0.10245032,0.16824218,0.14109689,0.13858997,0.13530024,0.12784465,0.15243079,0.15828962,0.14310837,0.14765989,0.14188908,0.04142927,0.16654541,0.09722349,0.11584689,0.10356054,0.12009825,0.12002505,0.1357638,0.14437958,0.16564991,0.14733285,0.14442362
0.16359817,0.146675,0.16668004,0.18520452,0.17879632,0.18681334,0.18419802,0.12146753,0.08929451,0.17790274,0.12299155,0.17315782,0.1171909,0.15978372,0.17858992,0.13326232,0.16738626,0.17644578,0.15712844,0.10159635,0.12324773,0.11044683,0.08909388,0.15118211,0.15054073,0.14050525,0.1494561,0.00109758,0.14227731,0.14192304,0.13730873,0.13635194,0.15085799,0.02531771,0.16306623,0.14191985,0.17778282,0.15043394,0.13886845,0.17748059,0.16048334,0.10245767,0.15775623,0.17016829,0.17138667,0.2069844,0.09073936,0.16223268,0.15157952,0.14800061,0.13567244,0.13796158,0.12757111,0.11985125,0.05227419,0.1216134,0.17193592,0.13713747,0.13063168,0.13074299,0.12730124,0.14637216,0.15845876,0.14087395,0.14360997,0.13585725,0.05153177,0.16811695,0.10147402,0.11705019,0.10659437,0.12252338,0.12078119,0.13260953,0.14499308,0.16749207,0.1434662,0.14266223
0.16329222,0.14380041,0.15984758,0.1809833,0.18256966,0.19066786,0.18359939,0.11766679,0.086853,0.17858406,0.11588708,0.17750217,0.11337033,0.16035767,0.17737662,0.13337681,0.17089965,0.17501032,0.14295858,0.09337937,0.12060443,0.10536719,0.09711607,0.15485092,0.15416942,0.14302069,0.13337135,0.00127693,0.14476793,0.14258869,0.13183258,0.13923644,0.15614331,0.01865502,0.15193848,0.13754464,0.17205303,0.14833701,0.12732803,0.1805525,0.1632114,0.08881718,0.16145888,0.16846709,0.17802733,0.2070078,0.09107748,0.16411401,0.15151991,0.14882524,0.13424175,0.14275317,0.12974458,0.10749158,0.05133961,0.10951676,0.16416905,0.14130759,0.13890919,0.13382458,0.11432585,0.14930923,0.16423925,0.14777041,0.14710683,0.14037786,0.04443246,0.17243853,0.08002645,0.10884439,0.09306163,0.12550649,0.12192157,0.13800956,0.13531472,0.16285432,0.13967989,0.13755273
0.16249623,0.14963731,0.15817536,0.18043259,0.16994967,0.17426383,0.17848428,0.11822114,0.08312333,0.1730708,0.11598385,0.17698196,0.11436752,0.16305197,0.17697634,0.12880066,0.16968169,0.17575512,0.14853874,0.08842354,0.12029748,0.10321259,0.09776927,0.15065354,0.15104269,0.14375299,0.13597637,0.00132463,0.14391337,0.14472856,0.14050441,0.13777091,0.1608377,0.01434333,0.15397597,0.14575863,0.16847332,0.14308475,0.13341337,0.18196277,0.16226494,0.08993082,0.1618973,0.16316747,0.17074865,0.20986395,0.08354047,0.16033952,0.14993802,0.15316682,0.13627286,0.14317848,0.13595311,0.09897472,0.05811844,0.10594479,0.16712847,0.13840449,0.13236079,0.12949032,0.1169518,0.14599328,0.15976183,0.14502686,0.14519113,0.13842389,0.0415072,0.17077024,0.08059716,0.10343821,0.09238364,0.12529658,0.12602787,0.13462944,0.14172141,0.17010535,0.14126209,0.13877541
0.16414731,0.14491232,0.16383517,0.18468508,0.17624705,0.17794078,0.18383902,0.11625787,0.07414021,0.17196946,0.11278767,0.17351876,0.12678256,0.16227865,0.17894266,0.14368029,0.17331495,0.17453678,0.14684604,0.09236843,0.11408631,0.10102909,0.0943398,0.1518896,0.15042427,0.14210669,0.13776742,0.0011983,0.14334382,0.13994574,0.13727921,0.13998635,0.15998618,0.02014681,0.15244714,0.13509187,0.17506612,0.13997851,0.12156516,0.17847048,0.16265446,0.09268242,0.1608627,0.16630139,0.17550665,0.21144198,0.08798664,0.16610264,0.15233405,0.15550907,0.13545685,0.13997373,0.13269628,0.10935753,0.05712713,0.10674922,0.16856048,0.13719298,0.13271053,0.13177661,0.11594536,0.14897025,0.1600139,0.14339291,0.14498764,0.14254294,0.04525552,0.17417044,0.0865821,0.10507067,0.09320164,0.11517372,0.11734952,0.12965758,0.14042331,0.17011018,0.14199107,0.13800383
0.1581401,0.14587897,0.15727865,0.17848783,0.17869418,0.18159554,0.18415436,0.11482067,0.07904638,0.1738735,0.1149417,0.17262428,0.11167504,0.16027605,0.17810402,0.12788424,0.17283333,0.17767179,0.15060138,0.09357038,0.12183132,0.10030861,0.10005569,0.14638283,0.14570641,0.13788711,0.13397781,0.00136004,0.14097939,0.14060701,0.13443828,0.13808216,0.15583499,0.01663659,0.14860355,0.13878972,0.16760279,0.13631169,0.11939616,0.1855848,0.16016884,0.09414239,0.15939012,0.16066966,0.17694544,0.20837741,0.0854885,0.16519405,0.15381137,0.15457616,0.13041812,0.13900527,0.13154618,0.10050254,0.05217293,0.10008429,0.16426053,0.13592791,0.1326608,0.13035394,0.12268593,0.14692521,0.15872241,0.14194554,0.1463888,0.13699762,0.04603373,0.16534771,0.0838524,0.10069223,0.09588592,0.11650132,0.11848467,0.12836617,0.13568769,0.16996146,0.13878668,0.13666224
