"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.11065546,0.10542902,0.09069371,0.16187128,0.1708733,0.18248984,0.10340792,0.17617181,0.17608342,0.10391615,0.13712796,0.18128848,0.13765209,0.18644163,0.18636759,0.17401936,0.08802603,0.0756203,0.04224229,0.06434078,0.10915623,0.12450584,0.07641599,0.08494579,0.12738967,0.15827554,0.18810047,0.16060292,0.22500703,0.22107018,0.12518465,0.18805482,0.14438638,0.1427232,0.07949955,0.09094462,0.03900663,0.1048293,0.1016658,0.10411347,0.16901431,0.14776752,0.15757506,0.12543346,0.16565774,0.05236417,0.07853258,0.06250764,0.09071664,0.08509989,0.09171125,0.23162827,0.22650223,0.12435169,0.17892694,0.14071986,0.14065527,0.03901473
0.10940837,0.10444281,0.08911165,0.15507463,0.16477303,0.17632584,0.10140277,0.17314449,0.17225871,0.10116454,0.13375125,0.17659216,0.1306465,0.1837986,0.18402548,0.17178189,0.08583275,0.06999357,0.04152632,0.0606431,0.11062804,0.12139625,0.07709291,0.08522872,0.1273166,0.15621237,0.18088717,0.1521621,0.22332549,0.21903281,0.12395537,0.18251074,0.14329914,0.13477743,0.07799642,0.08811895,0.04073072,0.09999043,0.0977365,0.10002588,0.16617855,0.14422649,0.1547005,0.12176805,0.16001557,0.05231368,0.07882815,0.0604525,0.09281573,0.08738235,0.0950117,0.23003433,0.22408775,0.12326246,0.17577907,0.13922257,0.13301733,0.03949896
0.1120835,0.10684279,0.09271752,0.14563394,0.15418403,0.16397796,0.09542323,0.16700493,0.16611981,0.09506917,0.14029037,0.18193705,0.14222475,0.18129257,0.1814155,0.16870378,0.09221294,0.07487936,0.0417511,0.06030704,0.10942265,0.12673969,0.07568069,0.08395958,0.13257514,0.16156791,0.18734741,0.16141277,0.22261789,0.21991051,0.12642649,0.1822481,0.14279185,0.13418638,0.07965733,0.09110632,0.04382007,0.10149712,0.0987399,0.10104118,0.15997034,0.13839654,0.14715457,0.12650586,0.1579262,0.05312996,0.07697476,0.06323142,0.09257876,0.08746614,0.09409499,0.22847401,0.22407458,0.12535787,0.17815331,0.14007584,0.13289159,0.04130425
0.11153931,0.10629128,0.0909605,0.16460063,0.17378214,0.18408434,0.10210488,0.1830112,0.18179941,0.10450694,0.14379387,0.19070576,0.14330966,0.19223663,0.1922273,0.17887662,0.09278766,0.07049271,0.04175176,0.06191277,0.11049324,0.1283008,0.07678444,0.0853263,0.13804675,0.16434322,0.1940296,0.16498537,0.23672052,0.23119752,0.1252515,0.19274396,0.14931178,0.13783061,0.07902712,0.09135133,0.04288172,0.10514324,0.1018206,0.10447364,0.17466431,0.15151666,0.16132763,0.13246485,0.1692942,0.05270625,0.07712132,0.06213257,0.09399841,0.08736053,0.09514315,0.24369559,0.23633348,0.12480707,0.18701493,0.14510302,0.13693727,0.04090289
0.10768167,0.10306384,0.08804694,0.15355505,0.1618825,0.17257527,0.09427572,0.17559004,0.17534369,0.10459682,0.12898332,0.16780068,0.12950086,0.18213299,0.18226072,0.17024351,0.08576832,0.07104295,0.04058887,0.06037016,0.10656409,0.11874192,0.07426567,0.08070041,0.12190332,0.14878907,0.17956524,0.14929887,0.22173692,0.21705352,0.12110007,0.17472007,0.13692195,0.13403875,0.07551402,0.08694124,0.0394225,0.09687201,0.09438415,0.09688764,0.16910802,0.14501489,0.1547082,0.11812533,0.15947912,0.05108173,0.07595468,0.0570908,0.08809013,0.08270275,0.088292,0.22870359,0.22463879,0.12008805,0.16783534,0.13352795,0.13263529,0.03851789
0.11526732,0.11022655,0.09573984,0.15500429,0.16519372,0.17662764,0.1019102,0.17203345,0.1725225,0.10186653,0.13298506,0.17329623,0.13833951,0.18508474,0.18657869,0.17406306,0.09245357,0.08000798,0.04279864,0.063813,0.11307181,0.12960375,0.08191604,0.08701941,0.13023771,0.16162587,0.18668147,0.15696289,0.23380298,0.2306807,0.13095334,0.18093072,0.14369488,0.13539228,0.08113991,0.09283307,0.04043736,0.10209777,0.09952046,0.10166307,0.16624453,0.14551856,0.15510736,0.12232634,0.16284632,0.05713602,0.08208313,0.06406117,0.09473704,0.08767247,0.09474123,0.23812047,0.23391885,0.13012147,0.17352982,0.14089886,0.13312368,0.03970741
0.11145416,0.10604966,0.09260231,0.15586288,0.16339199,0.17257493,0.10278873,0.17794313,0.17618012,0.10223037,0.13931904,0.18115246,0.13727607,0.19000268,0.19029698,0.17846474,0.09133986,0.07172996,0.04253631,0.06172866,0.11205416,0.12690136,0.08156591,0.08865953,0.12966342,0.16096663,0.18591993,0.15967208,0.22404898,0.21946641,0.12505523,0.18588928,0.14739879,0.1374469,0.0780836,0.09002547,0.04079547,0.10306631,0.10035383,0.10235497,0.16956979,0.14801731,0.15750411,0.12515566,0.16680568,0.05564657,0.08133995,0.06354302,0.09177207,0.08563704,0.09213124,0.22943115,0.22480901,0.12340301,0.17967114,0.14303134,0.13547908,0.03930198
0.10966059,0.10512877,0.09271244,0.15416139,0.16321907,0.17243169,0.0980247,0.17499295,0.17288137,0.09692295,0.13581992,0.17748868,0.13584718,0.18511349,0.18563217,0.17481682,0.08948132,0.07833768,0.04089538,0.06080236,0.11096185,0.12600938,0.07471435,0.08284362,0.12974524,0.16155782,0.18735117,0.1567025,0.2289927,0.22507922,0.12904994,0.18065493,0.14125607,0.13312192,0.07957407,0.09013437,0.04293493,0.10077126,0.09753738,0.10036363,0.16776175,0.1443822,0.1533682,0.12132275,0.16243778,0.05226846,0.07546485,0.0601906,0.09224813,0.08517784,0.09239961,0.2336323,0.22799048,0.12756465,0.17441472,0.13767822,0.13110819,0.04110634
0.10463138,0.10027323,0.08981155,0.14455897,0.15240627,0.16322561,0.10157733,0.16834075,0.16627447,0.10213063,0.1355334,0.1774759,0.13353076,0.17793623,0.17888613,0.16622231,0.08691453,0.07041823,0.04147935,0.06208123,0.1039912,0.12166321,0.07742919,0.08395182,0.12472501,0.1558442,0.1786633,0.15366297,0.21884672,0.21614288,0.12196605,0.18043645,0.13776362,0.1301587,0.07642437,0.0867344,0.03912591,0.09877678,0.09628823,0.09889715,0.1616378,0.13930542,0.14799732,0.1238129,0.15376207,0.05350476,0.0780419,0.06381416,0.09061796,0.08439079,0.09107786,0.22523663,0.22042243,0.12220293,0.17228574,0.1342241,0.12846485,0.0391602
0.10369557,0.09869046,0.0857171,0.15204662,0.16076318,0.17135365,0.09991045,0.17040935,0.17035897,0.10261826,0.12883062,0.16828448,0.13290125,0.18103314,0.18200044,0.16905602,0.08485489,0.07010908,0.03921367,0.05746509,0.10761029,0.11717396,0.07298587,0.08008925,0.12248089,0.15435743,0.17885243,0.15671821,0.21747486,0.21351322,0.11785077,0.17574794,0.13822396,0.13406397,0.07498289,0.08497004,0.03652442,0.09850291,0.09574864,0.09797192,0.16367336,0.14008083,0.14973954,0.11953384,0.16010753,0.05054235,0.07410219,0.05931716,0.0870644,0.08211597,0.08806299,0.22423784,0.21974542,0.11882664,0.17009198,0.13556513,0.13220538,0.03564883
