"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.01068958,0.00990251,0.00884017,0.03253274,0.0341882,0.03638939,0.01482809,0.02164892,0.02168217,0.00897438,0.01796448,0.02575685,0.01471481,0.02371857,0.02376113,0.02128564,0.00683864,0.0106429,0.00210046,0.00547821,0.01118583,0.01404628,0.00522722,0.00622011,0.0182987,0.01865317,0.02398731,0.01875695,0.02873353,0.02833222,0.01481445,0.02439458,0.01583989,0.01212035,0.00647606,0.0087689,0.00183299,0.01037146,0.00991496,0.0086621,0.02018945,0.01667361,0.01763106,0.01224967,0.02382142,0.00260462,0.00561182,0.00554284,0.0063261,0.00561524,0.00638074,0.02818378,0.02771599,0.01196855,0.02210137,0.01523783,0.01137136,0.00167031
0.00938811,0.00864446,0.00784532,0.03270182,0.03443638,0.03762417,0.01477954,0.02208034,0.02198429,0.00830185,0.01670548,0.02402781,0.0124769,0.02469195,0.02457027,0.02165712,0.00625457,0.00981643,0.00211333,0.00475735,0.01083551,0.01265024,0.00465773,0.00577473,0.01722931,0.0168399,0.02205634,0.01643347,0.02683636,0.02628047,0.01473461,0.02251549,0.01471727,0.01052478,0.0054912,0.00767824,0.00197628,0.00924569,0.00879705,0.00794449,0.02049713,0.01740862,0.01828938,0.01128514,0.02442162,0.00218692,0.00523639,0.00521526,0.00601316,0.00538386,0.00625686,0.02739773,0.0252697,0.01188615,0.0218168,0.01408429,0.01016338,0.00167366
0.00995878,0.00913164,0.00811701,0.02529292,0.0272063,0.02966826,0.01125428,0.01902346,0.01880676,0.00762958,0.01954399,0.02546275,0.01462973,0.02087026,0.02105887,0.01898282,0.00719232,0.00980963,0.00208115,0.00438796,0.01000481,0.0138129,0.00474395,0.0059711,0.01940735,0.01781093,0.02205373,0.01804836,0.02484529,0.02534196,0.01408605,0.0217635,0.01477229,0.00938949,0.00592764,0.00852163,0.00236112,0.00946189,0.00900153,0.00796683,0.0176048,0.01476097,0.01561612,0.01261007,0.01973485,0.00241732,0.00499127,0.00556608,0.00643098,0.00570758,0.00662454,0.02538553,0.02448754,0.01166112,0.02182504,0.01435459,0.00893516,0.00184947
0.00930774,0.00857588,0.00651646,0.03530193,0.03697543,0.03936845,0.01278777,0.02298298,0.02286795,0.00919868,0.01682102,0.02513633,0.01326013,0.02510276,0.025035,0.02247911,0.00641026,0.00869334,0.00189412,0.00445901,0.01051711,0.01241624,0.00497639,0.00624427,0.01915704,0.01733253,0.02271867,0.0176237,0.02775494,0.02735031,0.01288137,0.02228562,0.01506223,0.00971948,0.00545675,0.00846267,0.00221196,0.01009672,0.00935295,0.00846778,0.02141396,0.01821849,0.01874921,0.01228195,0.0252787,0.00255941,0.00482673,0.00579631,0.00617138,0.00545807,0.00642266,0.02794609,0.02640131,0.01088919,0.02217576,0.01429665,0.00954402,0.0017954
0.00908241,0.00837154,0.00718739,0.03026721,0.03188237,0.03469718,0.01238375,0.02134818,0.021311,0.00904949,0.01677736,0.02212996,0.01305696,0.02302268,0.02325371,0.02086011,0.0060379,0.00958605,0.00199799,0.00486729,0.01036922,0.0124855,0.00500941,0.00559082,0.01698312,0.01694149,0.02211789,0.01685157,0.02496229,0.02483297,0.01476371,0.02222198,0.01469011,0.0104677,0.00554105,0.00817586,0.0020422,0.00894589,0.00852589,0.00775523,0.01994007,0.01655837,0.01739709,0.01180684,0.02352331,0.0025614,0.00528555,0.00479589,0.00605528,0.0053136,0.00610543,0.0246246,0.02417076,0.01188692,0.02131758,0.01416545,0.01005524,0.00173501
0.01012899,0.00932402,0.00804313,0.03006379,0.03214535,0.03487138,0.0152975,0.02191758,0.02167542,0.0093773,0.01668447,0.02352799,0.01500399,0.0237015,0.02392919,0.02112409,0.00684315,0.01102985,0.00216206,0.00539739,0.0108807,0.0140914,0.00613847,0.00623296,0.01854361,0.01879066,0.02362989,0.01819901,0.02901232,0.0281263,0.0155168,0.02206974,0.01556801,0.00998494,0.00605111,0.00866853,0.00182788,0.00975856,0.00930562,0.00817713,0.02051033,0.01750423,0.01775036,0.01205319,0.02354676,0.00306221,0.00612013,0.00548677,0.00641477,0.00568789,0.0064386,0.02740479,0.02564171,0.01239726,0.02139766,0.01501008,0.00947025,0.00159651
0.01060706,0.00972214,0.00872639,0.03430509,0.03525755,0.03674182,0.01694764,0.02354837,0.02352301,0.00931081,0.01884685,0.02575138,0.0150383,0.02604701,0.02629149,0.02352936,0.00725383,0.00983379,0.002222,0.00489842,0.01122827,0.01478831,0.00619973,0.00718564,0.01943638,0.01937986,0.02387774,0.01946852,0.02697112,0.02568465,0.01542417,0.02402553,0.01676154,0.01114594,0.00603994,0.00869637,0.00217388,0.01048406,0.00987111,0.00889145,0.02223916,0.01892147,0.01947556,0.01248884,0.0266033,0.00303101,0.00602283,0.00574712,0.00660276,0.00585049,0.0066796,0.02647361,0.02599653,0.01234784,0.02331463,0.01601204,0.01056786,0.00173672
0.0102315,0.00947968,0.00856639,0.03272763,0.03445162,0.03629296,0.01392681,0.02085213,0.02067855,0.00803296,0.01860627,0.02500523,0.01410048,0.02380293,0.02375237,0.02127175,0.00693872,0.01175405,0.00196274,0.00472918,0.01116396,0.01420835,0.00472325,0.00580952,0.01912164,0.01879356,0.02457707,0.01824542,0.02798973,0.02699896,0.01651358,0.02187121,0.01417274,0.00938901,0.00623185,0.00890608,0.00245373,0.00966026,0.00908156,0.00820138,0.01978533,0.01624186,0.01692776,0.01207093,0.02298435,0.0023576,0.00495652,0.00530575,0.00663727,0.00580696,0.00668803,0.02732385,0.02535062,0.013102,0.02117826,0.01367066,0.00889066,0.00198915
0.00906069,0.00828684,0.00828848,0.02769532,0.02893493,0.03171159,0.0162291,0.02047309,0.02014642,0.00819732,0.01674816,0.02397917,0.01373822,0.0223308,0.02236574,0.02016951,0.00642729,0.00989464,0.00199917,0.0049136,0.01038036,0.01302643,0.00524821,0.0059086,0.0173764,0.01781313,0.02244223,0.01711211,0.02646171,0.02782588,0.01429008,0.02318615,0.01469451,0.01021093,0.00549279,0.0078861,0.00195589,0.00913501,0.00879586,0.0079701,0.01910834,0.0155034,0.01634145,0.01166296,0.02111494,0.00262188,0.00524722,0.00600789,0.00629953,0.00562627,0.00651375,0.02635342,0.02527878,0.01157737,0.02170235,0.01406259,0.00965395,0.00176214
0.00873605,0.00806212,0.00688457,0.03003223,0.03205641,0.03446892,0.01498429,0.0195223,0.01935635,0.00897654,0.01693905,0.02346274,0.01426935,0.02148661,0.0218539,0.01920589,0.00592854,0.00915746,0.00186291,0.00410591,0.0115942,0.01243825,0.0048605,0.00548695,0.01676626,0.0191147,0.02336828,0.0189629,0.02266651,0.02262972,0.01368346,0.02285971,0.01530758,0.0105915,0.0057018,0.00813059,0.00164408,0.01018539,0.00957953,0.00847274,0.01824336,0.01503822,0.01611706,0.01255533,0.02171262,0.0024972,0.00483102,0.00540746,0.00591562,0.00526857,0.00615051,0.02304687,0.02230532,0.01145638,0.02132084,0.01474402,0.00985666,0.0014715
0.00992632,0.00921636,0.00887222,0.02998365,0.03167814,0.03478244,0.01323003,0.02111237,0.02076096,0.00855473,0.01851621,0.02453263,0.01472905,0.02306454,0.02302552,0.02061806,0.00728693,0.01067252,0.00208239,0.00536423,0.01068767,0.01504088,0.00517545,0.00552545,0.01891988,0.018936,0.02405572,0.01855077,0.02739122,0.02670494,0.01685393,0.02353164,0.0148861,0.00968012,0.0059802,0.00876982,0.00232921,0.0096731,0.00914566,0.00819125,0.01978142,0.01619308,0.01694402,0.01242,0.02240877,0.00260497,0.00524106,0.00566318,0.00630122,0.00562399,0.00658701,0.026805,0.0250796,0.01324038,0.0215448,0.01419395,0.00930626,0.00189533
