"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.117538,0.10920949,0.10871954,0.1113106,0.1113668,0.11108571,0.128581,0.15205548,0.16118338,0.12063738,0.06990161,0.09895194,0.12024433,0.13857268,0.14062555,0.14323995,0.11909271,0.08923736,0.06456042,0.09235988,0.13068854,0.13644637,0.13755324,0.11983309,0.11086524,0.10358805,0.14680294,0.13755937,0.14502079,0.14877598,0.12345704,0.14515332,0.14934199,0.14532768,0.1533589,0.14566712,0.14080621,0.1388702,0.14044821,0.13486988,0.14988709,0.14728586,0.16653706,0.08166196,0.14285735,0.13055889,0.11515726,0.13423921,0.11100154,0.12756391,0.12517073,0.14507508,0.14552012,0.12625587,0.14212779,0.14436323,0.14577838,0.12869103
0.11680567,0.11186824,0.10765073,0.10259024,0.10321198,0.10268269,0.13138804,0.15877381,0.17088709,0.1214408,0.07060965,0.1004345,0.11952057,0.14376179,0.14658188,0.14872708,0.11761152,0.0898133,0.06574279,0.09595888,0.13154214,0.13936848,0.14168868,0.12073418,0.11495477,0.10346547,0.14637692,0.13302566,0.14683523,0.1514658,0.12415866,0.14982808,0.15443684,0.14932554,0.15952436,0.1508351,0.14782514,0.14500849,0.14714673,0.14152151,0.15257905,0.14846251,0.17376119,0.08226222,0.1493249,0.1347656,0.11709693,0.13767616,0.11730024,0.12837604,0.12848949,0.14802893,0.14801956,0.12687238,0.14531286,0.14911446,0.14922512,0.13289506
0.1202944,0.11179633,0.11243936,0.11380331,0.11342208,0.11247021,0.12361609,0.15004071,0.16270351,0.1186619,0.07067114,0.10133268,0.12348049,0.14072846,0.14365354,0.14585915,0.12627187,0.09191032,0.06737886,0.09467743,0.13403787,0.13784044,0.13937674,0.11972239,0.11518656,0.10633528,0.15028516,0.14094536,0.14896938,0.15244724,0.12441063,0.14311555,0.15013579,0.14667744,0.15579562,0.14681458,0.14165028,0.14592809,0.14725484,0.14132864,0.14631397,0.14518715,0.16297705,0.08203965,0.14440809,0.1309988,0.11524914,0.13595733,0.11299935,0.12500174,0.12416148,0.15070877,0.14947443,0.12704267,0.13914461,0.14496637,0.14339224,0.1286894
0.11054283,0.10495543,0.10098878,0.10228739,0.10234468,0.10161694,0.11827976,0.14495544,0.15073482,0.11526029,0.07017165,0.09749177,0.11603462,0.12972073,0.13296609,0.13441252,0.11423122,0.0845914,0.06005427,0.09018363,0.12398512,0.12937046,0.13387019,0.11340175,0.10813226,0.09589861,0.14042372,0.12985312,0.14445141,0.14760354,0.12081916,0.13519262,0.14110545,0.13485124,0.14093235,0.13546251,0.13169737,0.132303,0.13300548,0.12830953,0.13988116,0.14041726,0.15801019,0.08321745,0.13472868,0.12505031,0.10920038,0.12428862,0.10779203,0.12017646,0.11892506,0.14512499,0.14459683,0.1228066,0.13189792,0.13659721,0.13408698,0.11834542
0.11614727,0.10954436,0.10349967,0.10929437,0.10858872,0.10799693,0.12036063,0.14341973,0.15511044,0.11368066,0.06715078,0.09518246,0.11866509,0.13415885,0.13690485,0.13912499,0.11582113,0.08261391,0.06479485,0.09210788,0.12698385,0.13151464,0.13291197,0.11412054,0.11205466,0.09874325,0.13883455,0.13023314,0.14767747,0.15024373,0.12171686,0.1370161,0.14302262,0.13770181,0.14632533,0.14068404,0.13326071,0.13960378,0.14086084,0.13610446,0.14112108,0.1395653,0.15695068,0.07860785,0.13946444,0.12543188,0.10944054,0.12603936,0.11253496,0.1272384,0.12718338,0.14689696,0.14694728,0.12352917,0.13254716,0.13731789,0.1377948,0.12549128
0.11468933,0.10888771,0.10663396,0.10604124,0.10740682,0.1065685,0.12182304,0.15030073,0.16469123,0.11631191,0.06600134,0.09409863,0.1177697,0.1403777,0.14325884,0.14560574,0.12066527,0.09005441,0.06557632,0.09332088,0.12681915,0.13461568,0.13329789,0.11598749,0.11489398,0.10359177,0.14182548,0.13023194,0.14630771,0.14961985,0.12128003,0.13685073,0.14326423,0.14154705,0.1490588,0.14308544,0.13616766,0.14050203,0.14098819,0.13636396,0.14463246,0.14479097,0.16892477,0.07783377,0.14416103,0.12637568,0.11001749,0.13083534,0.11263269,0.12505548,0.12454677,0.14810955,0.14731393,0.12365916,0.13229692,0.13772009,0.13999648,0.12566788
0.11457471,0.10876577,0.10442326,0.09896552,0.09876797,0.09812356,0.12326299,0.15103214,0.1600195,0.11563988,0.06883959,0.0981473,0.11458005,0.13900678,0.14187706,0.14385476,0.11640555,0.08518972,0.06340195,0.09238514,0.12903272,0.13386468,0.13407174,0.11397548,0.11052911,0.10160439,0.14193217,0.13272581,0.14072531,0.14603532,0.11726892,0.14352226,0.15018773,0.14494851,0.15023641,0.14269238,0.13869971,0.13791781,0.14058318,0.13380385,0.14189213,0.14374651,0.16520415,0.08129528,0.14329047,0.12518433,0.10908982,0.12974622,0.10896227,0.12383991,0.12145886,0.14369022,0.14303325,0.12040154,0.13769894,0.14383964,0.14415643,0.12411358
0.12391661,0.11709101,0.11698138,0.11554959,0.11512535,0.11487431,0.12922644,0.16171681,0.17338251,0.12560221,0.07169931,0.10354106,0.12669504,0.15185622,0.15412339,0.15596785,0.12804102,0.1012054,0.07049824,0.10023529,0.1424426,0.1474236,0.14441596,0.12441224,0.12189268,0.11463643,0.15356349,0.14513073,0.15792453,0.16134375,0.13092675,0.14962974,0.15668695,0.15629094,0.16163751,0.15431781,0.14905933,0.15196125,0.15251361,0.14662622,0.15778065,0.15644675,0.18054969,0.08372267,0.15552634,0.13727155,0.11853,0.14269928,0.12495232,0.13888125,0.13805212,0.15428021,0.15470759,0.1331534,0.14672311,0.1507372,0.15573658,0.13496967
0.11379289,0.10697081,0.10512854,0.10578494,0.1061548,0.10650216,0.12225317,0.15115122,0.16063222,0.11646833,0.07289481,0.10131883,0.11640133,0.13646514,0.13987238,0.14186736,0.11932315,0.08829523,0.06417954,0.09212759,0.12937088,0.13291343,0.13307329,0.11542281,0.10501635,0.10212962,0.14384435,0.13371361,0.14109,0.14511243,0.11735485,0.14299305,0.14751117,0.14247943,0.14927724,0.14057893,0.13371496,0.13695251,0.1371223,0.13175694,0.14527759,0.14245751,0.16264886,0.08282387,0.13980826,0.12658876,0.10944762,0.1300846,0.10895806,0.12280621,0.11938898,0.14236931,0.14251563,0.11902229,0.13698069,0.14116098,0.14079723,0.12017533
0.11719018,0.10948796,0.10550828,0.10829099,0.10917203,0.10880534,0.1214404,0.14695973,0.15638853,0.11543168,0.06924378,0.09745392,0.11638858,0.13352198,0.13698713,0.13995501,0.11370484,0.0877418,0.06459015,0.08821139,0.12674289,0.1327046,0.13389218,0.11491433,0.10624738,0.10220541,0.1430822,0.1322277,0.14391471,0.1482072,0.1180082,0.13531189,0.14221787,0.13690736,0.14866018,0.14376651,0.13619073,0.13606987,0.13759516,0.13269876,0.14149095,0.14158101,0.16254069,0.08144459,0.13851574,0.12927663,0.1106632,0.12958921,0.11162564,0.12401844,0.12310888,0.14327834,0.14409735,0.12032609,0.13058602,0.13735035,0.13717853,0.12533384
