"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.01076754,0.00952808,0.0130785,0.0135276,0.01389308,0.01392879,0.01314295,0.01734653,0.01771432,0.0117249,0.00653435,0.01032852,0.0096698,0.01948161,0.01583635,0.01589421,0.01576642,0.01302816,0.00527051,0.00794133,0.01717986,0.0119595,0.01102634,0.01183496,0.0212206,0.00989217,0.01264481,0.01456158,0.02099443,0.01745757,0.01222087,0.01589857,0.01649622,0.01929968,0.02296115,0.01936729,0.0204108,0.01710209,0.01769218,0.01697801,0.02212761,0.01691591,0.02551156,0.00816121,0.01611414,0.01119887,0.01101922,0.01782966,0.01201968,0.01429237,0.01732255,0.0170914,0.0169704,0.01235142,0.01886867,0.01546687,0.02056979,0.01617717
0.01043609,0.01026758,0.01302858,0.01292235,0.01336449,0.01346436,0.01369161,0.01831873,0.02127182,0.01111028,0.00674237,0.01038435,0.00943342,0.01807578,0.01543805,0.01573798,0.01486044,0.01290122,0.00528527,0.00865142,0.01511257,0.01260604,0.01081442,0.0111773,0.02271142,0.00999462,0.01193253,0.01385345,0.01905334,0.01613225,0.01211847,0.0159407,0.01729702,0.01861006,0.02459135,0.01962482,0.02163645,0.01752891,0.01850652,0.01733849,0.02069778,0.01500467,0.02593965,0.00843904,0.01579563,0.01099063,0.0110106,0.01854182,0.01448984,0.01517394,0.01841952,0.01532017,0.0152967,0.0123979,0.01860231,0.01624333,0.01970233,0.0169199
0.01106155,0.00921314,0.01338584,0.01329966,0.01377377,0.01378061,0.01232167,0.01739458,0.01937531,0.01157659,0.00692893,0.01105944,0.00891358,0.01825585,0.01530064,0.01542658,0.01648369,0.01326912,0.00566069,0.00839759,0.01753019,0.01154321,0.01067713,0.01090172,0.022234,0.01004858,0.01275172,0.01425084,0.02173027,0.01757174,0.01172904,0.01608421,0.01723841,0.01932682,0.02298047,0.01921858,0.02034524,0.01781384,0.01910312,0.01782033,0.02114818,0.01709246,0.02420782,0.00885073,0.01542929,0.01110583,0.01049519,0.01832631,0.01223595,0.01385778,0.01715084,0.01660822,0.01623632,0.01191392,0.01812486,0.0158859,0.0188335,0.01651126
0.01018696,0.00969278,0.01277043,0.01211769,0.0126578,0.01265986,0.01111913,0.01617967,0.01731798,0.01036261,0.00658039,0.00988293,0.00942427,0.01732258,0.01445088,0.01489056,0.01546803,0.01203021,0.00478173,0.00807323,0.01584753,0.01217337,0.01038594,0.01116427,0.02125749,0.00832423,0.01164961,0.01287686,0.02123833,0.0173417,0.01285139,0.01446901,0.01563743,0.01686237,0.0208648,0.01811553,0.01917548,0.01702038,0.01793806,0.01687721,0.01791654,0.0147682,0.02335369,0.00819235,0.0148598,0.01065939,0.01039709,0.01641301,0.01328166,0.01450805,0.01682175,0.01669869,0.01666205,0.01327638,0.01693992,0.01464834,0.01735628,0.0150169
0.0115175,0.01004036,0.01275604,0.01315815,0.01354602,0.01357208,0.0114685,0.01579226,0.01892356,0.01091222,0.00609322,0.01012439,0.00985379,0.01866579,0.01559889,0.01563899,0.01558394,0.01232683,0.00516585,0.00836855,0.01640632,0.01282898,0.01047862,0.01124169,0.02219172,0.0101457,0.01207872,0.01460085,0.02232082,0.01833346,0.01253465,0.01492422,0.01613285,0.0182521,0.02163189,0.01814531,0.01896758,0.01865835,0.01957922,0.01874251,0.02083525,0.01647081,0.02461829,0.00810436,0.01575174,0.01097346,0.0102521,0.01725099,0.01424288,0.01632001,0.01939719,0.0185681,0.01830793,0.01299112,0.01796504,0.01518769,0.01934695,0.01561205
0.01125217,0.00984561,0.01267294,0.01366723,0.0143507,0.01422256,0.01169345,0.01743571,0.02079655,0.01143678,0.00586687,0.00986303,0.01006572,0.01898726,0.01571431,0.01602459,0.01625864,0.01336447,0.00559321,0.00850907,0.01673568,0.01264904,0.01081286,0.01206806,0.02412426,0.01037032,0.01246726,0.01360219,0.02062266,0.01734158,0.01320378,0.01472711,0.01562475,0.01842132,0.02146885,0.01819812,0.01892269,0.01786199,0.01863771,0.01757773,0.01970296,0.01609272,0.02741149,0.00775393,0.01577826,0.01110211,0.0108101,0.01707994,0.01441372,0.01567927,0.01816674,0.017293,0.017373,0.01347168,0.01757577,0.01458503,0.01817971,0.01578212
0.01136199,0.01044093,0.01217709,0.01233692,0.01275407,0.01263867,0.01235933,0.01753504,0.01790767,0.01061534,0.00675242,0.01021114,0.00904204,0.01919289,0.01557349,0.01589223,0.01484599,0.01282755,0.00534157,0.0086278,0.01668521,0.01243021,0.01031981,0.01092727,0.02118308,0.01127532,0.01206397,0.01407295,0.01810608,0.01551138,0.0119257,0.0158722,0.01679347,0.01962886,0.02212776,0.01903184,0.01979945,0.01663553,0.0174466,0.0163212,0.01802009,0.01597706,0.02446907,0.00873076,0.01599461,0.01068485,0.01012151,0.01701854,0.01358233,0.0152605,0.01785595,0.01563823,0.01562413,0.01227497,0.01922188,0.01580919,0.02060858,0.01615468
0.01161155,0.0102018,0.01356335,0.01432181,0.01491742,0.01485679,0.01321397,0.01873469,0.02045588,0.01286058,0.007021,0.01102026,0.00943183,0.02009307,0.01641391,0.01665068,0.01608969,0.01507199,0.00551096,0.00825607,0.0184112,0.01335735,0.01071826,0.01131771,0.02319287,0.01313699,0.01324593,0.01555334,0.02256752,0.01846512,0.01215404,0.0172267,0.01902017,0.02067065,0.02331947,0.01939075,0.02074309,0.01788139,0.01885533,0.01786654,0.02210105,0.01765338,0.028931,0.00895239,0.01686817,0.01105216,0.01052723,0.01810723,0.01628958,0.01776975,0.01939505,0.01631399,0.01603995,0.01244622,0.02106452,0.01779747,0.02177267,0.01658362
0.01005238,0.00930508,0.01217906,0.01368891,0.01428002,0.01425889,0.01160269,0.01682896,0.01760771,0.0107353,0.00626372,0.00997749,0.00871971,0.01815354,0.01493811,0.01534005,0.01612808,0.01326133,0.00481866,0.00786245,0.01665754,0.01164295,0.00974319,0.01052545,0.01928476,0.00888188,0.01194896,0.01405286,0.01919121,0.01622296,0.01101678,0.01493459,0.01595818,0.01751016,0.02123083,0.01780096,0.01859421,0.01511956,0.01618945,0.01483322,0.02007027,0.01482339,0.02307393,0.00784127,0.01510582,0.01011553,0.00927147,0.01668577,0.01239898,0.01446468,0.01691206,0.01531303,0.01549182,0.01122733,0.01767026,0.01485651,0.01826971,0.0150197
0.01135956,0.00975815,0.01201462,0.0131882,0.0137356,0.01370207,0.01107652,0.01737438,0.01817405,0.01052271,0.00630331,0.01042172,0.00883625,0.01634981,0.0141593,0.01410791,0.01494902,0.0131201,0.00503463,0.007506,0.01633246,0.01254308,0.01049977,0.01092728,0.01934149,0.01004949,0.01251468,0.01406245,0.02040033,0.01695815,0.0112737,0.01430776,0.01548752,0.01647442,0.02127661,0.01848337,0.01867108,0.01707297,0.0181368,0.01705265,0.01910699,0.01649662,0.026815,0.00833822,0.01452001,0.01079372,0.00963662,0.01665261,0.01410098,0.01536777,0.01797394,0.01630212,0.01630961,0.01155036,0.01614904,0.01437534,0.01714509,0.01479855
0.0115813,0.01058326,0.01317769,0.01447339,0.01484828,0.01503378,0.01185882,0.01731526,0.01851473,0.01094455,0.00607005,0.00938055,0.00918618,0.01914469,0.0159951,0.01639258,0.01695092,0.01411403,0.00490763,0.00771241,0.01705342,0.01259461,0.01039424,0.01082302,0.02388804,0.01158798,0.01351775,0.01473364,0.02138035,0.01796914,0.01198305,0.01421927,0.01556023,0.01764439,0.02149417,0.01839978,0.0195415,0.01736034,0.01829647,0.0173913,0.02002495,0.01600061,0.02776832,0.00756338,0.01613165,0.01093137,0.01040407,0.01788708,0.01456941,0.01650063,0.01849271,0.01676588,0.01678863,0.0121927,0.01636677,0.01453558,0.01824312,0.01555898
0.00937719,0.00958836,0.01161799,0.01244521,0.01298785,0.0129456,0.0113498,0.01457287,0.01798021,0.01032697,0.00615928,0.00994589,0.00883306,0.01782787,0.01487505,0.01499232,0.01302876,0.01190451,0.00452068,0.00714937,0.01470337,0.01177929,0.01023793,0.00953424,0.01778553,0.00979645,0.01161753,0.01311665,0.01893913,0.01611324,0.01157176,0.01359674,0.01432654,0.01625129,0.0202248,0.01767048,0.01829719,0.01660969,0.01740368,0.01626281,0.01811546,0.0140805,0.02161856,0.00788862,0.01500157,0.01019032,0.00987019,0.01537471,0.0136975,0.01482724,0.01687918,0.01529719,0.01509279,0.01207203,0.01554643,0.01340387,0.01693828,0.01513096
