"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.2154884,0.20723386,0.14730667,0.30422615,0.30856106,0.32232609,0.33619372,0.29293195,0.28506493,0.24421606,0.300796,0.32992771,0.35548628,0.28093887,0.2805932,0.28362153,0.18730159,0.28734544,0.1348729,0.18092745,0.24502504,0.23049011,0.19260915,0.21399685,0.21798557,0.35784923,0.24971739,0.35370711,0.383151,0.38430774,0.33873954,0.2968966,0.23997669,0.25458368,0.19287249,0.18899698,0.13690587,0.33071345,0.3295683,0.33403613,0.2915889,0.26397381,0.28004939,0.29469563,0.26663626,0.16662914,0.20036965,0.1577512,0.17744632,0.16049228,0.17128975,0.38773738,0.37414764,0.24404041,0.29182046,0.2294872,0.25389906,0.13470168
0.20116108,0.19547009,0.13702181,0.29260533,0.29886082,0.3129572,0.30552431,0.27991704,0.27887194,0.23845518,0.28208881,0.30739051,0.32785192,0.26756204,0.26736347,0.26990424,0.17280279,0.27504589,0.11820105,0.1651107,0.23097808,0.21069289,0.1772278,0.1952212,0.20108817,0.33066279,0.22905277,0.31625369,0.37776359,0.37844216,0.32323331,0.27021795,0.22308048,0.23849131,0.17519198,0.17143336,0.13172118,0.30306938,0.30754933,0.30918264,0.27911201,0.25543428,0.27245332,0.27610948,0.25547371,0.15319109,0.18146271,0.14659043,0.17048324,0.16130303,0.172255,0.3793864,0.36786191,0.2321787,0.26795157,0.21452845,0.2379094,0.12498871
0.20306429,0.19667948,0.1326575,0.29594255,0.29648004,0.30919991,0.31243803,0.27777666,0.27376612,0.24128457,0.27310032,0.30143071,0.33360234,0.27038487,0.2701818,0.27383415,0.17381512,0.27462912,0.11560331,0.16241193,0.23184622,0.20878577,0.17977924,0.19719277,0.19483116,0.346454,0.23084398,0.32466934,0.3718822,0.37035682,0.31776553,0.27373201,0.22158771,0.23408483,0.18537792,0.17978109,0.13390401,0.30532521,0.30637745,0.30458752,0.27365883,0.25178903,0.26840992,0.26979948,0.25809821,0.1558005,0.18507456,0.14941056,0.16546389,0.14658368,0.15904693,0.37092645,0.36154999,0.22543581,0.27303882,0.21364999,0.23504499,0.13117117
0.2031975,0.19541397,0.13351345,0.3081171,0.30714926,0.31854866,0.31992723,0.2834751,0.27742056,0.24552462,0.29513511,0.32523389,0.33929281,0.26781177,0.2686295,0.26640475,0.17174573,0.27551673,0.11643453,0.16353837,0.23449521,0.20892601,0.18682505,0.20212087,0.20579914,0.33676658,0.23193495,0.33266851,0.36249978,0.36578347,0.31912779,0.27979173,0.22527021,0.2329007,0.18028635,0.17881824,0.13438912,0.30666993,0.3103981,0.30972021,0.28050454,0.25684153,0.27434062,0.29386155,0.25670354,0.16021286,0.19101514,0.15089117,0.16398707,0.15055437,0.16368805,0.36258701,0.35433632,0.22627543,0.27667771,0.21524476,0.23340128,0.13177724
0.20531158,0.20018374,0.13349415,0.31443345,0.31239761,0.32240871,0.32233046,0.29287764,0.29026943,0.24444672,0.28341964,0.31339171,0.33248234,0.27506617,0.27354431,0.27584671,0.17180792,0.27426705,0.11725351,0.16210727,0.23229613,0.2066912,0.1842647,0.20180106,0.20185136,0.33072646,0.23891308,0.33213108,0.36774923,0.36779197,0.32231657,0.27824101,0.22558539,0.24407927,0.18621598,0.18327601,0.13367803,0.30805929,0.30959423,0.30961491,0.290647,0.26254564,0.27937202,0.28043092,0.25912106,0.15978704,0.18822448,0.1509259,0.1682836,0.15190552,0.16223327,0.36951362,0.36091612,0.22946202,0.27574176,0.21725139,0.2448729,0.13030141
0.19712311,0.19130405,0.13108827,0.30062166,0.30455777,0.31710121,0.29916763,0.28081347,0.28069215,0.23618904,0.28476689,0.311308,0.32369346,0.26631464,0.26650133,0.26658493,0.17263225,0.27191997,0.11792446,0.16291047,0.22493351,0.20582241,0.17449088,0.1924206,0.19523031,0.32627339,0.22914994,0.31403344,0.38536983,0.38609196,0.31358061,0.26676675,0.21693182,0.23071612,0.17611753,0.1702147,0.12782962,0.31010536,0.31438231,0.31067076,0.28361135,0.25604172,0.27463855,0.27852795,0.25424553,0.15270442,0.17925647,0.14456473,0.16726087,0.15146072,0.16454274,0.38598575,0.37509599,0.2267525,0.26295095,0.21102493,0.23163019,0.12193479
0.20927744,0.20248063,0.13769955,0.30450084,0.30881834,0.32126094,0.33656221,0.28496611,0.28465181,0.24034268,0.2797829,0.31257781,0.33713247,0.27194185,0.27232862,0.27605536,0.17938753,0.27024747,0.12463684,0.1682318,0.2451212,0.21910656,0.187918,0.20623443,0.20827323,0.34438558,0.23471705,0.32736938,0.38079847,0.38093145,0.32720823,0.28057896,0.22861386,0.23857975,0.18568398,0.1830661,0.13509265,0.30707055,0.30981234,0.30883894,0.28554427,0.25993637,0.27912079,0.27288226,0.26108416,0.15932405,0.19281881,0.15316421,0.17409705,0.15422012,0.16835615,0.38104129,0.3716813,0.238662,0.27448929,0.21649492,0.23765442,0.13246387
0.20400749,0.19852721,0.13692194,0.29043963,0.29490202,0.30587262,0.31476404,0.28204975,0.27812908,0.23210046,0.28236088,0.30665159,0.3296122,0.26457512,0.26433223,0.26650447,0.17273731,0.27568206,0.12123401,0.16721575,0.23272393,0.21072057,0.18326163,0.20156995,0.19205229,0.33499561,0.23026487,0.31641221,0.37631729,0.37853646,0.32244021,0.27087482,0.21815573,0.23337685,0.18110544,0.1777244,0.13179156,0.30347904,0.30467146,0.30589472,0.28059358,0.25597171,0.27451132,0.27666418,0.2537519,0.16086889,0.18792049,0.15218228,0.16223007,0.15173536,0.16387815,0.37360364,0.36735499,0.22881655,0.26697134,0.2093624,0.23310302,0.1284521
0.19982789,0.19223125,0.1346309,0.29320927,0.29503075,0.30806864,0.31929157,0.27927288,0.27511288,0.24284698,0.29186702,0.31842686,0.33250641,0.26607272,0.26612394,0.26428778,0.17484237,0.26456741,0.12221066,0.16417511,0.23720727,0.21304774,0.17792661,0.19612857,0.20067336,0.33528669,0.22767028,0.32895728,0.37598824,0.3793115,0.31716815,0.27461068,0.21690295,0.23463629,0.18217369,0.17891351,0.12997194,0.30521539,0.30715669,0.30772135,0.27590398,0.25317162,0.2683169,0.28466972,0.25444858,0.15223159,0.18466623,0.14555372,0.16817529,0.15738028,0.1693521,0.37774532,0.36630161,0.22660039,0.27071032,0.20877366,0.23609221,0.12861772
0.20465459,0.19865842,0.13784311,0.30063579,0.30227515,0.31511071,0.32467831,0.2871547,0.28432019,0.24441509,0.28333418,0.31850479,0.3349315,0.27825568,0.27733624,0.28072978,0.17579173,0.276182,0.12403019,0.16715087,0.23327831,0.21569185,0.1831755,0.2001103,0.20119585,0.34509709,0.2402988,0.33670317,0.38482714,0.38541066,0.32387704,0.28238484,0.2239568,0.24540509,0.18611561,0.18350752,0.13174564,0.31034802,0.31197011,0.3105451,0.28524954,0.26033768,0.2768651,0.27593394,0.26320668,0.16144294,0.19000042,0.14980531,0.16929686,0.15414051,0.16599152,0.38696587,0.37488761,0.23317935,0.27946064,0.21662416,0.24514711,0.12734035
0.2085839,0.20050777,0.13657683,0.30084351,0.30347381,0.31964702,0.32467414,0.2984176,0.29671485,0.24361473,0.29543304,0.32724792,0.33854794,0.27704214,0.27684224,0.27458639,0.18113895,0.27497688,0.12702512,0.17257098,0.23868116,0.22076692,0.18732696,0.20417484,0.20889132,0.34428519,0.23715423,0.32854063,0.39590327,0.39806555,0.32813158,0.28461599,0.23010464,0.24428604,0.18689906,0.18142457,0.13402553,0.3168656,0.31606983,0.31781771,0.29787843,0.2694571,0.28973859,0.29163291,0.26318706,0.16198377,0.19274246,0.15175754,0.1774737,0.15915829,0.1737707,0.3977112,0.38608498,0.23485974,0.28131737,0.22019097,0.24372905,0.1315223
0.19639508,0.19216652,0.13098193,0.29680043,0.29744968,0.30919233,0.3148932,0.27448736,0.27157337,0.23525091,0.28674288,0.31248121,0.32462992,0.2571234,0.25489543,0.256408,0.170143,0.28359857,0.11184063,0.15438062,0.23234,0.20449344,0.17710075,0.19353571,0.19016992,0.33159905,0.23203728,0.32263557,0.36568718,0.36849731,0.3108591,0.2659298,0.21309296,0.23236233,0.18031437,0.17712082,0.13156408,0.29797235,0.30679095,0.30164598,0.27039153,0.24740862,0.26475533,0.28137388,0.24457454,0.15258216,0.18167345,0.14521573,0.15756262,0.14633175,0.15816318,0.36652512,0.35864528,0.22325103,0.26152442,0.20437868,0.23219388,0.12869291
0.20368661,0.19891846,0.13151728,0.29510845,0.29528409,0.30867191,0.31628583,0.27654414,0.27253544,0.23596759,0.27384199,0.29679315,0.32758844,0.26534459,0.265697,0.26927238,0.16946455,0.27580743,0.11749987,0.16258522,0.2278982,0.20298907,0.18009724,0.19796043,0.19105283,0.33792386,0.23205989,0.3213303,0.37013096,0.37061563,0.32145195,0.27396624,0.21919334,0.23171054,0.18426077,0.17996106,0.13353118,0.30522781,0.30975932,0.3069412,0.27425631,0.24742452,0.2657005,0.26966188,0.25491092,0.15738123,0.1844104,0.15113379,0.16231335,0.14928578,0.16169418,0.36801954,0.3604845,0.22714537,0.2685895,0.21066305,0.23276773,0.12828119
0.20065626,0.19324162,0.13859764,0.29891885,0.3018944,0.30930663,0.30622985,0.2947959,0.28690876,0.24766175,0.29763718,0.32557688,0.3507928,0.27732587,0.27686551,0.27708693,0.18258962,0.26929666,0.12409543,0.16522803,0.23005688,0.22303686,0.18296087,0.19613534,0.20084532,0.34800164,0.23852178,0.34387069,0.38426861,0.38429669,0.32053941,0.28239075,0.22332976,0.24033177,0.17947562,0.17831027,0.12731754,0.31249012,0.31443456,0.31161991,0.28945908,0.26716991,0.2855634,0.29007105,0.26644063,0.15827922,0.18808834,0.14676552,0.16991988,0.15152519,0.16469301,0.38449273,0.37357343,0.2301313,0.28031088,0.21718035,0.2412426,0.12851419
