"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.03193009,0.02968822,0.02332058,0.06834753,0.06767618,0.0706369,0.06547012,0.06038716,0.04584883,0.03769915,0.06977618,0.0730541,0.08356776,0.04627398,0.04622556,0.04604912,0.02723094,0.05996583,0.02413261,0.027814,0.03674595,0.04895439,0.02519552,0.03026237,0.04591917,0.07325823,0.04930058,0.07784939,0.07837646,0.07742434,0.06620425,0.05059713,0.03799779,0.04065704,0.02463108,0.02466287,0.01348686,0.06222276,0.06262301,0.06342532,0.04881549,0.04254043,0.04577591,0.06682134,0.04363782,0.01972331,0.02614469,0.0176928,0.0223748,0.0224562,0.02061,0.07537767,0.07607374,0.03886398,0.04931988,0.03569725,0.03724312,0.01355858
0.02655399,0.02505338,0.01781356,0.06384476,0.06338074,0.06652864,0.06067467,0.0554225,0.04448465,0.03463147,0.06114563,0.06448921,0.07177534,0.04487997,0.04440516,0.04455813,0.02181482,0.05576822,0.01885797,0.02296066,0.032897,0.0383297,0.0226795,0.02683479,0.04318891,0.0676855,0.04395794,0.07016117,0.07324078,0.07330779,0.05973314,0.04191334,0.03287535,0.03663145,0.02284723,0.02220068,0.01275517,0.05474272,0.05814664,0.05627429,0.04309408,0.03890309,0.04331203,0.05985649,0.04087323,0.01699926,0.02367703,0.01595378,0.02134307,0.02565858,0.02217307,0.06814836,0.07064709,0.03349493,0.04202381,0.03065151,0.0330054,0.01265318
0.02600001,0.02485473,0.01463518,0.06009964,0.05955069,0.06298914,0.05889197,0.05292007,0.04256442,0.03569513,0.05803802,0.06265477,0.06902074,0.04394882,0.043843,0.04635876,0.01924276,0.05381819,0.0166714,0.01919162,0.03313375,0.03402422,0.02204747,0.02514434,0.03787588,0.07004716,0.03895965,0.06810285,0.07061724,0.06979673,0.05510167,0.04215251,0.03028901,0.03578778,0.02264687,0.02187123,0.01253429,0.0509871,0.0535107,0.05439244,0.04163815,0.03661632,0.04017791,0.05735744,0.04039387,0.01690087,0.0231704,0.0155348,0.01988231,0.01878266,0.01792076,0.06624881,0.06788809,0.03042321,0.04277622,0.02831423,0.03200719,0.012405
0.02798283,0.02636871,0.0151505,0.06734782,0.06560361,0.06941549,0.06088517,0.05560635,0.04337702,0.03943555,0.06577794,0.06854187,0.07239005,0.04278017,0.04267456,0.04259102,0.01943431,0.05675367,0.01788526,0.02100922,0.03313261,0.0348742,0.02336627,0.02817421,0.04185933,0.06870514,0.03965016,0.06933441,0.07135536,0.07291738,0.05908296,0.0408756,0.03007482,0.03351461,0.02390328,0.02341398,0.0131561,0.05322427,0.05655355,0.05445291,0.04347495,0.03910835,0.0422847,0.06444051,0.03986809,0.01935154,0.02457243,0.017344,0.01938425,0.02298783,0.0204151,0.06708604,0.06886632,0.03150408,0.04117561,0.0285093,0.03037711,0.01315882
0.02887532,0.02723728,0.01819294,0.07097698,0.07101577,0.07333425,0.06296232,0.05824989,0.04696117,0.03825843,0.06413051,0.06623857,0.07431769,0.04153865,0.04186307,0.04162499,0.0219656,0.05860831,0.01956809,0.0236398,0.03511839,0.03770405,0.02400841,0.02882394,0.04227656,0.07340086,0.04433696,0.07531165,0.07830315,0.07858847,0.06362083,0.0444453,0.03262722,0.03660206,0.02336961,0.02255636,0.01274409,0.05429906,0.05573489,0.057402,0.04760712,0.04154524,0.04583345,0.06230452,0.03824539,0.01952327,0.02564773,0.017447,0.02031091,0.02059456,0.01947693,0.07254318,0.07495813,0.03507672,0.04459622,0.03119769,0.03282313,0.01312271
0.02631577,0.02469201,0.01574678,0.06725395,0.06855627,0.06891881,0.05427658,0.05276835,0.04297162,0.0338121,0.06420842,0.06574177,0.07390315,0.03913862,0.03925573,0.03945503,0.02088838,0.05588243,0.01957546,0.02276348,0.03252185,0.03595923,0.02195688,0.02537495,0.0414604,0.06834534,0.04535624,0.07054051,0.07964793,0.07887887,0.06075891,0.04292334,0.02962239,0.03307167,0.02197713,0.02117144,0.01234423,0.05384844,0.06111848,0.05595027,0.04460757,0.03850395,0.04195387,0.06204355,0.03767474,0.01692087,0.0226934,0.0155084,0.02176245,0.02332443,0.02112916,0.07481631,0.07626261,0.03223645,0.04240442,0.02808895,0.02981489,0.01250776
0.02955273,0.02776458,0.01792559,0.06576555,0.06495945,0.06668948,0.0648483,0.05587765,0.04470649,0.03708685,0.06057271,0.06551429,0.0757571,0.04286509,0.04248888,0.04378581,0.02304616,0.05726097,0.02143032,0.02503086,0.03601819,0.04059168,0.02432055,0.02792508,0.04499435,0.07533552,0.04304524,0.07224538,0.0751588,0.0754488,0.06406791,0.04448521,0.03321587,0.03529321,0.02303623,0.02258805,0.01262185,0.05722776,0.05992869,0.06066089,0.04545772,0.03948973,0.04318994,0.05906683,0.04108556,0.0185484,0.02524511,0.01681274,0.02289908,0.0211618,0.01947933,0.07114289,0.07212046,0.03517677,0.04318926,0.03114053,0.0321164,0.01332482
0.02814011,0.02699662,0.01709482,0.06484854,0.06543027,0.06802855,0.06277832,0.05529639,0.04490545,0.03606962,0.06173733,0.06258725,0.07323728,0.04247579,0.04255178,0.04349566,0.02083547,0.05969677,0.02022193,0.0241616,0.03462031,0.03589434,0.02186021,0.02687018,0.04000015,0.07017086,0.04352121,0.06814272,0.07526021,0.07457154,0.06135898,0.04266225,0.02944698,0.03370688,0.02300364,0.02210203,0.0126286,0.05360326,0.05728537,0.05569323,0.04377837,0.0394958,0.04302343,0.05975343,0.03976036,0.01875699,0.02296537,0.01707475,0.01931879,0.02401031,0.02090587,0.06854649,0.07217724,0.032341,0.04102409,0.02780379,0.03026348,0.01285335
0.02669072,0.02528602,0.01755632,0.0631951,0.06248528,0.06560204,0.06126542,0.0556778,0.04517088,0.03708381,0.06479318,0.0693092,0.07633377,0.0427863,0.04246996,0.04117159,0.02233609,0.054616,0.02019577,0.02299969,0.03470819,0.0391238,0.02356824,0.02654454,0.04163661,0.07304386,0.04521439,0.07440585,0.07480085,0.07551743,0.05948941,0.04420973,0.03159522,0.03692891,0.02280489,0.02230692,0.01280268,0.05698439,0.05837006,0.05870093,0.04499775,0.03927588,0.04313425,0.06381397,0.04009816,0.01834189,0.02478425,0.01681339,0.02098201,0.02249891,0.02043789,0.07147844,0.07237575,0.03351591,0.04378081,0.02990993,0.03339064,0.01297099
0.02739919,0.02593899,0.01785924,0.06266553,0.06218313,0.06491,0.05957044,0.05455016,0.04386582,0.03648655,0.05699673,0.06325936,0.07181698,0.04331776,0.04325717,0.04474268,0.02167237,0.05857963,0.02019821,0.02351315,0.03228256,0.03835211,0.02289311,0.02698845,0.04083684,0.07439317,0.04653244,0.07205864,0.07321099,0.07285061,0.05885718,0.04386651,0.03157443,0.03559464,0.02309778,0.02259897,0.01248331,0.05447802,0.05684336,0.05632583,0.04359155,0.03840829,0.04252395,0.05616141,0.03992024,0.01873194,0.02382506,0.01665907,0.02007348,0.02293241,0.02029165,0.06912549,0.07022248,0.03297468,0.04311752,0.02934959,0.03140753,0.01298294
0.02638115,0.02450301,0.01682706,0.06270616,0.06291184,0.06528717,0.06100094,0.05577069,0.0460603,0.03469416,0.0646762,0.06751856,0.07398645,0.04148554,0.0417088,0.03876065,0.02191427,0.05984724,0.02067103,0.02270894,0.0339003,0.03950005,0.02350084,0.02687839,0.04161544,0.0710816,0.04429193,0.07309281,0.07355916,0.07521048,0.05972068,0.04351918,0.03066056,0.03621124,0.02165657,0.02142746,0.01183537,0.05248391,0.05589703,0.0545971,0.04538034,0.03979393,0.04349912,0.06308439,0.03991201,0.01791378,0.02487769,0.01560752,0.02048308,0.02168215,0.01958384,0.069328,0.07074239,0.03323449,0.04306534,0.02925463,0.0330824,0.01214028
0.02665788,0.02531616,0.01593958,0.0651655,0.06465248,0.06601278,0.05720008,0.05439546,0.04355101,0.03425382,0.06043194,0.06636021,0.07030842,0.04033508,0.04061873,0.0413781,0.02051607,0.05664254,0.0174422,0.0211279,0.03391178,0.03411864,0.02256223,0.02560456,0.03771666,0.06653934,0.04281347,0.069097,0.07506544,0.07529045,0.05704521,0.04166501,0.02949461,0.03352947,0.02210467,0.0211748,0.01224414,0.05280221,0.05969124,0.05537903,0.04304957,0.03837308,0.04148976,0.05940178,0.03756712,0.01678525,0.02336772,0.01573617,0.01725182,0.01983354,0.01814916,0.06946402,0.07117555,0.0308677,0.04045364,0.02769265,0.03014356,0.01238461
0.02751053,0.02597797,0.01502926,0.06215234,0.06069706,0.06394645,0.06070687,0.05376608,0.04163093,0.03363219,0.05820098,0.06278691,0.0718857,0.04236888,0.04237692,0.04329177,0.01868921,0.05597085,0.01931745,0.02222587,0.03098938,0.03417409,0.02176373,0.0263089,0.03975762,0.07045131,0.04181635,0.07069778,0.07486101,0.07484531,0.05922603,0.04212406,0.03013301,0.03406316,0.02478168,0.02384677,0.01301544,0.0527753,0.05428578,0.05427276,0.04286356,0.03817488,0.04147456,0.05645786,0.03825993,0.01826762,0.02301727,0.01679351,0.01938863,0.01880061,0.01783429,0.0696397,0.07254302,0.03086749,0.04116535,0.02848697,0.03038086,0.01318544
