"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.3295,0.3102,0.2499,0.2394,0.2522,0.2522,0.3409,0.4565,0.3983,0.3474,0.2394,0.2953,0.3701,0.3983,0.4781,0.4288,0.2935,0.1899,0.1826,0.2233,0.3728,0.435,0.3499,0.3395,0.2734,0.3894,0.4093,0.3585,0.4064,0.4722,0.4012,0.4158,0.3775,0.3798,0.2829,0.2535,0.1612,0.3126,0.3471,0.3089,0.4746,0.3748,0.3696,0.2823,0.4444,0.2819,0.3269,0.2504,0.3094,0.2872,0.347,0.4713,0.4599,0.4013,0.4501,0.3587,0.3754,0.1627
0.3255,0.315,0.2443,0.2193,0.2197,0.2278,0.3242,0.4491,0.3907,0.3525,0.2393,0.2845,0.3578,0.4012,0.4835,0.4319,0.2804,0.1972,0.1839,0.225,0.3611,0.4354,0.3453,0.3383,0.269,0.3892,0.4053,0.3366,0.4031,0.4714,0.3892,0.3994,0.3645,0.3675,0.2775,0.2508,0.1661,0.3064,0.3494,0.3023,0.46,0.3663,0.3653,0.2801,0.4455,0.2825,0.3192,0.2546,0.3156,0.2877,0.3535,0.4716,0.4601,0.3958,0.4321,0.3479,0.3584,0.1517
0.3216,0.3064,0.2464,0.2298,0.2425,0.2522,0.3181,0.4393,0.3741,0.3353,0.2196,0.2604,0.3691,0.3836,0.464,0.419,0.2868,0.18,0.1866,0.2271,0.3603,0.427,0.3386,0.3281,0.2736,0.364,0.3872,0.3485,0.4008,0.4712,0.391,0.3821,0.3496,0.3506,0.2671,0.2426,0.1669,0.2906,0.3361,0.2901,0.4432,0.3571,0.3556,0.2727,0.4322,0.2653,0.3183,0.2428,0.2965,0.2737,0.3342,0.471,0.4625,0.3902,0.4236,0.3358,0.3469,0.1612
0.3121,0.3008,0.2313,0.225,0.2386,0.2417,0.3201,0.4514,0.3914,0.338,0.2143,0.2709,0.3502,0.3922,0.4769,0.4159,0.2669,0.18,0.168,0.2136,0.3474,0.4089,0.3443,0.3324,0.252,0.3523,0.3848,0.3281,0.4011,0.4637,0.37,0.3936,0.3615,0.361,0.2658,0.2406,0.1574,0.2922,0.3288,0.2885,0.4558,0.3614,0.3673,0.264,0.4359,0.2764,0.3207,0.234,0.2855,0.2661,0.3231,0.4661,0.4562,0.3814,0.4295,0.347,0.3602,0.1497
0.326,0.3105,0.2454,0.2413,0.2452,0.2509,0.3259,0.4353,0.3739,0.3431,0.2168,0.2712,0.3715,0.3861,0.4665,0.4048,0.2925,0.1871,0.1835,0.228,0.3713,0.4292,0.3524,0.3336,0.2713,0.366,0.393,0.3443,0.3914,0.4524,0.3851,0.403,0.3639,0.361,0.2913,0.261,0.1731,0.3111,0.3549,0.3117,0.4482,0.3529,0.3475,0.2624,0.4305,0.277,0.3299,0.2536,0.3012,0.2941,0.344,0.4503,0.4478,0.3926,0.4369,0.3494,0.355,0.1718
0.3105,0.2976,0.237,0.2249,0.2275,0.2348,0.3162,0.4447,0.3841,0.3428,0.2207,0.2746,0.3596,0.3962,0.4823,0.4266,0.281,0.1803,0.1724,0.2123,0.3517,0.4216,0.3344,0.324,0.2601,0.3613,0.3828,0.3308,0.3986,0.4627,0.372,0.3916,0.3467,0.3491,0.2686,0.2432,0.1493,0.2979,0.3338,0.2926,0.4541,0.3538,0.3551,0.2705,0.443,0.2659,0.3143,0.2342,0.2942,0.2774,0.3309,0.4619,0.4534,0.3827,0.4233,0.3381,0.3451,0.1525
0.3243,0.309,0.2446,0.2253,0.2412,0.2428,0.3215,0.4454,0.3896,0.3353,0.2226,0.2829,0.3529,0.3901,0.4707,0.4233,0.287,0.1744,0.1745,0.2183,0.3627,0.4353,0.348,0.3353,0.2693,0.3607,0.3913,0.3325,0.4003,0.4656,0.3824,0.3982,0.3656,0.3652,0.2734,0.2469,0.16,0.2987,0.3375,0.2974,0.452,0.3666,0.3617,0.2683,0.4393,0.2777,0.3248,0.2465,0.3034,0.2863,0.3427,0.4683,0.4564,0.3888,0.4313,0.3488,0.3561,0.158
0.3121,0.2966,0.2472,0.218,0.2159,0.2335,0.315,0.4549,0.3967,0.3548,0.216,0.2649,0.3448,0.3897,0.4734,0.4234,0.283,0.1718,0.1789,0.2205,0.3542,0.4269,0.3327,0.3231,0.2601,0.3703,0.3964,0.3244,0.4036,0.4733,0.3826,0.3912,0.3613,0.3579,0.2683,0.2457,0.1564,0.2899,0.3328,0.2885,0.4637,0.3685,0.3689,0.2695,0.4391,0.266,0.3089,0.2399,0.2929,0.2728,0.3309,0.4745,0.4637,0.3831,0.427,0.346,0.3514,0.1566
0.3266,0.3104,0.2423,0.2304,0.2401,0.2466,0.3274,0.4467,0.3859,0.3438,0.2266,0.2792,0.357,0.3892,0.4688,0.4222,0.2828,0.1724,0.1863,0.2305,0.3528,0.4335,0.3348,0.3335,0.2645,0.3551,0.3797,0.3351,0.3953,0.4627,0.3824,0.3933,0.361,0.3569,0.2836,0.251,0.1619,0.3075,0.3483,0.3046,0.4608,0.363,0.3641,0.2656,0.4313,0.2725,0.3177,0.2506,0.3033,0.2879,0.3379,0.4588,0.4511,0.3848,0.4294,0.3411,0.3564,0.1584
0.34,0.3228,0.2594,0.2265,0.2436,0.2491,0.3373,0.4499,0.3871,0.3357,0.2414,0.2866,0.3868,0.4002,0.4844,0.4282,0.3036,0.1969,0.1921,0.2291,0.3742,0.4455,0.3606,0.3513,0.2833,0.3862,0.4084,0.3537,0.4138,0.4794,0.4012,0.4076,0.3627,0.3697,0.2888,0.2612,0.1674,0.3151,0.3584,0.3098,0.4611,0.367,0.3632,0.2819,0.4477,0.2975,0.3406,0.2562,0.3185,0.2992,0.3606,0.478,0.4681,0.4083,0.4383,0.3481,0.3647,0.1606
