"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.05148366,0.06054712,0.0558896,0.09596788,0.10247679,0.09879119,0.08145639,0.08729667,0.06546798,0.05495253,0.0741628,0.08457332,0.10143741,0.06273653,0.07323922,0.05966274,0.05856314,0.09065941,0.03423543,0.05440541,0.06043339,0.06437768,0.04496055,0.06798088,0.08619483,0.08866664,0.10582903,0.10082527,0.09190041,0.08775794,0.07652897,0.08896641,0.06152246,0.07024734,0.05768316,0.0568424,0.02972447,0.08037638,0.08506377,0.08278773,0.07736132,0.06943203,0.06177553,0.08812504,0.07037201,0.05035073,0.06103597,0.04709798,0.06829607,0.07125141,0.06895071,0.09582053,0.09125485,0.07776877,0.09733731,0.07634843,0.07058052,0.0285265
0.05109774,0.05955485,0.06015385,0.0911077,0.09651669,0.09627207,0.08073849,0.0897887,0.06781719,0.0561065,0.07036106,0.0816144,0.09826817,0.06666506,0.07901345,0.06356256,0.0607377,0.08881156,0.0339664,0.05434755,0.05897591,0.06361471,0.04675715,0.07027075,0.08199956,0.09002903,0.10388688,0.09657057,0.09168662,0.08770765,0.07742342,0.08960708,0.06239267,0.07701181,0.05789694,0.05848047,0.03040552,0.07693361,0.08006775,0.07649343,0.08124399,0.07331309,0.06310786,0.08882634,0.07237897,0.05217167,0.06387403,0.04892372,0.06915713,0.06983755,0.06775884,0.09712111,0.09231523,0.0773879,0.09579089,0.07716054,0.07692517,0.02943944
0.05007707,0.06093013,0.05811267,0.09489733,0.09695165,0.09412932,0.07553337,0.08755872,0.06521878,0.05546021,0.07585785,0.08524223,0.10274642,0.06679669,0.08014674,0.06547627,0.06157421,0.09088532,0.03437702,0.05113651,0.05921591,0.06198558,0.04346176,0.06668644,0.0814065,0.09027015,0.1032052,0.09941561,0.09071187,0.08839137,0.07621469,0.08847942,0.06096614,0.07445356,0.05838614,0.05850991,0.02910068,0.08070765,0.08473645,0.08328103,0.07999415,0.07091239,0.06256681,0.08748845,0.07309774,0.04812577,0.05927106,0.04549208,0.06451927,0.06926016,0.06639919,0.09501826,0.09030971,0.07498158,0.09832248,0.07519616,0.07434855,0.02766926
0.05353361,0.060607,0.05608845,0.08165665,0.09195389,0.08770842,0.08160318,0.09072712,0.06788312,0.05509287,0.0749198,0.08799393,0.10122216,0.06709709,0.07865786,0.06553003,0.05633344,0.09156857,0.03096292,0.0554624,0.06008773,0.06265583,0.04393641,0.0687566,0.08273072,0.09142781,0.10689665,0.09621729,0.09186951,0.08893978,0.07538656,0.08650494,0.06194934,0.07195689,0.05833952,0.05963463,0.02907498,0.07728419,0.08174575,0.07959999,0.07848636,0.07077413,0.06237629,0.08948479,0.07466942,0.05059159,0.06133177,0.04544915,0.06783968,0.0706922,0.06807065,0.0954614,0.09233049,0.0753992,0.09469449,0.07741986,0.07273293,0.02850931
0.05548536,0.06401982,0.06488725,0.09545169,0.10259908,0.10226126,0.08455203,0.09755465,0.07259703,0.06095239,0.08034564,0.09197053,0.10169487,0.072162,0.08474575,0.06856801,0.06694169,0.09367667,0.03659944,0.05587563,0.06020208,0.06996636,0.04941591,0.07034478,0.08751752,0.09441749,0.11059804,0.10134185,0.10002907,0.09724452,0.08350154,0.09126551,0.06486785,0.08002226,0.05911475,0.0604623,0.03204644,0.08267243,0.0896195,0.08627721,0.08943062,0.07721419,0.07104965,0.09110038,0.07738807,0.05164392,0.06611382,0.05064945,0.07086485,0.07426466,0.06990046,0.10458953,0.10001245,0.08341952,0.09879687,0.07813625,0.08015834,0.03125845
0.05724536,0.0637197,0.06232056,0.09992562,0.10440415,0.1020655,0.08321666,0.0913249,0.07037275,0.0572227,0.07374975,0.08299339,0.10237776,0.06634742,0.07750225,0.06121741,0.06511688,0.09000076,0.03946941,0.059009,0.06454384,0.0677978,0.04771772,0.06900952,0.08559459,0.0951427,0.11045946,0.09975774,0.09319135,0.09103531,0.08109305,0.09032808,0.06767511,0.07427271,0.06042672,0.06106434,0.03431796,0.08295745,0.09082787,0.08694212,0.08015455,0.07220857,0.06434165,0.08493673,0.07504195,0.05158109,0.06376885,0.05125025,0.07168164,0.07581609,0.07414258,0.09751872,0.09253613,0.08055151,0.09827487,0.08329345,0.07386918,0.0319
0.05329529,0.06137475,0.06096352,0.09957332,0.10605469,0.10521973,0.08293693,0.09778178,0.07157709,0.06036681,0.07429007,0.08447597,0.0975574,0.06939018,0.08187627,0.06611676,0.06357427,0.09365404,0.03097235,0.05355786,0.06204312,0.06765666,0.04826226,0.06975255,0.08824969,0.0938026,0.10904598,0.09874382,0.09195213,0.08827632,0.08234925,0.09065049,0.06416444,0.07567852,0.0544032,0.05508044,0.03006244,0.07764022,0.08325193,0.08095173,0.0848623,0.07537818,0.06617605,0.08393765,0.07331482,0.05102993,0.06476294,0.04611968,0.06768957,0.07127191,0.06926806,0.09643641,0.09124903,0.07947807,0.09640138,0.07860379,0.07578456,0.02936284
0.05055583,0.05778775,0.05846618,0.09333084,0.09829749,0.09872392,0.07673864,0.08956856,0.06681599,0.0538633,0.07412468,0.08146421,0.09754949,0.06618206,0.07964763,0.06463107,0.05842682,0.092702,0.03175451,0.05186718,0.05784294,0.0640607,0.04498236,0.06683748,0.08728545,0.08938074,0.10734344,0.09285782,0.09234385,0.0881519,0.07509667,0.0873598,0.060427,0.07137041,0.05816848,0.05922018,0.03036755,0.07696227,0.0842577,0.08231749,0.080926,0.0697211,0.06094551,0.08661492,0.07552849,0.05143919,0.06352871,0.05199439,0.06632877,0.06757351,0.06653117,0.0971596,0.09135119,0.07432961,0.09429669,0.07389633,0.07022999,0.02994794
0.05126401,0.05861261,0.05668768,0.09230515,0.09673491,0.09507866,0.07858853,0.09271079,0.06671802,0.05494472,0.07683277,0.08849543,0.10175944,0.06397085,0.07541241,0.06189838,0.05960098,0.08249105,0.03070108,0.05136656,0.05957175,0.06226126,0.04539597,0.06418978,0.08241513,0.08735707,0.10326586,0.10117045,0.08789113,0.08588368,0.07525625,0.08856694,0.06178515,0.07294891,0.05420812,0.05545782,0.02916741,0.07585897,0.08124903,0.07716214,0.08059467,0.07368347,0.06631511,0.0899039,0.07167611,0.04770671,0.0611203,0.04371171,0.06710266,0.06926858,0.06737856,0.09233484,0.08796797,0.0761241,0.09804824,0.07585906,0.07282438,0.02713117
0.0530605,0.06187135,0.05944744,0.08855585,0.09542881,0.09496371,0.08317734,0.08786887,0.0641002,0.05655183,0.06991621,0.0841236,0.09819948,0.06654358,0.07862853,0.06438933,0.06055632,0.08117789,0.03332122,0.05292684,0.06111648,0.06434278,0.04586037,0.0683658,0.08395295,0.09055474,0.10108026,0.09892492,0.09097365,0.08874402,0.07902496,0.08519779,0.0627077,0.0722906,0.05745984,0.05765021,0.03248319,0.07977607,0.08621501,0.08509437,0.07567475,0.06983287,0.05988989,0.08011142,0.07138238,0.05018358,0.06298057,0.05107759,0.06812597,0.07116384,0.06911551,0.09502398,0.09047041,0.0761214,0.09263814,0.07685245,0.07324624,0.02960654
