"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.54343954,0.51337971,0.31511286,0.31995829,0.32240981,0.33273713,0.46891917,0.55582123,0.53709439,0.46019461,0.1928401,0.29843765,0.3893341,0.58713508,0.58183554,0.56750763,0.34821924,0.25258128,0.26324637,0.36210074,0.53851616,0.49506448,0.53876616,0.54507237,0.27739861,0.40563727,0.50669487,0.44499335,0.60349165,0.60484553,0.55727797,0.55002389,0.54506416,0.65803443,0.4424074,0.4229277,0.38979057,0.42395427,0.4168676,0.40186896,0.54104923,0.53449431,0.58385031,0.22512357,0.56774763,0.49275288,0.55983121,0.4232585,0.37532302,0.42787788,0.39062919,0.63844697,0.60838878,0.53872422,0.55250503,0.5036374,0.62347184,0.37584963
0.54080293,0.49788184,0.32289238,0.31010458,0.31524995,0.33118964,0.46494333,0.53906279,0.52605984,0.46371927,0.2060703,0.30058137,0.38904274,0.56328621,0.55245194,0.55623597,0.36192182,0.25484989,0.27185022,0.34806813,0.54057244,0.49309571,0.55193563,0.54840327,0.29282303,0.42804039,0.51466785,0.43588165,0.63096308,0.62657115,0.53035156,0.54627127,0.54491166,0.63285564,0.43066447,0.41512355,0.39137522,0.43044865,0.41592982,0.39634239,0.53136195,0.5173626,0.56634861,0.23147533,0.56283144,0.50187008,0.5692425,0.415621,0.37643259,0.404292,0.39632247,0.68440697,0.64163237,0.51837013,0.55554812,0.49560254,0.6005858,0.34876928
0.57234463,0.51068187,0.32678287,0.31731865,0.31454515,0.32397554,0.4577626,0.54330726,0.51343009,0.44870337,0.18912416,0.30459704,0.41194899,0.55387494,0.55053392,0.54943745,0.39090394,0.2409404,0.26708866,0.35891075,0.55469779,0.49976605,0.54290789,0.54511418,0.30459235,0.43263683,0.52899205,0.43091675,0.60543448,0.60703482,0.53970515,0.56178751,0.55212929,0.6397389,0.44355179,0.4237381,0.395545,0.41708111,0.41127421,0.37948851,0.50959979,0.52011474,0.55424384,0.21954989,0.54908586,0.48362758,0.55499248,0.4298858,0.37863151,0.42208835,0.39390828,0.63946235,0.60758736,0.53627388,0.5611431,0.50774446,0.61224443,0.36271807
0.52312919,0.48029688,0.30536102,0.31615895,0.3127511,0.32418767,0.44455443,0.54407416,0.518946,0.46335542,0.20014873,0.30825199,0.38834771,0.55055323,0.54831552,0.54784084,0.34546978,0.21661547,0.23932377,0.33659536,0.53009521,0.46630155,0.51123583,0.51809341,0.28973869,0.39312081,0.48657533,0.44229462,0.63284049,0.61179366,0.51451193,0.54930595,0.53890515,0.64085761,0.41907979,0.40722803,0.36610912,0.40065898,0.39134262,0.3880484,0.52519825,0.52628692,0.5747504,0.21966757,0.54463794,0.45963866,0.54001956,0.4006252,0.33441728,0.38771785,0.36329978,0.66786555,0.6247537,0.49887602,0.55899288,0.49818401,0.59964472,0.3502197
0.56306189,0.51364675,0.31354978,0.30007225,0.30557754,0.31543401,0.47771131,0.54244279,0.52194993,0.44633563,0.19060042,0.29904236,0.42309713,0.55677408,0.55721688,0.55295829,0.36551786,0.2563588,0.24814477,0.33361856,0.55713738,0.49229169,0.54892741,0.54259148,0.29293991,0.41783766,0.5246636,0.44995381,0.62037878,0.62265715,0.55108194,0.55806471,0.53958178,0.65165833,0.45320042,0.43393273,0.40712406,0.42197004,0.41971587,0.39818685,0.53391331,0.51577088,0.55720445,0.2303034,0.54915715,0.48967932,0.57234144,0.41768246,0.38493105,0.432024,0.41293454,0.65124321,0.63361561,0.54400068,0.55293795,0.49809783,0.62653968,0.36674229
0.5474394,0.51004472,0.31544498,0.31509854,0.32153084,0.3297969,0.46379915,0.53951676,0.51277849,0.46198078,0.18634284,0.3020053,0.3870702,0.52507502,0.52869794,0.51741529,0.36059851,0.24993548,0.25305234,0.33904865,0.52579418,0.49385292,0.54774462,0.55108603,0.27901216,0.42119348,0.51916585,0.41711532,0.61849042,0.61112723,0.527109,0.54821036,0.52629398,0.6349799,0.42095352,0.40596654,0.37250677,0.42031577,0.41937954,0.39265111,0.52372809,0.52142712,0.56227185,0.21767288,0.52462434,0.49366453,0.57561561,0.41816366,0.36631581,0.41884252,0.40201838,0.64624485,0.61985346,0.51524544,0.53970327,0.49288903,0.60943789,0.34836645
0.54305675,0.48867175,0.3251055,0.31978024,0.31805898,0.32643314,0.47258483,0.54111888,0.52355123,0.45471143,0.20862782,0.31754905,0.41206906,0.54702275,0.55246562,0.54522979,0.3651923,0.24112804,0.26889967,0.36137746,0.55275817,0.48685383,0.54767149,0.5439186,0.29152054,0.43952521,0.49272784,0.44361338,0.61350784,0.6064113,0.52023446,0.56038345,0.54476691,0.63621726,0.42742266,0.42483108,0.38667501,0.43318571,0.40591218,0.39693371,0.52189949,0.5302172,0.56108761,0.2211029,0.5395208,0.48829463,0.56221591,0.43631406,0.36869455,0.40444926,0.37634387,0.65886972,0.61652394,0.51144996,0.55860442,0.50425377,0.60829373,0.37326518
0.56888172,0.51423788,0.35106044,0.30835703,0.31024823,0.31813282,0.4683072,0.55125172,0.53275889,0.44427413,0.18960295,0.299639,0.40045837,0.55792854,0.54696043,0.55623149,0.37972933,0.25179348,0.27597048,0.36888745,0.57074178,0.52056204,0.56209455,0.54584659,0.29290576,0.43554067,0.53062864,0.4379336,0.61925842,0.6395026,0.56912951,0.55354361,0.54809442,0.64414682,0.44220035,0.43192332,0.38985775,0.42793922,0.41713087,0.39213829,0.52819297,0.5342798,0.58507537,0.20502971,0.54961862,0.50554349,0.57525866,0.42717818,0.37758023,0.42517169,0.40464625,0.64877557,0.62691044,0.54440327,0.56765278,0.50663951,0.61828948,0.37657655
0.54991645,0.49444315,0.31569704,0.31670493,0.31597524,0.32344445,0.47893712,0.5459373,0.52031422,0.45653335,0.19758927,0.30568943,0.40154072,0.57783279,0.58039784,0.56535105,0.35084,0.23755191,0.24952416,0.34528034,0.52550177,0.49859263,0.54506197,0.54845155,0.28750378,0.41044736,0.52295413,0.42785788,0.60247021,0.60709391,0.5395898,0.55444011,0.54520528,0.64458045,0.44028106,0.42799097,0.37383654,0.41795731,0.41051913,0.39764148,0.5300152,0.51763448,0.5670328,0.23378655,0.56076592,0.50042109,0.57248541,0.42283205,0.37068077,0.42329721,0.3870578,0.64157557,0.59840512,0.51394312,0.56202482,0.5022465,0.61146377,0.36153971
0.53817071,0.48158288,0.30628064,0.30524484,0.30207823,0.32659358,0.46262481,0.52421646,0.50922311,0.44812233,0.18249093,0.28693065,0.38955877,0.54450963,0.54238265,0.52963291,0.33598161,0.24303901,0.25305826,0.32515936,0.5235517,0.45442213,0.52669601,0.51750278,0.2626422,0.40661799,0.47612153,0.42684824,0.58650767,0.58454801,0.5015156,0.52481241,0.52036651,0.62635257,0.42028865,0.40744151,0.38131993,0.39341597,0.37919673,0.37573975,0.51028966,0.49425566,0.54607992,0.21730249,0.54449088,0.48913253,0.56165831,0.40144668,0.35021247,0.39013515,0.38623785,0.62099363,0.5931059,0.50165263,0.52149482,0.47880785,0.60919972,0.34690068
