"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.17303035,0.17442432,0.13385349,0.17196426,0.17186494,0.17098809,0.17738187,0.16491759,0.16549559,0.15942094,0.07897071,0.12821129,0.15064485,0.16128689,0.15299786,0.16177951,0.127569,0.15737285,0.12239374,0.15669324,0.17126029,0.16811809,0.18529675,0.17478538,0.12417857,0.17398166,0.19025911,0.20318717,0.1710209,0.16756497,0.1821861,0.16886199,0.1952927,0.17816418,0.17616213,0.17035788,0.19860177,0.17782908,0.17794249,0.17491047,0.15281154,0.15434126,0.17458437,0.10144965,0.1505193,0.19430025,0.1860344,0.18374984,0.14524264,0.17708902,0.16085601,0.17307378,0.17110526,0.17808878,0.16414626,0.18274947,0.17018362,0.19739814
0.17278656,0.17400296,0.13651865,0.16483364,0.16735559,0.16841641,0.18143945,0.16786657,0.16952653,0.16382336,0.08791774,0.1292364,0.14790383,0.15925838,0.15176191,0.1633493,0.13434145,0.15839843,0.13271521,0.16422867,0.1703067,0.17169519,0.1920356,0.17786734,0.13279279,0.1839942,0.19005046,0.19889827,0.16452863,0.16444755,0.17668528,0.16603426,0.1980684,0.18200557,0.1738348,0.16671375,0.20190201,0.18470422,0.17950269,0.17204493,0.15809254,0.15744683,0.17975453,0.1077495,0.15619399,0.19825041,0.18836336,0.18620511,0.14976532,0.17137632,0.16624575,0.16798814,0.16683786,0.17357977,0.17069658,0.1810939,0.17388158,0.19077893
0.17343049,0.17290502,0.13257772,0.17179072,0.16791661,0.16740881,0.17364405,0.16523528,0.16279905,0.16073875,0.07868726,0.13356004,0.15616689,0.15539158,0.14977482,0.16536749,0.14428655,0.15301165,0.12781278,0.16286554,0.16824497,0.17079293,0.18557391,0.17846153,0.13827415,0.18123443,0.19380725,0.19788027,0.17422761,0.17061044,0.17660885,0.16643474,0.19367735,0.17645384,0.1726833,0.16787133,0.19928627,0.17503283,0.17481685,0.16709702,0.14932161,0.15786403,0.17694009,0.09546445,0.15287927,0.1922643,0.18296881,0.18697425,0.14820731,0.17600907,0.16692393,0.17625357,0.17274889,0.18060094,0.16247365,0.18093038,0.17053322,0.19032098
0.16806156,0.16830316,0.13040017,0.16352605,0.15933732,0.1616873,0.17432884,0.1687638,0.16490558,0.16044048,0.0844895,0.13160338,0.14735706,0.15871445,0.15184957,0.16557439,0.13047381,0.13766826,0.11569776,0.16244054,0.16388435,0.16716085,0.18342608,0.17126129,0.13225251,0.16721837,0.18842745,0.19917406,0.16519109,0.16377606,0.17289424,0.16453964,0.19490556,0.17894137,0.1729954,0.16440132,0.1932826,0.17341436,0.17022107,0.17349556,0.15145967,0.1586485,0.17738941,0.09726127,0.15253455,0.18910451,0.18779068,0.18210197,0.13293368,0.16678591,0.15354489,0.16591551,0.16493378,0.16874508,0.16365862,0.18560072,0.17185294,0.19378242
0.16682978,0.16752061,0.13149157,0.16021915,0.16452239,0.16268183,0.17020376,0.16775364,0.16695536,0.15684385,0.08078799,0.13151631,0.15566141,0.15748302,0.15267058,0.15986718,0.13219724,0.15872014,0.11664729,0.15538341,0.16692141,0.17027927,0.18548537,0.17306304,0.1302468,0.17567215,0.19029834,0.19795088,0.16960362,0.16665321,0.17534244,0.1658777,0.19592612,0.17670754,0.17748318,0.16966443,0.20363102,0.17635782,0.17375656,0.17321179,0.1567869,0.15747264,0.17932473,0.11047237,0.14717262,0.19231588,0.18488936,0.18352616,0.14986551,0.17428221,0.17155142,0.1732677,0.16914158,0.17402671,0.16739758,0.18095619,0.17010806,0.19598655
0.17035366,0.17202827,0.12997911,0.17142024,0.17279582,0.16742703,0.17086264,0.16965619,0.16616792,0.16493329,0.07799544,0.1310828,0.15204638,0.15161846,0.1475725,0.16252983,0.13559914,0.15572943,0.12151915,0.15730331,0.16844491,0.17144827,0.18674566,0.17742464,0.12563685,0.18082251,0.1928004,0.19545545,0.17002926,0.16538252,0.1784535,0.16416815,0.19186266,0.1818749,0.16876843,0.16554139,0.19426171,0.17392984,0.17963861,0.17065294,0.15766257,0.15927105,0.17906117,0.0972618,0.15014407,0.189466,0.19138631,0.18082511,0.14139964,0.17371983,0.16576213,0.17120924,0.16918229,0.1735993,0.16150559,0.18098675,0.17521231,0.18961038
0.1768783,0.16864589,0.14043404,0.17336426,0.16806444,0.16940888,0.18180445,0.16820694,0.17098994,0.16204927,0.09274858,0.13983644,0.15700025,0.15845241,0.15416722,0.16039368,0.13665988,0.1512214,0.12886113,0.16185187,0.170832,0.17077443,0.18700948,0.1760736,0.12991403,0.1791201,0.1901935,0.19857716,0.16958526,0.16975471,0.17431262,0.1696642,0.19912983,0.18331031,0.17132161,0.17432805,0.19898987,0.18565486,0.17374466,0.17439955,0.15655579,0.16225091,0.17577888,0.09838137,0.15482017,0.19355905,0.18631726,0.19432428,0.14915647,0.17597162,0.16113186,0.1749913,0.17026623,0.1761038,0.17082352,0.18721116,0.1767324,0.19979122
0.16774198,0.16915466,0.14486917,0.16292071,0.1627768,0.16323709,0.17498543,0.16566574,0.16704366,0.15798077,0.07560073,0.12474793,0.15034657,0.16294857,0.15525078,0.16449891,0.13751486,0.15752892,0.12721503,0.16549992,0.16619268,0.17472347,0.18512603,0.1694304,0.13035798,0.18024662,0.18531866,0.19672542,0.16320415,0.16402694,0.17556152,0.16047631,0.19271225,0.1741421,0.17455567,0.17281029,0.1987069,0.17867316,0.17826233,0.16783551,0.15235155,0.15885516,0.17549886,0.08467905,0.1521898,0.19150362,0.18286657,0.18351963,0.14207177,0.17367573,0.16370853,0.16795255,0.16610118,0.17522066,0.16494872,0.1807234,0.16895795,0.19727194
0.16904587,0.1667364,0.13510346,0.17041383,0.16686322,0.16703861,0.17956306,0.16636935,0.1702313,0.15831294,0.07928878,0.131639,0.15688362,0.16118826,0.15665484,0.16723436,0.12877285,0.14805951,0.11304922,0.15380345,0.16270738,0.16848793,0.18802148,0.17201543,0.12841657,0.17533324,0.19152334,0.19759625,0.16695145,0.16653382,0.17328558,0.16731297,0.19730524,0.17843852,0.17413422,0.16961369,0.19161342,0.18003719,0.18126448,0.17471674,0.15400829,0.15522996,0.17613006,0.10416543,0.15524451,0.19483389,0.18536974,0.18328004,0.14567246,0.17737584,0.16399457,0.17293535,0.16813215,0.16725179,0.1653714,0.18403366,0.17366454,0.19265795
0.17327306,0.16452728,0.13408636,0.16965019,0.16737466,0.17176726,0.17750132,0.17043313,0.17003187,0.16495799,0.07573107,0.12533061,0.14554724,0.1660793,0.16256909,0.16538614,0.12371235,0.15484932,0.12383275,0.15563877,0.16852161,0.16355934,0.18680905,0.17602796,0.11532678,0.17777684,0.1853921,0.19931769,0.17467843,0.17215089,0.17449269,0.17197286,0.19790918,0.18542695,0.17465752,0.17045062,0.19870405,0.17468495,0.16712855,0.16879884,0.15938367,0.16113926,0.1813058,0.09757496,0.15684667,0.19467709,0.19200181,0.18344779,0.14672244,0.17425923,0.17292455,0.17906906,0.17234293,0.17685815,0.16409525,0.18419955,0.17441548,0.19073393
0.16381302,0.1683669,0.14242863,0.17322021,0.17699022,0.17268348,0.17491738,0.16642236,0.17007345,0.16383828,0.07578434,0.13152578,0.14952881,0.16026681,0.15625613,0.1639656,0.13286196,0.14982901,0.12443137,0.16667114,0.16729115,0.16660064,0.18494315,0.16923712,0.13129645,0.17556861,0.18977071,0.20253278,0.16707845,0.16981953,0.1800352,0.16731294,0.19682596,0.18069639,0.16932039,0.17151235,0.20016199,0.17510458,0.1693282,0.17374831,0.15483788,0.15920801,0.17918405,0.10334558,0.15640822,0.19086563,0.17991021,0.1848034,0.14158153,0.16404907,0.16770815,0.16791781,0.16876357,0.17474886,0.16627796,0.1853965,0.17064502,0.19069769
0.16864073,0.16983115,0.13491484,0.17496225,0.17433931,0.17030457,0.17818574,0.16586169,0.16590506,0.16827965,0.08467779,0.12313433,0.14690457,0.16357066,0.15824458,0.16710365,0.12853944,0.14633581,0.11406155,0.15834411,0.16845365,0.16873818,0.1826533,0.16631642,0.12513283,0.17339573,0.18112261,0.19872318,0.16586478,0.16616324,0.18136086,0.16764545,0.19377036,0.18000577,0.17073791,0.16375269,0.19555413,0.18311357,0.18529246,0.17953301,0.15785926,0.15903858,0.18012459,0.09875244,0.15431614,0.18947203,0.1830171,0.18260362,0.15173849,0.17701272,0.17405956,0.1706507,0.16592527,0.17857588,0.16544819,0.18108379,0.17173126,0.19411122
0.17003145,0.17066276,0.14042082,0.17001238,0.17350382,0.1706186,0.17351959,0.16594588,0.16725496,0.16272211,0.0815681,0.12794628,0.15282574,0.16170539,0.1583909,0.16943374,0.13448611,0.15825983,0.1140902,0.15335162,0.16569082,0.1691602,0.18230807,0.17284037,0.12568186,0.17412548,0.19501376,0.19787619,0.16030667,0.16406396,0.17648876,0.16868599,0.19640623,0.18542189,0.17496678,0.16873915,0.19801426,0.17562358,0.17867765,0.17238107,0.15312825,0.15661358,0.17434207,0.10661943,0.16046918,0.1939684,0.18259555,0.18842588,0.15329836,0.17738432,0.16608312,0.16576444,0.16635464,0.17641523,0.17052351,0.18170659,0.17258423,0.1925766
0.16700482,0.16928962,0.13593848,0.16293195,0.16368424,0.16197726,0.17333293,0.16356113,0.16395396,0.1655132,0.0731361,0.12586882,0.15768216,0.15348806,0.14717359,0.1569642,0.13778226,0.14330844,0.11689413,0.15717014,0.16434758,0.17070595,0.183299,0.17383673,0.12513174,0.17740764,0.19056782,0.19843515,0.16870779,0.16875657,0.17716168,0.16433172,0.19905557,0.17702486,0.18077298,0.16789692,0.20147495,0.1789084,0.17487754,0.17069475,0.15353913,0.15324871,0.17275827,0.09574397,0.15174533,0.19126819,0.18517122,0.18309851,0.14136437,0.17215842,0.17024511,0.17173696,0.17088902,0.17278412,0.16535991,0.18046287,0.17215862,0.19541511
0.16466671,0.17180261,0.14049368,0.17045325,0.16919814,0.16076297,0.17172555,0.16424544,0.16269514,0.15827308,0.07428507,0.13310632,0.14947001,0.16165313,0.15284785,0.16375347,0.13698171,0.16170389,0.12893577,0.15755056,0.16344461,0.16595776,0.18627938,0.17340876,0.12994932,0.17752255,0.18672536,0.19887255,0.16115122,0.16306451,0.17704485,0.15848642,0.19319239,0.17462731,0.16965244,0.16466116,0.20452478,0.17847764,0.17287922,0.16741237,0.15045492,0.15030897,0.17721678,0.10467072,0.15289957,0.19291534,0.18439333,0.18681964,0.14491223,0.17358425,0.16660914,0.16772885,0.16576666,0.17681343,0.15801583,0.18408278,0.17170576,0.19332336
0.16190645,0.16572836,0.13665714,0.17624131,0.17504254,0.17307459,0.17349688,0.16716539,0.1676686,0.1591429,0.09030947,0.13104106,0.1508218,0.15885252,0.15275627,0.16241059,0.1381361,0.15072396,0.12387302,0.16405674,0.16767706,0.16886057,0.18661968,0.17424347,0.1335087,0.17597451,0.18994433,0.19920557,0.16142957,0.16356348,0.17374236,0.16468528,0.19415135,0.17674644,0.17680831,0.1645032,0.20616891,0.17742213,0.17713006,0.17313088,0.15097572,0.16023707,0.17412581,0.10773507,0.15360721,0.19632943,0.18452861,0.1940226,0.14982628,0.17762462,0.17090954,0.16302991,0.16630442,0.17240919,0.16611432,0.18150005,0.16811526,0.19900494
0.16612474,0.16813106,0.14060494,0.18056005,0.17744096,0.167033,0.17083577,0.16708035,0.16828316,0.15891467,0.08146643,0.13768962,0.15404846,0.16003314,0.15083406,0.16041349,0.13690068,0.15986113,0.11976782,0.1536605,0.16889764,0.16165372,0.18602402,0.16378209,0.13134047,0.17830699,0.18699653,0.20204465,0.16665141,0.16233185,0.17203631,0.1651956,0.19862789,0.17855443,0.17356305,0.16240059,0.194252,0.17754736,0.17329286,0.16954815,0.15235411,0.15564846,0.17641508,0.10229988,0.15503544,0.18998415,0.18289421,0.18152964,0.14713261,0.1639018,0.1649086,0.17133909,0.16690475,0.16911118,0.15858515,0.18646739,0.17101256,0.19705764
