"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.04814191,0.05437603,0.06076284,0.11169,0.11770263,0.12474553,0.10126563,0.08897047,0.11207339,0.08177641,0.06280898,0.17589601,0.17666138,0.18000102,0.19903151,0.1710059,0.19587874,0.11859422,0.16406686,0.12954539,0.161929,0.14063588,0.20980347,0.22604957,0.17464721,0.06273364,0.06159829,0.07175224,0.11092703,0.09678745,0.09999328,0.09919966,0.0990764,0.19496142,0.11747756,0.13765763,0.14486469,0.06667095,0.07553874,0.08001787,0.1945886,0.21447825,0.2139521,0.06352,0.06312059,0.0618497
0.04940329,0.05608759,0.0627337,0.11304765,0.11860511,0.1255249,0.10369898,0.09057441,0.11372646,0.08308568,0.06468489,0.18192287,0.1827554,0.18639997,0.20299908,0.17592767,0.20037384,0.12030488,0.16979444,0.13429332,0.16713089,0.14565912,0.21792846,0.23372635,0.1804615,0.06049294,0.0591392,0.06932473,0.11431514,0.09761096,0.10199609,0.10071338,0.10059124,0.19968396,0.11933936,0.14180703,0.15031676,0.06795133,0.07741232,0.0827332,0.20165699,0.22018087,0.22044353,0.06100291,0.06040357,0.06045737
0.04613858,0.0507966,0.05596367,0.10389695,0.10948352,0.11636348,0.09549509,0.08438767,0.10316255,0.07653368,0.05967821,0.16918056,0.17003641,0.17477185,0.18328138,0.16014947,0.18160777,0.11199663,0.15510643,0.12397266,0.15275577,0.13274705,0.20498893,0.21942282,0.16658119,0.06107345,0.06035799,0.06906055,0.10573745,0.08902683,0.09387214,0.09267292,0.09285603,0.18133337,0.11044869,0.12900981,0.13680577,0.06542767,0.07474305,0.07776281,0.18702187,0.20475374,0.20523759,0.0616344,0.06104715,0.06060916
0.04846095,0.05504146,0.06092211,0.11266892,0.11870233,0.12737172,0.10026791,0.08996268,0.10810812,0.08112894,0.06340926,0.18055916,0.18142887,0.18462977,0.19451196,0.16858216,0.19239132,0.11925034,0.16497018,0.13246409,0.16497544,0.13930676,0.21507233,0.23044719,0.17973198,0.06139803,0.06127835,0.0705027,0.11050958,0.09674393,0.09903076,0.09805781,0.09827442,0.19296594,0.11815184,0.13543495,0.14338254,0.06690218,0.07666648,0.08109534,0.19914095,0.21743426,0.22306088,0.06256055,0.06255741,0.06144092
0.04951525,0.05740987,0.06573916,0.11499931,0.11635849,0.1234293,0.10748295,0.09351723,0.11530973,0.08323783,0.0628529,0.18090688,0.181744,0.18527281,0.19463236,0.17034977,0.19318786,0.12215564,0.16617264,0.13394818,0.16773093,0.13961742,0.21446061,0.22652138,0.18126325,0.06167025,0.06038726,0.07063211,0.11492387,0.09983334,0.1024008,0.1016803,0.10167754,0.19516608,0.12511144,0.13675347,0.1434574,0.06895217,0.07881211,0.08311152,0.19643628,0.21157153,0.21904504,0.06234771,0.06056838,0.06054874
0.04651001,0.05287781,0.05691998,0.1098591,0.12294409,0.12762347,0.09734227,0.08840107,0.10574008,0.07780181,0.06053125,0.17693581,0.17781847,0.18121194,0.19062424,0.16438868,0.18946118,0.12134446,0.16465358,0.13362948,0.16711415,0.14214195,0.20990656,0.22343484,0.17795093,0.06033587,0.05968622,0.06863983,0.11003737,0.09417708,0.09469265,0.09420498,0.09438122,0.18977479,0.11369826,0.13853846,0.14613221,0.06742949,0.07672666,0.08050056,0.1953694,0.21135927,0.21928008,0.061223,0.05999843,0.06010752
0.0440578,0.04710937,0.05194653,0.1113747,0.11429429,0.12205016,0.10099137,0.09005316,0.09990328,0.07459844,0.0573498,0.17888187,0.1796943,0.18332795,0.19909584,0.17287904,0.19667994,0.11588363,0.16503111,0.13383454,0.16790422,0.14153542,0.21701285,0.23260444,0.17688901,0.06129629,0.06044444,0.06922728,0.11065638,0.09672646,0.09151475,0.09056565,0.09087544,0.1983706,0.11611888,0.13826451,0.14576396,0.06747072,0.07682182,0.08157692,0.19782147,0.22085566,0.2193388,0.06109205,0.06171713,0.06035853
0.04682571,0.05068422,0.05614003,0.10897992,0.11553925,0.12258751,0.10036159,0.0894932,0.10644614,0.07798522,0.05978794,0.17591533,0.17684961,0.17956815,0.1912699,0.16593761,0.18912705,0.11581706,0.16130714,0.12882972,0.15723741,0.13856222,0.21039814,0.22451756,0.17089375,0.05984294,0.05924428,0.06840462,0.11021958,0.09581848,0.09617494,0.09516516,0.0949778,0.191714,0.11415812,0.13544734,0.1428088,0.0655076,0.07384042,0.07865512,0.19418909,0.20995596,0.21224554,0.06068434,0.05952343,0.05942304
0.04632572,0.05058326,0.05548291,0.10880865,0.11899702,0.12445163,0.09911124,0.08921615,0.10513822,0.07750661,0.06029913,0.18056518,0.18144619,0.18283124,0.19654729,0.16980667,0.19438334,0.11809597,0.16417764,0.13450831,0.16685125,0.1417078,0.20747998,0.22158866,0.17825898,0.0635511,0.06217312,0.07223371,0.10690962,0.09266488,0.09623268,0.09540987,0.09553153,0.19420338,0.11152874,0.13915687,0.14547035,0.0684065,0.07822796,0.08244062,0.19217698,0.2083442,0.21668577,0.06429795,0.06329734,0.06251558
0.04623035,0.05027702,0.05550983,0.1098499,0.11492754,0.12230262,0.09835311,0.08733017,0.10354878,0.07626903,0.05867622,0.17466154,0.17545743,0.17949571,0.19063461,0.16632475,0.18936839,0.11669774,0.16268167,0.12957096,0.16113384,0.13900276,0.21190944,0.22551283,0.17584216,0.06320705,0.06222123,0.07204174,0.11004111,0.09442172,0.09379774,0.09257872,0.09322945,0.18962289,0.11629134,0.13620992,0.14321958,0.06645971,0.07589568,0.07887414,0.19414846,0.2130688,0.21521933,0.06418473,0.06380839,0.0624183
