"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.00245656,0.00754954,0.01053608,0.01110736,0.01300452,0.01185322,0.01255818,0.00702865,0.01515584,0.00651754,0.00381339,0.02912129,0.029329,0.02764823,0.04057218,0.02734758,0.03849403,0.00971032,0.02032722,0.01667005,0.0314213,0.01546235,0.02997622,0.03371974,0.02800862,0.002595,0.00227145,0.00333149,0.00976976,0.00822739,0.00919528,0.00903833,0.00903681,0.03654027,0.01441797,0.01562965,0.01582665,0.00378205,0.00580569,0.00670091,0.02698616,0.03931284,0.03156307,0.00254069,0.00326504,0.00235395
0.00225213,0.00756574,0.01096208,0.01044253,0.01358882,0.01232948,0.01273,0.00713649,0.01445318,0.00604224,0.00379668,0.03068555,0.0309051,0.02981943,0.04148077,0.02839852,0.03995603,0.00988596,0.02090658,0.01771801,0.03207858,0.01567176,0.03088924,0.03446512,0.0288626,0.00264393,0.00230058,0.00353611,0.01036591,0.00802737,0.00864307,0.00852483,0.00836507,0.0381045,0.01428048,0.01557774,0.01612256,0.00393192,0.00611269,0.00725194,0.02755549,0.04071875,0.03197857,0.00256679,0.00268143,0.00246762
0.00193713,0.00658584,0.00940468,0.00839825,0.01075804,0.01036531,0.01054558,0.00570162,0.01089503,0.00521042,0.00329509,0.0248266,0.02504752,0.02424641,0.03378014,0.02240832,0.03236624,0.00808084,0.0175613,0.01379309,0.02438496,0.0109685,0.02576728,0.02854165,0.02294541,0.00262682,0.00230404,0.00330065,0.00870779,0.00631007,0.00721243,0.00720664,0.00714437,0.0304025,0.01182205,0.01110937,0.01145033,0.00373209,0.00580837,0.0065808,0.02259594,0.0325082,0.02660834,0.00256012,0.00261371,0.00241299
0.00219453,0.00714751,0.01041685,0.01040491,0.0127465,0.01152992,0.01259701,0.00677108,0.01164528,0.0056206,0.00366759,0.02683702,0.02704949,0.0252038,0.03855853,0.02603209,0.03701725,0.00942271,0.01958774,0.0163907,0.03026462,0.01390946,0.02847861,0.0311009,0.02698968,0.00252385,0.00237243,0.00331096,0.01011974,0.00785259,0.00823976,0.00814086,0.00805684,0.03459526,0.01495226,0.01403385,0.0140723,0.00382334,0.00614727,0.00682309,0.02489576,0.03663903,0.03037778,0.00257062,0.00279799,0.00239112
0.00214005,0.00767201,0.01162882,0.01091223,0.01289442,0.01189764,0.01461675,0.00768168,0.01431436,0.00575041,0.00331691,0.02870787,0.02892367,0.02746296,0.04078125,0.02702461,0.03961118,0.00949976,0.01940678,0.01748809,0.03225621,0.01526018,0.02984608,0.03202806,0.02857676,0.00281771,0.00242321,0.00363927,0.0106239,0.00852983,0.00861947,0.00872702,0.00851579,0.0371937,0.01635073,0.01519856,0.01554635,0.00414713,0.00632236,0.0070623,0.02609974,0.03776224,0.03173496,0.00274689,0.00257163,0.00254346
0.00201239,0.00706022,0.00950653,0.00977026,0.01464059,0.0132568,0.01088703,0.00642255,0.0123209,0.00537679,0.00337052,0.02713438,0.02735416,0.0262862,0.03805911,0.02570648,0.03678646,0.00877783,0.01900172,0.01696391,0.03195117,0.01456017,0.02996255,0.03340289,0.02862196,0.0024782,0.00223322,0.00315729,0.00924181,0.00741719,0.00756913,0.0075656,0.00748484,0.03541103,0.01233874,0.01463162,0.01489607,0.00389481,0.0059427,0.00688123,0.02609325,0.04044155,0.03199887,0.00244777,0.00245462,0.00223265
0.0016716,0.00537574,0.0082239,0.00979066,0.01381068,0.01219015,0.01177424,0.00664597,0.00955155,0.00431275,0.00252085,0.02965267,0.02986084,0.02846866,0.04049877,0.02826343,0.03874787,0.00873394,0.01949738,0.01672126,0.03099163,0.01549826,0.03070095,0.03391874,0.02900818,0.00262302,0.00230639,0.00326883,0.00956283,0.0074782,0.00643455,0.00633198,0.00630825,0.03758713,0.01315007,0.01547222,0.0159136,0.00399335,0.00616716,0.00708309,0.0269863,0.04007486,0.03110946,0.00242426,0.00304793,0.00242266
0.00184188,0.00551634,0.00858025,0.01025964,0.01306362,0.01181299,0.01165594,0.00687406,0.01213252,0.00526823,0.00312658,0.02790979,0.0281412,0.02666315,0.03914293,0.02644696,0.03774669,0.00909513,0.01976627,0.01604183,0.02564183,0.0134339,0.02961528,0.03254385,0.02524745,0.00257811,0.00238335,0.00333023,0.00994239,0.00776268,0.00774626,0.00749755,0.00757556,0.03554783,0.01356076,0.0134076,0.01394079,0.00386226,0.00570403,0.00670177,0.02593516,0.03816535,0.02897869,0.00261507,0.00256697,0.00238008
0.00198936,0.00671145,0.00918141,0.00994462,0.01390021,0.01238753,0.01246779,0.00711061,0.01229457,0.00559573,0.00345515,0.02793128,0.02814947,0.02640275,0.04108125,0.02827576,0.03932665,0.00946288,0.02037576,0.01633147,0.02889643,0.01435484,0.02934608,0.03339504,0.02812475,0.00272112,0.00239648,0.00347574,0.00939052,0.00760928,0.00838711,0.00823545,0.00818698,0.03826613,0.01265178,0.01477451,0.01497354,0.00471977,0.00709555,0.00807265,0.02569829,0.03930947,0.03041715,0.00270216,0.00274967,0.00249832
0.00185438,0.00600442,0.00895759,0.0092456,0.013094,0.01177388,0.01076885,0.00591663,0.01138665,0.00505445,0.00297483,0.02697776,0.02720155,0.02617397,0.03862204,0.02569649,0.03728716,0.00871133,0.01870032,0.01615141,0.02996724,0.01417367,0.03042616,0.03352386,0.0271661,0.00271511,0.00242406,0.00354247,0.00918428,0.00688077,0.00733176,0.00723659,0.00725601,0.03473627,0.01325948,0.01445775,0.01476625,0.00370657,0.00565699,0.0062662,0.02653873,0.04021252,0.03064172,0.00273055,0.00335461,0.0025164
0.00232723,0.00760584,0.0107667,0.01010961,0.01354256,0.01267726,0.01191275,0.00696921,0.01249172,0.00503875,0.00305386,0.03554139,0.03573743,0.03317515,0.04531311,0.0306813,0.04378185,0.01010575,0.02215276,0.01891692,0.03527769,0.0183498,0.03230865,0.03568849,0.03115662,0.00263706,0.00244933,0.0034712,0.00998931,0.00756401,0.00786204,0.0076879,0.00779268,0.04102629,0.01387605,0.01801627,0.01866512,0.00433988,0.00682005,0.00765283,0.02874657,0.04327626,0.03331089,0.0026592,0.00318245,0.00247312
0.0021681,0.00800645,0.01177145,0.00977234,0.01272451,0.0116587,0.01258717,0.00696719,0.0139468,0.00567293,0.00355925,0.0279939,0.02821412,0.02537617,0.03708251,0.02475682,0.03570674,0.00929681,0.0189755,0.01635867,0.03164985,0.01479826,0.02879371,0.03196273,0.02703003,0.00273709,0.00234716,0.00358368,0.00999378,0.00753723,0.00855955,0.00833862,0.00832562,0.03471069,0.01438003,0.01474349,0.01529592,0.00373145,0.00551296,0.00622771,0.0253155,0.03741589,0.02998068,0.00260607,0.00279579,0.00280065
0.00199145,0.00626446,0.00928504,0.00941846,0.0119566,0.01126522,0.01226658,0.00639669,0.01295242,0.0053939,0.00360116,0.02604128,0.02625242,0.02458969,0.03642681,0.02388249,0.03495519,0.00912316,0.01864,0.01476353,0.02848643,0.01278504,0.02825207,0.03085841,0.02517902,0.00261076,0.0023714,0.00326727,0.00973997,0.00711871,0.00790097,0.00782411,0.00775058,0.03329738,0.01393268,0.01246673,0.01332072,0.00360067,0.00557416,0.0062006,0.02423658,0.03619701,0.02920028,0.00259792,0.0030555,0.00233785
