"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.20787853,0.17249846,0.21236837,0.18559772,0.25851881,0.30555476,0.15339858,0.17047479,0.240684,0.24904321,0.23037501,0.19912326,0.1979399,0.20126229,0.15703241,0.21971965,0.1581937,0.3157843,0.28744931,0.24536298,0.19542783,0.30374929,0.26915311,0.3146646,0.31792916,0.23344045,0.23667838,0.23255312,0.20152139,0.21106467,0.1412636,0.17099084,0.17194491,0.16544905,0.18415604,0.3087644,0.30374874,0.14681311,0.13643735,0.11531853,0.28987915,0.33455335,0.31625234,0.23209406,0.23214734,0.21781482
0.22305978,0.19233584,0.22908983,0.18959862,0.26446475,0.31028204,0.1548481,0.18647955,0.26326167,0.26390009,0.24159708,0.20421001,0.20381566,0.20330038,0.1623692,0.22579336,0.16387792,0.32430701,0.28588872,0.25432356,0.20657356,0.31831462,0.28224714,0.32225716,0.32822192,0.23582926,0.23647041,0.23496561,0.20520424,0.22503358,0.14610424,0.17852109,0.1796873,0.17157342,0.1792713,0.32165908,0.31872366,0.15523788,0.14723525,0.11661621,0.28819784,0.34378719,0.33100139,0.23472653,0.23577435,0.22968828
0.20858173,0.17458865,0.21392137,0.18255317,0.24765909,0.29471469,0.16276158,0.17952234,0.22869151,0.23884544,0.21955684,0.20143309,0.19977088,0.20222141,0.16179626,0.22498199,0.16302274,0.3203183,0.28273001,0.24727616,0.19762177,0.30610212,0.26303307,0.29971227,0.31595769,0.23321215,0.23451774,0.23171875,0.21455538,0.21064013,0.13746849,0.17219364,0.16967068,0.17068001,0.19035825,0.31329807,0.30630066,0.14743648,0.13679217,0.110919,0.277675,0.32728059,0.31380542,0.23077621,0.23325542,0.2191517
0.20472265,0.17450791,0.21014825,0.18496311,0.26691889,0.31440593,0.15621468,0.17140095,0.26577791,0.27304497,0.25233041,0.20148624,0.19943636,0.2041992,0.16599342,0.22888455,0.16619423,0.32136565,0.28347471,0.25095307,0.20483239,0.31966474,0.27145592,0.31540233,0.32688465,0.23979633,0.24121478,0.23861784,0.2211188,0.21520689,0.14629744,0.17102219,0.17708274,0.17644131,0.18312714,0.32582791,0.31929998,0.1472954,0.13921142,0.11524091,0.29491937,0.34439324,0.33439509,0.2384247,0.23753922,0.22618897
0.20551356,0.17555909,0.21073346,0.19629606,0.27374541,0.31908155,0.15836848,0.17938933,0.24978104,0.25413957,0.23279761,0.20839693,0.20717524,0.20974783,0.16802233,0.22827701,0.16943806,0.32931819,0.29717365,0.25424465,0.2069492,0.31470468,0.27617138,0.32169938,0.333254,0.24909102,0.25142333,0.24968744,0.22305936,0.21981561,0.14117524,0.17162854,0.17339718,0.1700357,0.18337673,0.31831913,0.31458372,0.16022727,0.14866589,0.11740066,0.30033981,0.35302253,0.33026757,0.24741962,0.25102999,0.23473767
0.20495133,0.17739677,0.21199244,0.19088953,0.25935686,0.30788256,0.15983926,0.18040889,0.24369308,0.24988094,0.23172985,0.19966555,0.19888363,0.20325336,0.16743246,0.22815101,0.16820371,0.32772749,0.29021975,0.2526886,0.20296509,0.31921964,0.2716912,0.31442179,0.33441132,0.24397075,0.24347411,0.24064552,0.2232487,0.22114706,0.1361428,0.16477577,0.16993517,0.17207446,0.1919575,0.32450907,0.31791901,0.15350623,0.14503982,0.11743808,0.30656567,0.34541782,0.33919518,0.23993229,0.24187878,0.22731327
0.21328937,0.1820074,0.21817685,0.18042965,0.25397788,0.30675103,0.14997165,0.17106038,0.26158442,0.27059379,0.24707572,0.20373174,0.20292531,0.20330024,0.17050486,0.236105,0.17267216,0.3098534,0.29465254,0.26200227,0.21358866,0.31892293,0.27419259,0.32135226,0.32448552,0.24682744,0.24997261,0.24625336,0.21042396,0.21290375,0.14635599,0.17805132,0.18029858,0.17586045,0.17581277,0.32415551,0.31862779,0.15274099,0.14534943,0.11973912,0.28990318,0.35107333,0.33317878,0.24365148,0.24679656,0.23766658
0.20641456,0.18090802,0.21342637,0.19305253,0.24532134,0.29700301,0.1635357,0.18247598,0.23901701,0.24548895,0.22220737,0.19409335,0.19244603,0.19329242,0.16053382,0.2235812,0.16152517,0.32436351,0.27956481,0.25822764,0.21172207,0.30310251,0.26519659,0.30701414,0.31470648,0.23397462,0.23566917,0.23299029,0.22435282,0.22209438,0.14159896,0.17013694,0.17119421,0.17138342,0.19983457,0.30776371,0.30281985,0.1445431,0.13607891,0.11319654,0.28637057,0.32546861,0.31193624,0.23082973,0.2325447,0.22107853
0.20848403,0.17386833,0.21527997,0.17909183,0.25472106,0.29746752,0.15929032,0.18262067,0.24449516,0.24998567,0.2334414,0.19684254,0.19549051,0.19817118,0.15917254,0.21930841,0.1598196,0.3196977,0.28546592,0.25071588,0.19900365,0.29245472,0.27540569,0.31717416,0.3207771,0.23027838,0.23034839,0.22827908,0.20337709,0.20738997,0.14107178,0.17102092,0.17349177,0.16036688,0.18569452,0.29787031,0.29196657,0.14860463,0.13984273,0.11340015,0.29292425,0.33691768,0.31839997,0.22679993,0.22987668,0.2187308
0.21033841,0.17480858,0.21672657,0.18100081,0.24342018,0.29146206,0.15269642,0.18327475,0.2366521,0.24323051,0.22260647,0.19126964,0.19035276,0.19172402,0.15788797,0.21841265,0.15958331,0.3122863,0.28058886,0.24884182,0.19799667,0.31238894,0.26050937,0.30721153,0.31528773,0.23313008,0.23437433,0.23162126,0.20943834,0.21427457,0.13503641,0.15419416,0.16521752,0.16327904,0.18245557,0.31817039,0.3112149,0.15069339,0.14087777,0.11388165,0.29057589,0.33303591,0.31590984,0.23098115,0.23265782,0.22301602
