"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.04593176,0.03747473,0.04597576,0.04720396,0.06461575,0.08489426,0.04299016,0.05069564,0.06454389,0.05642426,0.05924459,0.05321125,0.05298349,0.04734839,0.02586197,0.04227674,0.02582664,0.07559584,0.07667102,0.05729546,0.06240241,0.10323212,0.07403753,0.07489232,0.07732113,0.06231844,0.06282913,0.06330352,0.05767776,0.0590524,0.02026471,0.04187407,0.03422564,0.0283191,0.05520936,0.10346728,0.10560367,0.02778699,0.02581835,0.01300836,0.07516203,0.07515807,0.09032028,0.06282736,0.06272837,0.05874136
0.05663128,0.04936663,0.05684394,0.04328161,0.06796733,0.08578593,0.04342983,0.06163692,0.07388788,0.06438147,0.06488998,0.0557978,0.05590553,0.04778255,0.0288326,0.04608655,0.02993431,0.07620032,0.07447132,0.06590854,0.07255481,0.10948975,0.08075397,0.07733658,0.07971401,0.06684586,0.06399305,0.06715135,0.05120352,0.06325555,0.01865381,0.04480565,0.03663033,0.02801398,0.04827843,0.10919487,0.11224797,0.03229832,0.03045951,0.0129377,0.07371164,0.07751699,0.09459817,0.06694962,0.06739916,0.07113699
0.05008029,0.03787139,0.05064728,0.04351394,0.06115895,0.08254966,0.04848188,0.05563798,0.06223946,0.0563145,0.05776618,0.05328895,0.05293281,0.04797493,0.0273717,0.04832921,0.02713858,0.06935978,0.07371617,0.05979351,0.06487007,0.10722237,0.07384653,0.06924924,0.07614018,0.06676942,0.0652099,0.06749641,0.05963661,0.05470897,0.01889813,0.04497094,0.0360021,0.02865292,0.0529666,0.10896038,0.10953352,0.02919093,0.02577569,0.01202713,0.07677743,0.07517493,0.08909399,0.06644,0.06871201,0.0651594
0.04529001,0.03782438,0.04625441,0.04230239,0.06759832,0.08833138,0.04364902,0.0493125,0.07151763,0.06523496,0.06613522,0.0504745,0.04993684,0.04480051,0.03205419,0.04802429,0.03154501,0.07078968,0.07098588,0.06169344,0.07080599,0.11168147,0.07367511,0.0731203,0.07822713,0.06946567,0.06681834,0.06893494,0.06367588,0.05745859,0.01986963,0.04035753,0.03373838,0.03436312,0.04869824,0.11289128,0.11346259,0.02753713,0.02624496,0.01197494,0.07834374,0.08033616,0.09427254,0.06890994,0.0685729,0.06694632
0.04632337,0.03834615,0.04741208,0.04745369,0.07223034,0.09295988,0.04493886,0.05211171,0.06965891,0.0627547,0.06401429,0.05402208,0.05424287,0.04782231,0.0333772,0.04928145,0.03272115,0.07415751,0.07960739,0.06160452,0.06788062,0.1097201,0.07807678,0.07989866,0.08191825,0.07408272,0.07166325,0.07459013,0.06603712,0.05832254,0.02063907,0.04424857,0.0356141,0.02759114,0.04812408,0.10897529,0.11161983,0.0347218,0.03165986,0.01317373,0.08667863,0.08519221,0.09605575,0.0732732,0.0764659,0.07128622
0.04752249,0.03856263,0.0483056,0.04392351,0.06336816,0.08448277,0.04305118,0.05464348,0.06557153,0.05906118,0.06167777,0.04827784,0.04770703,0.04416616,0.03147916,0.0490212,0.0310588,0.07723819,0.07263722,0.06074203,0.06588908,0.1108827,0.07318897,0.07294384,0.08422557,0.06509185,0.06293932,0.06479635,0.06489028,0.05933801,0.01850768,0.04118333,0.0346496,0.02874007,0.05450292,0.11127438,0.11176604,0.03262907,0.03188888,0.0127084,0.08459268,0.08179999,0.10032024,0.06481185,0.06512356,0.06095724
0.04607463,0.04171471,0.04772194,0.03735466,0.06100478,0.08339009,0.03801588,0.05012859,0.06777772,0.06652319,0.06592616,0.05510219,0.05483915,0.04657197,0.03403437,0.05235001,0.03502962,0.066726,0.08076917,0.06467713,0.07047621,0.11081752,0.07271408,0.07375345,0.07596468,0.06787549,0.06717078,0.06743238,0.05927341,0.05472082,0.02012726,0.0415557,0.03449613,0.03140543,0.0454635,0.1112491,0.1123817,0.03253154,0.03110733,0.0145873,0.07387561,0.07918401,0.093143,0.06717822,0.06922802,0.07036661
0.04757513,0.04230671,0.04813119,0.04954075,0.05841959,0.08312569,0.04554893,0.05317662,0.06429453,0.05870625,0.05552681,0.0500221,0.04960907,0.04290681,0.02944098,0.04717278,0.02910473,0.07216338,0.07342224,0.06293344,0.07171938,0.10782491,0.07599648,0.0761507,0.07359349,0.06797493,0.0671541,0.06920292,0.06443974,0.05896195,0.01968335,0.04178542,0.03389622,0.02804451,0.06032504,0.10832026,0.10972625,0.02939,0.02784572,0.01181709,0.0782225,0.07647453,0.0840435,0.06779939,0.06842298,0.06529094
0.04605492,0.0362268,0.04686153,0.03972875,0.06281411,0.08191907,0.0450556,0.05836095,0.06389914,0.0559087,0.06008055,0.04776655,0.04793745,0.04137961,0.02986381,0.04582439,0.02982366,0.07468503,0.07268951,0.05846816,0.06123829,0.10435929,0.07886144,0.07673925,0.07648422,0.06098418,0.06093171,0.06180983,0.05052871,0.05215167,0.01949168,0.04236757,0.03450207,0.02515843,0.05030739,0.10458583,0.10667799,0.02886988,0.02815567,0.01217808,0.08054258,0.07867183,0.08830362,0.06126067,0.06253652,0.06147468
0.0505211,0.03775267,0.05160504,0.04140792,0.05736174,0.07647396,0.03887803,0.05709922,0.06163199,0.05569949,0.05530904,0.04260679,0.04234496,0.03696983,0.028317,0.04417268,0.02817696,0.06780332,0.0700662,0.06017936,0.06379606,0.1092727,0.07076863,0.07185829,0.07329905,0.0612885,0.05932222,0.06078702,0.05627418,0.05928653,0.01794303,0.03295789,0.03108935,0.02768069,0.05092828,0.11064653,0.11059811,0.03000938,0.02822724,0.01164149,0.07950913,0.07496382,0.08646021,0.06114948,0.06246739,0.06079581
0.0423345,0.03879588,0.0430367,0.04044952,0.06696641,0.0863,0.04499233,0.05870843,0.06978931,0.06496898,0.06617528,0.05301166,0.05252858,0.04523906,0.03141041,0.04711426,0.03292074,0.07395552,0.07599012,0.06440316,0.07167857,0.11157854,0.07927138,0.0768952,0.08371201,0.07062546,0.06940265,0.06948965,0.06066403,0.06154686,0.01741739,0.0365915,0.03115373,0.03018679,0.05181392,0.11137726,0.11308946,0.03033044,0.0276279,0.01206805,0.07880191,0.08358475,0.09855205,0.06986863,0.07370782,0.07399697
0.04508329,0.03875206,0.04607554,0.04605673,0.06603842,0.08577548,0.04844395,0.0483558,0.06820738,0.06013939,0.06037847,0.05167068,0.05142465,0.04440129,0.03166219,0.04893774,0.03334225,0.07260447,0.07120289,0.06734347,0.07423416,0.11383137,0.07413586,0.07515036,0.07577917,0.0679945,0.06454213,0.06715763,0.05508524,0.0529728,0.01941307,0.04542239,0.03579131,0.0285045,0.04563591,0.11268599,0.11529038,0.03627664,0.03335783,0.01326946,0.07599739,0.07824515,0.09080905,0.06652428,0.06807436,0.06443626
0.05577407,0.04612474,0.05653843,0.04194323,0.06727622,0.08862797,0.04818271,0.05379771,0.06514371,0.06288129,0.05905113,0.05324579,0.05258898,0.0465906,0.02921201,0.04491793,0.02938944,0.07643917,0.07734606,0.05822657,0.06503986,0.11560336,0.0816306,0.07709992,0.07690565,0.06657492,0.06426667,0.06626504,0.05898457,0.06463181,0.02021027,0.04251447,0.03066855,0.03673363,0.05339947,0.11468769,0.11709685,0.03120996,0.02960581,0.01174978,0.08561148,0.07789231,0.08934551,0.06512604,0.06697032,0.06509766
