"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.07734759,0.06736893,0.08332477,0.14406852,0.20462152,0.22324909,0.12696548,0.14028299,0.14122947,0.12993603,0.09473708,0.17137403,0.16818218,0.1458348,0.16332188,0.16840409,0.13424276,0.16686769,0.29063858,0.18650219,0.19040017,0.18549744,0.28543753,0.30662911,0.19851403,0.11562982,0.11446294,0.1239484,0.16840424,0.17048319,0.09652772,0.09667745,0.09346403,0.17373424,0.11822464,0.17693687,0.17814697,0.07904746,0.07321209,0.08301816,0.22223734,0.2605813,0.31535042,0.12104064,0.11251117,0.10920222
0.08217696,0.07534445,0.08971248,0.1438699,0.19668079,0.21988419,0.12850911,0.13809752,0.14551561,0.13076888,0.09468827,0.17144617,0.16863097,0.14526317,0.16021779,0.16476262,0.13094427,0.16683668,0.28877231,0.1836506,0.18785254,0.18718208,0.28490644,0.30269485,0.19517009,0.11376221,0.11108611,0.12205023,0.16427942,0.16763227,0.09953509,0.0997504,0.09497737,0.17024023,0.11870555,0.17907014,0.18098192,0.07884305,0.07199094,0.08333979,0.21542035,0.256602,0.30913784,0.12134143,0.11146589,0.10733648
0.07378786,0.06671222,0.08130152,0.14604469,0.20786182,0.22372917,0.11878422,0.13842961,0.13910273,0.12656915,0.08988264,0.16995065,0.16744099,0.14290509,0.16033637,0.16631243,0.13090645,0.16682641,0.2930429,0.17930876,0.18339749,0.18732344,0.26056555,0.28869859,0.19460048,0.11884614,0.11647222,0.12534184,0.16311328,0.17088678,0.09387085,0.09215822,0.08908624,0.16760724,0.11411251,0.17948569,0.18092288,0.07969255,0.07281502,0.07907001,0.20357574,0.24936149,0.31089245,0.12587051,0.1160145,0.10793725
0.07669424,0.06983168,0.08460914,0.14259058,0.20264618,0.22482206,0.12347572,0.13945346,0.14353275,0.13005064,0.09423672,0.16576254,0.163069,0.14124959,0.16540557,0.17210679,0.13284512,0.16438435,0.2766834,0.18031237,0.18291309,0.17856713,0.2783805,0.30310891,0.19829438,0.11317309,0.10970277,0.11819333,0.16893521,0.1705952,0.09603005,0.09469519,0.09320484,0.1719359,0.11467676,0.17071623,0.17271564,0.07888599,0.07196038,0.0815977,0.21560366,0.25880017,0.321456,0.11623089,0.10863175,0.10388986
0.07715644,0.06976839,0.08521737,0.15294729,0.20465162,0.22344813,0.12727085,0.14052098,0.1456698,0.13137736,0.09478328,0.17512741,0.17253006,0.14870745,0.1655191,0.16977612,0.13604127,0.17007775,0.30106775,0.18789119,0.19307316,0.1823204,0.28177652,0.30293025,0.20108336,0.11469006,0.11241279,0.12162175,0.16770522,0.17575153,0.09687466,0.09474594,0.09291171,0.17432571,0.11878518,0.17416299,0.17476283,0.08326521,0.07589177,0.08522955,0.21705399,0.25831396,0.31927855,0.11933951,0.11175429,0.10494422
0.07767862,0.06921738,0.0846873,0.14633584,0.20843333,0.22904698,0.12327297,0.13658383,0.13414028,0.12760127,0.09333687,0.16715162,0.16503537,0.14386667,0.17204941,0.17285087,0.13775159,0.16855967,0.29172529,0.1821453,0.18638947,0.18488122,0.27844347,0.30366196,0.19876875,0.11653592,0.11256978,0.12179177,0.16508944,0.17204025,0.08966536,0.08895951,0.0862531,0.17304687,0.1149133,0.17653979,0.17731009,0.081629,0.07271939,0.08378489,0.21958891,0.25975263,0.32287027,0.12016618,0.11293378,0.10673073
0.08394772,0.07632952,0.09144053,0.14535341,0.18973106,0.21410335,0.12639495,0.13587025,0.14476642,0.12972892,0.09286702,0.16799392,0.1653154,0.1424736,0.15887308,0.16880454,0.13183974,0.16004064,0.27471881,0.18123589,0.18548938,0.17969461,0.27320709,0.29561402,0.19179852,0.11446111,0.10993105,0.11959222,0.16090831,0.16969604,0.09555097,0.09524383,0.09326897,0.16608316,0.1134557,0.17083709,0.17246107,0.07765069,0.07155193,0.08200369,0.20495972,0.25103215,0.30966116,0.11885913,0.1096747,0.10323699
0.07202569,0.06524475,0.08039279,0.14789756,0.20464837,0.22307729,0.11814461,0.13903443,0.13451623,0.12630094,0.08972888,0.17435671,0.17137957,0.1476752,0.16622964,0.17362337,0.13413902,0.1710096,0.29025084,0.18006728,0.18385101,0.18728842,0.26679285,0.29735972,0.19722898,0.11939538,0.11495931,0.12254096,0.15895537,0.17256482,0.0934177,0.09130798,0.08793983,0.17192262,0.11228315,0.17976572,0.18055795,0.07816681,0.07038191,0.08345783,0.21154596,0.25324881,0.31386172,0.12169141,0.11375032,0.11068568
0.07695245,0.06992431,0.0842574,0.14442867,0.20047049,0.22313067,0.13030424,0.14343396,0.13473949,0.12867389,0.0931469,0.17403987,0.1709445,0.14677294,0.16546413,0.17566979,0.13463126,0.16618965,0.2779688,0.18007045,0.18406888,0.18230373,0.27201442,0.3032236,0.20092477,0.11381116,0.11281474,0.12112118,0.16389251,0.1709302,0.09306405,0.09459752,0.09003246,0.17250858,0.11847202,0.1726257,0.17348577,0.07693123,0.06910131,0.08149883,0.21318159,0.25697588,0.31791328,0.1183951,0.11009477,0.10542974
0.07893334,0.07111373,0.08727356,0.14416274,0.20054735,0.22453997,0.12425304,0.13724135,0.14190469,0.12921802,0.09436163,0.17000273,0.16758764,0.14364906,0.1656879,0.17178492,0.13465525,0.16527983,0.28785764,0.18387088,0.18581822,0.18224477,0.27332096,0.30375449,0.19635184,0.11399671,0.11086647,0.12261584,0.16496539,0.16998867,0.09415429,0.09271061,0.09117578,0.17256163,0.11548202,0.17415519,0.17560439,0.07878335,0.07163209,0.08205686,0.21686464,0.26086649,0.31715421,0.11877594,0.11141366,0.10477831
