"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.01082455,0.00815066,0.01231445,0.02073957,0.03415678,0.03068204,0.01716288,0.01362115,0.02003943,0.00782017,0.00663717,0.03710323,0.03614379,0.02039775,0.03241926,0.033953,0.01702303,0.02489186,0.05848443,0.04201638,0.04121843,0.02339464,0.05838187,0.05778737,0.02700432,0.00966671,0.00963606,0.01242989,0.02855504,0.02274005,0.00791349,0.00818736,0.00750114,0.03432159,0.01101175,0.02751682,0.02808786,0.00564977,0.00510049,0.00600976,0.0395909,0.05224197,0.06902601,0.01044242,0.00936455,0.00953952
0.01173393,0.00944798,0.01325707,0.02178076,0.0310699,0.02954633,0.01835282,0.01332542,0.02067491,0.00797196,0.00641286,0.03756559,0.03692518,0.02089924,0.03206779,0.03476698,0.01593615,0.02573167,0.0577562,0.03721818,0.03657867,0.02388565,0.05749533,0.05481072,0.02665976,0.00984188,0.00925061,0.01397101,0.0262345,0.02225373,0.00818449,0.00854429,0.00754143,0.03444497,0.01160477,0.02834984,0.02840843,0.00510273,0.00425161,0.00635793,0.03643126,0.04869475,0.06489435,0.01151862,0.01014196,0.00980933
0.01076676,0.0085057,0.01242538,0.02075803,0.03848746,0.03331261,0.01512917,0.01284532,0.02080135,0.00802025,0.00628316,0.0330275,0.03260953,0.01777055,0.0322699,0.03571567,0.01646279,0.02400035,0.0614513,0.03960411,0.03866372,0.024682,0.05244199,0.05340991,0.0245113,0.01035988,0.01020189,0.01372779,0.02709183,0.02173192,0.00781059,0.00741198,0.00699469,0.03476216,0.00982809,0.030122,0.03054911,0.00547478,0.0045134,0.00513336,0.03291369,0.04740507,0.06507794,0.01234287,0.01036349,0.00860972
0.01072969,0.00865559,0.01229156,0.02103564,0.03430133,0.031353,0.01644982,0.01393749,0.02213173,0.00796152,0.0066007,0.03478374,0.03444807,0.02031357,0.039509,0.04198965,0.01953065,0.02527079,0.05507142,0.03791099,0.03705332,0.02455935,0.05400333,0.05672951,0.0275961,0.01089345,0.00996384,0.01351861,0.03055282,0.02290664,0.00794263,0.00766917,0.0075847,0.03930626,0.01037266,0.02933906,0.02963488,0.00520346,0.00445635,0.00599312,0.03724371,0.05110607,0.06961662,0.01145724,0.00996168,0.00910867
0.01080375,0.00833112,0.01264498,0.0208071,0.03463249,0.03023917,0.01744394,0.01235903,0.02177706,0.00804077,0.00658958,0.03644566,0.03603237,0.02018196,0.03248832,0.03505435,0.01723512,0.024795,0.05538667,0.04008304,0.03874551,0.02281753,0.05442618,0.05440144,0.02591436,0.01022106,0.0091003,0.01222834,0.0262973,0.02135847,0.00799866,0.00714815,0.00730469,0.0352785,0.01098206,0.02740659,0.02778695,0.00601959,0.00517624,0.00613323,0.03537264,0.04950884,0.06613818,0.01006853,0.00933067,0.00842726
0.01093551,0.00823318,0.0124611,0.02154419,0.03612223,0.03138241,0.01647029,0.01260762,0.01750958,0.00779098,0.00633718,0.03562511,0.03502001,0.0195142,0.03608321,0.03787008,0.01806765,0.02816751,0.05783151,0.04092964,0.03931803,0.02316406,0.05494408,0.05760417,0.02710891,0.01038542,0.00959,0.01297847,0.02672582,0.0230881,0.00705203,0.00726297,0.00645961,0.03560859,0.01025883,0.02803175,0.02856098,0.005828,0.00421308,0.00578676,0.03867678,0.05242175,0.06870396,0.01103121,0.00989463,0.0088288
0.01163435,0.00930161,0.01343891,0.02031848,0.03016708,0.02788512,0.01542961,0.01252853,0.02052458,0.0080436,0.00647492,0.03686495,0.03602048,0.02050225,0.02959965,0.03402441,0.01597296,0.02222934,0.05232359,0.03511178,0.03393738,0.02246746,0.0526635,0.05244779,0.02426206,0.01102954,0.00945631,0.01332039,0.02745217,0.02154499,0.00804885,0.00760058,0.00749284,0.0309572,0.01022673,0.02621694,0.02672133,0.00539195,0.0048135,0.00595541,0.03172123,0.04674024,0.06404223,0.01209341,0.00992405,0.00880429
0.00961627,0.00745296,0.01147893,0.02086158,0.03700297,0.03229501,0.01533097,0.01306228,0.01770511,0.00790956,0.00623067,0.03791327,0.03713894,0.02209592,0.03529497,0.03816202,0.01765857,0.02679679,0.05470168,0.04139112,0.04065146,0.0245511,0.05144928,0.05561742,0.02740482,0.01016118,0.00963412,0.01247301,0.02771877,0.02247783,0.00711056,0.00640276,0.0064021,0.03559729,0.01033472,0.02981538,0.03002239,0.00530244,0.00395461,0.00599048,0.03837341,0.0508625,0.06573204,0.01130752,0.00927054,0.00904483
0.01066459,0.00848111,0.01226585,0.01926682,0.03594888,0.0319234,0.01823652,0.01370162,0.01692069,0.00801387,0.00654299,0.03680555,0.03614155,0.01931885,0.03391736,0.03842206,0.01727764,0.02455915,0.05352263,0.03588369,0.03526921,0.02130598,0.05280616,0.05440434,0.02633726,0.01039573,0.01071641,0.01312785,0.02796393,0.02155268,0.00726322,0.00818313,0.00677066,0.03595681,0.01153609,0.0246222,0.02500942,0.00510382,0.0040963,0.00535363,0.03424443,0.04866277,0.06871568,0.01137413,0.00980764,0.0088925
0.01111717,0.00861448,0.01296194,0.01882439,0.0328322,0.03015997,0.0156701,0.01286766,0.02194126,0.00836828,0.00698698,0.03660913,0.03607632,0.01986332,0.03459163,0.03677795,0.01696459,0.02585243,0.05734786,0.03993895,0.03771275,0.02375568,0.05354985,0.0560101,0.02617237,0.01106662,0.00994801,0.01483457,0.027807,0.0214509,0.0080576,0.0075311,0.0076001,0.03552717,0.01058626,0.02846045,0.02870203,0.00505799,0.00425982,0.00572523,0.03648881,0.05024425,0.06687212,0.01114321,0.01083929,0.00906558
