"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.01928367,0.01589501,0.02240319,0.10149781,0.10096096,0.09719556,0.07299636,0.07484585,0.06653629,0.06049368,0.04770671,0.11035186,0.12507282,0.10170842,0.11979498,0.13587187,0.11938714,0.06849245,0.13272777,0.11562081,0.1173113,0.07530631,0.09959684,0.10264536,0.09709509,0.04565444,0.04952592,0.04816717,0.11532203,0.10358342,0.05539218,0.05547323,0.05244115,0.1226062,0.0877149,0.07405084,0.07527784,0.05573249,0.05460435,0.06309093,0.09078979,0.1006086,0.10200585,0.05307351,0.0441539,0.05256356
0.01922018,0.01638503,0.0224056,0.092293,0.09940339,0.09596633,0.07107664,0.07155274,0.06239118,0.05961061,0.04822654,0.10313144,0.11505937,0.0950408,0.11730962,0.1327037,0.11667411,0.06736247,0.12329205,0.11307564,0.11926326,0.07425229,0.09212692,0.09817417,0.09192408,0.04221941,0.04438983,0.04302173,0.10842759,0.09820685,0.05423062,0.05212724,0.05078883,0.11773017,0.08456533,0.07361037,0.07355186,0.0562615,0.05425937,0.06208808,0.08607584,0.09782854,0.09991127,0.04745221,0.03933209,0.05047118
0.02040415,0.01690465,0.02313029,0.09739339,0.10191291,0.09813292,0.07271422,0.07229028,0.0624068,0.0563541,0.04728905,0.10724128,0.11996067,0.10174485,0.12256541,0.13867643,0.12374966,0.06845101,0.12727864,0.11843603,0.12056207,0.07075835,0.09377753,0.09841986,0.09462413,0.04459243,0.04941052,0.04691455,0.1144567,0.09809666,0.05160837,0.05044689,0.04764756,0.12550309,0.08601392,0.07272857,0.07317436,0.05894995,0.0543521,0.05996972,0.08652604,0.09852088,0.09868548,0.05138017,0.04262253,0.05270061
0.01933433,0.01554655,0.02249625,0.08979178,0.10388764,0.09902026,0.07372684,0.07007086,0.06091763,0.05624869,0.04601112,0.11200399,0.1255143,0.10097072,0.11789389,0.13406798,0.11867659,0.0621137,0.12574766,0.11085341,0.11498698,0.0741407,0.09574694,0.10215716,0.09105737,0.04412989,0.04723123,0.04672752,0.11020621,0.09919951,0.05122799,0.05118763,0.04926426,0.12358563,0.08776901,0.07341065,0.07452076,0.05676307,0.05225505,0.06047078,0.09091242,0.10403059,0.09995274,0.05165877,0.04359519,0.05056112
0.02071791,0.01699611,0.02381901,0.09510886,0.10467667,0.10125044,0.07495271,0.07126631,0.06342899,0.05631231,0.04459731,0.10939811,0.12342261,0.0994585,0.11762393,0.13585986,0.11951927,0.06353128,0.12394458,0.11673352,0.12119363,0.07262799,0.09409886,0.09894839,0.09777008,0.04117301,0.04445925,0.04340384,0.1085035,0.09885661,0.05250161,0.05034038,0.04914153,0.12090089,0.09025336,0.07374485,0.07293052,0.0630376,0.05786186,0.06316553,0.08991767,0.10304664,0.10089801,0.04989701,0.04015895,0.05145977
0.02065165,0.01610586,0.02351102,0.09481256,0.1001539,0.09237613,0.06926005,0.06934034,0.06048625,0.05612809,0.04897873,0.10464375,0.11820877,0.09550254,0.11876852,0.13546731,0.11874714,0.06569088,0.12449849,0.1113558,0.11422687,0.07397397,0.09378698,0.10109866,0.0947947,0.04317468,0.04549709,0.04467378,0.10943343,0.09806651,0.05172673,0.05064936,0.04931331,0.12020625,0.0826894,0.07224736,0.07194519,0.06119395,0.05468019,0.06173017,0.08640952,0.10246563,0.09598518,0.05002081,0.04032103,0.04977341
0.01954305,0.01561558,0.02227378,0.09628729,0.10261686,0.09234771,0.07033289,0.07677722,0.06121798,0.05815767,0.04714438,0.11043883,0.12709425,0.10231331,0.11897722,0.13822923,0.11972116,0.06712792,0.1260458,0.11978342,0.12487406,0.07398935,0.10088324,0.10284259,0.09923524,0.04474891,0.0482623,0.04541973,0.11328728,0.10138775,0.05268769,0.05388748,0.05135035,0.12254478,0.08247446,0.07538514,0.07390767,0.0614902,0.05820921,0.06691792,0.09190486,0.10177614,0.10321838,0.05221012,0.04345857,0.05186746
0.02082233,0.01807724,0.02456007,0.09018535,0.0989877,0.09271262,0.06708292,0.06850201,0.06278469,0.05958835,0.04657902,0.10569766,0.11922514,0.09848132,0.11105777,0.13131047,0.11712231,0.06374686,0.12411756,0.1158959,0.1188068,0.07018978,0.09520577,0.09934293,0.09141452,0.04150301,0.04426626,0.0423393,0.11252116,0.09811811,0.0518416,0.05183334,0.04958635,0.12018334,0.08188564,0.06994433,0.07052717,0.05886205,0.05323724,0.06144721,0.09057032,0.09893858,0.09850225,0.04801902,0.03991783,0.05079175
0.01931532,0.01575379,0.02277377,0.10263608,0.10153224,0.0964414,0.06774438,0.0751115,0.05991508,0.05727628,0.04620056,0.10817101,0.11820396,0.09663014,0.11917997,0.13559879,0.12280517,0.06760536,0.12945345,0.11325069,0.11732443,0.0733391,0.0997113,0.10234234,0.09620625,0.04350149,0.04629313,0.04520479,0.1159851,0.10484885,0.05144335,0.04974974,0.04772096,0.12248424,0.07893249,0.07425737,0.07471756,0.05594919,0.0533853,0.06022066,0.08975815,0.10270266,0.09757658,0.049411,0.0423604,0.05148505
0.02145341,0.01774991,0.02459035,0.0998645,0.09713488,0.09083234,0.07459899,0.07399911,0.06167251,0.05637237,0.04741116,0.10558277,0.12102418,0.0987978,0.11920039,0.1329467,0.11936568,0.06976781,0.12363715,0.11498057,0.11933369,0.07118863,0.09267242,0.09839358,0.0874434,0.04349485,0.04678162,0.04550469,0.11722201,0.1053149,0.0486573,0.04906177,0.04599816,0.12235335,0.08833865,0.07004275,0.07194939,0.05757133,0.05318429,0.06082847,0.08797348,0.09909445,0.09748524,0.05164283,0.0415431,0.05128324
0.01941717,0.01627051,0.02263823,0.09428052,0.1005483,0.09316817,0.0739067,0.0681992,0.06263363,0.0569547,0.04530329,0.10523723,0.11959015,0.09854005,0.11891087,0.13508259,0.12049934,0.06736861,0.12150461,0.11582301,0.12079916,0.07203074,0.09282547,0.09813714,0.09678779,0.04134134,0.04412804,0.04319671,0.10772748,0.09882361,0.05317173,0.05341292,0.05005781,0.12304428,0.08719478,0.07241553,0.07200175,0.05647567,0.05281838,0.06174699,0.089358,0.10111422,0.09870971,0.04835199,0.04071171,0.05099258
0.01919695,0.01606598,0.02282361,0.09503302,0.09754113,0.09419143,0.06661285,0.07392872,0.06642206,0.06022066,0.0483095,0.10034634,0.11380384,0.09602002,0.11627402,0.13524981,0.1163879,0.07108708,0.12825416,0.11678683,0.11881721,0.07789565,0.09116395,0.09665662,0.09715091,0.04336541,0.04671046,0.04565036,0.10998082,0.10041312,0.05577702,0.05439756,0.05187266,0.12361721,0.08472729,0.07851367,0.07787058,0.06198878,0.0538434,0.06413244,0.08525965,0.09558963,0.10066991,0.05014615,0.0421069,0.05082594
0.02161085,0.01843487,0.02522022,0.09617168,0.10387939,0.09964916,0.07430189,0.0707387,0.06352749,0.06205685,0.05003403,0.10882554,0.12146097,0.09959383,0.12210046,0.13732403,0.1233435,0.0685564,0.12944845,0.11677694,0.12210185,0.07622662,0.09763087,0.10118718,0.09258658,0.04801841,0.05007382,0.05004605,0.11044629,0.10020171,0.05797749,0.05562663,0.05381356,0.12424825,0.09109009,0.07486461,0.07552784,0.06484259,0.05524499,0.06115215,0.09297889,0.10125469,0.09660525,0.05509284,0.04351783,0.05326197
0.01650802,0.01337312,0.01949353,0.09202914,0.09677277,0.09178278,0.07277757,0.0712104,0.05861365,0.05580845,0.04635351,0.10511007,0.11949866,0.09756948,0.12107146,0.13635572,0.12381981,0.06674105,0.12657432,0.11837148,0.12589245,0.07324043,0.09565165,0.10014365,0.09127604,0.04523242,0.04792392,0.04508845,0.11002026,0.0957445,0.05051122,0.05066667,0.04866241,0.12215991,0.08660491,0.07327728,0.07350306,0.05310254,0.05171947,0.05982461,0.08422341,0.10033409,0.09606851,0.05134125,0.04370369,0.05002193
0.02226543,0.01832809,0.02503528,0.09131811,0.09658634,0.0948585,0.07282226,0.07083202,0.06259475,0.05574285,0.04574405,0.11263968,0.12587243,0.10197973,0.11836713,0.13429029,0.1189383,0.06788187,0.12521337,0.11871911,0.12194094,0.07538915,0.09661758,0.10086061,0.09166518,0.04439214,0.0476108,0.04569288,0.11062386,0.096036,0.05267098,0.05259483,0.05070046,0.1167433,0.090359,0.07603002,0.07561881,0.05843379,0.05414285,0.06060299,0.09083715,0.09970995,0.09739339,0.05180932,0.0417385,0.05071375
0.02099199,0.01860572,0.02368673,0.09388152,0.0992442,0.09509308,0.06818057,0.07332196,0.06150862,0.05975454,0.04910154,0.10465216,0.11595592,0.09971407,0.11898273,0.135411,0.1168084,0.06390791,0.12647166,0.12138795,0.12071823,0.07480665,0.09389806,0.09914951,0.09493093,0.04045645,0.04358759,0.043614,0.11171167,0.1010854,0.05576736,0.05658634,0.05410001,0.12137929,0.08252717,0.07552912,0.07545745,0.056894,0.05393197,0.06438274,0.09005802,0.10078783,0.09847624,0.04740612,0.03912872,0.04784584
0.02107692,0.01773678,0.02461357,0.09966742,0.1036534,0.09667827,0.07698097,0.07511896,0.06567668,0.06493372,0.05429333,0.11423423,0.13077517,0.10250922,0.12227907,0.13807163,0.12524043,0.06879559,0.13110301,0.12280592,0.12429934,0.07579338,0.09456936,0.09931576,0.09811075,0.04671696,0.04866706,0.0482054,0.11424375,0.10150926,0.06021622,0.05946346,0.0577455,0.12491971,0.09468472,0.07592023,0.07742718,0.06551688,0.05841617,0.06725125,0.09117341,0.09980284,0.1017917,0.05362842,0.04372347,0.05419303
0.02106297,0.01759951,0.02472447,0.09777377,0.10099604,0.0924617,0.06962033,0.07470902,0.06441513,0.05964924,0.04877252,0.10652371,0.11823623,0.09707258,0.12258302,0.13656888,0.12221861,0.06523482,0.12187587,0.1225873,0.12878654,0.07341292,0.09099499,0.09465001,0.0949073,0.044442,0.04693093,0.0470432,0.11301276,0.10237514,0.05528399,0.05311823,0.05201977,0.12323098,0.08206181,0.07284885,0.07489089,0.05958734,0.0549547,0.06329721,0.08685341,0.09493268,0.09793794,0.05252171,0.04249093,0.05360717
0.01880997,0.01551067,0.02234635,0.09688725,0.10001758,0.09251455,0.07446563,0.07682559,0.05929029,0.05872609,0.04779555,0.11043819,0.12590046,0.10156828,0.12492003,0.14070054,0.12654806,0.06820219,0.12873344,0.11683915,0.12069205,0.07416581,0.09762738,0.09925826,0.10045404,0.04663764,0.04983383,0.048758,0.11453854,0.10092957,0.05641285,0.05353754,0.05139924,0.12652171,0.08941821,0.07389646,0.07484115,0.06427191,0.05670354,0.06422326,0.08877401,0.09912677,0.10297296,0.05501476,0.04465977,0.05209985
0.01863839,0.01517401,0.02144044,0.09469005,0.10182583,0.09652692,0.07302502,0.07451351,0.06010567,0.05993429,0.04688648,0.11316773,0.12826022,0.10666786,0.12522297,0.13977777,0.12320431,0.0691119,0.13395667,0.12304204,0.12824649,0.0761101,0.09541926,0.10143888,0.09825344,0.04539676,0.04816792,0.04715752,0.11557253,0.10327544,0.05300491,0.05361886,0.05070862,0.12865665,0.08917714,0.07635611,0.07596972,0.06311411,0.0574472,0.06195947,0.08990891,0.10076836,0.10387043,0.05083242,0.04381481,0.05167664
0.01955867,0.01701076,0.02197036,0.09965244,0.09881706,0.09179115,0.07725726,0.07545109,0.06229348,0.05638237,0.04631748,0.11152849,0.12551175,0.10272849,0.11839759,0.1326432,0.11865461,0.06636236,0.12749033,0.12465136,0.12656415,0.07548524,0.0932388,0.09504279,0.09828548,0.0447099,0.04736637,0.0451071,0.11749308,0.10312688,0.0524561,0.0521646,0.04988184,0.12147138,0.09117822,0.07462727,0.0751556,0.06208673,0.05761032,0.06589148,0.09045445,0.09592617,0.10217317,0.05166767,0.0423943,0.05105922
0.01768119,0.01475219,0.0206922,0.10004881,0.10255419,0.09545521,0.07185822,0.07680311,0.05761721,0.06011111,0.04952052,0.10565605,0.11781981,0.0989373,0.1189865,0.14087887,0.11980652,0.06965121,0.1254044,0.11753513,0.12345269,0.08017874,0.09783447,0.09951623,0.09536352,0.04400271,0.04766911,0.04494094,0.11537312,0.10027544,0.05415615,0.05279999,0.0495473,0.11992768,0.08641758,0.07911235,0.08047648,0.06649546,0.05718615,0.06484384,0.08972011,0.09900091,0.10087491,0.05113317,0.04201472,0.05327607
0.02082858,0.01647648,0.02368545,0.09453053,0.09734253,0.09540251,0.06990875,0.07102622,0.06163139,0.05621661,0.0470082,0.10540259,0.12087351,0.09849929,0.11922366,0.13899944,0.11886286,0.05982458,0.12749053,0.12280311,0.12918229,0.07130086,0.09830702,0.09922478,0.0962354,0.04306417,0.04681432,0.04538138,0.11007983,0.09836541,0.05174599,0.05142582,0.04902093,0.12276652,0.08536736,0.07116668,0.07142117,0.05626401,0.05367768,0.06622687,0.09093009,0.09752151,0.097042,0.05188545,0.04101602,0.04909685
0.01774854,0.01460219,0.02132436,0.09682879,0.10231832,0.09239014,0.07514971,0.07739715,0.06516016,0.05905261,0.04656961,0.11366141,0.12523354,0.10005105,0.11716628,0.13385962,0.12040617,0.07186978,0.12444243,0.11893938,0.12163939,0.07779771,0.09454774,0.09775471,0.09553489,0.04652553,0.05047764,0.04933709,0.11541441,0.10094846,0.05422173,0.05429686,0.05197722,0.11892897,0.0892356,0.07843819,0.07799398,0.05730494,0.05706503,0.06441658,0.08757313,0.10066746,0.09909105,0.05445846,0.04358883,0.05463903
0.01731616,0.01447887,0.02112316,0.08939095,0.09802599,0.09558758,0.07077597,0.07228392,0.0606544,0.05380932,0.04611651,0.10211563,0.1144522,0.09359776,0.11706262,0.13179884,0.11727644,0.06974085,0.1235996,0.11032407,0.11521586,0.0706862,0.09473389,0.09946866,0.09442161,0.04655419,0.04903679,0.04708387,0.11205036,0.09988363,0.05040304,0.05031703,0.04812408,0.11847351,0.08332797,0.0707411,0.07254806,0.05659258,0.0512953,0.06328152,0.08944223,0.09754939,0.0947405,0.05292211,0.04297622,0.04994225
0.02005061,0.01547243,0.02266137,0.09282478,0.10264228,0.09987071,0.07244889,0.07542226,0.06395074,0.06006402,0.05187744,0.10961986,0.12283399,0.10271055,0.12370642,0.13710715,0.12196597,0.06711623,0.12951326,0.11492564,0.12119094,0.07421818,0.09949914,0.10230595,0.09845404,0.04979696,0.05274073,0.05038234,0.10914911,0.10105321,0.05608367,0.05718118,0.05558309,0.12609233,0.08429909,0.07554946,0.07447422,0.05992367,0.0568008,0.06230582,0.090012,0.10034073,0.10159259,0.05638413,0.04745585,0.05363263
0.01774974,0.01514666,0.0210906,0.09929849,0.09932091,0.09525677,0.07535086,0.07552992,0.05734806,0.05617296,0.048207,0.10727892,0.12466377,0.09921192,0.11669541,0.13296396,0.12099739,0.06523899,0.12800801,0.11484028,0.11923715,0.07344319,0.10065165,0.1023083,0.09533292,0.04358358,0.04551235,0.04433873,0.11399919,0.10351511,0.05148524,0.05040439,0.04848728,0.11816592,0.0908916,0.0729101,0.07305384,0.06047927,0.05412048,0.06265657,0.09116756,0.10160545,0.09730089,0.05065104,0.04102421,0.05057833
0.02096696,0.01706345,0.0238422,0.09132809,0.09837001,0.09188805,0.07092067,0.07078979,0.06753312,0.06282907,0.04862253,0.10300275,0.11936961,0.09553152,0.11842943,0.13348019,0.11867106,0.07021806,0.12760119,0.11389364,0.11910274,0.07747899,0.09199559,0.09900091,0.08809433,0.04196836,0.04437922,0.04357602,0.11081857,0.09719559,0.05686662,0.05519103,0.05382883,0.12232008,0.08876852,0.0762066,0.07599499,0.06169033,0.05294939,0.05936912,0.0855598,0.09918318,0.09714786,0.04856456,0.03946731,0.0494374
