"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.1211,0.1143,0.131,0.25515,0.42485,0.47515,0.2767,0.2524,0.2623,0.2555,0.2072,0.344,0.3523,0.42425,0.37315,0.35605,0.37435,0.2912,0.4158,0.30395,0.30875,0.33185,0.42125,0.4538,0.3742,0.214,0.2083,0.25375,0.31995,0.26945,0.24965,0.24925,0.2344,0.36865,0.29635,0.3278,0.34665,0.23595,0.2285,0.25465,0.4083,0.47685,0.43715,0.23185,0.21385,0.2123
0.12905,0.12005,0.1377,0.25745,0.42955,0.48535,0.2898,0.26115,0.27195,0.26605,0.21235,0.34945,0.35745,0.43015,0.3848,0.36965,0.38465,0.30655,0.4209,0.3215,0.3285,0.348,0.439,0.46675,0.38285,0.2298,0.2259,0.27165,0.3291,0.2793,0.2578,0.25935,0.2438,0.38,0.3115,0.34405,0.36595,0.2471,0.2457,0.26865,0.4196,0.48715,0.4513,0.2524,0.2314,0.22965
0.12265,0.1167,0.1328,0.2564,0.4096,0.4693,0.27805,0.26275,0.2601,0.2539,0.20005,0.35635,0.3672,0.43315,0.3873,0.3684,0.38975,0.30235,0.42995,0.3142,0.3256,0.33935,0.42035,0.44855,0.37515,0.2254,0.21855,0.26225,0.3176,0.277,0.2464,0.24645,0.23135,0.38,0.29735,0.3356,0.3537,0.2453,0.23875,0.2598,0.39235,0.47205,0.4366,0.2441,0.21885,0.21955
0.1203,0.11415,0.1295,0.2549,0.4291,0.48405,0.27435,0.25535,0.26505,0.2564,0.2039,0.35285,0.3584,0.42945,0.3742,0.35475,0.3699,0.3002,0.40895,0.31365,0.31995,0.32865,0.4276,0.4567,0.3749,0.21795,0.21615,0.2614,0.3208,0.2786,0.2451,0.24585,0.2333,0.3696,0.2953,0.3252,0.34435,0.24145,0.23645,0.2601,0.4019,0.4782,0.4473,0.24065,0.22055,0.21965
0.12075,0.11515,0.13125,0.2596,0.422,0.48045,0.2804,0.2597,0.26895,0.262,0.2057,0.36395,0.3697,0.4408,0.37805,0.3632,0.37965,0.3051,0.42235,0.3105,0.31855,0.33015,0.4246,0.4537,0.38845,0.21835,0.22105,0.26325,0.32455,0.28265,0.25045,0.25225,0.2384,0.3697,0.30325,0.3288,0.34645,0.2493,0.24335,0.2724,0.4002,0.47945,0.44825,0.24155,0.2224,0.2225
0.1221,0.1175,0.13205,0.2551,0.43105,0.4831,0.28725,0.2614,0.26885,0.25835,0.2053,0.34795,0.35665,0.4285,0.36995,0.3445,0.37355,0.30535,0.4218,0.2981,0.3038,0.3374,0.4289,0.4568,0.37905,0.22805,0.2223,0.2628,0.32775,0.2755,0.2507,0.2547,0.2358,0.3675,0.3062,0.3334,0.3507,0.24185,0.2318,0.2634,0.4062,0.4811,0.44615,0.2479,0.2238,0.2253
0.12995,0.1205,0.13825,0.26135,0.4271,0.4873,0.2816,0.25495,0.2662,0.2597,0.20765,0.3405,0.34535,0.42325,0.38405,0.3634,0.38805,0.2957,0.41555,0.30965,0.32155,0.34275,0.4352,0.46105,0.374,0.22015,0.21565,0.26335,0.3242,0.2781,0.24915,0.2511,0.23695,0.3799,0.29715,0.33835,0.3589,0.23865,0.23795,0.25895,0.4077,0.48435,0.4479,0.24185,0.21855,0.22215
0.12255,0.1183,0.133,0.2553,0.40715,0.46605,0.2807,0.2617,0.2643,0.24795,0.19595,0.3375,0.34515,0.41475,0.3673,0.34965,0.36715,0.29825,0.4067,0.30755,0.3123,0.3344,0.4044,0.42915,0.36235,0.2187,0.2189,0.262,0.3068,0.2751,0.2449,0.24475,0.2311,0.36095,0.29335,0.33125,0.349,0.23155,0.2276,0.252,0.3877,0.45345,0.42205,0.24105,0.2187,0.22165
0.1265,0.11815,0.13575,0.2653,0.4111,0.46415,0.29315,0.2657,0.2672,0.261,0.21315,0.34895,0.355,0.423,0.3829,0.36255,0.38305,0.2943,0.40905,0.31495,0.31825,0.33595,0.4243,0.45175,0.3705,0.218,0.21435,0.2587,0.32445,0.27955,0.25045,0.2505,0.23825,0.37315,0.3117,0.33235,0.34755,0.24335,0.2367,0.26225,0.40255,0.4702,0.43225,0.23985,0.21705,0.2141
0.1178,0.1115,0.1296,0.25485,0.41945,0.478,0.2882,0.2603,0.25725,0.25005,0.19785,0.34275,0.35055,0.4237,0.3796,0.3581,0.38,0.2974,0.40975,0.3082,0.3131,0.33445,0.41525,0.44235,0.3756,0.22235,0.2193,0.264,0.32315,0.2793,0.2359,0.239,0.2213,0.3721,0.30475,0.3313,0.351,0.2411,0.2357,0.25945,0.3887,0.4651,0.43535,0.241,0.2225,0.2206
