"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.18240886,0.14592018,0.17457504,0.2243102,0.51609719,0.55072532,0.30914397,0.3251861,0.46706832,0.43538076,0.41489991,0.42734,0.42597464,0.47242289,0.4088113,0.37612924,0.4083718,0.61323696,0.45318747,0.35043732,0.36149439,0.60076941,0.51683105,0.63993643,0.5074661,0.51832184,0.51552847,0.52308892,0.38189639,0.43618967,0.44993672,0.44935863,0.40590611,0.4158822,0.36626399,0.60559618,0.59252101,0.34425807,0.33666786,0.36354607,0.5132814,0.68448983,0.6323111,0.52463963,0.52137496,0.51429089
0.19918019,0.15788258,0.19279521,0.2167411,0.49035022,0.52810032,0.32563166,0.3214661,0.48249533,0.44611592,0.41941258,0.41338659,0.41235721,0.44320471,0.40282519,0.36918864,0.39949453,0.58164274,0.44371854,0.32444876,0.34417232,0.58429776,0.53002559,0.64033483,0.49683783,0.51407713,0.51946599,0.50690224,0.37488622,0.42756243,0.45851328,0.45357959,0.42081627,0.41895442,0.36765742,0.58482854,0.5744766,0.33136752,0.31320666,0.35202504,0.50139974,0.67514747,0.61683565,0.5148351,0.5242005,0.51482117
0.19172101,0.15164234,0.18892903,0.20938614,0.48254224,0.51696261,0.32838769,0.3405789,0.46160759,0.43475769,0.40300137,0.41225206,0.41217633,0.44874989,0.40921221,0.36833741,0.41401507,0.59048907,0.4480138,0.35270846,0.36519451,0.58523085,0.52193038,0.63434442,0.49022183,0.50683684,0.49891027,0.50072723,0.40335324,0.43419823,0.45457896,0.44204963,0.41027018,0.4103245,0.3917574,0.58342328,0.57133907,0.34887376,0.33506968,0.36523429,0.48330719,0.68206872,0.61993917,0.49977039,0.5004399,0.49062066
0.16615913,0.14125669,0.161215,0.20935052,0.49284981,0.54900969,0.30610534,0.32336341,0.48126522,0.46081735,0.42830941,0.42434178,0.42944804,0.46426011,0.39352983,0.3682911,0.4007245,0.59249683,0.44299666,0.33417593,0.3590805,0.57926682,0.51467825,0.64599427,0.50667308,0.50426088,0.51080438,0.504755,0.38796198,0.42341184,0.45270899,0.43580276,0.41463925,0.39627477,0.36886808,0.57920633,0.57177819,0.34463713,0.32701706,0.36111611,0.50716983,0.69128564,0.63796116,0.50724505,0.51133323,0.4997581
0.18819307,0.15751506,0.18683152,0.23116722,0.4915519,0.54104945,0.31231927,0.34216204,0.47929135,0.44658801,0.41274115,0.41447815,0.41769515,0.45421665,0.38935519,0.35984091,0.3986956,0.59645444,0.44412431,0.33008657,0.35561831,0.58483592,0.50866181,0.62774655,0.50712427,0.50642825,0.51045374,0.50610482,0.40602514,0.44279337,0.45026525,0.43075886,0.41603807,0.39560774,0.38766655,0.59561571,0.58271078,0.34040497,0.32569355,0.35677885,0.48236161,0.67287488,0.62255743,0.50592426,0.51479517,0.50948681
0.19626515,0.15760518,0.19255418,0.20938255,0.5104154,0.54814193,0.33057803,0.33577261,0.46031568,0.43714352,0.41015024,0.42710156,0.42871647,0.47066041,0.42065957,0.38510476,0.43792145,0.5936073,0.4608955,0.35469444,0.36948975,0.60817842,0.51327335,0.6375452,0.51742274,0.53950235,0.54394372,0.53686246,0.40369223,0.45697519,0.44863904,0.43856597,0.40979512,0.43001208,0.37961909,0.61092687,0.58923988,0.36260378,0.34117111,0.37569914,0.50406579,0.69064863,0.6459133,0.54188207,0.54186998,0.52409321
0.17913658,0.14911941,0.17664658,0.20197649,0.46676929,0.52466175,0.33941242,0.33508917,0.48022329,0.44491898,0.41236783,0.42176778,0.41731728,0.45948288,0.40084906,0.36865499,0.40631071,0.58281867,0.43083817,0.35462856,0.37917835,0.58354584,0.53696893,0.65285842,0.50515196,0.52200012,0.52218232,0.52056557,0.39358553,0.41969365,0.4443247,0.44070865,0.4191492,0.41654413,0.37713999,0.58896939,0.57534515,0.32485203,0.31298205,0.35388342,0.49461873,0.69427645,0.6393246,0.517187,0.52839995,0.52018424
0.19166584,0.14857343,0.18826734,0.21802316,0.49829698,0.52979356,0.32273403,0.34569224,0.46079863,0.42703088,0.39940104,0.42523568,0.42476843,0.46860709,0.40928792,0.37787221,0.41205103,0.59065247,0.44576933,0.35483773,0.37084859,0.6084251,0.52817884,0.64620506,0.48592719,0.52288931,0.52854018,0.52859866,0.40428934,0.44172035,0.45384236,0.44479945,0.41056821,0.41889529,0.37007732,0.60867971,0.5912636,0.34081762,0.32231112,0.3577601,0.4812002,0.67737684,0.63359064,0.52283754,0.52008447,0.52286606
0.18427974,0.14439482,0.17949112,0.21387611,0.49115182,0.52869223,0.34029719,0.35508134,0.48280484,0.4463822,0.42499354,0.44698076,0.44234039,0.46950415,0.4292949,0.39874887,0.43408987,0.5762674,0.45818272,0.36219152,0.37424316,0.58368793,0.52827025,0.6523391,0.50924619,0.52461404,0.51859626,0.51673092,0.40518432,0.4339323,0.45804003,0.45902669,0.42534833,0.43460358,0.39909125,0.59113635,0.57036453,0.36344805,0.34379908,0.37335772,0.50216063,0.69912747,0.63426908,0.53162714,0.5223817,0.5171174
0.18653059,0.14197592,0.18502615,0.22498738,0.48719187,0.53401457,0.33206597,0.33582429,0.4539573,0.43139904,0.41003362,0.42561164,0.42480641,0.4605677,0.4118026,0.37556308,0.41747173,0.59745887,0.4507732,0.34720395,0.35874205,0.58106944,0.51694265,0.63516538,0.49694306,0.51774243,0.51873243,0.52029449,0.39790144,0.44186381,0.43834058,0.43112873,0.40812165,0.40851013,0.39987184,0.58909398,0.56660827,0.35638595,0.33662106,0.36758993,0.50217492,0.68079676,0.6292576,0.52328979,0.52072024,0.50712468
