"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.06576274,0.0451787,0.06002597,0.08045949,0.1646272,0.16618952,0.12733098,0.11854144,0.14692353,0.13682803,0.13356439,0.13865713,0.13726939,0.15288924,0.15886658,0.14171299,0.15490991,0.14290683,0.15265951,0.14095156,0.14584587,0.15424982,0.14672282,0.16433605,0.15625468,0.15383895,0.15003188,0.15771846,0.15762869,0.18236344,0.15191866,0.14379994,0.12889125,0.15507838,0.1559937,0.15410366,0.15037568,0.11299991,0.12459981,0.10854005,0.1499907,0.15745186,0.16741789,0.15341107,0.1516128,0.15630935
0.07427791,0.05685722,0.0713362,0.08109928,0.16167766,0.16743601,0.13698129,0.12286119,0.14738533,0.13887046,0.13158618,0.13759386,0.13789429,0.14984694,0.15962986,0.14503245,0.15563617,0.14863784,0.15788133,0.13221683,0.14630558,0.16058432,0.15192487,0.16997624,0.15807354,0.15920118,0.15776546,0.15804658,0.15293277,0.18315291,0.15434939,0.14495668,0.13314409,0.16007556,0.15773784,0.15726654,0.15547224,0.11668118,0.11871378,0.11331635,0.14413741,0.16839809,0.17713556,0.15709904,0.15845506,0.16538425
0.06507647,0.05067393,0.06457647,0.07313589,0.15770689,0.16065216,0.13318273,0.12651481,0.14049059,0.13695393,0.12970953,0.13911312,0.13871318,0.1516623,0.16213522,0.14373559,0.16170818,0.14241603,0.15908774,0.14660822,0.15341603,0.16361804,0.14967644,0.16836047,0.15127297,0.16349533,0.15609367,0.1605204,0.16244444,0.1814473,0.15328324,0.14101282,0.12979131,0.159428,0.16718619,0.16264194,0.16207374,0.12108575,0.12701335,0.11739069,0.14576515,0.16549557,0.16949878,0.15669922,0.156072,0.16319539
0.04822697,0.04184562,0.04464141,0.07453085,0.15903238,0.16403582,0.1247712,0.11773427,0.1481355,0.13784419,0.13050581,0.13960828,0.14385741,0.15467733,0.15659224,0.14302391,0.15955119,0.14753468,0.15941676,0.13618249,0.15086033,0.15938949,0.14920707,0.16368707,0.15699168,0.1553372,0.15235183,0.15640383,0.1582004,0.17785188,0.1532802,0.13696634,0.13262094,0.15141606,0.15279066,0.15767813,0.15422138,0.12369354,0.12412542,0.11259188,0.14927733,0.16000767,0.17023178,0.15080883,0.15146167,0.15569204
0.06244682,0.0533539,0.06292357,0.08857195,0.15801945,0.1684362,0.12847655,0.12832626,0.14919434,0.14097585,0.13231923,0.14040816,0.14284896,0.15635029,0.15511251,0.14342176,0.15701961,0.14664699,0.16062215,0.13180413,0.14490724,0.15841003,0.14935995,0.16807858,0.15737843,0.15766784,0.15553453,0.15441823,0.16581252,0.18405604,0.1563373,0.13938829,0.13761036,0.15243624,0.16500889,0.160926,0.15811006,0.11902738,0.1241219,0.10999109,0.14382774,0.16743277,0.16987287,0.15239727,0.1545285,0.16316463
0.0692277,0.05153954,0.06694601,0.07394432,0.16265622,0.16191329,0.13530219,0.11955317,0.13907042,0.13291474,0.12792303,0.14028532,0.14035753,0.15684008,0.16270273,0.14637073,0.1693208,0.13736568,0.15912432,0.14294689,0.15006772,0.1614046,0.14731256,0.16266891,0.15053422,0.15556664,0.15217031,0.15555285,0.16135916,0.18475321,0.15474139,0.13875592,0.13485498,0.16177021,0.15955747,0.16324063,0.15863869,0.13017255,0.1332718,0.11642357,0.14702118,0.15829347,0.16512472,0.15189381,0.14982819,0.15562801
0.06402135,0.04990412,0.0634461,0.07091332,0.15432165,0.16763019,0.14631937,0.12837629,0.14625371,0.13744502,0.13112215,0.13877932,0.13649999,0.15041908,0.15833068,0.1412309,0.15827557,0.14113454,0.15517567,0.14426882,0.15789983,0.16281351,0.15473815,0.16815793,0.15608148,0.16324362,0.15854657,0.16250692,0.16454324,0.1755543,0.15249599,0.14148146,0.13269206,0.15851901,0.15791324,0.16214365,0.1587436,0.11207578,0.11724485,0.11287388,0.14788467,0.16211106,0.17043412,0.15664472,0.15850113,0.16387892
0.06652604,0.04528226,0.06380147,0.08532146,0.15872227,0.16453184,0.1336858,0.1308021,0.14163642,0.12939716,0.12547455,0.14081557,0.13874214,0.15545914,0.16065197,0.14457103,0.15796376,0.14484867,0.15555835,0.14468612,0.15720962,0.16357635,0.15584164,0.17112722,0.15017308,0.1592732,0.15804565,0.16265124,0.1677798,0.18362611,0.15276221,0.14211368,0.13159739,0.15566749,0.15930582,0.16097363,0.16110998,0.11958808,0.12313887,0.11153072,0.14408946,0.16928955,0.1713295,0.15585642,0.15389929,0.16076534
0.06100537,0.04127214,0.05979467,0.07614803,0.15834651,0.16827758,0.13723466,0.12853219,0.15189462,0.1356558,0.13282907,0.14478492,0.14296056,0.15027769,0.16546638,0.1521757,0.16609978,0.14562032,0.15806255,0.14499176,0.15119608,0.15965721,0.14729298,0.16148435,0.15428368,0.15886957,0.15300825,0.1572663,0.15732175,0.17784878,0.15354631,0.14716179,0.13524437,0.16349278,0.16267739,0.15824564,0.15746899,0.13123232,0.13318864,0.11903379,0.14802642,0.16359133,0.16648801,0.15768878,0.1532907,0.16009229
0.06296457,0.03963783,0.06478285,0.08257192,0.1600119,0.16585253,0.14271685,0.12415262,0.14290159,0.13564804,0.12843981,0.14129186,0.13856161,0.15122859,0.16445404,0.14531065,0.16523201,0.14461467,0.15881375,0.14374698,0.14885173,0.15640701,0.14930784,0.16792032,0.15133398,0.15694846,0.15154021,0.15855488,0.1600306,0.18433005,0.14663975,0.13568727,0.12931367,0.1564864,0.16847255,0.15754557,0.1532034,0.12445167,0.12841577,0.1173953,0.14655575,0.16624802,0.16779927,0.1544239,0.15221722,0.15513093
