"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.21541557,0.05995384,0.17835792,0.19183374,0.12623846,0.00136314,0.11560039,0.1151581,0.08347595,0.05817037,0.10961644,0.09857406,0.1280839,0.12451925,0.15334644,0.14564807,0.14250387,0.16913361,0.10665777,0.14941915,0.05263885,0.06096274,0.17237067,0.15946714,0.05969674,0.1082508,0.06764316,0.10873558,0.1130469,0.10107298,0.10877669,0.08514007,0.08268098,0.06210948
0.21344733,0.06279982,0.17583184,0.19154217,0.12429682,0.00135852,0.11711175,0.11600661,0.08329527,0.06102755,0.1088587,0.0977446,0.12537987,0.12170314,0.14951039,0.14759892,0.14525039,0.16986777,0.10637906,0.14539234,0.0545757,0.06329087,0.17291252,0.16257028,0.06104548,0.10700655,0.0653269,0.10617233,0.11368155,0.1007731,0.10888798,0.08223557,0.08091822,0.06047693
0.2141032,0.06007595,0.17864117,0.19532073,0.12807899,0.00135032,0.1129581,0.11444108,0.07993924,0.05832893,0.10603928,0.09623718,0.12810921,0.12390529,0.153659,0.14985725,0.14802912,0.17273834,0.10907022,0.1510414,0.05231017,0.06008568,0.17520292,0.16071316,0.05745588,0.10747379,0.06731397,0.10597055,0.12077609,0.10226511,0.11559687,0.08039064,0.08053612,0.05866234
0.21202805,0.05962793,0.17777322,0.19178192,0.12966501,0.00132778,0.11382851,0.11477012,0.0841139,0.05795231,0.11094103,0.10082911,0.12527661,0.12368273,0.15207677,0.15233426,0.1517709,0.17285173,0.10202615,0.14733601,0.0523427,0.06088793,0.17800115,0.16595587,0.0609837,0.10716688,0.06522056,0.10564232,0.12240562,0.10394515,0.11627056,0.08388134,0.08290825,0.06154389
0.21367838,0.06019196,0.17723473,0.19280733,0.12652455,0.00128817,0.11322301,0.11421341,0.08454007,0.05852665,0.10752858,0.09796974,0.12433047,0.12001738,0.14866225,0.14920055,0.14909265,0.17190341,0.10575528,0.14630596,0.05089574,0.05927196,0.1745381,0.1604227,0.05933995,0.10653575,0.06544889,0.10641063,0.11683556,0.1014166,0.11238743,0.08192919,0.08039281,0.06090983
0.2044114,0.05866221,0.17730956,0.18991817,0.12741262,0.00135408,0.10936457,0.10871982,0.07736128,0.05700205,0.10081535,0.09070499,0.12399566,0.12014445,0.14940813,0.14263147,0.14305344,0.16782448,0.10218838,0.14325916,0.0528343,0.06108607,0.17492448,0.16080176,0.05777325,0.10954391,0.06705896,0.10764894,0.1150073,0.09832323,0.11017876,0.07639914,0.07506147,0.05681546
0.22099084,0.06253116,0.18209363,0.19648747,0.13364399,0.00137035,0.12015054,0.11908097,0.0866784,0.06063916,0.11189204,0.10247625,0.13089073,0.12736798,0.15579696,0.15908452,0.15770138,0.17752883,0.10633946,0.14734503,0.0544254,0.06210473,0.18060271,0.16834161,0.06002937,0.10795147,0.06748158,0.10699696,0.12534594,0.10733459,0.11774413,0.0851179,0.0842063,0.063191
0.21499137,0.06241434,0.17976779,0.19479532,0.13000042,0.00135862,0.11238608,0.1150844,0.08240814,0.06055863,0.10918418,0.09895109,0.12765427,0.12457255,0.15491142,0.15135802,0.15035451,0.17610736,0.10699382,0.14708818,0.05456594,0.06212353,0.17528171,0.16443706,0.06007954,0.10507328,0.0669302,0.10349446,0.12034402,0.10519427,0.11459542,0.08097421,0.08005502,0.06145457
0.21588742,0.05839593,0.17907995,0.19040871,0.12680382,0.00133913,0.12058845,0.11968177,0.08145826,0.05681586,0.11155546,0.1005133,0.12998732,0.12477448,0.15575908,0.1517903,0.15079979,0.17115187,0.10604518,0.14823467,0.05151175,0.0594393,0.16855962,0.15763642,0.05768245,0.1104675,0.06911439,0.10870034,0.11569286,0.10253884,0.111213,0.08271641,0.08101804,0.06139616
0.20764461,0.05995339,0.17075051,0.185807,0.12221073,0.00129817,0.11223387,0.11082368,0.07734085,0.05806618,0.1023273,0.09204926,0.11867895,0.11574653,0.1475789,0.14375948,0.1407005,0.16688727,0.10176622,0.14600913,0.05164902,0.05951588,0.16915221,0.15518881,0.05729098,0.10717885,0.06498985,0.1068826,0.11263392,0.09569829,0.10704887,0.07676356,0.07710756,0.05721834
