"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.01665811,0.00284963,0.01413463,0.01546052,0.0113774,1.74e-06,0.00835769,0.00843362,0.00517797,0.00253462,0.00832192,0.00808914,0.00938769,0.00882149,0.00866637,0.01258183,0.01557565,0.01082231,0.00902585,0.00909864,0.00159145,0.00196147,0.02067664,0.01827482,0.00229464,0.00679736,0.00276201,0.00711774,0.01022178,0.00838148,0.01031116,0.00530323,0.00464801,0.00280786
0.01640797,0.00312645,0.01448748,0.01548389,0.01187181,1.91e-06,0.00836012,0.00822801,0.00507625,0.00280399,0.0077985,0.00759177,0.00957558,0.00923823,0.00914716,0.01261436,0.01557018,0.01142348,0.00894864,0.00892206,0.00166589,0.00210282,0.01963041,0.01723481,0.00256534,0.00707427,0.00261053,0.00730486,0.00952036,0.00855661,0.00904117,0.00458983,0.00413735,0.00279219
0.01648517,0.00271838,0.01440953,0.01532687,0.012791,1.82e-06,0.00713813,0.00727778,0.00491735,0.00244823,0.00800979,0.00796183,0.00960081,0.00911038,0.0089913,0.01300233,0.01634144,0.01090169,0.01018683,0.01087112,0.0015852,0.00188926,0.02180817,0.01936251,0.00207441,0.0067297,0.0027344,0.00682311,0.01151771,0.00805088,0.0105858,0.00436481,0.0041133,0.00257902
0.01654859,0.00292913,0.01499793,0.01608285,0.01355837,1.69e-06,0.00854703,0.00843088,0.00544424,0.00264129,0.00830838,0.00851666,0.00872753,0.00908597,0.00902823,0.0141727,0.01778009,0.01161764,0.00865656,0.00960702,0.00160376,0.0020242,0.02323838,0.02072978,0.00240626,0.0069295,0.00249334,0.00707017,0.01216439,0.00882455,0.01094557,0.00502905,0.004615,0.0030891
0.0175489,0.00280758,0.01502154,0.01610399,0.01224767,1.65e-06,0.00772558,0.00792438,0.00576924,0.00252598,0.00830275,0.00828236,0.00917183,0.00869293,0.00922615,0.01326588,0.01646024,0.01117698,0.00973231,0.01036637,0.00157388,0.00198672,0.02155458,0.01903033,0.00223906,0.00746243,0.00294314,0.0076586,0.01032946,0.00835995,0.00984351,0.00523684,0.0046418,0.00293984
0.01699509,0.00285138,0.01461725,0.01594254,0.01264141,1.64e-06,0.00775505,0.00766861,0.00496507,0.00255339,0.00760154,0.00750085,0.00897198,0.00844234,0.009071,0.01248345,0.0157479,0.01135593,0.00917451,0.00961854,0.00162281,0.00196802,0.02240794,0.0198509,0.00215043,0.00725958,0.00287728,0.00746659,0.01083171,0.00845995,0.01044074,0.00471283,0.00417266,0.00258415
0.01752761,0.00297775,0.01534907,0.01581036,0.013385,1.93e-06,0.00863954,0.00868867,0.00545461,0.00269738,0.00833324,0.00839017,0.0098972,0.00950851,0.00880237,0.0142431,0.01764536,0.01174694,0.0092673,0.01024961,0.00161792,0.0019334,0.02158801,0.01944092,0.00213372,0.00716039,0.00293334,0.00723172,0.01158079,0.00863966,0.01044116,0.00484285,0.00447186,0.00291771
0.01640468,0.00299801,0.01486026,0.01602299,0.01315868,1.85e-06,0.00720524,0.00735147,0.00468621,0.00268732,0.00801826,0.00789555,0.00874134,0.0084299,0.00872708,0.01316096,0.01620764,0.01133437,0.00910998,0.00903451,0.00171448,0.00200461,0.02268089,0.01998648,0.00224291,0.00689007,0.00288363,0.00705407,0.01169567,0.00881002,0.00991514,0.00445713,0.0039809,0.00291924
0.01663802,0.00275831,0.01447765,0.0150479,0.011518,1.8e-06,0.00822489,0.0081726,0.00471681,0.00249145,0.00786629,0.00771347,0.00926067,0.00846785,0.00862561,0.01305463,0.01629098,0.01105309,0.00884803,0.00924161,0.00166439,0.00206153,0.01970884,0.01739148,0.00232824,0.00690659,0.00271645,0.00700091,0.00980479,0.00852466,0.0097885,0.00431009,0.0038673,0.00273891
0.01650647,0.00296897,0.01409772,0.0150443,0.01200776,1.54e-06,0.00813737,0.00786256,0.00450941,0.00267576,0.00697151,0.00702776,0.00729574,0.00697855,0.00804605,0.01260546,0.01540155,0.0109301,0.00823645,0.00858635,0.00166376,0.00203559,0.01937765,0.01689276,0.00217316,0.00665958,0.00236565,0.00688706,0.00998028,0.00768489,0.00934702,0.00441394,0.00387258,0.00241532
0.01606511,0.00287794,0.01439405,0.01523594,0.01243856,1.62e-06,0.00731169,0.00729267,0.00493149,0.00257478,0.00774569,0.00800672,0.00901825,0.00890999,0.00883953,0.01401547,0.01722829,0.0113981,0.00937183,0.00976115,0.00158783,0.001961,0.02108661,0.01809697,0.00223028,0.00721264,0.00254081,0.00771615,0.01077484,0.00830319,0.009515,0.004393,0.00406487,0.00274449
0.0162728,0.00291188,0.01492261,0.01599555,0.01258615,1.69e-06,0.00798113,0.00812307,0.00490281,0.00263029,0.00759771,0.00725882,0.00915803,0.00863186,0.00860823,0.01257933,0.01560946,0.01077615,0.0096774,0.01028585,0.0016516,0.00203704,0.02232356,0.01999287,0.00241528,0.00712047,0.00277717,0.00742591,0.01107166,0.00818396,0.01022638,0.00481867,0.00415203,0.0025723
0.01710264,0.00268723,0.01419979,0.01542608,0.01220425,1.97e-06,0.00860528,0.00877909,0.00508004,0.00242657,0.00792592,0.00835339,0.0096106,0.00991736,0.0095141,0.01349374,0.01700869,0.0115111,0.00900133,0.00992503,0.00153927,0.00189711,0.02110424,0.01868978,0.00220477,0.00647262,0.00273108,0.00648252,0.01115906,0.00871384,0.01086036,0.00508175,0.0044484,0.00287135
0.01588737,0.00285307,0.01404649,0.01493304,0.01134969,1.73e-06,0.00794161,0.00762938,0.00430116,0.00258969,0.00717762,0.0069048,0.00834162,0.00797308,0.00835142,0.01254796,0.01502541,0.01100244,0.00917724,0.00978865,0.00163161,0.00198373,0.01806307,0.0157949,0.00211425,0.00721228,0.00269671,0.0072676,0.01009784,0.00752001,0.00933607,0.00411349,0.00372325,0.00267675
0.01652338,0.00288765,0.01406382,0.01513293,0.0109944,1.67e-06,0.00817024,0.00822029,0.00500116,0.00258913,0.00681487,0.00662055,0.00811638,0.00767317,0.00823594,0.01163757,0.0141352,0.01066164,0.00874679,0.00919221,0.00157359,0.00199775,0.02058461,0.0182908,0.00232474,0.00702123,0.00301907,0.00722606,0.01034998,0.00765974,0.00904871,0.00424585,0.00417494,0.00246438
0.01707552,0.00250156,0.01493062,0.01624496,0.01309408,2.03e-06,0.00800446,0.0081977,0.00477905,0.00227248,0.00786303,0.00738397,0.00943085,0.00909312,0.00859247,0.01242196,0.01555481,0.01086787,0.0088072,0.00917169,0.00161115,0.001968,0.0218708,0.01906291,0.00213105,0.00703102,0.00266508,0.00730025,0.01199561,0.00879057,0.01121812,0.00473419,0.00399122,0.00260375
0.01693416,0.00275461,0.01397365,0.01477484,0.01238457,1.92e-06,0.00819699,0.00827272,0.00520778,0.0024634,0.00841202,0.00832609,0.00916086,0.00930086,0.0090911,0.01376304,0.01734625,0.01130421,0.00887596,0.00955226,0.0015872,0.00192592,0.02112665,0.01911369,0.0021192,0.00637268,0.00274378,0.00654281,0.01164061,0.00859322,0.01149602,0.00506227,0.0044402,0.00297072
0.01740681,0.00265482,0.01498217,0.01574383,0.01184501,1.92e-06,0.00848492,0.00836397,0.00512769,0.00238242,0.0086119,0.00835525,0.00928171,0.00860109,0.00889019,0.01362155,0.01750343,0.01109826,0.00802048,0.00901006,0.00160033,0.00197876,0.02031782,0.017665,0.00210051,0.00670311,0.00275351,0.00688005,0.01093313,0.00910912,0.00969177,0.00503504,0.00427584,0.00295056
0.0150587,0.00265905,0.01284336,0.01402507,0.01021926,1.91e-06,0.00753117,0.00762677,0.00424654,0.00238971,0.00740551,0.00719293,0.00982803,0.00947655,0.008837,0.01175693,0.01426459,0.01033656,0.00825997,0.00853124,0.001595,0.00194594,0.01873237,0.01728256,0.00208253,0.00699413,0.00246452,0.00724839,0.00944384,0.00742007,0.00889846,0.00415537,0.00366215,0.00277983
0.01725438,0.00294323,0.01418081,0.01546399,0.01140671,1.59e-06,0.0084778,0.00837997,0.00490152,0.00262868,0.00684409,0.0066001,0.00846633,0.00815803,0.00857059,0.01152783,0.01412129,0.01067272,0.00823882,0.00896082,0.00161838,0.00196622,0.02035967,0.01795661,0.00217479,0.00705142,0.00268755,0.00724249,0.01041624,0.00840575,0.00971643,0.00451749,0.00399085,0.00259086
