"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.1828329,0.11927661,0.11236402,0.13505602,0.08822531,0.00875644,0.13022007,0.13405485,0.10115658,0.11974427,0.09491764,0.09852251,0.13061261,0.10826301,0.14925719,0.13260279,0.11610428,0.15417325,0.14340266,0.17758826,0.0973556,0.13098722,0.16511581,0.15338609,0.12179032,0.15012417,0.12238514,0.16188589,0.11972531,0.10584764,0.11787012,0.11759594,0.10783235,0.10517249
0.17722832,0.1213759,0.10935062,0.12794104,0.0836428,0.00856167,0.1298836,0.13209732,0.09819702,0.12204488,0.0933703,0.09426621,0.12316947,0.10394413,0.14685656,0.13316717,0.11665506,0.15249801,0.14354838,0.17482548,0.09716194,0.13019319,0.15789205,0.14793216,0.11816937,0.13737529,0.11377577,0.14795837,0.11955279,0.1025497,0.11755166,0.11605536,0.10441942,0.10672149
0.18634928,0.11845516,0.11324579,0.13205943,0.08611145,0.00817566,0.12248206,0.12649547,0.09158255,0.11879874,0.09122612,0.09491565,0.13424813,0.10901258,0.1443254,0.13399564,0.11905584,0.15779872,0.14771655,0.17248353,0.09599175,0.12855197,0.16196751,0.14850951,0.11789703,0.14952707,0.12404779,0.15776415,0.11834987,0.10412875,0.11720867,0.11032694,0.10111511,0.10210001
0.17521432,0.11892784,0.11151928,0.13219688,0.08363353,0.00822644,0.12507653,0.12930428,0.09622313,0.11949438,0.09075071,0.09360813,0.12691738,0.1072892,0.14425086,0.13026621,0.11667016,0.15020072,0.14004422,0.17353734,0.09507849,0.12674208,0.15849131,0.14656778,0.11940761,0.14247599,0.12017439,0.15364689,0.11960474,0.10366784,0.11549866,0.11359904,0.10266358,0.1037519
0.18426168,0.11734383,0.11535852,0.13615093,0.08578446,0.00831874,0.12205074,0.1263952,0.09608245,0.11769855,0.09367127,0.09513807,0.1227802,0.10545008,0.14375389,0.13377876,0.11958722,0.15455344,0.14328464,0.16769392,0.09406838,0.12496429,0.1647365,0.14663157,0.11736753,0.14198917,0.11878586,0.1558156,0.12211889,0.10455079,0.11787051,0.11329797,0.10267299,0.1016399
0.18254446,0.12172017,0.10739085,0.12430189,0.08317673,0.00818055,0.12523961,0.12686678,0.09585059,0.1221459,0.09466598,0.095257,0.12753161,0.10599807,0.1466169,0.1304853,0.11881817,0.15267677,0.14584807,0.17309289,0.09957029,0.13022999,0.15391312,0.14176783,0.11737176,0.1418238,0.12191439,0.14774962,0.11433805,0.09931364,0.10988039,0.1145745,0.10375358,0.10650824
0.18603365,0.12534017,0.11170658,0.13130112,0.08313875,0.00846395,0.13201503,0.13552085,0.09875187,0.12619169,0.09652167,0.09689079,0.12338215,0.10487,0.14838417,0.13459462,0.11909717,0.15517437,0.14090725,0.17249873,0.09981891,0.1318547,0.16257355,0.14981228,0.11910879,0.14597945,0.12111663,0.15374034,0.11786665,0.10502926,0.11306427,0.11681766,0.10798898,0.10708115
0.17881355,0.12082358,0.10885326,0.12877177,0.08396579,0.00827848,0.12547149,0.12983547,0.09771459,0.12114704,0.09091824,0.09402693,0.12597136,0.1051862,0.14510021,0.12939251,0.11364546,0.14932747,0.14336972,0.17423763,0.09861577,0.12945131,0.15841825,0.14589049,0.11784871,0.14307212,0.12116671,0.15132345,0.11222759,0.10101103,0.11148525,0.11345396,0.10483483,0.10453189
0.18843973,0.12590819,0.10966382,0.12780963,0.08438494,0.00844662,0.13433433,0.13910285,0.10301011,0.12700222,0.09866625,0.1004964,0.12653714,0.10582878,0.15470021,0.13669533,0.11922132,0.15802493,0.14323725,0.17845351,0.10302807,0.13553299,0.15909825,0.15181017,0.12428174,0.15473979,0.12401202,0.16017102,0.11601284,0.10361316,0.11258245,0.12288643,0.11178492,0.10726277
0.18843129,0.12205069,0.11371626,0.13441235,0.08542465,0.00838146,0.12897961,0.13398681,0.09553473,0.12250332,0.0982536,0.09898416,0.12306073,0.10683268,0.14903005,0.13349186,0.11785931,0.15732399,0.14809474,0.17335521,0.09795659,0.13073107,0.16482025,0.15018632,0.12275812,0.14938708,0.12452986,0.16005621,0.12206587,0.10643114,0.11754706,0.11729698,0.10549348,0.10578665
0.18038212,0.12436186,0.10754235,0.12385063,0.08468105,0.00859758,0.128963,0.13131926,0.10037204,0.12463426,0.0929429,0.09611451,0.12735122,0.10806039,0.15012778,0.12944072,0.11578481,0.15314128,0.1461382,0.17640678,0.09874676,0.13169986,0.15562952,0.14423164,0.1219351,0.14560634,0.12140527,0.15123325,0.11800991,0.10131483,0.11679968,0.11446609,0.1053771,0.10684451
0.18693087,0.12263915,0.1174746,0.13613038,0.09200118,0.00847565,0.1320859,0.13590508,0.10343783,0.12328727,0.09740561,0.09971503,0.12616749,0.10439831,0.14573763,0.1345809,0.12216449,0.15906911,0.14814315,0.17305659,0.10183524,0.13515471,0.16946703,0.15282375,0.12230332,0.15132121,0.12780342,0.16510548,0.1243154,0.10664864,0.1224137,0.12214567,0.11321083,0.10270031
0.18286778,0.12157376,0.11068607,0.13004458,0.08471364,0.00855705,0.13245915,0.13342505,0.09812481,0.12217807,0.09319825,0.09704668,0.12969622,0.10966067,0.14527835,0.13872854,0.12241007,0.16066949,0.14147318,0.16960123,0.09668714,0.12649017,0.16064276,0.14845101,0.11535873,0.1467001,0.12120102,0.1527312,0.11932335,0.1050232,0.1178185,0.11775266,0.10730603,0.10550902
