"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.02230802,0.01058452,0.01053913,0.01461531,0.00765488,7.001e-05,0.01184298,0.01056823,0.00822624,0.01057887,0.00638829,0.0078966,0.01342503,0.00909146,0.01731129,0.01375581,0.01065233,0.01775862,0.01466766,0.01766815,0.00778416,0.0126167,0.0200596,0.017638,0.01158892,0.0207295,0.01115911,0.0185718,0.01440273,0.00925899,0.01560674,0.01021465,0.00927955,0.00854757
0.02259488,0.01159075,0.00963242,0.01281823,0.00654472,7.341e-05,0.01351065,0.01237259,0.0075943,0.01170152,0.00741516,0.00741034,0.01242579,0.00951975,0.0188716,0.01354963,0.0111537,0.01676322,0.01652171,0.01878365,0.00762793,0.01302482,0.01855863,0.01617243,0.0122599,0.01746851,0.01081071,0.0169763,0.01483745,0.0091737,0.01642605,0.0116825,0.00886951,0.00992912
0.02418682,0.01098019,0.01004607,0.0130682,0.00713882,7.523e-05,0.0121609,0.01098394,0.00718798,0.0110387,0.00759096,0.00755304,0.01486724,0.00996387,0.01879114,0.01438579,0.01180939,0.01835705,0.01649273,0.01756452,0.00729582,0.01157224,0.01958417,0.01731464,0.01118332,0.02208099,0.01191269,0.01976946,0.01407537,0.00967371,0.01598779,0.00984554,0.00791797,0.00866441
0.02280064,0.01107592,0.01104351,0.01488489,0.00689932,6.198e-05,0.01301787,0.01209741,0.00747525,0.01120339,0.00659601,0.00707034,0.01315917,0.00935569,0.01855884,0.01364522,0.0110131,0.01746959,0.01455826,0.01811587,0.00790182,0.01227787,0.01756355,0.01575915,0.0107841,0.01851866,0.01186865,0.01751491,0.01458702,0.00913153,0.01595448,0.01042014,0.00840323,0.00860777
0.02609785,0.01143808,0.0103492,0.01397059,0.00692224,7.482e-05,0.01198347,0.01091589,0.00741984,0.01153826,0.00766069,0.00753312,0.01168711,0.00941934,0.01920602,0.01453249,0.01155682,0.01926856,0.0152977,0.01807044,0.00812188,0.01217746,0.02013001,0.01708938,0.01080156,0.01912406,0.01114164,0.01903512,0.01506827,0.00924451,0.0159669,0.00990643,0.00846259,0.00870727
0.02429192,0.0111037,0.00968461,0.01250553,0.00701958,6.036e-05,0.01250459,0.01122629,0.00796664,0.01116299,0.00822275,0.00805455,0.01329359,0.00863547,0.0176031,0.01274072,0.01077752,0.01714833,0.01598301,0.01732642,0.00850863,0.01272542,0.01753546,0.01508706,0.01127064,0.0191295,0.01295209,0.01601411,0.01344248,0.0081327,0.01400263,0.01057874,0.00940856,0.00980412
0.02340025,0.01249218,0.01051874,0.01393415,0.00630015,7.241e-05,0.01446406,0.01272675,0.00767124,0.0125561,0.00792858,0.00721736,0.01140263,0.0088848,0.01842315,0.01425691,0.01168935,0.01853012,0.01411804,0.0181943,0.00781534,0.01250102,0.01835602,0.01612541,0.01087319,0.01962348,0.01162631,0.01769324,0.01425925,0.00950212,0.01513308,0.01095057,0.00947771,0.00930863
0.02162189,0.01204975,0.00891806,0.01246187,0.00647907,6.433e-05,0.01256965,0.01081785,0.00830488,0.01216087,0.0071589,0.00774076,0.01132358,0.00855522,0.01898804,0.01216038,0.00984113,0.0168117,0.01500122,0.01844219,0.0083974,0.01270208,0.01786994,0.01584999,0.01155466,0.01977822,0.01264475,0.01701396,0.01129265,0.00847277,0.01289484,0.01096093,0.00950259,0.0088475
0.02429278,0.01159895,0.00907686,0.01201492,0.00689019,6.782e-05,0.01408581,0.01298523,0.0091441,0.01169374,0.00793592,0.00817514,0.01202168,0.00876937,0.0196769,0.01399521,0.01110962,0.01824811,0.01513727,0.01803915,0.00866739,0.01287231,0.01875311,0.01679848,0.01248373,0.02243006,0.01212085,0.01851289,0.01254505,0.00913427,0.01382171,0.01221013,0.01040441,0.00819094
0.02440466,0.01118656,0.01017587,0.01376144,0.00684323,6.673e-05,0.01388094,0.01215984,0.00735711,0.01126454,0.00749113,0.00724966,0.01123746,0.009531,0.02004906,0.01425103,0.01144353,0.01819962,0.0166074,0.01795299,0.00766133,0.01239352,0.01891038,0.01771682,0.01194635,0.02010669,0.01185796,0.01841872,0.01538579,0.00911205,0.01616877,0.01094433,0.00843686,0.00962998
