"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.31069449,0.1932095,0.19927485,0.22559279,0.29052315,0.00776473,0.24065407,0.22801396,0.15220597,0.18974066,0.16261545,0.17695247,0.20551561,0.18522161,0.24450234,0.23308878,0.22171936,0.26746337,0.33033336,0.27756855,0.14534631,0.14995011,0.2593923,0.23887641,0.17107315,0.23066701,0.19708474,0.22602399,0.19262684,0.1816194,0.21581557,0.191741,0.17798049,0.16869198
0.31519914,0.20381474,0.19907714,0.224101,0.29431465,0.00751366,0.24841027,0.23301982,0.16558273,0.19995155,0.16804633,0.18136978,0.20168563,0.18976466,0.24716181,0.23323708,0.22131711,0.26454072,0.33393635,0.28131218,0.15047994,0.15544643,0.26410763,0.24533821,0.17970327,0.23922014,0.19921965,0.22790852,0.19802409,0.18812815,0.21914473,0.19739006,0.18370005,0.17180375
0.31402402,0.19238998,0.19589909,0.2211293,0.28540595,0.00769227,0.24257306,0.22977344,0.15242775,0.18827594,0.16095633,0.17499849,0.20707321,0.18449832,0.24060416,0.21906543,0.2138319,0.25267161,0.33082692,0.27823156,0.14409526,0.14763512,0.25449681,0.22993816,0.16659914,0.22929078,0.19453332,0.22229367,0.18341007,0.17313442,0.20491307,0.18661758,0.17665985,0.16224775
0.29721289,0.18964394,0.18813579,0.21338201,0.28104247,0.00768541,0.23519834,0.22121306,0.14796288,0.18642502,0.15724062,0.1712449,0.1996002,0.17823196,0.23865841,0.21499965,0.20811667,0.24473945,0.30925296,0.26454384,0.14169356,0.14630858,0.24921729,0.23082168,0.16656538,0.22425977,0.18490651,0.21508736,0.18292558,0.17306255,0.20420785,0.18601866,0.17326669,0.16276035
0.30121377,0.19134959,0.19272804,0.21720253,0.28232112,0.00720591,0.23591981,0.2230477,0.15466857,0.18768308,0.15693585,0.17236237,0.19948898,0.18093934,0.23535886,0.22564783,0.21760248,0.25059001,0.32576545,0.2682955,0.13942799,0.14277955,0.25026316,0.2247554,0.16674168,0.22242222,0.18714383,0.21528788,0.18440958,0.17575316,0.20405059,0.1869289,0.17560986,0.16681135
0.31714705,0.20392926,0.19895198,0.22259406,0.29242441,0.00743474,0.24358296,0.22732545,0.15952493,0.19994696,0.16593957,0.17665252,0.21154096,0.18960307,0.25084715,0.22328267,0.21654508,0.26092541,0.33924386,0.28671181,0.14967234,0.15407509,0.25621001,0.23389158,0.17530093,0.23856044,0.20173414,0.22658401,0.18947374,0.17825432,0.21230129,0.1943615,0.17555971,0.16761439
0.31768087,0.20006791,0.19773367,0.22156578,0.28603346,0.00748171,0.24573322,0.23301259,0.15815526,0.196735,0.16887899,0.18205494,0.20536067,0.18982106,0.24771053,0.23131823,0.22001221,0.26201527,0.32753784,0.27195824,0.15156742,0.15417575,0.25797397,0.23915065,0.17265624,0.23164749,0.19856648,0.22268075,0.19142372,0.18274509,0.21247492,0.19793971,0.18827417,0.17028914
0.3131722,0.20086219,0.20174795,0.224816,0.290095,0.00770454,0.2513816,0.24019886,0.16299051,0.19643858,0.16890952,0.18406502,0.20767848,0.18817785,0.24771256,0.23199954,0.22272492,0.27180235,0.33384507,0.28119957,0.15136304,0.1547252,0.2619424,0.24161505,0.17487636,0.23285933,0.19879145,0.22201254,0.19218755,0.18279485,0.21785243,0.19652017,0.18335001,0.17630499
0.31546091,0.19634835,0.20084945,0.22234165,0.2921766,0.00792597,0.25203229,0.23835457,0.15879167,0.19319859,0.17159782,0.18036903,0.2034912,0.1827356,0.24706431,0.22473453,0.21419101,0.25601056,0.33084692,0.27306995,0.15031737,0.15370718,0.25933633,0.24219736,0.17102688,0.23544313,0.19931436,0.22896265,0.19317284,0.18076967,0.21728009,0.19967498,0.18660585,0.16561286
0.31621123,0.19626332,0.19928602,0.22389136,0.28688864,0.0077473,0.24290965,0.22825074,0.1499525,0.19230876,0.16472314,0.17703418,0.20361974,0.18784886,0.24374132,0.22585935,0.21678078,0.25503226,0.33514824,0.27663173,0.14629259,0.15038064,0.25597526,0.23386385,0.17079846,0.23099888,0.19683423,0.22605412,0.18586635,0.17453839,0.20756109,0.18751535,0.1762905,0.16799509
