"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.05007392,0.02563564,0.0263412,0.03270475,0.05129985,5.674e-05,0.02949534,0.03298087,0.01799155,0.0246325,0.02197958,0.02129774,0.02810547,0.02401305,0.02509519,0.04038267,0.03070278,0.04155139,0.06373612,0.0436418,0.01513421,0.01592989,0.04650768,0.04275272,0.02034658,0.03216424,0.02436014,0.0306309,0.02466338,0.02756804,0.03874085,0.01723323,0.02171112,0.01969382
0.05169187,0.02781669,0.02621638,0.03127405,0.05331669,6.014e-05,0.0319092,0.0352581,0.01916284,0.02710272,0.02605402,0.02299246,0.02680952,0.02594903,0.02680312,0.04369656,0.03266263,0.04143762,0.0623466,0.04345162,0.0168868,0.01781245,0.05136529,0.04625594,0.02270593,0.03476201,0.02756049,0.03326144,0.02731845,0.03310795,0.0415608,0.01978662,0.02375204,0.02115688
0.0508219,0.02363469,0.0263976,0.03268396,0.05412634,5.873e-05,0.03050885,0.03400372,0.01679389,0.02295628,0.02322316,0.02154082,0.02811094,0.02372587,0.02701847,0.03689952,0.0305922,0.03818403,0.06211161,0.04430152,0.01460136,0.01513813,0.04530016,0.04075192,0.01898966,0.03224194,0.02450284,0.03070944,0.02373641,0.02661757,0.03893024,0.01615326,0.02086437,0.0187039
0.04941721,0.02340078,0.02345515,0.02850503,0.05346296,5.684e-05,0.02833722,0.03109139,0.01585891,0.02261802,0.02256466,0.02031846,0.0265246,0.02148501,0.02528946,0.03652461,0.02880238,0.03861304,0.05883656,0.04270669,0.01514682,0.01592344,0.04581384,0.04301158,0.01875722,0.02986407,0.02181247,0.02849066,0.02347179,0.02630426,0.03783321,0.01663912,0.02006791,0.01883065
0.0482932,0.02517416,0.02498779,0.03019493,0.05158408,5.221e-05,0.02860375,0.03120264,0.01716568,0.02444596,0.02318859,0.02125228,0.02727233,0.02361177,0.02730194,0.03924417,0.03008575,0.03776974,0.06276326,0.04341156,0.01551314,0.01620326,0.04583007,0.0418282,0.02035328,0.03226294,0.02494762,0.03056434,0.02427329,0.02787889,0.03899401,0.01754675,0.02135626,0.02038172
0.05193856,0.02564577,0.02625483,0.03186474,0.05195092,5.363e-05,0.02825391,0.03027831,0.01788857,0.02498404,0.02512995,0.01996204,0.02782029,0.02244506,0.02641051,0.03748996,0.02948212,0.03987645,0.06088598,0.04522631,0.0153232,0.01614371,0.04465449,0.04026994,0.01929154,0.03340967,0.02605151,0.0323952,0.02369697,0.02689138,0.03942646,0.01662335,0.0214128,0.01758611
0.0525048,0.02617786,0.02768946,0.03288083,0.0531764,5.406e-05,0.03123294,0.03440421,0.01865852,0.02556626,0.02601177,0.02388401,0.0280263,0.02337913,0.02669943,0.04064223,0.03211423,0.03786637,0.0600364,0.04182148,0.01691353,0.01747977,0.04834038,0.044542,0.02073934,0.03552747,0.02726578,0.03347176,0.02545008,0.02894705,0.04072233,0.01886028,0.02500244,0.01948546
0.05342261,0.02834549,0.02599923,0.03178477,0.05122335,6.295e-05,0.03501787,0.04003355,0.01893039,0.02772367,0.02751599,0.0242084,0.02771426,0.02431379,0.02725458,0.03962978,0.02970157,0.04260418,0.06032714,0.04274548,0.01767427,0.01782027,0.04675122,0.04304892,0.02172388,0.03435825,0.02740425,0.03260694,0.02519027,0.02986577,0.03996698,0.01975669,0.02449717,0.02272337
0.05039974,0.02515959,0.02867731,0.03434438,0.05299529,5.987e-05,0.02961671,0.03284599,0.01816091,0.02436402,0.02604566,0.02219473,0.02820138,0.02227742,0.02542314,0.04016648,0.03141576,0.0393716,0.05915191,0.04110685,0.01548711,0.01622672,0.04758688,0.04357453,0.02037344,0.0338117,0.02532968,0.0321738,0.02613606,0.03182064,0.04092848,0.01817711,0.02391582,0.01900768
0.05382769,0.02633033,0.02676663,0.03215739,0.05413461,6.022e-05,0.03008853,0.03347541,0.01598898,0.02575945,0.0244569,0.02176262,0.02584909,0.024615,0.02553998,0.03755841,0.02930275,0.0388511,0.0616366,0.04422217,0.01636919,0.01703491,0.04774942,0.04494595,0.02046009,0.03255113,0.0249888,0.0306961,0.0239322,0.02785909,0.03959293,0.01727266,0.02174758,0.01998469
