"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.46915,0.3533,0.3292,0.35685,0.2896,0.01295,0.36955,0.39145,0.2926,0.33905,0.3059,0.32245,0.38475,0.37285,0.4015,0.36105,0.34415,0.40025,0.3673,0.40425,0.2667,0.25515,0.3661,0.35475,0.2817,0.33965,0.3042,0.32725,0.3214,0.32345,0.30735,0.3408,0.3534,0.2884
0.47205,0.3584,0.32915,0.36065,0.283,0.01525,0.3761,0.4008,0.29215,0.3452,0.3009,0.3248,0.3838,0.37895,0.4101,0.35485,0.339,0.4027,0.36445,0.40815,0.26455,0.2588,0.37675,0.36855,0.28425,0.34575,0.3013,0.3237,0.3166,0.319,0.30105,0.3347,0.35055,0.29055
0.4664,0.34465,0.32715,0.35595,0.2873,0.0164,0.3612,0.38685,0.2799,0.33255,0.29365,0.31735,0.3892,0.37015,0.39615,0.35355,0.34055,0.4013,0.36715,0.4064,0.26285,0.2549,0.3622,0.3558,0.27425,0.3414,0.30125,0.3232,0.3193,0.3176,0.3,0.32895,0.34945,0.27545
0.465,0.35385,0.32305,0.3484,0.2814,0.0152,0.36205,0.3897,0.2892,0.34095,0.3023,0.3304,0.3826,0.3713,0.39455,0.3529,0.3424,0.3974,0.3649,0.4089,0.2663,0.2549,0.3614,0.3573,0.2867,0.34535,0.30525,0.32725,0.3197,0.3187,0.30185,0.3391,0.35555,0.2902
0.46375,0.34925,0.32185,0.3507,0.2825,0.01375,0.3611,0.39165,0.28685,0.33665,0.29345,0.3189,0.38455,0.3714,0.3959,0.3499,0.3391,0.40145,0.3699,0.4022,0.2631,0.2522,0.3734,0.3597,0.28105,0.3381,0.3016,0.32545,0.324,0.31365,0.30465,0.32945,0.34345,0.2769
0.4392,0.3322,0.30785,0.33755,0.2727,0.01635,0.3437,0.3681,0.26825,0.31965,0.27385,0.2938,0.3869,0.37315,0.3973,0.3277,0.3207,0.379,0.34085,0.3912,0.2518,0.2431,0.34945,0.3412,0.2682,0.33545,0.2914,0.31195,0.29875,0.29425,0.2821,0.3097,0.323,0.25705
0.4813,0.3591,0.329,0.35965,0.28885,0.01465,0.37825,0.4012,0.29725,0.34735,0.3082,0.3373,0.39345,0.39035,0.4187,0.3663,0.35545,0.40735,0.3846,0.41455,0.281,0.26775,0.3773,0.37105,0.29015,0.3561,0.3138,0.33785,0.3318,0.3293,0.31105,0.34505,0.362,0.295
0.4677,0.351,0.3371,0.36245,0.2915,0.01635,0.36915,0.3994,0.28675,0.33435,0.29915,0.3242,0.3886,0.37605,0.39855,0.3547,0.3438,0.408,0.372,0.4082,0.26705,0.2615,0.37855,0.36885,0.27735,0.34335,0.3055,0.32575,0.3223,0.3222,0.3066,0.3301,0.34825,0.2896
0.47365,0.3428,0.3229,0.3551,0.2818,0.0129,0.3768,0.40125,0.2836,0.33315,0.30535,0.33115,0.3842,0.3718,0.405,0.3535,0.34245,0.38885,0.37425,0.40845,0.26645,0.25985,0.36215,0.35965,0.2824,0.35585,0.3076,0.33685,0.31875,0.3174,0.302,0.3385,0.3527,0.2824
0.45815,0.3309,0.31575,0.3446,0.2726,0.01435,0.35945,0.3816,0.2705,0.31995,0.2831,0.30445,0.37185,0.3638,0.3945,0.34795,0.33555,0.3905,0.36295,0.4035,0.25325,0.24355,0.3552,0.3451,0.2647,0.3372,0.2943,0.32305,0.30855,0.3091,0.28775,0.3118,0.3349,0.2696
