"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.08357936,0.08593505,0.08077313,0.08278336,0.07669854,0.00133113,0.07245275,0.06242182,0.05421946,0.06747007,0.06179198,0.08035886,0.08256751,0.07949487,0.07110886,0.07025565,0.06496825,0.07692937,0.11095166,0.08234178,0.05243354,0.04575673,0.06574654,0.0674624,0.05501012,0.06820859,0.06085321,0.06363858,0.08062767,0.08822082,0.07850698,0.06877914,0.07122967,0.07281826
0.08603233,0.08242687,0.08128406,0.0811202,0.07617718,0.00164658,0.07376756,0.06512448,0.05197285,0.06411608,0.05772692,0.07665161,0.07874631,0.0787031,0.0703133,0.0689179,0.06592993,0.08086858,0.10974845,0.0797258,0.05207788,0.04698454,0.0696666,0.07006847,0.05095039,0.06447391,0.05592924,0.05786618,0.07478923,0.08531932,0.07465105,0.0623883,0.06712933,0.07037357
0.08783888,0.08112,0.07725263,0.07932642,0.07410782,0.00178282,0.06652609,0.05745703,0.05240339,0.06282582,0.05650869,0.07858006,0.07825161,0.07535183,0.06621389,0.06748738,0.06318638,0.07469801,0.10397235,0.07223127,0.04843581,0.04442041,0.06187303,0.06629766,0.04793237,0.06283888,0.05310905,0.05869045,0.07887138,0.08643167,0.0781031,0.06168608,0.06845065,0.06937417
0.08894895,0.08853121,0.08272392,0.08411155,0.07842246,0.00169566,0.07217948,0.06477368,0.05755091,0.06958518,0.05720692,0.08172256,0.07871596,0.08018149,0.06903183,0.07085745,0.0678601,0.07698022,0.11127927,0.07861941,0.05485917,0.04691791,0.07016521,0.07279951,0.05533845,0.06822911,0.06009003,0.06400394,0.07944636,0.08735767,0.07875784,0.06741861,0.07261932,0.07471868
0.09040384,0.08309003,0.08025533,0.08231683,0.0780468,0.00138482,0.06707386,0.06258536,0.05778736,0.06367295,0.0579025,0.08105885,0.08316696,0.07875079,0.07106926,0.06839839,0.06406526,0.0777031,0.11267667,0.08322839,0.05103442,0.04532549,0.07110354,0.0719929,0.05578919,0.06885224,0.06162406,0.06729209,0.07974374,0.08533151,0.08071159,0.06854374,0.07171131,0.07272411
0.08719556,0.08340657,0.08010098,0.0822047,0.07546017,0.0019271,0.06860391,0.06213953,0.0519614,0.06445083,0.05489357,0.07508665,0.07929769,0.07455613,0.06851623,0.06765537,0.06392544,0.0794985,0.10715593,0.07713469,0.05156332,0.04356596,0.06455175,0.06649405,0.04888264,0.062203,0.05480084,0.05885355,0.07698292,0.08410855,0.07697156,0.06217308,0.06705305,0.06787567
0.09021052,0.08631851,0.08031431,0.08126564,0.07642961,0.00155944,0.06984428,0.06269125,0.05612106,0.06870418,0.05750527,0.08058429,0.08096056,0.07868807,0.07167699,0.07094526,0.06946726,0.07577425,0.10980264,0.08068648,0.05597998,0.04771515,0.06826798,0.06940881,0.05124172,0.0675103,0.05845802,0.06365854,0.08333209,0.08766918,0.08259299,0.06537838,0.07141742,0.07261762
0.08593264,0.08395796,0.08523883,0.0868043,0.0769497,0.001827,0.06888466,0.06203668,0.05087782,0.06265023,0.05706384,0.07776212,0.08156661,0.07950841,0.0717021,0.06913204,0.06532188,0.07917017,0.11341441,0.08137914,0.05495675,0.05184459,0.07002742,0.06977695,0.05308256,0.07058386,0.05989464,0.06699143,0.07825597,0.08525241,0.07842486,0.06096996,0.06822266,0.07155339
0.08825643,0.08229546,0.07898958,0.08158057,0.07500877,0.00137997,0.07278454,0.06304398,0.05294398,0.06533892,0.05495884,0.07595313,0.07981518,0.07802278,0.07152653,0.06519795,0.06315866,0.07500318,0.10741685,0.07843453,0.05162352,0.04706254,0.06707695,0.06887826,0.05457982,0.06917745,0.06022747,0.06607565,0.07632226,0.08288012,0.07725325,0.06033308,0.06568339,0.06721245
0.08823431,0.07897416,0.07707651,0.07922507,0.07376801,0.00163822,0.07319139,0.06376521,0.05013989,0.0630976,0.05202642,0.07217487,0.07757265,0.0746392,0.06573048,0.06407737,0.06348218,0.07696171,0.10765745,0.07428704,0.04900594,0.04139729,0.06525822,0.06696796,0.04611503,0.06286402,0.05495246,0.06393013,0.0719013,0.0801073,0.07119864,0.05892969,0.06616315,0.06728813
0.08738256,0.07970458,0.08139938,0.08361521,0.0761972,0.00191211,0.0676374,0.05968848,0.05145065,0.06127051,0.05366205,0.07704648,0.07951731,0.07581701,0.0702872,0.06782502,0.06725109,0.07561299,0.11022911,0.07781598,0.0522224,0.04658903,0.06567015,0.06582552,0.05011255,0.06955015,0.05527998,0.06400876,0.07617956,0.08261956,0.07457088,0.06183584,0.06727788,0.07376246
0.08626656,0.08708183,0.08078738,0.08263935,0.07830074,0.00144935,0.07085481,0.0658658,0.05334895,0.06803482,0.05620817,0.07785135,0.07740757,0.07956194,0.07132431,0.06847541,0.06437461,0.07712823,0.11632532,0.08392737,0.05392702,0.04952322,0.07156254,0.07266257,0.05310285,0.06762358,0.05870138,0.06568907,0.08178608,0.08699675,0.08105195,0.06469546,0.06984574,0.070065
0.09211731,0.08344676,0.08304143,0.08262121,0.07914814,0.00144649,0.07040771,0.06403588,0.05558286,0.06488166,0.05829858,0.08102947,0.08138632,0.07808459,0.06830574,0.07111067,0.0686009,0.08019736,0.10469713,0.07656901,0.05313364,0.04413982,0.06905485,0.0738603,0.04868769,0.06757121,0.05737982,0.0644237,0.08234162,0.08680568,0.08051495,0.06655527,0.07229379,0.07331287
0.08416521,0.07793533,0.07903531,0.08157257,0.07332927,0.00177371,0.06912961,0.06005885,0.04900368,0.06108947,0.05408588,0.07382306,0.07913984,0.07739418,0.06877872,0.06516887,0.0629379,0.07588039,0.10441037,0.07538955,0.04798177,0.04412148,0.06443434,0.06627015,0.04916124,0.06373233,0.05532843,0.05883377,0.07324518,0.08005776,0.0725009,0.05972008,0.06550221,0.0734358
0.08444664,0.07914182,0.0772575,0.0807209,0.0746044,0.00166758,0.06600544,0.059564,0.05267167,0.06092036,0.0489057,0.07284263,0.07619287,0.07287077,0.06547537,0.06632853,0.06088088,0.07673117,0.10877253,0.07710986,0.0499993,0.04382791,0.06388857,0.06863363,0.04744721,0.06237395,0.05302622,0.05881217,0.07930234,0.08601465,0.07744035,0.06035565,0.06827784,0.06777707
0.08800505,0.08037155,0.0788587,0.08138829,0.07684961,0.00134424,0.06892122,0.06287878,0.05126444,0.06316576,0.05633293,0.07732732,0.07545436,0.07378357,0.06649168,0.06579275,0.06276536,0.07384524,0.10863839,0.07739579,0.05203153,0.04546486,0.06838835,0.06925901,0.04986981,0.06515075,0.05347859,0.06114108,0.08123599,0.08352596,0.08083743,0.06213289,0.06675075,0.06951596
0.08666795,0.08426576,0.0776576,0.08049649,0.07507245,0.0018017,0.07322186,0.0659271,0.05439267,0.06455019,0.05897949,0.08087107,0.08265814,0.07678889,0.06694184,0.06658246,0.064254,0.07620476,0.10871808,0.07674473,0.05098068,0.04584272,0.06911716,0.07325345,0.05178858,0.06507203,0.06008476,0.06591085,0.0836633,0.08705645,0.08140732,0.06612624,0.07071455,0.07833461
0.09102639,0.08512857,0.07736701,0.07827071,0.07648242,0.00147047,0.07137769,0.06340752,0.05453583,0.06564474,0.05748929,0.08149878,0.08004999,0.07886831,0.07256657,0.06498698,0.06544864,0.07279223,0.11096146,0.07974422,0.05056035,0.04545384,0.06624552,0.06915253,0.05329429,0.0704128,0.06091771,0.06783134,0.07823655,0.08631883,0.07815415,0.06680019,0.070418,0.07946783
0.08222413,0.07772266,0.07655253,0.07964975,0.07177557,0.00122032,0.0702262,0.0617065,0.04730922,0.06065296,0.05389637,0.07460969,0.07553503,0.07439433,0.06445689,0.06160224,0.06054048,0.07363003,0.10867665,0.07700837,0.04960454,0.04648232,0.06243792,0.06747856,0.04757758,0.06415575,0.0549851,0.06115716,0.07264608,0.08137485,0.07079107,0.0573429,0.06306274,0.07224804
0.08869641,0.07913683,0.07761758,0.08037457,0.07288039,0.0017443,0.07172072,0.06252847,0.05299848,0.06239214,0.05186102,0.07020921,0.07898318,0.07460388,0.06746846,0.0656906,0.0606366,0.07608545,0.10597301,0.07575345,0.05059247,0.04355915,0.06521786,0.06668708,0.04811951,0.06634422,0.05503747,0.06196867,0.07539876,0.08567258,0.07380817,0.0625905,0.068692,0.06881982
0.09021319,0.08578522,0.08493533,0.08482883,0.07741741,0.00167832,0.0720025,0.06413858,0.05392136,0.06680592,0.0581176,0.07722038,0.07850468,0.07923017,0.06893638,0.07020279,0.06687298,0.07907457,0.11035135,0.07883683,0.05329088,0.04960456,0.06801589,0.06876581,0.05528128,0.06705582,0.06032422,0.06625846,0.0824253,0.08871649,0.08261365,0.06381489,0.06853964,0.07411516
0.0834649,0.08435711,0.07859537,0.08289383,0.07327411,0.00153428,0.06896853,0.0638434,0.05267919,0.06633371,0.05458652,0.07728464,0.08412256,0.08247527,0.07440211,0.06603848,0.06478472,0.07518309,0.11235924,0.07930906,0.05235665,0.04781638,0.06695043,0.06995754,0.05341116,0.06706265,0.05619871,0.06062506,0.07795995,0.08285395,0.07744092,0.062247,0.06728787,0.07217255
0.08624783,0.08178474,0.08055816,0.08321315,0.07368484,0.0018048,0.06900876,0.06120011,0.05299784,0.06430469,0.05538074,0.07806765,0.07740716,0.07763323,0.06687952,0.06636014,0.06429123,0.08097866,0.10996968,0.076961,0.05327928,0.04665766,0.06655555,0.0719417,0.05258252,0.07019263,0.06032933,0.06460339,0.08051896,0.08552116,0.07928765,0.06260859,0.06813149,0.07473067
0.08893531,0.07697313,0.07731189,0.07887739,0.07378353,0.00171447,0.06996772,0.06321069,0.04941746,0.06055552,0.05200676,0.07297537,0.07793221,0.07310542,0.06529505,0.06663074,0.06741077,0.07702253,0.10690388,0.07448156,0.04970862,0.04213069,0.06552553,0.06552712,0.04802662,0.06367355,0.0544188,0.06090931,0.07587187,0.08110328,0.0757199,0.05905573,0.0668028,0.06873257
0.08821802,0.08112556,0.08166164,0.0830997,0.08181569,0.00169163,0.07103299,0.05996415,0.05134425,0.06370458,0.05499318,0.07572347,0.07769557,0.07445505,0.06617241,0.06788925,0.06650409,0.07803078,0.10633233,0.07779727,0.05241216,0.04331991,0.07094931,0.07466991,0.05075703,0.06577052,0.05595333,0.06136027,0.08084933,0.08761001,0.07975535,0.06040188,0.06663782,0.07002963
0.08737495,0.0808023,0.07634979,0.07914608,0.07668159,0.00162559,0.07323479,0.06289064,0.05365235,0.06407605,0.05386496,0.07575886,0.0798884,0.07795389,0.06733583,0.0660619,0.06763387,0.07065141,0.10850094,0.07764364,0.0506601,0.04655535,0.06767111,0.06656624,0.05150458,0.06585782,0.05834384,0.06107551,0.07348107,0.08141585,0.07136593,0.06387882,0.06754639,0.07177615
0.08866755,0.08120745,0.07838746,0.08016327,0.07653673,0.00143648,0.06906516,0.06302421,0.05240096,0.06301753,0.05346871,0.0725645,0.07749709,0.07474668,0.06845723,0.06595946,0.06199135,0.06945361,0.10761906,0.07515986,0.04974718,0.04164442,0.06891942,0.07007451,0.04797177,0.0619556,0.0535039,0.05718798,0.07389083,0.07994325,0.0738026,0.0600424,0.06689225,0.06793745
0.08759034,0.08319409,0.07306406,0.07542787,0.06960704,0.00156726,0.06955223,0.06131155,0.05156561,0.06829128,0.05216686,0.07435055,0.07869677,0.08039711,0.07269485,0.06449324,0.06087375,0.07517056,0.11102462,0.07814289,0.05250602,0.04714803,0.06322097,0.06646034,0.05255607,0.06460091,0.05554274,0.06228767,0.07514608,0.08283684,0.07521515,0.06399037,0.07163664,0.06925643
0.08452146,0.07990078,0.07751946,0.08001511,0.07574325,0.00133361,0.0696884,0.06079996,0.05297949,0.06139327,0.05843483,0.07880981,0.0803869,0.0779654,0.06706082,0.06542053,0.06406598,0.07518927,0.10697822,0.07701661,0.05078759,0.04322707,0.06745189,0.06734635,0.04863804,0.06341872,0.05419531,0.05827321,0.08074049,0.0861005,0.07944243,0.06372272,0.06841558,0.07633862
0.09115792,0.08460877,0.07664761,0.07879796,0.07293925,0.00138094,0.07502178,0.06607883,0.0538553,0.06587948,0.05399299,0.07787481,0.07975475,0.08055895,0.07195772,0.06744032,0.06486686,0.07339119,0.11314815,0.07817311,0.05102999,0.04613623,0.06637928,0.06667684,0.05009009,0.06419669,0.05419547,0.06086562,0.07616741,0.08269013,0.07435915,0.06475569,0.07124388,0.06912451
0.08732076,0.07943187,0.07555255,0.07840084,0.07238598,0.0019397,0.07228436,0.06365655,0.04985261,0.06394692,0.05160124,0.0739869,0.07781578,0.07545183,0.06708219,0.06690502,0.06566006,0.07679607,0.10612306,0.07837293,0.04927326,0.04250189,0.06511241,0.06517557,0.05326301,0.06836701,0.05899374,0.06644138,0.0740358,0.08044721,0.07132328,0.05987719,0.06576184,0.06887872
