"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.57960072,0.53971675,0.42571843,0.49685215,0.35901342,0.05774655,0.49671313,0.50786606,0.46213713,0.55152841,0.38510343,0.41005966,0.53315658,0.50576737,0.57569331,0.50031584,0.41537075,0.52069455,0.50661597,0.70945527,0.47564212,0.51678946,0.53217639,0.51635073,0.58119549,0.56270915,0.46627855,0.56841043,0.3993882,0.3753177,0.34531584,0.50913374,0.50091626,0.46652483
0.6004681,0.5565209,0.45325151,0.53165362,0.36783925,0.06173666,0.49513837,0.5111839,0.47438294,0.56900029,0.38754059,0.41247318,0.53887444,0.50218245,0.59546986,0.52167241,0.43126986,0.53259675,0.52795135,0.72030086,0.50224594,0.54494881,0.56705206,0.54362704,0.6099746,0.56158682,0.45540157,0.5644257,0.43210346,0.41047192,0.37673625,0.52212195,0.51069229,0.4689131
0.61464804,0.54769832,0.45861295,0.53553757,0.37304601,0.05725163,0.46523666,0.4802644,0.45082242,0.55576947,0.37331407,0.40875762,0.56067706,0.52356822,0.58450969,0.51565123,0.43838891,0.53285514,0.51919149,0.70771286,0.4642638,0.50998444,0.56614128,0.53067629,0.61041812,0.56698074,0.48442823,0.57994199,0.43710913,0.423612,0.37540616,0.48922526,0.47416963,0.45001299
0.57551827,0.53455571,0.43192543,0.5177666,0.36483612,0.05701763,0.47180315,0.50192076,0.45768292,0.54546268,0.37753764,0.40755447,0.53694892,0.49225851,0.55885641,0.49291943,0.42378221,0.52260309,0.51365769,0.69477419,0.46884035,0.51203058,0.57498919,0.52657299,0.59495883,0.56574645,0.46209285,0.56329806,0.41743981,0.40274914,0.36112151,0.49965836,0.49012787,0.45970786
0.60435413,0.54687199,0.44984325,0.53659213,0.36645908,0.06520931,0.45909291,0.49618886,0.45842522,0.55019885,0.3778161,0.41587404,0.53773432,0.51134929,0.56146766,0.49952205,0.4313291,0.53763069,0.50388088,0.69502039,0.46511253,0.50449028,0.5574242,0.52197802,0.60140078,0.55446482,0.46129771,0.57238643,0.4386799,0.40649467,0.37054693,0.50867725,0.49286478,0.4497667
0.61618547,0.54891654,0.4547747,0.54112574,0.39198952,0.06006924,0.47020137,0.48988906,0.4621644,0.554896,0.39456946,0.41803057,0.55011935,0.52929747,0.59460173,0.51778916,0.45188394,0.53882411,0.51932395,0.71413481,0.47853911,0.52589175,0.56879876,0.53200763,0.60071048,0.56753513,0.48627549,0.57227429,0.4451523,0.4240373,0.38433991,0.52252272,0.48762392,0.44780405
0.59215321,0.53997307,0.43005881,0.49335039,0.35262967,0.0593516,0.49585486,0.51141294,0.46748375,0.55625391,0.37999299,0.40865875,0.53008397,0.50399131,0.58905295,0.51035251,0.43442331,0.52237421,0.51636888,0.70942144,0.48652768,0.52214891,0.5488241,0.51814555,0.5866426,0.55624355,0.46908963,0.55576751,0.41078983,0.40782413,0.35611849,0.50955459,0.50402847,0.45201913
0.6277249,0.55370396,0.46420475,0.5366247,0.37741876,0.06285197,0.48269972,0.50299962,0.47369395,0.55733275,0.38021762,0.41933821,0.55636257,0.52808733,0.60486825,0.5265907,0.44455199,0.55248317,0.54542092,0.7426778,0.4935084,0.53479829,0.58031346,0.55647443,0.62965769,0.57698548,0.48945086,0.59499765,0.43217422,0.42998697,0.37965314,0.52072212,0.50065088,0.46981961
0.61321131,0.56061082,0.46144724,0.54218723,0.38057902,0.05976612,0.50874015,0.53841187,0.48293051,0.56794423,0.40720222,0.4424859,0.54604699,0.51428129,0.60542524,0.53082352,0.43775796,0.53041475,0.55122328,0.71846691,0.49071558,0.52602483,0.57581846,0.54168686,0.62041708,0.58643063,0.48703877,0.59704907,0.43621092,0.42295921,0.38484396,0.53836028,0.52700045,0.47927434
0.60615244,0.52810329,0.45791268,0.53460632,0.36580601,0.05968923,0.47228376,0.50078782,0.44261638,0.53036159,0.3760591,0.40952519,0.52661896,0.50345637,0.57269153,0.52493504,0.4354611,0.5264194,0.5107089,0.69588429,0.45923445,0.49107916,0.53181542,0.51946753,0.59129511,0.55944655,0.46501828,0.5680129,0.42763221,0.4093466,0.36358287,0.50145899,0.48683057,0.45603097
0.5850929,0.56038944,0.42693231,0.50848419,0.35913468,0.06736582,0.47560338,0.50419717,0.47395743,0.56621232,0.3758965,0.41039251,0.53643478,0.5000988,0.57436604,0.50925405,0.44149565,0.53311599,0.51741962,0.69803917,0.4868897,0.52264454,0.56233987,0.5294693,0.60776564,0.55123905,0.46466505,0.55888172,0.41992809,0.39246826,0.36350313,0.49686656,0.49184003,0.46578882
0.61036641,0.56342779,0.45900539,0.53190776,0.38321609,0.05596472,0.49303546,0.50438864,0.48186445,0.55636559,0.40813546,0.43442374,0.54319218,0.501573,0.58427911,0.5107354,0.44381142,0.55358541,0.53064053,0.71536784,0.49512039,0.5421418,0.56692573,0.53603986,0.6346168,0.59413778,0.48794026,0.61109889,0.44494384,0.42134525,0.3779871,0.51270826,0.50441232,0.44681311
0.58954846,0.56953233,0.44411272,0.51709335,0.36125833,0.06807842,0.49691461,0.50306655,0.47147023,0.57374447,0.38266715,0.41206957,0.54850391,0.50202846,0.594846,0.52015494,0.43950491,0.52134023,0.54430321,0.7089126,0.49054312,0.52933235,0.57023119,0.52885044,0.58980472,0.55950435,0.47188781,0.57486985,0.42719909,0.41357533,0.37900966,0.52777741,0.52218036,0.46029742
0.57718413,0.53712713,0.42377739,0.49728631,0.35291036,0.06134184,0.44062176,0.4807489,0.44407124,0.53840599,0.36812155,0.39758663,0.55002115,0.49805165,0.56323993,0.48853355,0.41966761,0.49736557,0.4990945,0.67612227,0.47019384,0.51382091,0.56375933,0.52951274,0.5965177,0.56705839,0.4813406,0.57585914,0.41654447,0.39230371,0.36073174,0.48730382,0.47326952,0.43832156
0.62568019,0.54763085,0.47193032,0.52996769,0.37435765,0.05996456,0.46639171,0.51231921,0.45452855,0.55864678,0.40569427,0.43700094,0.55409161,0.52397012,0.58039176,0.53231829,0.44038082,0.5378865,0.53132592,0.73358029,0.48651743,0.53776763,0.5695747,0.55248744,0.61718808,0.5677171,0.4796384,0.57443,0.44159933,0.41221083,0.37530183,0.51955513,0.49934405,0.46857402
0.60725958,0.55297856,0.45122282,0.52310213,0.37883667,0.062423,0.47769358,0.49113633,0.47294987,0.56871749,0.38250555,0.41730056,0.56864037,0.51696592,0.60803263,0.53235082,0.44011634,0.54551964,0.54413923,0.70691793,0.4907751,0.52820998,0.57995603,0.54460046,0.62524401,0.57999243,0.48545503,0.58418935,0.46584702,0.431563,0.38682059,0.5428053,0.52686981,0.48499651
0.57339739,0.54919609,0.45003241,0.50672603,0.35688814,0.06824498,0.47501033,0.49818968,0.45950754,0.56186469,0.38945855,0.41956997,0.54093535,0.50501098,0.58496666,0.50797872,0.43134176,0.52723994,0.51593194,0.68528511,0.47469303,0.50740702,0.56656145,0.52384343,0.59551548,0.56406302,0.48096732,0.58717606,0.43123887,0.3954845,0.37518848,0.50542116,0.50151511,0.44862572
0.59914876,0.54406949,0.44837043,0.51904842,0.3540348,0.06081613,0.47111598,0.50259548,0.4448723,0.54715413,0.38132052,0.40926586,0.55076076,0.49926532,0.59282123,0.5195528,0.43090326,0.52110094,0.52595731,0.69061165,0.47636605,0.50983983,0.56463193,0.53545416,0.60460687,0.5636287,0.46982463,0.57547835,0.42468912,0.40969296,0.3641209,0.49976062,0.49357331,0.44455591
