"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.15418126,0.14742325,0.1600468,0.17555976,0.14091593,0.03345577,0.14666054,0.14191616,0.14995011,0.14180034,0.13458509,0.14097245,0.16158781,0.15642151,0.13847271,0.16380052,0.16693,0.16181293,0.19996591,0.15719739,0.16440996,0.17746955,0.17166933,0.15166015,0.16723065,0.15920967,0.15516937,0.15028436,0.16020141,0.14042158,0.14164265,0.15361501,0.15709725,0.1786253
0.15792583,0.14167286,0.16211375,0.17432518,0.13717176,0.03499057,0.14415612,0.13814515,0.14961733,0.13614208,0.13136417,0.1378956,0.16271247,0.15067749,0.13572718,0.1628004,0.16749053,0.15431786,0.19280353,0.14954494,0.16981697,0.18071594,0.16303222,0.14695093,0.16364958,0.15547348,0.14542803,0.14945558,0.16558991,0.15096156,0.14486966,0.15388242,0.1557418,0.17491385
0.15791107,0.1497842,0.16158664,0.17284389,0.14306904,0.02980829,0.14479689,0.13454205,0.15073377,0.14387232,0.13251919,0.1421429,0.15938987,0.15510619,0.13775279,0.16533505,0.17157891,0.15378233,0.19552149,0.1558406,0.16342201,0.17769488,0.17007866,0.14928161,0.16325698,0.15657564,0.15243008,0.15219459,0.16754629,0.15094965,0.14753353,0.14912952,0.14910669,0.1779205
0.15737276,0.14799183,0.1589945,0.17482385,0.14235583,0.03010682,0.1459277,0.14536092,0.15292412,0.14617339,0.13476987,0.14148157,0.15913623,0.15225539,0.13681308,0.16428748,0.16751982,0.16041453,0.19573653,0.16029293,0.16670139,0.18359269,0.16593109,0.14800785,0.16523096,0.15966854,0.15529233,0.14808015,0.16381024,0.14697169,0.14257883,0.15441573,0.15742332,0.17769304
0.15482315,0.14738767,0.16033894,0.17324134,0.13910918,0.03557197,0.13966137,0.14166395,0.14922057,0.14193928,0.13508517,0.14708666,0.16310955,0.15978574,0.1371377,0.15803366,0.17008959,0.16106697,0.19942102,0.16344088,0.16488192,0.17986268,0.16629791,0.14647074,0.16239019,0.15708336,0.14963013,0.14994395,0.17021711,0.14366309,0.14724869,0.15120401,0.15466553,0.17765866
0.15589226,0.14961079,0.15863344,0.17337761,0.145742,0.03151345,0.14431953,0.14213924,0.15055857,0.14273436,0.13748985,0.14251328,0.1619279,0.15405417,0.13513709,0.16415192,0.17347192,0.1555333,0.19680512,0.1521434,0.16697482,0.18242502,0.16961001,0.14631666,0.16864993,0.1575122,0.1570753,0.14819925,0.16814221,0.14901682,0.14957217,0.1540427,0.15270156,0.17422842
0.16501411,0.1498187,0.16410218,0.17251778,0.13848254,0.03565389,0.1460138,0.14090034,0.15569802,0.14542905,0.13767084,0.14452666,0.1610514,0.15378992,0.14048277,0.16815266,0.17410311,0.15961153,0.20184446,0.1541856,0.17129164,0.1828708,0.17225952,0.15345676,0.16595208,0.16012715,0.15206197,0.15362995,0.16632677,0.15017938,0.14610298,0.15685297,0.16101949,0.18098372
0.15438058,0.14901632,0.15739539,0.16965604,0.13929571,0.03660873,0.14691217,0.13725923,0.15437517,0.13967135,0.12642254,0.1423512,0.15653438,0.15311207,0.13488466,0.16329366,0.17149576,0.16091837,0.19747447,0.14583432,0.168908,0.18330624,0.16753283,0.14990485,0.16690709,0.15226111,0.15436376,0.14360297,0.16502975,0.15325095,0.14640322,0.15839462,0.15618309,0.17630298
0.15315035,0.14379579,0.16274015,0.17925031,0.13941926,0.03052726,0.14480511,0.14120777,0.14852941,0.13696625,0.1397714,0.14906036,0.15258842,0.15392751,0.13623736,0.16694983,0.16970143,0.15988836,0.19652949,0.15518007,0.16478221,0.17439871,0.16757698,0.15087275,0.16107263,0.15653645,0.15072565,0.15521133,0.16772542,0.14922699,0.15327743,0.15223753,0.15419959,0.17657641
0.16556246,0.15225939,0.16945758,0.18429023,0.14083446,0.03813856,0.14462831,0.14678704,0.15291501,0.14643868,0.12940457,0.14383713,0.1609892,0.15680037,0.13939774,0.16962162,0.17050138,0.15676518,0.19729938,0.16444084,0.16316085,0.17607564,0.17163716,0.15423218,0.16751099,0.16108407,0.1560382,0.15550408,0.16640524,0.14567907,0.14415542,0.15342914,0.15542664,0.17840815
0.15513144,0.15149234,0.15159509,0.16991703,0.13694539,0.0370104,0.14421635,0.13904571,0.15497404,0.14619441,0.13593734,0.14795201,0.16191096,0.15387357,0.13843996,0.16171568,0.17578504,0.16341671,0.19696808,0.15528904,0.16931603,0.18043867,0.17323985,0.15101874,0.16792671,0.15668834,0.15053095,0.15343437,0.16470174,0.14578938,0.1437856,0.15154604,0.15629964,0.17934752
0.15730094,0.14949867,0.15867332,0.16841256,0.14175959,0.02963818,0.15096736,0.14068267,0.15590219,0.13974765,0.14236542,0.14415164,0.15834615,0.15178246,0.14020723,0.16242525,0.17095538,0.15662821,0.20273577,0.15050132,0.17455337,0.1851333,0.16718089,0.14360283,0.16381298,0.15462174,0.14619914,0.14724672,0.166336,0.14791222,0.14624576,0.14912173,0.1519459,0.17757961
0.16105043,0.1491316,0.16319757,0.1728829,0.1401321,0.03845897,0.14492541,0.1380679,0.15434176,0.14217728,0.13364691,0.13985564,0.15742426,0.15135577,0.14130284,0.16903839,0.17263032,0.15788345,0.1963729,0.15893498,0.16754576,0.17964993,0.17180144,0.14999037,0.16954309,0.1533578,0.14837858,0.15203057,0.16532943,0.15245333,0.15064142,0.15356223,0.15520218,0.1803186
0.15916348,0.14870036,0.16261615,0.17396081,0.14031445,0.0339421,0.13826385,0.13968707,0.14784734,0.14048097,0.12986518,0.14215451,0.15393466,0.15592786,0.139066,0.16197174,0.170061,0.15068852,0.19896065,0.16702107,0.16775736,0.18044356,0.17316667,0.15622199,0.1736566,0.16408519,0.15566407,0.15445489,0.16590264,0.1452778,0.14703561,0.14849299,0.15144121,0.17618442
