"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.15352928,0.22937356,0.04928544,0.05959802,0.21724282,0.11738744,0.10107353,0.12469206,0.19280283,0.20673842,0.1863613,0.13489841,0.1768034,0.07429499,0.06648232,0.18469696,0.17485902,0.18845935,0.2377031,0.29623978,0.26155696,0.09336428,0.10014716,0.12774874,0.13276253,0.17686886,0.16187176,0.18867037
0.15292869,0.23534749,0.04862421,0.05628371,0.22239897,0.11979334,0.10312678,0.1270991,0.19109328,0.21575751,0.18857184,0.13721011,0.17424284,0.07849085,0.07083359,0.18355047,0.17513106,0.18870568,0.23854586,0.29505977,0.26333757,0.0977411,0.10370041,0.13181489,0.13689549,0.17919544,0.16109084,0.18405019
0.15632686,0.23805792,0.0494494,0.05326052,0.22363755,0.1219244,0.10246252,0.13031323,0.19434473,0.21556518,0.18859318,0.13827532,0.17889456,0.07983044,0.07057361,0.18681781,0.18007389,0.19236426,0.24120159,0.30059641,0.26660372,0.09788763,0.10427778,0.13107901,0.13377419,0.18022989,0.16544601,0.18871143
0.1501498,0.23354185,0.05009439,0.05760476,0.22150886,0.11703426,0.09956327,0.12447395,0.18957627,0.21406945,0.18737723,0.13766842,0.17428181,0.07707358,0.06850915,0.18094932,0.17307281,0.1858696,0.23213508,0.29628462,0.26322432,0.09455526,0.10057669,0.12964289,0.13309462,0.17571176,0.16029512,0.18541754
0.1552302,0.23667427,0.04973779,0.05590937,0.22141168,0.11942293,0.10135854,0.12761568,0.19513051,0.21556375,0.19239312,0.14187748,0.17787346,0.07681623,0.06848566,0.18670162,0.18105161,0.19237674,0.24070858,0.29648806,0.26721014,0.09603126,0.10367383,0.12932907,0.13378299,0.18069276,0.16212432,0.18822189
0.15658927,0.24095625,0.04825116,0.05113098,0.23090129,0.11926634,0.10219591,0.12597953,0.19356176,0.2184264,0.19212803,0.14045568,0.17743413,0.08160028,0.07264534,0.18708944,0.18120099,0.1911789,0.24010108,0.29887669,0.26535555,0.09768769,0.10216593,0.1334825,0.13719571,0.17998147,0.16556133,0.18723476
0.15704578,0.24167665,0.04767934,0.05323002,0.22862695,0.12386951,0.10642522,0.13179638,0.19701248,0.22171928,0.19657481,0.14328814,0.18122289,0.08189587,0.07347946,0.18825865,0.18197949,0.19299482,0.24321265,0.3060393,0.27604953,0.10118721,0.10746722,0.13269843,0.13437842,0.18362201,0.16545291,0.192625
0.15513343,0.24146917,0.04935285,0.05665423,0.22587114,0.12330695,0.10251907,0.13161404,0.19591059,0.2145634,0.18866143,0.1386293,0.17976137,0.07886459,0.07053005,0.18758254,0.18140985,0.19297705,0.24296571,0.30382962,0.26969254,0.09889091,0.10457791,0.13507845,0.13789589,0.1832203,0.16773212,0.19050016
0.15432294,0.23457754,0.04927676,0.05607446,0.22386196,0.12324025,0.10492714,0.13312254,0.19541094,0.2154899,0.19418194,0.14062855,0.17874354,0.07944053,0.0712304,0.18238533,0.17733838,0.18877055,0.24150162,0.30210268,0.26898923,0.09643232,0.10339952,0.12906306,0.13339951,0.18043973,0.16296053,0.19174959
0.1543886,0.23590874,0.04944183,0.05598077,0.21971776,0.11962682,0.10171594,0.12711324,0.19314507,0.21404663,0.18982412,0.13866999,0.17697849,0.07652852,0.06840512,0.18366957,0.17607281,0.18871276,0.23951869,0.29662936,0.26339828,0.09337202,0.09969075,0.1316637,0.13577934,0.17776273,0.16103432,0.18839602
0.1539117,0.24006613,0.04656917,0.05114922,0.22448618,0.12318344,0.10516697,0.13069394,0.19302267,0.21732307,0.19064053,0.13875077,0.17835039,0.08006205,0.07149995,0.18712834,0.18273209,0.19365138,0.24196555,0.30036668,0.26740027,0.09774977,0.10372637,0.13397561,0.13993905,0.181065,0.16229429,0.18543583
0.15575403,0.2396574,0.05002455,0.05418743,0.22485512,0.12323006,0.1024795,0.13271651,0.20225913,0.21892254,0.19720204,0.1428747,0.18833954,0.07664302,0.06914918,0.19160582,0.18451948,0.19715614,0.24237424,0.30081534,0.26964704,0.09754009,0.10516382,0.1312948,0.13343493,0.18437486,0.16738755,0.19607184
0.15579895,0.23032564,0.05012415,0.05685039,0.22211271,0.11861,0.10305186,0.12519785,0.19176338,0.20625361,0.18323846,0.13533563,0.17512659,0.07761145,0.06924996,0.18668115,0.17816124,0.19071974,0.23772302,0.29009141,0.2609397,0.09479509,0.10218487,0.13038805,0.13320761,0.18088772,0.16392879,0.18496195
0.14943782,0.23228874,0.04940993,0.05761231,0.21675928,0.1193165,0.10043617,0.12715924,0.18974109,0.21270088,0.19072016,0.13660887,0.17424983,0.08020178,0.07078422,0.17657996,0.17025784,0.18267255,0.23439953,0.297505,0.26610349,0.09830111,0.10334329,0.12846331,0.13089235,0.176868,0.16055441,0.1862423
0.15349831,0.24438146,0.04752599,0.05126341,0.22470227,0.12019706,0.10357389,0.12815816,0.19160506,0.22482605,0.19666191,0.14248166,0.1750219,0.07826348,0.06991473,0.18432146,0.17624149,0.18829177,0.24012541,0.30267534,0.26651103,0.09920238,0.10541955,0.13597948,0.14092989,0.17758566,0.16162398,0.18657873
0.15554169,0.24147233,0.05062735,0.05808952,0.22922134,0.12212992,0.10286309,0.13052299,0.19411055,0.22187795,0.19122727,0.14084136,0.17984441,0.07857705,0.07035913,0.18797996,0.17956089,0.19184437,0.24187628,0.30662435,0.26871799,0.09981699,0.10604637,0.13370822,0.13811651,0.1809394,0.16374637,0.18880734
0.15574434,0.24058345,0.04879532,0.05479546,0.22744228,0.12355083,0.10311478,0.1314602,0.20411917,0.21876447,0.19811011,0.14368702,0.18760135,0.07948329,0.07059221,0.19127457,0.18408234,0.19791645,0.24220873,0.30099789,0.27021387,0.09602457,0.10229045,0.13253948,0.13486562,0.1879989,0.17047392,0.19826835
0.15305993,0.23520546,0.04759611,0.05518137,0.22138238,0.12301354,0.10613278,0.13124512,0.19737983,0.21442203,0.19169836,0.13848825,0.18246412,0.0813737,0.07282721,0.18637958,0.17764253,0.1915717,0.23828784,0.30063247,0.26986621,0.09961942,0.10628646,0.12835451,0.13193784,0.18277669,0.16599753,0.19197788
0.15377969,0.23183753,0.05076502,0.0594535,0.22039843,0.12117227,0.1043128,0.12928564,0.1945744,0.21438443,0.19411901,0.14079373,0.18037997,0.07300977,0.0657089,0.18586402,0.17724335,0.19053439,0.23741168,0.29352434,0.26434555,0.09282677,0.09944549,0.12812072,0.13049465,0.18135658,0.16306657,0.18897965
0.15757982,0.23725635,0.04978046,0.05651537,0.22543762,0.12363702,0.10494263,0.13215509,0.1972969,0.21590703,0.19357914,0.14006135,0.17988112,0.08160034,0.07273424,0.18551768,0.18049216,0.19126898,0.24202593,0.30312583,0.26942241,0.09430198,0.10139213,0.1329601,0.1355969,0.18598103,0.16768903,0.19356712
0.15635119,0.24981198,0.04924837,0.05197347,0.23606846,0.1210424,0.10296375,0.12943029,0.19641904,0.22312212,0.19552673,0.1441555,0.18058345,0.07848587,0.06955467,0.18983255,0.18095377,0.19358534,0.24474982,0.30433089,0.27159934,0.09885462,0.10484114,0.14029468,0.14597828,0.18052911,0.16456449,0.19082912
