"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.00693236,0.03169515,0.00226479,0.00797066,0.02982671,0.00730347,0.00551298,0.00955203,0.01342961,0.02662307,0.0192514,0.01036454,0.01574731,0.00404431,0.0033005,0.01339337,0.01211211,0.01352344,0.01803875,0.03397333,0.02684945,0.00690472,0.00692572,0.01239954,0.01256961,0.01203878,0.01102395,0.01333564
0.00735945,0.03432976,0.00233093,0.00712455,0.03079737,0.00789875,0.00568071,0.01017965,0.01401598,0.03120279,0.02145949,0.01209296,0.01598129,0.00475675,0.00396474,0.01377688,0.01320846,0.0149237,0.02020828,0.03693378,0.03022639,0.00812283,0.00796361,0.01279378,0.01280806,0.0139344,0.01113914,0.01381761
0.00703308,0.03410087,0.00215565,0.00517742,0.03199416,0.00793307,0.0051671,0.01085636,0.01448887,0.0303328,0.02013182,0.01096385,0.01642087,0.00500029,0.00424179,0.0143307,0.01383737,0.01534421,0.02088025,0.03820491,0.03007634,0.00786757,0.00755624,0.01319159,0.01307026,0.01305644,0.01124985,0.01475273
0.00719922,0.03361291,0.00230101,0.00717455,0.03062674,0.00764149,0.00528394,0.01017398,0.01368022,0.02994839,0.02001697,0.01125281,0.01593181,0.00440507,0.00374401,0.01428337,0.01287355,0.01490531,0.01989473,0.03669107,0.02952145,0.00769513,0.00738033,0.01230472,0.01200382,0.01321986,0.01149557,0.01384045
0.00723047,0.03290996,0.00218732,0.00635278,0.0317317,0.0072885,0.0050672,0.0099683,0.01510134,0.02830008,0.02029884,0.0116897,0.01655458,0.00476029,0.00401589,0.01362958,0.01339805,0.01479598,0.02001598,0.03576841,0.02825251,0.00775072,0.00772261,0.01293231,0.01352307,0.0141712,0.01131592,0.01501322
0.00659905,0.03488177,0.00214989,0.00522498,0.03271113,0.00716043,0.00573237,0.00919816,0.01377613,0.03007478,0.02033171,0.01144537,0.01587539,0.0049292,0.00424764,0.01449819,0.01254506,0.01389718,0.01914331,0.03710344,0.02780143,0.00811294,0.00733255,0.01323412,0.01360468,0.01169596,0.01156704,0.01369742
0.00662909,0.03544646,0.0022115,0.00543947,0.03168776,0.00813632,0.00587224,0.01084084,0.01496739,0.03136783,0.02215434,0.01226888,0.01715378,0.00482946,0.00413366,0.01462795,0.0134572,0.01523324,0.01989109,0.03701972,0.0294816,0.00813967,0.00778716,0.01331923,0.01277191,0.01403755,0.0119479,0.01560737
0.0069954,0.03740204,0.0023265,0.00736172,0.03375829,0.00830152,0.0052632,0.01090833,0.01541896,0.02928787,0.02063287,0.01151192,0.01720049,0.00476812,0.00399157,0.01496709,0.01399213,0.01553757,0.02166061,0.03795584,0.03050025,0.00764367,0.00733309,0.01469311,0.01449052,0.01405554,0.0118628,0.01533363
0.00714177,0.03320298,0.00222705,0.00624833,0.03149858,0.00785425,0.00555806,0.01082505,0.01657644,0.02905923,0.02167655,0.01202769,0.01796728,0.00473159,0.00400703,0.01526855,0.01373673,0.01523084,0.02064799,0.0377429,0.03029076,0.00728288,0.0073405,0.01205232,0.01225121,0.01341107,0.01212568,0.01670377
0.00674639,0.03476845,0.00223717,0.00641305,0.03229882,0.00778521,0.00512021,0.01035434,0.01450818,0.03116395,0.02147171,0.01195658,0.01663489,0.00487501,0.00407958,0.01338661,0.01264586,0.01424468,0.0205118,0.03795298,0.02858168,0.00732369,0.00696772,0.01376242,0.01392993,0.01293716,0.01113728,0.01462175
0.00670923,0.0340994,0.00204589,0.0052497,0.03108101,0.00828318,0.00572963,0.01086475,0.01509217,0.02849938,0.01978863,0.01073274,0.01817285,0.00484712,0.00407925,0.0143218,0.01416667,0.01586535,0.02087656,0.03718941,0.02976592,0.00816387,0.00765208,0.01300264,0.01356128,0.01277205,0.0118248,0.01412149
0.00692519,0.03681053,0.00236489,0.00588538,0.03431469,0.00840102,0.00540392,0.01128922,0.01688769,0.03188321,0.02221966,0.01251897,0.01956325,0.004817,0.00406406,0.01710286,0.01438822,0.01631982,0.0208697,0.03980058,0.030821,0.00781246,0.00809203,0.01389015,0.01400623,0.01495467,0.01286964,0.01668125
0.00708484,0.03268781,0.00227471,0.00671068,0.0306693,0.00735729,0.00524826,0.00968113,0.01308899,0.02641937,0.01794411,0.00990066,0.01562867,0.00454015,0.00381807,0.01408982,0.01306095,0.01444733,0.01947204,0.03422963,0.0275948,0.00688014,0.00691976,0.01343343,0.01347931,0.01237787,0.01194124,0.0127017
0.00688537,0.03385946,0.0022808,0.00720624,0.03122427,0.00751061,0.00535552,0.00991534,0.01382101,0.02980379,0.0215727,0.0116591,0.01596293,0.00515453,0.00429675,0.01278877,0.01297801,0.01412066,0.02081357,0.03557681,0.02950548,0.00827848,0.00783852,0.01374466,0.01376798,0.01282421,0.01186513,0.01424441
0.00650633,0.03424717,0.00217028,0.00516637,0.03128109,0.00755513,0.00586546,0.01010993,0.01444965,0.0304763,0.0220887,0.01193393,0.01631491,0.00461194,0.00390079,0.01519663,0.0131359,0.01482314,0.02037808,0.03695601,0.02878202,0.0076191,0.00757433,0.01321521,0.0136432,0.01328942,0.0116421,0.01456923
0.00676505,0.03474682,0.00237752,0.00727999,0.03290643,0.00781317,0.00554356,0.01055243,0.01388369,0.03249133,0.0214832,0.01207308,0.0168733,0.00433673,0.00372836,0.01484391,0.01351107,0.01508055,0.02075352,0.03719705,0.02847232,0.00807786,0.00811964,0.01331981,0.01354948,0.01323487,0.01090898,0.01386865
0.00749072,0.03430155,0.00214987,0.00605603,0.03239382,0.00868289,0.00542325,0.01130488,0.01620943,0.03003518,0.02203662,0.01226694,0.01768001,0.00444402,0.00370932,0.0147098,0.01448143,0.01637049,0.02054267,0.03705572,0.02904707,0.00720223,0.00705484,0.01342308,0.01320314,0.01617757,0.0128745,0.01597793
0.00697283,0.03415572,0.00217354,0.00662759,0.031469,0.00770337,0.0057012,0.01026606,0.01605553,0.02887858,0.02076095,0.0114602,0.0179267,0.00475136,0.00400885,0.01457801,0.01358234,0.01532681,0.02110569,0.03734911,0.03028908,0.00712003,0.00714287,0.01278728,0.01264747,0.01397584,0.01239469,0.01623652
0.00713674,0.03295128,0.00224737,0.00713413,0.03115157,0.00785143,0.00572747,0.01044344,0.01520375,0.02992942,0.02212293,0.01188094,0.01791773,0.00406657,0.00345759,0.01465615,0.01285738,0.01484265,0.02075712,0.03625026,0.02959783,0.00728831,0.0072811,0.01255801,0.01254332,0.0130814,0.01161696,0.01496065
0.00717653,0.03371749,0.00226797,0.00614298,0.03089739,0.00820677,0.00571481,0.01112593,0.01541677,0.0287695,0.02087596,0.01162354,0.01691886,0.00488463,0.00415556,0.01459506,0.01377592,0.01536176,0.01943209,0.03587372,0.02798517,0.00713762,0.00709833,0.01329349,0.01294114,0.01447254,0.01201092,0.01583412
0.00707155,0.03876217,0.0021818,0.00453068,0.03386843,0.007793,0.00523666,0.01051511,0.01562396,0.03204519,0.02041916,0.01192009,0.01766285,0.00480538,0.00404017,0.01488079,0.01353005,0.01509479,0.02241646,0.04111491,0.03206274,0.00822625,0.0081917,0.01440878,0.01501271,0.01274868,0.01118478,0.01561397
