"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.14777692,0.12883637,0.08065526,0.08554364,0.11331793,0.22659646,0.22141336,0.2183844,0.19042219,0.13386901,0.17852982,0.12164474,0.20000598,0.19587234,0.17376032,0.2062371,0.19691683,0.24285459,0.18850266,0.19550804,0.20102399,0.18220589,0.19059729,0.17440304,0.16827,0.17814039,0.18903221,0.17211221
0.15245075,0.13327545,0.08169286,0.0845227,0.11734576,0.23039843,0.22536304,0.22205746,0.20148269,0.14169462,0.1780533,0.12622929,0.20466641,0.19634742,0.18717027,0.20837336,0.19876331,0.2440041,0.18991759,0.194261,0.20650764,0.18882089,0.19593394,0.17362853,0.17008815,0.18782328,0.19541641,0.16999402
0.15502652,0.12941706,0.07989329,0.08168833,0.11522374,0.21973869,0.21426419,0.21601964,0.19472899,0.1332335,0.17383984,0.12489065,0.2078022,0.20012479,0.18699792,0.20956275,0.20259677,0.24316414,0.19262755,0.19757568,0.20926164,0.18156133,0.18873399,0.16645321,0.1653302,0.18065196,0.19834279,0.16933084
0.14800251,0.12877244,0.08115265,0.08480351,0.11690358,0.21515309,0.21053299,0.20877988,0.19384131,0.13509368,0.17425696,0.12400217,0.20276049,0.19063981,0.18701565,0.20404016,0.1959354,0.23489171,0.18252565,0.19354735,0.20573326,0.17889598,0.1877288,0.16707764,0.16853819,0.17798553,0.19218875,0.16681997
0.15313558,0.12830137,0.08351451,0.08873616,0.1182553,0.21651365,0.21220879,0.20973286,0.20039943,0.13487287,0.17600517,0.12361036,0.20547725,0.19615075,0.1790226,0.20659212,0.19994833,0.24078006,0.18825183,0.19432604,0.2069915,0.17887454,0.18882335,0.16696958,0.17049905,0.18354987,0.19458359,0.17124032
0.15339093,0.13381422,0.07906232,0.08098784,0.11992024,0.21748612,0.21238848,0.21050719,0.19583151,0.13904956,0.17525476,0.12341062,0.20335541,0.20020123,0.18477071,0.20651496,0.20240054,0.24342183,0.18836527,0.19781548,0.20592044,0.17937977,0.18597738,0.1717311,0.16871106,0.18278856,0.19766506,0.16835952
0.16016458,0.13904039,0.07850552,0.08338951,0.12105866,0.23418842,0.22799883,0.22633233,0.20795062,0.14327761,0.18691413,0.13367505,0.21051691,0.20403852,0.18792191,0.22070103,0.21309381,0.25096431,0.19528398,0.20017766,0.21745357,0.19459937,0.20176548,0.18023768,0.17501088,0.19269207,0.19845141,0.17810185
0.15448729,0.13326533,0.08248009,0.08458159,0.11986152,0.21665835,0.21161749,0.21089074,0.20259159,0.13848154,0.17828415,0.12914285,0.20900828,0.19723314,0.18252941,0.20962035,0.20196212,0.24315612,0.19331969,0.20011373,0.21070991,0.18615458,0.19388905,0.17083182,0.16964548,0.18847691,0.20094406,0.17233013
0.15041393,0.13759394,0.08007111,0.08590616,0.11898698,0.22875741,0.22291501,0.2254611,0.19805196,0.14565288,0.18452433,0.12821516,0.20646145,0.19835053,0.18991454,0.20777237,0.20112291,0.24065048,0.18902542,0.19587827,0.21128187,0.18689381,0.19256607,0.18397832,0.17551156,0.18747964,0.19190762,0.17530264
0.15004024,0.13074817,0.08234104,0.08600015,0.1139524,0.2265871,0.21976899,0.21847413,0.1934888,0.13779514,0.17635622,0.12235605,0.20168486,0.19624669,0.18084033,0.20593625,0.19589144,0.23763037,0.18776968,0.19583181,0.205816,0.18113226,0.18896441,0.17731792,0.16762759,0.1801176,0.19004383,0.170063
