"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.01644707,0.01364111,0.00404288,0.00738759,0.00940158,0.04167703,0.04237608,0.04130696,0.03016758,0.01475147,0.02136145,0.01300743,0.03540928,0.04397457,0.03744279,0.03084293,0.02449921,0.03040432,0.01420407,0.01838162,0.02710679,0.02888235,0.0280149,0.02758506,0.02074122,0.02316313,0.01877925,0.01980079
0.01814951,0.01612901,0.00376984,0.00631562,0.01133659,0.04431481,0.04444081,0.04236059,0.03557967,0.01900448,0.0219427,0.01574394,0.03823002,0.04510427,0.05103397,0.03369062,0.02762187,0.03264367,0.01542694,0.01815241,0.03183083,0.03186985,0.03138326,0.02466298,0.02091554,0.02731562,0.02152779,0.02080069
0.01782826,0.01569125,0.00347641,0.00585758,0.01102158,0.03967807,0.03937496,0.03920548,0.03289959,0.01757484,0.02152026,0.0151201,0.03633475,0.04676605,0.04712301,0.03435425,0.02775567,0.03302659,0.01616407,0.02009279,0.03250631,0.02949727,0.02809201,0.022424,0.01958613,0.02374989,0.02157368,0.02037545
0.01663968,0.01493289,0.00374433,0.00661528,0.01075568,0.037495,0.03901445,0.03724338,0.03264558,0.01672776,0.02158783,0.01519211,0.03455443,0.04001007,0.04963511,0.03256503,0.02596621,0.03144329,0.01473358,0.01861031,0.03078681,0.03135055,0.03104687,0.02612011,0.02023581,0.02296419,0.02095968,0.01935456
0.01703208,0.0147702,0.00399567,0.00718851,0.010716,0.03885122,0.03925357,0.0370327,0.03332854,0.01707662,0.02203899,0.01449154,0.033339,0.04684421,0.04573067,0.03085939,0.02578018,0.03116327,0.01427414,0.01875196,0.02952328,0.02979384,0.03021814,0.02370239,0.02002979,0.02734823,0.02096848,0.02163557
0.01804465,0.0162434,0.00366541,0.00593169,0.01100567,0.03744994,0.03773901,0.03564555,0.03150811,0.01814967,0.02113976,0.01433127,0.03370308,0.04943064,0.04791072,0.03341673,0.02686917,0.03174324,0.01450931,0.01968944,0.02971051,0.02790375,0.02815822,0.0277487,0.01995479,0.02404452,0.02201545,0.02014193
0.0174742,0.0165544,0.00368073,0.00619265,0.01109521,0.04164979,0.04075461,0.04015674,0.03606794,0.0183823,0.02285113,0.01603844,0.03518825,0.04607445,0.04462918,0.03513377,0.02871855,0.03357447,0.01503868,0.01927646,0.03205499,0.03121228,0.03048058,0.02761969,0.01972231,0.02765959,0.0197494,0.02167435
0.01878817,0.01717523,0.00386546,0.00685147,0.01159562,0.03850341,0.03890567,0.03751611,0.03476601,0.01987659,0.02250329,0.01683425,0.03621692,0.04671171,0.04539619,0.03404871,0.02784876,0.0309681,0.01625379,0.01903077,0.03208214,0.03088344,0.03003754,0.02537901,0.02192169,0.02837663,0.0222475,0.02094788
0.01704103,0.01761034,0.00391401,0.00674309,0.01175828,0.04162027,0.04179308,0.04030418,0.03466838,0.01970998,0.02412517,0.01700948,0.03811121,0.05065229,0.05557877,0.03489484,0.02831618,0.03320745,0.01549276,0.01879729,0.03298229,0.03155722,0.03084589,0.02916183,0.02199816,0.02740458,0.02096993,0.02272683
0.01702327,0.01568609,0.00386574,0.00649398,0.01060341,0.04240014,0.04211035,0.04028445,0.03279832,0.01870392,0.02271013,0.01405349,0.03541031,0.04509026,0.04420623,0.03294137,0.02602822,0.03013089,0.01537945,0.02013707,0.03082136,0.02895483,0.02926397,0.02964197,0.02015896,0.0257448,0.02116865,0.02068079
