"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.25456667,0.23164783,0.14870356,0.15531276,0.22348373,0.27438683,0.25091156,0.27446909,0.28276212,0.31762931,0.27345329,0.19549069,0.2977931,0.21183216,0.19581606,0.3153833,0.30091233,0.33393355,0.33273701,0.32702068,0.2974159,0.22669199,0.23087228,0.25716751,0.29769312,0.26318248,0.29066299,0.26636252
0.23741621,0.22205961,0.15102713,0.15470223,0.20923043,0.25744587,0.23803662,0.25921749,0.26826802,0.30239507,0.25500047,0.18521126,0.28050455,0.19225909,0.18021345,0.29417729,0.28418105,0.31221073,0.31194477,0.30755594,0.28279415,0.22077801,0.22340398,0.24550174,0.29098548,0.25145591,0.27198532,0.24519255
0.24902481,0.22197504,0.15815623,0.16452119,0.21529453,0.25433544,0.23184867,0.25682655,0.26827424,0.30464821,0.25993182,0.18784897,0.28515797,0.20052327,0.18408627,0.30003889,0.29275189,0.32091369,0.31964608,0.31233405,0.28394601,0.21522214,0.21973311,0.24584443,0.2890729,0.2567275,0.28404854,0.25870655
0.23909019,0.22841613,0.14732992,0.15371117,0.22217546,0.26014029,0.23507426,0.26086149,0.27137347,0.31724481,0.26186918,0.1933005,0.28390305,0.20047272,0.18589091,0.29828994,0.28389625,0.31379762,0.31321027,0.3119862,0.28419922,0.2181813,0.22161445,0.25745639,0.29759772,0.25361445,0.27809922,0.25397741
0.24921657,0.22830849,0.15064388,0.15806543,0.22054957,0.25726791,0.23736332,0.26003312,0.27664069,0.31262544,0.25955742,0.19164152,0.28758817,0.19297938,0.17982794,0.30187362,0.29030216,0.31891447,0.31756457,0.3143861,0.28932045,0.22249022,0.22619119,0.24904483,0.29625888,0.25417232,0.28213513,0.25617733
0.24354272,0.21960771,0.15232289,0.15710205,0.2127182,0.25335739,0.23008053,0.25380385,0.26391764,0.29998428,0.25276213,0.18161207,0.27724635,0.19362461,0.17988095,0.29421921,0.29161448,0.31209658,0.31781277,0.31080054,0.28215102,0.21995313,0.22039744,0.24207489,0.28470771,0.25290072,0.28230216,0.24568423
0.25333847,0.2277771,0.14518788,0.15287941,0.21824818,0.25431984,0.23740597,0.25594039,0.26925457,0.31173921,0.25928965,0.18910571,0.27669168,0.19198912,0.17801547,0.31228924,0.30319234,0.32766449,0.31540802,0.31670066,0.29373643,0.22240504,0.22525313,0.2519278,0.29214576,0.25832938,0.28345142,0.25397086
0.24187001,0.22108784,0.15486237,0.15711546,0.21212023,0.25729149,0.23684788,0.2597947,0.27155635,0.30488091,0.25506828,0.19048281,0.2817468,0.19425514,0.18116052,0.30070676,0.29182435,0.32255335,0.31795131,0.32021845,0.28931776,0.225198,0.22638058,0.24649432,0.28980567,0.25665666,0.28519301,0.25063304
0.25096598,0.23360489,0.1464067,0.15177599,0.22249861,0.2663388,0.24554341,0.26911568,0.27945656,0.32423346,0.27451069,0.19978174,0.29334058,0.20171825,0.19003373,0.31033635,0.30546823,0.32543795,0.32629527,0.32516898,0.30265671,0.23084572,0.22784775,0.25836964,0.30185297,0.26598606,0.28702924,0.26366419
0.2553104,0.23021747,0.15314732,0.15981776,0.21828528,0.2641831,0.24229168,0.26551865,0.27755315,0.31617009,0.27004304,0.19350041,0.29072968,0.20229636,0.18775556,0.30981618,0.29926598,0.32650874,0.32769424,0.32098174,0.29326608,0.22490535,0.22768765,0.25418225,0.29856443,0.26055683,0.28714269,0.26353786
0.2466133,0.22861034,0.14817621,0.15238386,0.21508117,0.26229892,0.24006689,0.2638542,0.27217717,0.30559361,0.25726506,0.18980333,0.28531363,0.19972545,0.18525145,0.30181508,0.29886396,0.32102021,0.32089807,0.31787487,0.28927716,0.21934027,0.22197419,0.2494494,0.29841756,0.25696178,0.28580241,0.25062193
0.25524558,0.24053667,0.15395293,0.15801422,0.23255738,0.26451417,0.24486915,0.26751732,0.28779675,0.33027272,0.27909255,0.19964041,0.29787332,0.19731067,0.18268224,0.31210037,0.30571668,0.33295735,0.3340734,0.32946594,0.30598216,0.23271672,0.23362051,0.26306267,0.30208269,0.2666468,0.29672601,0.2704646
0.24778234,0.22482955,0.15201146,0.15983715,0.21267719,0.25760488,0.23934838,0.25914281,0.26697542,0.30676089,0.2612303,0.18986175,0.28131158,0.19531494,0.18260203,0.30559587,0.29819243,0.32731431,0.31937987,0.3052842,0.28428726,0.22197938,0.22563556,0.24937028,0.28467831,0.25727593,0.27901027,0.25260344
0.24751395,0.23127445,0.14813664,0.15277644,0.2225759,0.26661614,0.24192291,0.26809754,0.27940029,0.31580558,0.27097313,0.19321902,0.29868849,0.20323936,0.19009874,0.30713392,0.29739352,0.32131848,0.321173,0.32128109,0.29699778,0.2293232,0.23030947,0.25421932,0.29073794,0.26347666,0.29038453,0.26302968
0.2522533,0.232485,0.15641164,0.15989081,0.22012472,0.25137531,0.23247733,0.25316085,0.26916662,0.31966209,0.26324207,0.18862569,0.27706328,0.20054192,0.18642686,0.30353751,0.29285439,0.31731316,0.31889538,0.31791329,0.28706489,0.22146792,0.22354068,0.25756619,0.30015204,0.25254505,0.28330825,0.25316258
0.25151034,0.228148,0.16168779,0.17011425,0.21906355,0.25885614,0.23516309,0.26038795,0.27076651,0.31345772,0.25875994,0.19006533,0.28819187,0.19494657,0.18194855,0.30073963,0.29298301,0.31972242,0.31403923,0.32076443,0.29025875,0.22537227,0.2264989,0.2508589,0.2935801,0.25470068,0.28077887,0.25407768
0.2613664,0.24075949,0.14557499,0.15262933,0.23231593,0.27308867,0.24981379,0.27461843,0.28840195,0.32686962,0.28003315,0.20312924,0.30202662,0.21353138,0.19936886,0.32215054,0.31247753,0.33595622,0.33612669,0.33556588,0.30759598,0.23697106,0.24197454,0.26235709,0.30340426,0.2715869,0.30332665,0.26974618
0.2507515,0.23062389,0.15434414,0.16118656,0.221694,0.26058101,0.24185933,0.26380599,0.2798819,0.31395676,0.26767858,0.19481802,0.29525538,0.19745336,0.18387442,0.31030783,0.29854786,0.33019417,0.32097323,0.31914274,0.29781496,0.22397368,0.22685472,0.25222199,0.29416673,0.26266392,0.28744078,0.26039871
0.25012621,0.2311841,0.14045487,0.14774232,0.22147792,0.2582849,0.23532966,0.25964355,0.27419112,0.31419815,0.26527758,0.19220634,0.28722476,0.19772142,0.184876,0.30797921,0.29891722,0.32495375,0.32297042,0.31514637,0.29144326,0.2185961,0.22103706,0.25542076,0.30151863,0.26117199,0.28736268,0.25721911
0.24841163,0.22697184,0.14669631,0.15326226,0.2124025,0.25935688,0.23937522,0.26107879,0.27122991,0.30621316,0.26114892,0.18626381,0.28234397,0.19276647,0.18084984,0.30302924,0.29831479,0.31629785,0.32004995,0.32110618,0.29346079,0.21755581,0.22112615,0.24982922,0.29183078,0.26104419,0.28321116,0.25429685
0.25209367,0.23718781,0.15313572,0.16073556,0.22689442,0.2548322,0.23357859,0.25683772,0.27684501,0.32208872,0.26865294,0.19349667,0.28697337,0.2004984,0.18664961,0.30615807,0.30153955,0.32564667,0.32060071,0.32109408,0.29700013,0.2232359,0.22521791,0.26556242,0.30641246,0.26134635,0.28422087,0.26191657
0.23816603,0.22314331,0.13969452,0.1443921,0.21021467,0.25997239,0.23501891,0.26069676,0.26514094,0.30322691,0.25836355,0.18815316,0.28116984,0.19503613,0.18200759,0.30014138,0.29033196,0.31901228,0.3192407,0.30538797,0.2787761,0.21588043,0.21831457,0.24802034,0.29139379,0.25204334,0.27600671,0.24564897
0.25353347,0.23131844,0.15259551,0.15930241,0.2204538,0.259439,0.23846087,0.26078827,0.27575865,0.31594867,0.26338333,0.19498103,0.28550953,0.19199967,0.17732808,0.30522335,0.2990029,0.31972682,0.31902809,0.32375495,0.29090052,0.22786807,0.23203839,0.2658544,0.30826204,0.2631663,0.28906176,0.25406851
0.24938523,0.22488186,0.1432638,0.14716754,0.21713128,0.25820661,0.23830427,0.25940885,0.27494194,0.3013226,0.26066363,0.18958054,0.28079122,0.19617871,0.17830483,0.30736658,0.29904092,0.32179783,0.31777608,0.31801257,0.2920437,0.22113897,0.2278306,0.2506658,0.29639931,0.25667236,0.28799704,0.25702609
0.25270421,0.23677031,0.14635358,0.15013968,0.22263069,0.2627238,0.245102,0.26492701,0.2767416,0.32014182,0.26854867,0.19478871,0.28827438,0.20074884,0.18894214,0.30879225,0.29358029,0.32299037,0.31998917,0.31799109,0.29183809,0.2280048,0.22862214,0.25901034,0.30749221,0.25964308,0.28737713,0.26097145
0.25543884,0.2351384,0.14934942,0.15499296,0.22634079,0.26219072,0.24361224,0.26293722,0.28202914,0.32055134,0.27158856,0.19573015,0.29234025,0.20320838,0.19063959,0.30901191,0.30064644,0.32253796,0.33205505,0.33053721,0.29315105,0.2266402,0.23169686,0.25915734,0.30327495,0.26296436,0.2917295,0.26254302
0.24313098,0.22338796,0.14800589,0.15423038,0.21708435,0.25055568,0.22713869,0.2521112,0.26895679,0.3024708,0.25707492,0.18600658,0.28180158,0.19911098,0.18482082,0.29625821,0.28681937,0.315938,0.3111604,0.30923458,0.28056684,0.21398147,0.21747811,0.24577082,0.29186619,0.25268684,0.27715078,0.25213634
0.24399937,0.23008399,0.13615925,0.13918456,0.22278643,0.27159784,0.24693365,0.27168655,0.27475263,0.31580631,0.26863299,0.19148896,0.29093322,0.20525046,0.18999434,0.30522219,0.30097388,0.32311154,0.32078615,0.32388143,0.29720931,0.22891777,0.23129347,0.25104473,0.29742115,0.26112791,0.28567929,0.25691277
0.25111986,0.23826717,0.14025248,0.1460931,0.22900245,0.26689713,0.24533914,0.2690437,0.28025484,0.32675008,0.27426533,0.19810288,0.29225316,0.1998756,0.18594131,0.30630088,0.29882163,0.32157027,0.31866707,0.3199043,0.29766705,0.23156528,0.23337292,0.25894281,0.29891355,0.26040899,0.28208374,0.26512911
0.25144837,0.2317808,0.14540135,0.14960224,0.22563072,0.26367751,0.24302363,0.26483572,0.27946286,0.31734437,0.26963379,0.19724603,0.29235501,0.20017744,0.1886078,0.31669408,0.31172736,0.338624,0.32795013,0.3191874,0.29294665,0.22281089,0.22443358,0.25689463,0.29856752,0.26200324,0.28915005,0.25999069
0.23764643,0.21882657,0.14213862,0.14679263,0.21051929,0.25688002,0.23206946,0.25684471,0.26705676,0.29884755,0.25981052,0.18253173,0.2795681,0.19457334,0.18092388,0.29282562,0.28294485,0.31467541,0.30700682,0.30368393,0.27560016,0.21419373,0.21580958,0.24935825,0.29061023,0.25256449,0.26867342,0.25524921
0.24455887,0.22956747,0.13655415,0.14424266,0.22249115,0.25831524,0.23843149,0.26177935,0.27303616,0.31501932,0.26290713,0.19397865,0.28718758,0.19914095,0.18791065,0.3046818,0.29503724,0.32070954,0.3208229,0.31695952,0.28721071,0.21862113,0.21988835,0.25299302,0.29340583,0.25535131,0.28068988,0.25595043
0.25340614,0.23663762,0.14594199,0.1497856,0.22571376,0.27031991,0.24802945,0.27207331,0.2845283,0.32182249,0.27772173,0.19941948,0.30020222,0.20160611,0.18763642,0.31350166,0.29955674,0.3313427,0.33183549,0.32646156,0.29681258,0.23330195,0.23439816,0.26027065,0.30297924,0.26596052,0.29752439,0.27004671
0.25882568,0.2357158,0.14745637,0.15285429,0.22504738,0.26481753,0.24205504,0.26610503,0.27849242,0.32086609,0.26734173,0.19420439,0.29256459,0.19886635,0.18666478,0.313862,0.30143194,0.32855676,0.32222876,0.32037802,0.29298702,0.22406496,0.22721843,0.26435853,0.30314406,0.26597114,0.2921546,0.26047248
0.25304494,0.23329487,0.15487669,0.16383338,0.22246291,0.26162442,0.2428655,0.26484288,0.27981264,0.31643277,0.26783523,0.19362421,0.29646475,0.19878786,0.18831755,0.30349833,0.30047272,0.32170605,0.31927374,0.31911202,0.29459586,0.23010998,0.22946292,0.25747174,0.30254772,0.26283537,0.28993443,0.26176631
0.24250724,0.22342881,0.14642436,0.15310209,0.21433151,0.24974182,0.23185766,0.25201268,0.26279434,0.30724227,0.25129895,0.18368705,0.27376914,0.18787454,0.17629345,0.29709179,0.29306907,0.31149545,0.30738524,0.3104099,0.28292764,0.21744195,0.2183842,0.25029896,0.29419752,0.24796249,0.27429806,0.24369173
0.24852093,0.23625936,0.14671753,0.15230403,0.22469947,0.26285689,0.24201356,0.264749,0.27884341,0.32598602,0.27202455,0.19663375,0.28911807,0.20463877,0.18946703,0.30442645,0.29411137,0.32309586,0.32457792,0.3290311,0.2995955,0.22708725,0.2288249,0.2630156,0.30056524,0.262883,0.28707195,0.26412197
0.24749991,0.23108517,0.15018494,0.15858252,0.22475994,0.26556877,0.24328077,0.26756155,0.27995375,0.31867361,0.26896946,0.19558514,0.29477832,0.20672436,0.1931075,0.30402323,0.30130938,0.32319378,0.32043104,0.32542146,0.29379965,0.22553358,0.22821563,0.25172592,0.29777379,0.26100075,0.28292984,0.26070504
0.24908048,0.22562409,0.15509813,0.16086497,0.21814928,0.26056986,0.23833032,0.26153153,0.27452371,0.31143235,0.26467929,0.19471397,0.29061691,0.19989125,0.18594857,0.31008687,0.30438434,0.33124172,0.32680126,0.32363619,0.29526451,0.22287458,0.22689562,0.24891794,0.28940704,0.26225592,0.29228036,0.25296521
0.25461672,0.23419054,0.15847177,0.16452976,0.22394783,0.2650573,0.24413773,0.26586015,0.28044979,0.32233391,0.27419588,0.20080291,0.29114671,0.20181341,0.1908076,0.31031106,0.30178668,0.32777548,0.32923522,0.32129283,0.29428496,0.22504662,0.2268665,0.25493485,0.29553841,0.25909329,0.28679769,0.26311819
0.25257891,0.22971901,0.15202508,0.15804908,0.21759797,0.26272421,0.24168194,0.26399236,0.27316994,0.31562438,0.26404729,0.19526829,0.28361343,0.19743918,0.18175169,0.30527466,0.2966824,0.31778908,0.32039521,0.32024394,0.29198103,0.22249844,0.22703727,0.25449514,0.29906386,0.2579178,0.28374266,0.25167585
0.2391673,0.22631202,0.15201295,0.15898236,0.21958789,0.26081853,0.23790789,0.26199916,0.27468842,0.31392972,0.26577737,0.19218358,0.29048225,0.20061073,0.18544809,0.29159832,0.28287553,0.30654186,0.31595969,0.31423143,0.29420162,0.21979413,0.22310682,0.25300307,0.29530219,0.25869481,0.28009045,0.25910116
0.25387152,0.23472588,0.14259916,0.15123015,0.22414124,0.26888469,0.24722178,0.27015636,0.28455924,0.31798954,0.27568913,0.19952757,0.29741898,0.20478001,0.19119651,0.31401865,0.3023785,0.32866264,0.33547892,0.3275492,0.29845265,0.23737661,0.23938018,0.25400204,0.29745535,0.26749332,0.29781149,0.26551071
0.26039939,0.24371099,0.14942391,0.15555425,0.23057864,0.27527868,0.25195599,0.27784603,0.29050026,0.33056932,0.27894764,0.20478848,0.30628,0.20546676,0.19274305,0.32398038,0.31312627,0.33791604,0.3353144,0.33397559,0.30150703,0.23136726,0.23371288,0.25904374,0.30353974,0.27214322,0.30110298,0.27045444
0.24643639,0.23166895,0.14546913,0.15229935,0.21904539,0.25386506,0.23470724,0.25657005,0.28031728,0.31636938,0.26339348,0.19496564,0.28786936,0.19075743,0.18062302,0.30734283,0.2990669,0.32109562,0.31391533,0.31499418,0.28938239,0.21649859,0.22074413,0.25647301,0.29802088,0.26194521,0.28464882,0.25776293
0.25077261,0.22763346,0.15544688,0.15875636,0.21805348,0.2573355,0.23484321,0.25963533,0.27430166,0.31050845,0.25866018,0.18726648,0.28932592,0.19299598,0.1810613,0.3062497,0.29623666,0.3223246,0.3172604,0.31444841,0.29186429,0.21783026,0.22075975,0.25131587,0.29916321,0.25824275,0.28317684,0.25455502
0.24705523,0.22816567,0.14024306,0.14681527,0.22121472,0.2594916,0.23766534,0.26243748,0.27012608,0.31612805,0.26160355,0.19007793,0.28503187,0.20004588,0.18724619,0.29862638,0.29183041,0.3161847,0.31306815,0.3207706,0.28943479,0.22000792,0.22150037,0.25288151,0.29585541,0.25384452,0.27812967,0.25328713
0.24856607,0.2256972,0.15300378,0.15764927,0.21581003,0.25903548,0.24026857,0.26057132,0.27533638,0.30956525,0.26441063,0.19328471,0.28456587,0.19427491,0.17975645,0.30994444,0.30104068,0.33137202,0.31945411,0.31256197,0.28646682,0.22310923,0.22694688,0.25561014,0.29208235,0.25912477,0.28402497,0.26221513
0.25084615,0.23181333,0.15538111,0.16254219,0.22469975,0.25262368,0.23709399,0.25638554,0.27892202,0.32150007,0.26414994,0.19552146,0.28737388,0.19352285,0.1795174,0.310041,0.30205309,0.32777642,0.32108833,0.32155108,0.29786504,0.22311625,0.22516563,0.25738053,0.3005926,0.26074564,0.28554664,0.25676835
0.26051612,0.24020605,0.15464633,0.16111295,0.23124956,0.25963492,0.23674128,0.26226062,0.28730002,0.33388935,0.27544821,0.20453913,0.30356254,0.20091748,0.19046543,0.31296186,0.30697252,0.32843177,0.32904966,0.32848332,0.30119423,0.2217061,0.22366681,0.2666952,0.3040694,0.27029907,0.29797132,0.26795464
0.25010031,0.23192922,0.15022731,0.15302934,0.21916764,0.25533073,0.2361148,0.25888959,0.27398323,0.31561025,0.26763631,0.19110005,0.28851259,0.19282602,0.18229802,0.30330222,0.29540147,0.32265872,0.32493166,0.31848238,0.29493046,0.22063585,0.22217851,0.25595866,0.29823257,0.2579588,0.28380023,0.25813052
0.25424679,0.22967495,0.14717401,0.15518782,0.21714634,0.26585796,0.24609961,0.26771993,0.28094572,0.30971626,0.26016572,0.19504731,0.29090619,0.20222137,0.18774239,0.31216955,0.30088942,0.32477081,0.31719602,0.32522084,0.29228737,0.22345859,0.22417707,0.25715905,0.29907101,0.25869415,0.28442492,0.26066851
0.25046337,0.22956437,0.15545468,0.16180674,0.22327274,0.26018039,0.23734381,0.25990863,0.27339744,0.31693262,0.26233263,0.19375508,0.28132648,0.20106924,0.1839249,0.30111138,0.29121426,0.3159019,0.31281576,0.31585005,0.28608172,0.22549149,0.22756201,0.26159917,0.2986753,0.25670036,0.28037,0.26017626
0.25196577,0.238826,0.14767005,0.15353763,0.22587022,0.26392941,0.2432813,0.26546475,0.28310949,0.32483594,0.270014,0.19670189,0.29731176,0.20537084,0.19284649,0.31103466,0.3065942,0.32737244,0.32434695,0.3252321,0.29545556,0.22552573,0.22817767,0.25402412,0.29385544,0.2630671,0.28990603,0.26394327
0.2371079,0.21460689,0.14673336,0.15553033,0.20582767,0.25170896,0.22917708,0.25212078,0.25952328,0.29397325,0.24689087,0.18134024,0.27501914,0.19363836,0.17970835,0.28986184,0.2818706,0.30574981,0.30267392,0.30906157,0.28291028,0.21107468,0.21253361,0.24283514,0.28844725,0.25718513,0.27288649,0.24889948
0.25891704,0.24192434,0.15982221,0.16753102,0.23134979,0.26225663,0.24257664,0.26382857,0.28216708,0.33234758,0.27522334,0.20272138,0.29065218,0.20309188,0.18763334,0.31354644,0.30281507,0.32106294,0.3270451,0.33300559,0.30311243,0.23012856,0.23149935,0.26237068,0.30270175,0.2640235,0.29654888,0.26727741
0.25473178,0.23394163,0.1562724,0.16197265,0.22356612,0.25900686,0.24002737,0.26117357,0.27473688,0.31784714,0.26635843,0.19428475,0.286035,0.19943956,0.18498523,0.30541447,0.30296497,0.32316148,0.3190566,0.32396977,0.29544988,0.22105666,0.22645227,0.26217399,0.30014076,0.25938849,0.28271171,0.25946616
0.24189337,0.22502826,0.14634955,0.14957066,0.21526537,0.24918268,0.23034614,0.25245967,0.26932204,0.30660424,0.25693203,0.18353529,0.27683428,0.18810201,0.17421329,0.29659706,0.28497392,0.31040098,0.31855449,0.32033366,0.29264383,0.22161974,0.22341536,0.25076024,0.2925111,0.25244605,0.28307154,0.25050489
0.25182442,0.23187961,0.15083893,0.15649606,0.22078766,0.25259953,0.23251212,0.2550477,0.27263933,0.31587607,0.2615539,0.19086876,0.28398015,0.1958746,0.18303032,0.30591627,0.29346884,0.32288469,0.31957661,0.31977844,0.28794257,0.21772409,0.22184503,0.259539,0.29867539,0.25858948,0.28572309,0.25380545
0.26153336,0.24397554,0.15029763,0.15960047,0.23087483,0.26248585,0.24199997,0.26392579,0.27997834,0.33501946,0.27632258,0.20020107,0.28881652,0.2074131,0.19319118,0.31384737,0.3078885,0.32630677,0.3292783,0.33410245,0.30535137,0.23396216,0.23641561,0.27140027,0.31199413,0.26661346,0.291374,0.26350776
0.26100633,0.23944186,0.1584679,0.16547277,0.23119728,0.26682762,0.24412807,0.26803399,0.2868263,0.32851043,0.27611764,0.19901459,0.29773289,0.20295666,0.19002878,0.32027936,0.30785059,0.33500653,0.33223571,0.33003528,0.30066243,0.23292652,0.23635433,0.26248965,0.30584891,0.26795846,0.30152354,0.2725298
0.25183157,0.23840668,0.15055547,0.15790069,0.22518347,0.26480318,0.24530106,0.26583685,0.28018655,0.32075032,0.26917945,0.19565785,0.29097973,0.19382151,0.1819501,0.30383948,0.29349303,0.32013705,0.32436619,0.31544664,0.29250056,0.22522392,0.23025262,0.26702662,0.30529288,0.26395006,0.28512443,0.26364253
