"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.03721523,0.03263126,0.02969353,0.03494128,0.03087958,0.03063989,0.02636974,0.0301528,0.04323089,0.06136623,0.04092449,0.02493247,0.04785258,0.02759464,0.02476901,0.04323516,0.04858689,0.04827832,0.03688814,0.04750981,0.04012466,0.02905473,0.03056015,0.03764827,0.03308282,0.02805659,0.044509,0.04019583
0.03603212,0.0311442,0.02994664,0.03523593,0.02916385,0.03000876,0.02661148,0.03013868,0.04143618,0.05817495,0.03773682,0.02437833,0.0472674,0.02542775,0.02348702,0.03938229,0.04590749,0.04367864,0.03722852,0.04415678,0.03658629,0.0317112,0.03208056,0.03538833,0.03461654,0.02637719,0.04348282,0.03773857
0.03975955,0.03380339,0.03058778,0.0359107,0.03221059,0.03083037,0.02650692,0.03070188,0.04432506,0.06131814,0.04278016,0.02614807,0.05054132,0.02990369,0.02624632,0.04328675,0.0480806,0.04831647,0.03760295,0.04567616,0.03806265,0.03099267,0.03200074,0.04074751,0.0345732,0.0297961,0.04544529,0.04268635
0.03544841,0.03309972,0.02866812,0.03257392,0.03036753,0.02953992,0.02388863,0.02902806,0.04329529,0.06242911,0.04122331,0.02550038,0.04626788,0.02821982,0.02486173,0.0431046,0.04844903,0.04821845,0.03744203,0.04458268,0.03718594,0.03076397,0.03069755,0.04048657,0.03646873,0.02792288,0.04551019,0.03872605
0.03899623,0.03291217,0.02835915,0.03422732,0.03073145,0.02975753,0.0268287,0.02994489,0.0456992,0.06194468,0.04090008,0.02621476,0.04720689,0.02536987,0.02266421,0.04287331,0.04911043,0.04623094,0.03727537,0.04777306,0.03967456,0.03162142,0.03294251,0.0382438,0.03369183,0.02871044,0.04663696,0.04100707
0.03839456,0.02991105,0.02853748,0.03472767,0.02833757,0.02825565,0.02342831,0.02763802,0.04065269,0.05456547,0.03673991,0.02266345,0.04480002,0.02586173,0.02238639,0.03994972,0.04687194,0.04370628,0.03578088,0.04738297,0.03715537,0.03296547,0.03297801,0.03427302,0.03210235,0.0272765,0.04698648,0.03644674
0.03558641,0.03320111,0.0291324,0.03495458,0.02995876,0.02628207,0.02446048,0.02653428,0.04203568,0.06025059,0.04004089,0.02314078,0.04164316,0.02329412,0.02025825,0.04211175,0.0493528,0.04589311,0.03598484,0.04660839,0.03971875,0.0310387,0.03236832,0.0382064,0.03482078,0.02860792,0.04434046,0.03891514
0.03370128,0.0317517,0.02691413,0.03097977,0.02949281,0.02801761,0.02569603,0.02808345,0.04162794,0.05949195,0.03989295,0.02517027,0.04425224,0.0257166,0.02250065,0.04002768,0.04607831,0.04569094,0.03659226,0.04738877,0.04015665,0.02985443,0.03110341,0.03634028,0.03562351,0.02910694,0.04690374,0.03772722
0.03880311,0.03428586,0.02813603,0.03351242,0.03210488,0.03093448,0.02701195,0.03055098,0.04581049,0.06119537,0.04214894,0.02778525,0.0485532,0.02818088,0.02471251,0.04537135,0.05209351,0.04974578,0.03938619,0.04997472,0.04416531,0.03419499,0.03500657,0.03839332,0.03684654,0.03174302,0.04967682,0.04074897
0.03903413,0.03351868,0.02992938,0.03491443,0.03084556,0.02860074,0.02432429,0.02857853,0.0427055,0.06090494,0.04085191,0.02535682,0.04617621,0.02602754,0.0234209,0.04388091,0.0471369,0.04765453,0.03596994,0.04573222,0.03841755,0.02943181,0.02952469,0.03890429,0.03612479,0.02890194,0.04539576,0.03952801
0.03810685,0.03243455,0.0290436,0.03296665,0.03115325,0.02980485,0.02518521,0.02965838,0.04240385,0.06014082,0.04041862,0.02455255,0.04678128,0.02762518,0.02453156,0.03999928,0.04834593,0.04533844,0.03703714,0.04816332,0.04012577,0.0310736,0.03222664,0.03849481,0.03713471,0.02844648,0.04506772,0.0379485
0.03661205,0.03603889,0.02917487,0.0350359,0.03249992,0.02923261,0.02605154,0.02920997,0.0466184,0.06476575,0.04407419,0.02660093,0.04746919,0.02655006,0.02281093,0.04174976,0.04863028,0.04631322,0.03742804,0.04982127,0.04362155,0.03300093,0.03383115,0.04057198,0.03712945,0.02862545,0.04573123,0.04286302
0.03785397,0.0327229,0.02823198,0.03359156,0.03075888,0.02895239,0.02601099,0.02875928,0.04269295,0.05919869,0.03939752,0.02455746,0.04750821,0.02625613,0.02360445,0.04227579,0.04798242,0.04762426,0.03710377,0.04470975,0.03676657,0.03136788,0.03240172,0.03799104,0.03327392,0.0291955,0.04732017,0.03865644
