"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.5212,0.421,0.2953,0.3184,0.472,0.4868,0.4597,0.4838,0.4961,0.455,0.4992,0.3634,0.5327,0.3494,0.3458,0.504,0.4927,0.5629,0.5142,0.5336,0.508,0.4187,0.3928,0.4883,0.496,0.4776,0.5556,0.4886
0.5091,0.4171,0.2995,0.3145,0.4545,0.4874,0.4613,0.4849,0.5079,0.4499,0.4889,0.3753,0.5323,0.3541,0.3569,0.5011,0.4972,0.5559,0.5113,0.5356,0.5092,0.4323,0.402,0.4831,0.497,0.4835,0.5452,0.481
0.5459,0.4315,0.3281,0.3435,0.4736,0.4988,0.4651,0.5049,0.5202,0.4562,0.5085,0.3817,0.5595,0.3606,0.3541,0.5225,0.5183,0.5772,0.5268,0.5533,0.5281,0.4422,0.4121,0.5004,0.5213,0.5064,0.5775,0.5068
0.515,0.43,0.2941,0.3119,0.4698,0.4948,0.457,0.4925,0.5157,0.4625,0.4999,0.3799,0.5517,0.3499,0.3473,0.5077,0.5148,0.5647,0.5043,0.5466,0.5162,0.4288,0.3996,0.4955,0.5189,0.4895,0.5598,0.4888
0.534,0.4343,0.3145,0.3284,0.4663,0.5014,0.4642,0.5043,0.5237,0.4606,0.4981,0.3783,0.5504,0.3521,0.3472,0.5131,0.5145,0.5756,0.5238,0.5425,0.5221,0.4341,0.4043,0.4921,0.5217,0.4924,0.5629,0.4914
0.5415,0.4437,0.3074,0.3195,0.4874,0.5086,0.4687,0.5084,0.5371,0.4783,0.5223,0.385,0.5665,0.367,0.3672,0.5174,0.5225,0.5804,0.5394,0.5608,0.5341,0.4432,0.4084,0.5077,0.532,0.5104,0.5764,0.5103
0.5449,0.4397,0.3078,0.325,0.4768,0.5045,0.4805,0.5057,0.5349,0.478,0.5226,0.4002,0.5624,0.3748,0.3732,0.5311,0.5231,0.5795,0.5286,0.5517,0.5366,0.451,0.4183,0.5027,0.5124,0.5097,0.5669,0.5082
0.5284,0.4232,0.3236,0.3386,0.4659,0.5011,0.463,0.5045,0.5226,0.4467,0.4919,0.3765,0.5517,0.3595,0.3602,0.5063,0.5094,0.5683,0.5169,0.5496,0.5183,0.4419,0.4092,0.4882,0.5101,0.4958,0.5637,0.4946
0.5284,0.4202,0.3161,0.3279,0.4756,0.508,0.4774,0.5108,0.5089,0.4543,0.508,0.3918,0.5446,0.3781,0.3743,0.5098,0.5119,0.5557,0.5135,0.5396,0.5208,0.4424,0.4117,0.4904,0.5059,0.4935,0.548,0.4904
0.5372,0.4264,0.3198,0.3365,0.4605,0.5013,0.476,0.5019,0.5035,0.4511,0.5066,0.3815,0.545,0.3578,0.3547,0.5126,0.5066,0.5685,0.5233,0.5408,0.5152,0.4354,0.4061,0.4858,0.5075,0.4938,0.5642,0.4978
